,年化收益率,季度胜率,夏普比率,卡玛比率,timeperiod,std
绩效数据,0.04910350803963359,0.6190476190476191,0.03469312998515442,0.05932105250070961,5,0.5
绩效数据,0.06202501243454517,0.7142857142857143,0.10067628266342664,0.09551797082723036,5,1.0
绩效数据,0.09369256819768523,0.6904761904761905,0.3775965223858638,0.35993794217746367,5,1.5
绩效数据,0.0,0.0,-inf,,5,2.0
绩效数据,0.0,0.0,-inf,,5,2.5
绩效数据,0.0,0.0,-inf,,5,3.0
绩效数据,0.12920917969223633,0.6428571428571429,0.3312678917024235,0.2114443678066674,10,0.5
绩效数据,0.07331993745429921,0.6190476190476191,0.15002473193255608,0.11012317754894937,10,1.0
绩效数据,0.02230937574863323,0.5,-0.11898612824607309,0.07035443133567357,10,1.5
绩效数据,0.006620706851681701,0.5,-0.4419453910345089,0.028523048320460726,10,2.0
绩效数据,0.010004297524760064,0.35714285714285715,-1.023136986083241,0.20711856856692484,10,2.5
绩效数据,0.0,0.0,-inf,,10,3.0
绩效数据,0.218248773715642,0.7380952380952381,0.6724828652323281,0.5241028367601419,15,0.5
绩效数据,0.09120546687876985,0.6666666666666666,0.22771073630598257,0.15584575435297598,15,1.0
绩效数据,0.0263811166755894,0.5,-0.07512504171119899,0.052804099827276185,15,1.5
绩效数据,0.013320541567434674,0.6190476190476191,-0.28373546080132933,0.050084087053752196,15,2.0
绩效数据,0.004958802677518026,0.4523809523809524,-0.8169461956664222,0.05247066169947744,15,2.5
绩效数据,0.0020579362200812135,0.09523809523809523,-3.0625247737334163,0.09189844545915662,15,3.0
绩效数据,0.23215417745028244,0.7619047619047619,0.6985428811017816,0.5430884872770383,20,0.5
绩效数据,0.10811911761740434,0.5952380952380952,0.29689196859952804,0.22653275469943376,20,1.0
绩效数据,0.04604092359110723,0.5476190476190477,0.03312331183540836,0.10006714510981658,20,1.5
绩效数据,0.03456758020158701,0.6190476190476191,-0.05269735599957944,0.16114901261292378,20,2.0
绩效数据,-0.007181809828251451,0.2857142857142857,-1.160346360164211,-0.05387598999592602,20,2.5
绩效数据,-0.003947473427593162,0.14285714285714285,-4.092971166347561,-0.08246119708740211,20,3.0
绩效数据,0.25974495076720916,0.8333333333333334,0.7893755117331489,0.6926621562301102,25,0.5
