,年化收益率,季度胜率,夏普比率,卡玛比率,timeperiod,std
绩效数据,0.041745852253014304,0.6190476190476191,0.01416647381840871,0.09920795104106851,5,0.5
绩效数据,0.02606804748892233,0.5,-0.1331510948094903,0.06640360251133452,5,1.0
绩效数据,-0.009625076775951813,0.42857142857142855,-0.7610784784462638,-0.03797884412711875,5,1.5
绩效数据,0.0,0.0,-inf,,5,2.0
绩效数据,0.0,0.0,-inf,,5,2.5
绩效数据,0.0,0.0,-inf,,5,3.0
绩效数据,-0.004516831890544304,0.5714285714285714,-0.37129463674741614,-0.010815770181300075,10,0.5
绩效数据,0.0137020117993778,0.5952380952380952,-0.26868169227483424,0.05767718504671125,10,1.0
绩效数据,0.026008482957861956,0.5,-0.2006544682531301,0.15699917149555492,10,1.5
绩效数据,-0.003427114134837206,0.4523809523809524,-1.1198776643998074,-0.016873917609689305,10,2.0
绩效数据,-0.0030942196402580224,0.3333333333333333,-2.549985171669429,-0.03136445519035778,10,2.5
绩效数据,0.0,0.0,-inf,,10,3.0
绩效数据,0.016475469715701685,0.5476190476190477,-0.19144710945909396,0.0466425338862454,15,0.5
绩效数据,0.01031205079765063,0.5238095238095238,-0.29569919368422265,0.03726885956875344,15,1.0
绩效数据,0.0021571393030681563,0.42857142857142855,-0.525595121958025,0.009014064093508403,15,1.5
绩效数据,-0.005228226681762704,0.38095238095238093,-1.0964464704986756,-0.02846584713158201,15,2.0
绩效数据,-0.0053728753092591175,0.42857142857142855,-2.4157297664710073,-0.05429429735664536,15,2.5
绩效数据,-0.001496118350825859,0.11904761904761904,-4.047445594907233,-0.04192811129920569,15,3.0
绩效数据,0.02419275641338725,0.5714285714285714,-0.12767123536034838,0.06484261296316095,20,0.5
绩效数据,0.008120047464605484,0.4523809523809524,-0.3138106824948987,0.021425880034270955,20,1.0
绩效数据,-0.008540007397401905,0.4523809523809524,-0.6641823967909178,-0.03011161479999441,20,1.5
绩效数据,0.007596408997634807,0.5714285714285714,-0.7120688632599581,0.05578536138846603,20,2.0
绩效数据,-0.003234333869153394,0.38095238095238093,-1.7876991937856381,-0.03271739243593998,20,2.5
绩效数据,-0.0007231658136997998,0.16666666666666666,-3.6145606933580536,-0.022246683505960218,20,3.0
绩效数据,0.021157117214167354,0.5,-0.1557113033416545,0.0521941348930849,25,0.5
绩效数据,-0.004268821988673621,0.47619047619047616,-0.4311676892515557,-0.011976115533459257,25,1.0
绩效数据,-0.004639222582648039,0.5238095238095238,-0.6074791480935059,-0.015615680570343652,25,1.5
绩效数据,-0.008068124752261374,0.40476190476190477,-0.9188317256786356,-0.03651169796237981,25,2.0
绩效数据,-0.002998309607037175,0.3333333333333333,-1.572571458964835,-0.03081804311412551,25,2.5
绩效数据,0.0020390216519352578,0.19047619047619047,-3.1533560891323216,0.09299603881038836,25,3.0
绩效数据,0.035506476189261615,0.5238095238095238,-0.03677372456487875,0.09964536494339521,30,0.5
绩效数据,0.011606672317090005,0.5476190476190477,-0.2725453433206264,0.03267715526290522,30,1.0
绩效数据,-0.014939333553214751,0.47619047619047616,-0.7290263569754326,-0.0599098998506998,30,1.5
绩效数据,-0.01053898083303706,0.35714285714285715,-0.9849887436515296,-0.05179914121538442,30,2.0
绩效数据,0.004947145487144589,0.38095238095238093,-1.294489720532484,0.0648216505741411,30,2.5
绩效数据,-0.0008338497838206171,0.21428571428571427,-2.961282099354171,-0.025045289375022796,30,3.0
绩效数据,0.025313260558901263,0.5476190476190477,-0.11902035511982093,0.06461737964406294,35,0.5
绩效数据,0.01123780733687263,0.5476190476190477,-0.27248886366102487,0.03326742215096239,35,1.0
绩效数据,-0.02141841079132445,0.35714285714285715,-0.8085568526833103,-0.06774586421276678,35,1.5
绩效数据,-0.000686325327979076,0.4523809523809524,-0.7881849999433789,-0.0033848692322017084,35,2.0
绩效数据,0.0010569629571588468,0.35714285714285715,-1.441340990773342,0.011030603575355279,35,2.5
绩效数据,-0.0031896502266377524,0.16666666666666666,-3.117651838613636,-0.06872952198798193,35,3.0
绩效数据,0.011868877370179609,0.4523809523809524,-0.22722817777067228,0.03172364834235778,40,0.5
绩效数据,0.013216934549215464,0.5,-0.2555396547720712,0.0364106424703743,40,1.0
绩效数据,-0.007142482514147841,0.40476190476190477,-0.6229982826393913,-0.024922641603503062,40,1.5
绩效数据,0.015017935629650925,0.5238095238095238,-0.49013724212777,0.09723971900098648,40,2.0
绩效数据,0.0039056916721142976,0.40476190476190477,-1.2088165528126686,0.04215195681879222,40,2.5
绩效数据,-0.000982867125128073,0.16666666666666666,-2.9994526947754925,-0.0247542078786307,40,3.0
绩效数据,0.006654590224834278,0.47619047619047616,-0.2691734633736232,0.01863479899584426,45,0.5
绩效数据,0.004733211474960752,0.5238095238095238,-0.3387925661047899,0.01215581702766948,45,1.0
绩效数据,-0.003629799496072561,0.47619047619047616,-0.578847810035798,-0.012334688129267413,45,1.5
绩效数据,0.016974940461052634,0.47619047619047616,-0.454474132971393,0.13897357130726315,45,2.0
绩效数据,0.0022738161929249934,0.40476190476190477,-1.2733818704216515,0.02411611748450688,45,2.5
绩效数据,0.00043273091441697886,0.16666666666666666,-3.4749794909622773,0.015811259815926106,45,3.0
绩效数据,0.008483609705766115,0.47619047619047616,-0.25546073056002144,0.02180841474420305,50,0.5
绩效数据,0.010121951798535367,0.4523809523809524,-0.2863241124254279,0.029978627990685854,50,1.0
绩效数据,0.0039688465485474556,0.4523809523809524,-0.4672836634225245,0.01448885882579548,50,1.5
绩效数据,0.022134015551232178,0.5476190476190477,-0.35760339643130157,0.16095162031607044,50,2.0
绩效数据,0.0048599055494154,0.38095238095238093,-1.1899105650992106,0.05275155545091629,50,2.5
绩效数据,-0.0009531861146057086,0.14285714285714285,-4.256265865493747,-0.026177784157268694,50,3.0
绩效数据,0.016590562063600878,0.5,-0.19035199420155016,0.04374382502437558,55,0.5
绩效数据,0.014691818140793123,0.4523809523809524,-0.2403666288809831,0.04322906237846669,55,1.0
绩效数据,0.008489467951282803,0.42857142857142855,-0.40717220812066,0.028672204140595244,55,1.5
绩效数据,0.018011910996682312,0.5,-0.427281428145844,0.12148095823985486,55,2.0
绩效数据,0.0070385211076133825,0.23809523809523808,-1.1255030740866079,0.0799729248865298,55,2.5
绩效数据,-0.003865670039624458,0.09523809523809523,-4.096505174256651,-0.06568752507848286,55,3.0
绩效数据,-3.637113175336548e-05,0.42857142857142855,-0.3271393296139788,-9.477064928743961e-05,60,0.5
绩效数据,0.017753509886708763,0.40476190476190477,-0.2116171390400803,0.049318876166136595,60,1.0
绩效数据,-0.013305497930932941,0.35714285714285715,-0.6748371480375707,-0.036253893717273424,60,1.5
绩效数据,0.02248692123064111,0.5,-0.3395278896060369,0.2543519062535766,60,2.0
绩效数据,0.006759887895646743,0.23809523809523808,-1.1510791415100525,0.06636009570623615,60,2.5
绩效数据,0.0041876357471128944,0.14285714285714285,-2.049423209504667,0.17735397414646056,60,3.0
绩效数据,0.012567342488732924,0.47619047619047616,-0.22719632229172615,0.03224114536229122,65,0.5
绩效数据,0.007552384408436197,0.40476190476190477,-0.30832195958376724,0.020528609890579367,65,1.0
绩效数据,-0.0066341577482730285,0.35714285714285715,-0.5870769635532431,-0.017956106448001028,65,1.5
绩效数据,0.014661076369932191,0.42857142857142855,-0.4966801091581785,0.11798886975235275,65,2.0
绩效数据,-0.00217764990471625,0.23809523809523808,-1.4604286649526055,-0.017310091887055103,65,2.5
绩效数据,0.003433663107599072,0.14285714285714285,-2.0571745852360612,0.12772373549715887,65,3.0
绩效数据,0.024358608489759126,0.5238095238095238,-0.12961487091553628,0.06529455831508858,70,0.5
绩效数据,0.004392203308554832,0.40476190476190477,-0.33607844698255684,0.011880352340467311,70,1.0
绩效数据,0.013502553135666284,0.42857142857142855,-0.3303529473867429,0.03987165047429355,70,1.5
绩效数据,0.005972736939161338,0.38095238095238093,-0.6594844269465966,0.03748592035056118,70,2.0
绩效数据,-0.007113105339078829,0.19047619047619047,-1.6052640611027755,-0.05147456637548618,70,2.5
绩效数据,-0.003451182594228941,0.09523809523809523,-2.5006130518774956,-0.054449667738393666,70,3.0
绩效数据,0.020721334563983174,0.47619047619047616,-0.15958063872173972,0.055824289881685724,75,0.5
绩效数据,0.01449287344926442,0.42857142857142855,-0.2416084677229994,0.04289240790744821,75,1.0
绩效数据,0.026838722374470825,0.47619047619047616,-0.16453354099624318,0.09104293556525525,75,1.5
绩效数据,0.010260413800522672,0.3333333333333333,-0.5669657212797948,0.057951836187545444,75,2.0
绩效数据,-0.005758223477080104,0.16666666666666666,-1.514989901231642,-0.04757327055672681,75,2.5
绩效数据,-0.002624651837559999,0.07142857142857142,-2.5531396154800095,-0.04746200766900547,75,3.0
绩效数据,0.01685499020809611,0.4523809523809524,-0.19085867880440632,0.04349307824071735,80,0.5
