,05分位,95分位,范围
0.26,16.52%,37.31%,16.52%-37.31%
0.24,15.25%,34.45%,15.25%-34.45%
0.22,13.97%,31.56%,13.97%-31.56%
0.2,12.70%,28.70%,12.70%-28.70%
0.18,11.42%,25.84%,11.42%-25.84%
0.16,10.16%,23.03%,10.16%-23.03%
0.15,9.38%,21.58%,9.38%-21.58%
0.14,8.70%,20.14%,8.70%-20.14%
0.13,7.99%,18.71%,7.99%-18.71%
0.12,6.93%,17.27%,6.93%-17.27%
0.11,6.97%,15.82%,6.97%-15.82%
0.1,6.33%,14.38%,6.33%-14.38%
0.09,5.68%,12.91%,5.68%-12.91%
0.08,5.05%,11.46%,5.05%-11.46%
0.07,4.39%,10.04%,4.39%-10.04%
0.06,3.73%,8.57%,3.73%-8.57%
0.05,3.11%,7.11%,3.11%-7.11%
0.04,2.46%,5.64%,2.46%-5.64%
0.03,1.82%,4.14%,1.82%-4.14%
