,Close,Open,High,Low,Oi,Volume
2019-09-27,7940.0,8020.0,8068.0,7901.0,15074.0,39914
2019-09-30,7976.0,7905.0,7999.0,7905.0,13464.0,13738
2019-10-08,7968.0,7950.0,7998.0,7920.0,14208.0,5470
2019-10-09,7952.0,7971.0,8018.0,7940.0,15982.0,12898
2019-10-10,7843.0,7950.0,7968.0,7835.0,21110.0,44770
2019-10-11,7826.0,7832.0,7880.0,7794.0,22516.0,29642
2019-10-14,7770.0,7828.0,7850.0,7756.0,29566.0,29722
2019-10-15,7649.0,7760.0,7760.0,7592.0,41682.0,63492
2019-10-16,7526.0,7675.0,7676.0,7490.0,49354.0,72992
2019-10-17,7478.0,7510.0,7518.0,7425.0,56138.0,77818
2019-10-18,7546.0,7490.0,7574.0,7467.0,52790.0,83618
2019-10-21,7494.0,7560.0,7585.0,7466.0,50434.0,51658
2019-10-22,7469.0,7503.0,7509.0,7409.0,53952.0,45254
2019-10-23,7447.0,7502.0,7515.0,7442.0,57744.0,35850
2019-10-24,7509.0,7430.0,7544.0,7400.0,58202.0,68886
2019-10-25,7456.0,7520.0,7530.0,7455.0,57380.0,30064
2019-10-28,7430.0,7450.0,7502.0,7411.0,62422.0,43822
2019-10-29,7383.0,7430.0,7456.0,7370.0,68518.0,48806
2019-10-30,7336.0,7370.0,7399.0,7325.0,85466.0,78382
2019-10-31,7325.0,7320.0,7354.0,7316.0,90862.0,46746
2019-11-01,7248.0,7316.0,7350.0,7244.0,100808.0,90632
2019-11-04,7312.0,7251.0,7321.0,7250.0,104660.0,62688
2019-11-05,7331.0,7313.0,7372.0,7305.0,99802.0,73658
2019-11-06,7330.0,7356.0,7362.0,7324.0,103980.0,40314
2019-11-07,7258.0,7327.0,7336.0,7228.0,115178.0,69388
2019-11-08,7087.0,7293.0,7294.0,7070.0,141620.0,144936
2019-11-11,6963.0,7088.0,7097.0,6953.0,146960.0,159342
2019-11-12,6951.0,6958.0,6982.0,6905.0,153906.0,140044
2019-11-13,6964.0,6950.0,7068.0,6941.0,148480.0,216358
2019-11-14,6940.0,6976.0,6982.0,6872.0,151002.0,151534
2019-11-15,6949.0,6940.0,6992.0,6925.0,146132.0,127474
2019-11-18,7004.0,6950.0,7019.0,6935.0,143798.0,124220
2019-11-19,6954.0,6997.0,7020.0,6911.0,146794.0,121994
2019-11-20,6930.0,6947.0,6950.0,6888.0,156852.0,115786
2019-11-21,6974.0,6932.0,6992.0,6912.0,167874.0,120230
2019-11-22,6986.0,6976.0,7046.0,6962.0,173650.0,141002
2019-11-25,7086.0,6986.0,7087.0,6986.0,176850.0,136864
2019-11-26,7150.0,7085.0,7156.0,7036.0,177746.0,196082
2019-11-27,7141.0,7153.0,7235.0,7126.0,188986.0,273166
2019-11-28,7152.0,7160.0,7194.0,7106.0,189910.0,161864
2019-11-29,7125.0,7164.0,7164.0,7070.0,189486.0,135114
2019-12-02,7056.0,7114.0,7144.0,7010.0,193284.0,153790
2019-12-03,7167.0,7055.0,7191.0,7053.0,183236.0,191566
