,Close,Open,High,Low,Oi,Volume
2018-12-11,5541.0,5618.0,5680.0,5497.0,83122.0,481954.0
2018-12-12,5544.0,5580.0,5598.0,5513.0,88512.0,301986.0
2018-12-13,5591.0,5519.0,5646.0,5475.0,89988.0,356924.0
2018-12-14,5606.0,5647.0,5666.0,5583.0,93730.0,187864.0
2018-12-17,5618.0,5592.0,5637.0,5566.0,99192.0,123774.0
2018-12-18,5627.0,5588.0,5628.0,5570.0,95662.0,122752.0
2018-12-19,5620.0,5579.0,5635.0,5551.0,88840.0,147788.0
2018-12-20,5576.0,5628.0,5635.0,5564.0,90096.0,99196.0
2018-12-21,5418.0,5561.0,5576.0,5320.0,111700.0,551084.0
2018-12-24,5332.0,5380.0,5385.0,5306.0,122960.0,252940.0
2018-12-25,5174.0,5200.0,5231.0,5128.0,120146.0,316626.0
2018-12-26,5152.0,5200.0,5229.0,5128.0,121010.0,272420.0
2018-12-27,5135.0,5301.0,5377.0,5135.0,142086.0,315554.0
2018-12-28,5134.0,5141.0,5166.0,5088.0,125940.0,331090.0
2019-01-02,5051.0,5105.0,5134.0,5046.0,144434.0,245416.0
2019-01-03,5127.0,5093.0,5152.0,5068.0,146582.0,266202.0
2019-01-04,5152.0,5150.0,5181.0,5094.0,145528.0,283824.0
2019-01-07,5133.0,5167.0,5200.0,5125.0,167040.0,219654.0
2019-01-08,5080.0,5140.0,5168.0,5066.0,188176.0,328800.0
2019-01-09,5122.0,5136.0,5187.0,5111.0,192814.0,353632.0
2019-01-10,5092.0,5162.0,5168.0,5087.0,213914.0,292108.0
2019-01-11,5117.0,5080.0,5135.0,5067.0,225296.0,307904.0
2019-01-14,5143.0,5125.0,5177.0,5096.0,226756.0,329396.0
2019-01-15,5221.0,5141.0,5236.0,5129.0,238526.0,490402.0
2019-01-16,5226.0,5225.0,5243.0,5193.0,240460.0,276126.0
2019-01-17,5159.0,5210.0,5225.0,5155.0,253024.0,251498.0
2019-01-18,5156.0,5139.0,5176.0,5117.0,292188.0,423536.0
2019-01-21,5273.0,5219.0,5323.0,5188.0,309752.0,712792.0
2019-01-22,5277.0,5273.0,5457.0,5260.0,302068.0,748844.0
2019-01-23,5254.0,5240.0,5280.0,5222.0,306168.0,354886.0
2019-01-24,5245.0,5239.0,5273.0,5206.0,307090.0,328568.0
2019-01-25,5234.0,5275.0,5323.0,5232.0,301096.0,419960.0
2019-01-28,5180.0,5254.0,5264.0,5175.0,298810.0,335164.0
