,Close,Open,High,Low,Oi,Volume
2020-06-23,26.49,26.11,26.79,26.02,33377.0,144505
2020-06-24,26.03,26.6,26.72,25.88,34207.0,79323
2020-06-29,25.14,25.77,25.77,24.86,42496.0,63816
2020-06-30,25.34,25.4,25.68,25.22,40329.0,42512
2020-07-01,25.53,25.26,25.68,25.16,39329.0,28865
2020-07-02,25.53,25.26,25.75,25.26,41683.0,39078
2020-07-03,25.89,25.6,26.13,25.6,39595.0,43286
2020-07-06,26.01,25.76,26.12,25.65,37478.0,30837
2020-07-07,25.74,26.0,26.09,25.55,37095.0,26882
2020-07-08,25.7,25.75,25.91,25.64,37052.0,13873
2020-07-09,25.63,25.79,25.83,25.33,36747.0,14556
2020-07-10,24.93,25.68,25.75,24.8,37502.0,21575
2020-07-13,25.42,25.11,25.57,25.07,36363.0,15256
2020-07-14,2519.0,2549.0,2560.0,2485.0,38243.0,18192
2020-07-15,2520.0,2518.0,2539.0,2506.0,38565.0,13821
2020-07-16,2510.0,2529.0,2540.0,2503.0,38007.0,16460
2020-07-17,2491.0,2510.0,2535.0,2484.0,38953.0,19137
2020-07-20,2452.0,2485.0,2518.0,2436.0,39974.0,29044
2020-07-21,2487.0,2456.0,2487.0,2436.0,37574.0,18480
2020-07-22,2528.0,2530.0,2598.0,2516.0,36752.0,37610
2020-07-23,2588.0,2526.0,2588.0,2514.0,36810.0,16297
2020-07-24,2506.0,2568.0,2573.0,2486.0,38900.0,30403
2020-07-27,2486.0,2518.0,2521.0,2484.0,44380.0,22374
2020-07-28,2492.0,2495.0,2510.0,2462.0,50929.0,29191
2020-07-29,2508.0,2485.0,2513.0,2477.0,54852.0,18850
2020-07-30,2495.0,2511.0,2522.0,2485.0,56772.0,17204
2020-07-31,2430.0,2490.0,2490.0,2389.0,69468.0,61131
2020-08-03,2405.0,2431.0,2434.0,2400.0,71978.0,27686
2020-08-04,2431.0,2410.0,2456.0,2410.0,73181.0,22390
2020-08-05,2462.0,2420.0,2470.0,2411.0,70883.0,29183
2020-08-06,2472.0,2488.0,2529.0,2450.0,66133.0,47177
2020-08-07,2452.0,2480.0,2487.0,2450.0,66350.0,23361
2020-08-10,2478.0,2450.0,2480.0,2442.0,66941.0,22114
2020-08-11,2443.0,2476.0,2493.0,2430.0,68826.0,30775
2020-08-12,2492.0,2457.0,2494.0,2417.0,67059.0,45873
2020-08-13,2461.0,2500.0,2510.0,2460.0,65644.0,24148
2020-08-14,2450.0,2465.0,2478.0,2439.0,66777.0,27603
2020-08-17,2450.0,2445.0,2460.0,2442.0,67487.0,18914
2020-08-18,2456.0,2445.0,2487.0,2440.0,68463.0,28713
2020-08-19,2460.0,2464.0,2475.0,2452.0,66697.0,23825
2020-08-20,2490.0,2450.0,2501.0,2450.0,68225.0,43268
2020-08-21,2496.0,2494.0,2541.0,2457.0,72124.0,61106
2020-08-24,2464.0,2490.0,2501.0,2454.0,75509.0,52035
2020-08-25,2496.0,2468.0,2499.0,2468.0,72956.0,36139
2020-08-26,2532.0,2505.0,2564.0,2501.0,74683.0,46750
2020-08-27,2512.0,2535.0,2538.0,2503.0,76132.0,24264
2020-08-28,2475.0,2512.0,2513.0,2470.0,81171.0,35575
2020-08-31,2491.0,2477.0,2506.0,2475.0,79249.0,32477
2020-09-01,2477.0,2495.0,2498.0,2461.0,82970.0,28306
2020-09-02,2484.0,2474.0,2510.0,2471.0,82980.0,40039
2020-09-03,2401.0,2485.0,2489.0,2397.0,97450.0,68673
2020-09-04,2353.0,2390.0,2390.0,2318.0,103697.0,75683
2020-09-07,2293.0,2349.0,2370.0,2281.0,112806.0,76611
2020-09-08,2288.0,2290.0,2315.0,2279.0,113454.0,37137
2020-09-09,2178.0,2260.0,2260.0,2160.0,110055.0,86385
2020-09-10,2218.0,2200.0,2238.0,2193.0,108620.0,45564
2020-09-11,2200.0,2212.0,2231.0,2195.0,110582.0,34671
2020-09-14,2239.0,2195.0,2265.0,2183.0,108376.0,52287
2020-09-15,2224.0,2234.0,2245.0,2218.0,110454.0,34330
2020-09-16,2260.0,2229.0,2271.0,2223.0,110893.0,49912
2020-09-17,2222.0,2258.0,2269.0,2210.0,113488.0,44343
2020-09-18,2320.0,2220.0,2327.0,2220.0,105264.0,83445
2020-09-21,2293.0,2305.0,2343.0,2287.0,110313.0,59087
2020-09-22,2230.0,2287.0,2298.0,2173.0,106946.0,86626
2020-09-23,2229.0,2235.0,2251.0,2209.0,103366.0,45516
2020-09-24,2227.0,2235.0,2267.0,2222.0,94050.0,54097
2020-09-25,2241.0,2225.0,2274.0,2220.0,85514.0,45352
2020-09-28,2260.0,2238.0,2260.0,2230.0,75433.0,33620
2020-09-29,2270.0,2275.0,2295.0,2250.0,72393.0,26564
2020-09-30,2204.0,2276.0,2279.0,2192.0,75224.0,38002
2020-10-09,2314.0,2300.0,2368.0,2262.0,70396.0,28832
2020-10-12,2327.0,2316.0,2335.0,2293.0,74838.0,42104
2020-10-13,2312.0,2341.0,2347.0,2294.0,78396.0,31602
2020-10-14,2323.0,2323.0,2337.0,2284.0,78976.0,30475
2020-10-15,2380.0,2345.0,2396.0,2330.0,83414.0,59630
2020-10-16,2369.0,2338.0,2406.0,2328.0,89657.0,49716
2020-10-19,2366.0,2367.0,2382.0,2353.0,89215.0,31692
2020-10-20,2328.0,2362.0,2365.0,2302.0,86090.0,45422
2020-10-21,2335.0,2326.0,2356.0,2310.0,84400.0,30175
2020-10-22,2297.0,2330.0,2338.0,2266.0,85833.0,40593
2020-10-23,2311.0,2301.0,2337.0,2295.0,83218.0,26558
2020-10-26,2244.0,2318.0,2340.0,2227.0,83326.0,45215
2020-10-27,2256.0,2238.0,2260.0,2234.0,81730.0,30667
2020-10-28,2236.0,2252.0,2271.0,2217.0,82115.0,39364
2020-10-29,2159.0,2210.0,2217.0,2155.0,83722.0,46879
2020-10-30,2050.0,2098.0,2138.0,2005.0,80701.0,91838
2020-11-02,2015.0,2070.0,2077.0,1970.0,78817.0,56871
2020-11-03,2102.0,2024.0,2111.0,2024.0,74253.0,52675
2020-11-04,2167.0,2137.0,2192.0,2127.0,68788.0,69980
2020-11-05,2193.0,2193.0,2209.0,2147.0,64707.0,47414
2020-11-06,2158.0,2205.0,2228.0,2139.0,63341.0,42385
2020-11-09,2197.0,2158.0,2227.0,2150.0,62919.0,37123
2020-11-10,2269.0,2311.0,2325.0,2245.0,59307.0,75478
2020-11-11,2355.0,2279.0,2383.0,2272.0,58364.0,57589
2020-11-12,2326.0,2370.0,2384.0,2307.0,54011.0,57000
2020-11-13,2261.0,2313.0,2344.0,2248.0,52313.0,38949
2020-11-16,2269.0,2259.0,2287.0,2250.0,50767.0,30001
2020-11-17,2304.0,2314.0,2348.0,2296.0,48527.0,49098
2020-11-18,2295.0,2302.0,2313.0,2259.0,44849.0,30966
2020-11-19,2323.0,2336.0,2352.0,2304.0,43310.0,40220
2020-11-20,2346.0,2324.0,2375.0,2324.0,43857.0,34613
2020-11-23,2374.0,2344.0,2393.0,2300.0,42706.0,46894
2020-11-24,2449.0,2376.0,2457.0,2369.0,41056.0,46553
2020-11-25,2486.0,2448.0,2522.0,2428.0,36906.0,62299
2020-11-26,2528.0,2488.0,2564.0,2479.0,33873.0,48611
2020-11-27,2465.0,2500.0,2505.0,2454.0,28401.0,34963
2020-11-30,2406.9999999999995,2434.6557052297935,2467.079635499207,2397.46354992076,77756.0,59068
2020-12-01,2414.6291600633913,2433.70206022187,2482.33795562599,2407.9536450079236,82067.0,64934
2020-12-02,2367.9005546751187,2447.053090332805,2447.053090332805,2346.920364500792,86426.0,66573
