,Close,Open,High,Low,Oi,Volume
2014-03-03,10632.0,10696.0,10790.0,10602.0,18328.0,44726.0
2014-03-04,10706.0,10632.0,10717.0,10602.0,21784.0,23872.0
2014-03-05,10710.0,10772.394407224003,10773.43431401107,10671.523448878534,23234.0,17656.0
2014-03-06,10571.692397320128,10679.842703175067,10700.6408389164,10472.901252548792,32288.0,71074.0
2014-03-07,10581.05155840373,10607.049228080397,10607.049228080397,10533.21584619866,37846.0,45330.0
2014-03-10,10479.140693271193,10425.065540343723,10555.053888727061,10399.067870667055,46536.0,79360.0
2014-03-11,10586.251092339064,10498.89892222546,10763.035246140404,10451.063210020391,39284.0,69412.0
2014-03-12,10597.690066996796,10492.659481503058,10599.76988057093,10462.502184678126,49316.0,46214.0
2014-03-13,10616.408389163997,10607.049228080397,10644.485872414798,10570.652490533063,49944.0,25802.0
2014-03-14,10576.891931255463,10607.049228080397,10617.448295951064,10523.85668511506,52024.0,45528.0
2014-03-17,10576.891931255463,10570.652490533063,10700.6408389164,10544.654820856395,52644.0,26120.0
2014-03-18,10694.401398194,10529.056219050393,10700.6408389164,10529.056219050393,51812.0,56886.0
2014-03-19,10621.607923099331,10711.039906787068,10760.95543256627,10621.607923099331,48670.0,36210.0
2014-03-20,10648.645499563065,10627.847363821731,10669.443635304398,10601.849694145063,43802.0,25118.0
2014-03-21,10695.441304981066,10613.288668802797,10705.840372851733,10609.12904165453,44088.0,23768.0
2014-03-24,10721.438974657734,10690.241771045734,10735.997669676668,10649.685406350132,47484.0,24834.0
2014-03-25,10821.270026216138,10726.638508593069,10852.46722982814,10700.6408389164,45170.0,52928.0
2014-03-26,10947.09874745121,10803.591610836005,10981.41567142441,10799.431983687737,52690.0,118820.0
2014-03-27,10910.702009903875,10950.21846781241,10950.21846781241,10891.983687736674,51682.0,46228.0
2014-03-28,11043.810078648414,10919.021264200408,11049.009612583746,10910.702009903875,58422.0,75226.0
2014-03-31,11004.293620739878,11041.73026507428,11075.007282260414,10984.535391785612,58034.0,41398.0
2014-04-01,11132.202155549083,11012.612875036411,11151.96038450335,10976.216137489077,71734.0,100028.0
2014-04-02,11097.885231575881,11107.244392659482,11134.281969123216,11075.007282260414,76276.0,48420.0
2014-04-03,11111.40401980775,11106.204485872415,11132.202155549083,11029.25138362948,80506.0,70136.0
2014-04-04,11249.71162248762,11111.40401980775,11264.270317506554,11111.40401980775,87828.0,94598.0
2014-04-08,11185.237401689485,11241.392368191087,11270.509758228955,11153.000291290416,90666.0,71994.0
2014-04-09,11161.319545586952,11220.594232449754,11220.594232449754,11085.406350131081,92590.0,86312.0
2014-04-10,11108.284299446548,11178.997960967085,11236.192834255753,11108.284299446548,94496.0,75362.0
2014-04-11,11128.042528400816,11095.805418001748,11147.800757355084,11042.770171861346,95732.0,62548.0
2014-04-14,11187.317215263618,11178.997960967085,11203.955723856687,11106.204485872415,102244.0,73712.0
2014-04-15,11223.713952810953,11195.636469560151,11258.030876784154,11156.120011651617,108252.0,89442.0
2014-04-16,11201.875910282553,11213.314884940286,11237.23274104282,11174.838333818818,108992.0,54288.0
2014-04-17,11308.986309350423,11199.79609670842,11334.98397902709,11189.397028837751,113784.0,114016.0
2014-04-18,11307.946402563357,11320.425284008157,11321.465190795223,11222.674046023887,108110.0,80578.0
2014-04-21,11321.465190795223,11308.986309350423,11374.500436935627,11266.350131080688,109696.0,54852.0
2014-04-22,11412.976988057093,11324.584911156424,11480.57092921643,11294.42761433149,123188.0,145848.0
2014-04-23,11360.981648703759,11423.376055927762,11424.415962714827,11300.66705505389,123264.0,90662.0
2014-04-24,11327.704631517623,11359.941741916691,11385.93941159336,11246.591902126422,121124.0,125438.0
2014-04-25,11130.12234197495,11334.98397902709,11354.742207981359,11111.40401980775,122218.0,126660.0
2014-04-28,11133.24206233615,11137.401689484417,11156.120011651617,11085.406350131081,117050.0,67444.0
2014-04-29,11187.317215263618,11127.00262161375,11199.79609670842,11081.246722982814,118032.0,90210.0
2014-04-30,11175.878240605885,11191.476842411885,11204.995630643753,11140.521409845616,125832.0,79484.0
2014-05-05,11279.868919312556,11178.997960967085,11280.908826099621,11101.004951937082,125364.0,125622.0
2014-05-06,11282.988639673755,11264.270317506554,11324.584911156424,11239.312554616954,124310.0,133100.0
2014-05-07,11368.260996213225,11282.988639673755,11402.577920186426,11254.911156422955,112828.0,171048.0
2014-05-08,11305.866588989224,11392.17885231576,11392.17885231576,11275.709292164289,106412.0,91622.0
2014-05-09,11200.836003495486,11318.345470434024,11318.345470434024,11178.997960967085,108646.0,102862.0
2014-05-12,11180.037867754152,11220.594232449754,11262.190503932421,11141.561316632684,104282.0,125740.0
2014-05-13,11210.195164579087,11202.91581706962,11216.434605301487,11153.000291290416,100942.0,82388.0
