,Close,Open,High,Low,Oi,Volume
2010-01-04,8344.0,8234.0,8452.0,8202.0,167786.0,721522.0
2010-01-05,8372.0,8396.0,8464.0,8352.0,164064.0,638568.0
2010-01-06,8352.0,8346.0,8446.0,8346.0,168978.0,526364.0
2010-01-07,8190.0,8400.0,8486.0,8064.0,135874.0,632922.0
2010-01-08,8146.0,8200.0,8220.0,8066.0,129848.0,533380.0
2010-01-11,8262.0,8250.0,8312.0,8210.0,127286.0,449352.0
2010-01-12,8320.0,8200.0,8340.0,8184.0,157886.0,725894.0
2010-01-13,8176.0,8110.0,8216.0,8050.0,129104.0,504518.0
2010-01-14,8334.0,8250.0,8354.0,8226.0,141304.0,628582.0
2010-01-15,8232.0,8332.0,8348.0,8216.0,122620.0,537972.0
2010-01-18,8348.0,8194.0,8356.0,8152.0,140168.0,462216.0
2010-01-19,8384.0,8354.0,8400.0,8312.0,121372.0,439870.0
2010-01-20,8270.0,8410.0,8436.0,8262.0,97540.0,279766.0
2010-01-21,8318.0,8216.537180389398,8333.609664555477,8216.537180389398,115724.0,439088.0
2010-01-22,8120.927984987099,8195.073891625616,8261.414965986394,8058.48932676519,92370.0,577192.0
2010-01-25,8120.927984987099,8097.5134881538825,8154.098522167488,8040.928454140278,100284.0,417478.0
2010-01-26,8023.367581515365,8154.098522167488,8177.513019000704,8005.806708890453,101506.0,443368.0
2010-01-27,7927.758386113066,8048.733286418016,8048.733286418016,7894.587848932677,123170.0,630728.0
2010-01-28,7812.637110016421,7830.197982641333,7873.124560168895,7695.56462585034,134242.0,720894.0
2010-01-29,7849.7100633356795,7787.27140511377,7861.417311752288,7756.052076002815,127582.0,565250.0
2010-02-01,7752.149659863946,7824.344358433029,7859.466103682853,7650.686840253343,129674.0,567978.0
2010-02-02,7771.661740558293,7851.661271405114,7878.9781843772,7738.491203377903,129306.0,588778.0
2010-02-03,7972.6361717100635,7873.124560168895,7972.6361717100635,7845.80764719681,133920.0,512120.0
