,Close,Open,High,Low,Oi,Volume
2010-01-04,7635.0,7720.0,7730.0,7630.0,109464.0,147506.0
2010-01-05,7700.0,7685.0,7815.0,7655.0,105996.0,227562.0
2010-01-06,7655.0,7690.0,7750.0,7645.0,102902.0,102842.0
2010-01-07,7560.0,7695.0,7725.0,7340.0,86578.0,121086.0
2010-01-08,7470.0,7600.0,7600.0,7415.0,69534.0,59946.0
2010-01-11,7525.0,7520.0,7580.0,7500.0,65984.0,30624.0
2010-01-12,7450.0,7510.0,7510.0,7445.0,61642.0,18846.0
2010-01-13,7325.0,7350.0,7355.0,7270.0,48344.0,26374.0
2010-01-14,7390.0,7345.0,7395.0,7340.0,45270.0,10198.0
2010-01-15,7370.0,7360.0,7430.0,7355.0,42188.0,6664.0
2010-01-18,7310.0,7211.533033996151,7324.066709429121,7202.155227710071,52104.0,49064.0
2010-01-19,7291.244387427838,7314.68890314304,7356.889031430404,7267.799871712637,50460.0,54326.0
2010-01-20,7258.4220654265555,7333.444515715202,7347.511225144323,7244.355355997434,48568.0,58454.0
2010-01-21,7286.555484284798,7220.910840282232,7286.555484284798,7211.533033996151,45436.0,43328.0
2010-01-22,7267.799871712637,7202.155227710071,7328.755612572161,7183.399615137909,48822.0,113656.0
2010-01-25,7234.977549711353,7249.044259140474,7286.555484284798,7225.599743425272,54482.0,48942.0
2010-01-26,7131.821680564464,7253.733162283515,7258.4220654265555,7127.132777421424,56576.0,56266.0
2010-01-27,7089.621552277101,7155.2661962796665,7169.332905708788,7061.4881334188585,56500.0,49618.0
2010-01-28,6958.3322642719695,7070.865939704939,7075.55484284798,6939.576651699807,49922.0,58568.0
2010-01-29,6892.687620269403,6920.821039127646,6948.954457985888,6864.554201411161,49402.0,52396.0
2010-02-01,6836.420782552918,6892.687620269403,6925.509942270686,6822.354073123797,47578.0,31670.0
2010-02-02,6855.1763951250805,6892.687620269403,6925.509942270686,6803.598460551636,46218.0,34876.0
2010-02-03,7005.221295702373,6902.065426555484,7028.665811417575,6859.865298268121,49450.0,61714.0
2010-02-04,6981.776779987171,6939.576651699807,7005.221295702373,6925.509942270686,45698.0,56098.0
2010-02-05,6920.821039127646,6864.554201411161,6930.198845413726,6855.1763951250805,46040.0,39624.0
2010-02-08,6977.087876844131,6887.998717126363,7005.221295702373,6883.309813983323,49088.0,45848.0
2010-02-09,7000.532392559333,6977.087876844131,7023.976908274535,6939.576651699807,48698.0,33772.0
2010-02-10,7028.665811417575,7019.288005131494,7056.7992302758175,6991.154586273252,46346.0,34464.0
2010-02-11,7066.177036561899,7038.043617703656,7089.621552277101,7023.976908274535,44028.0,26682.0
2010-02-12,7136.510583707504,7080.24374599102,7141.199486850545,7061.4881334188585,43030.0,19096.0
2010-02-22,7230.288646568313,7314.68890314304,7314.68890314304,7178.710711994869,43028.0,36694.0
2010-02-23,7220.910840282232,7183.399615137909,7234.977549711353,7183.399615137909,46526.0,28258.0
2010-02-24,7202.155227710071,7192.77742142399,7211.533033996151,7183.399615137909,46152.0,24284.0
2010-02-25,7141.199486850545,7267.799871712637,7267.799871712637,7127.132777421424,46554.0,28074.0
2010-02-26,7108.377164849262,7131.821680564464,7155.2661962796665,7080.24374599102,46816.0,20262.0
2010-03-01,7108.377164849262,7136.510583707504,7188.088518280949,7066.177036561899,49934.0,27448.0
2010-03-02,7061.4881334188585,7084.93264913406,7136.510583707504,7056.7992302758175,52702.0,33588.0
2010-03-03,7089.621552277101,7103.688261706222,7108.377164849262,7042.732520846696,56698.0,28846.0
2010-03-04,7005.221295702373,7103.688261706222,7127.132777421424,6986.465683130212,55862.0,35904.0
2010-03-05,6981.776779987171,7014.599101988454,7023.976908274535,6948.954457985888,57344.0,26134.0
2010-03-08,7056.7992302758175,6991.154586273252,7070.865939704939,6977.087876844131,57748.0,51846.0
2010-03-09,7047.4214239897365,7033.354714560615,7066.177036561899,7023.976908274535,57256.0,25456.0
2010-03-10,7033.354714560615,7033.354714560615,7108.377164849262,7009.910198845414,57920.0,37128.0
2010-03-11,6991.154586273252,7042.732520846696,7098.999358563181,6967.71007055805,58854.0,59106.0
2010-03-12,7014.599101988454,6995.843489416292,7028.665811417575,6977.087876844131,56572.0,25188.0
2010-03-15,6920.821039127646,6991.154586273252,7023.976908274535,6897.376523412444,57746.0,45812.0
2010-03-16,6934.887748556767,6892.687620269403,6944.265554842847,6873.932007697242,56754.0,30708.0
2010-03-17,7028.665811417575,6977.087876844131,7042.732520846696,6944.265554842847,52868.0,41986.0
2010-03-18,7023.976908274535,7028.665811417575,7061.4881334188585,7000.532392559333,51134.0,26220.0
2010-03-19,7117.754971135343,7019.288005131494,7122.443874278383,7014.599101988454,53302.0,50060.0
2010-03-22,7113.066067992303,7089.621552277101,7113.066067992303,7070.865939704939,46666.0,34244.0
2010-03-23,7098.999358563181,7127.132777421424,7145.888389993585,7089.621552277101,45406.0,26778.0
2010-03-24,7075.55484284798,7098.999358563181,7113.066067992303,7061.4881334188585,43828.0,17916.0
2010-03-25,7056.7992302758175,7052.1103271327775,7080.24374599102,7042.732520846696,41570.0,10960.0
2010-03-26,7098.999358563181,7047.4214239897365,7108.377164849262,7047.4214239897365,35034.0,16484.0
2010-03-29,7084.93264913406,7117.754971135343,7117.754971135343,7075.55484284798,31276.0,10972.0
2010-03-30,7009.910198845414,7108.377164849262,7108.377164849262,7005.221295702373,27310.0,11682.0
2010-03-31,6967.710070558051,7048.209930166552,7057.154359011941,6967.710070558051,31436.0,32172.0
2010-04-01,6976.654499403439,6985.598928248829,7012.432214784996,6967.710070558051,33808.0,15112.0
2010-04-02,6958.765641712662,7012.432214784996,7021.376643630385,6940.876784021883,37812.0,30228.0
2010-04-06,7007.960000362301,7003.4877859396065,7039.265501321162,6976.654499403439,45612.0,46056.0
2010-04-07,7070.571002280025,7021.376643630385,7097.404288816191,7007.960000362301,60782.0,79974.0
2010-04-08,7048.209930166552,7066.09878785733,7106.348717661581,7030.321072475774,61776.0,45648.0
2010-04-09,7115.29314650697,7066.09878785733,7119.765360929664,7066.09878785733,76516.0,71104.0
2010-04-12,7124.237575352358,7146.598647465831,7177.904148424693,7101.8765032388865,78724.0,70412.0
2010-04-13,7092.932074393497,7128.709789775053,7151.0708618885255,7079.515431125414,79836.0,48752.0
2010-04-14,7124.237575352358,7110.820932084275,7151.0708618885255,7083.987645548108,87250.0,63816.0
2010-04-15,7213.681863806249,7146.598647465831,7236.0429359197215,7124.237575352358,111876.0,177738.0
2010-04-16,7160.015290733914,7227.098507074333,7231.570721497027,7151.0708618885255,106068.0,92202.0
2010-04-19,7097.404288816191,7083.987645548108,7133.182004197748,7070.571002280025,105556.0,81360.0
2010-04-20,7128.709789775053,7128.709789775053,7146.598647465831,7110.820932084275,104814.0,50828.0
2010-04-21,7079.515431125414,7146.598647465831,7146.598647465831,7066.09878785733,101272.0,59624.0
2010-04-22,7025.848858053079,7066.09878785733,7066.09878785733,7012.432214784996,94346.0,50066.0
2010-04-23,7052.6821445892465,7034.793286898468,7070.571002280025,7025.848858053079,94896.0,34030.0
2010-04-26,7057.154359011941,7075.043216702719,7092.932074393497,7043.737715743858,95848.0,29838.0
2010-04-27,6949.821212867273,7030.321072475774,7039.265501321162,6931.932355176495,88040.0,62302.0
2010-04-28,6914.043497485716,6887.210210949549,6922.987926331106,6851.432495567993,85406.0,35632.0
2010-04-29,6900.626854217633,6922.987926331106,6949.821212867273,6896.154639794939,86316.0,31208.0
2010-04-30,6927.4601407538,6945.348998444578,6949.821212867273,6900.626854217633,83300.0,17748.0
2010-05-04,6914.043497485716,6927.4601407538,6927.4601407538,6878.26578210416,86404.0,20728.0
2010-05-05,6900.626854217633,6842.488066722604,6900.626854217633,6824.599209031826,86940.0,29756.0
2010-05-06,6869.3213532587715,6882.737996526855,6905.0990686403275,6864.849138836077,84930.0,20938.0
2010-05-07,6905.0990686403275,6842.488066722604,6954.293427289967,6802.238136918354,89928.0,139966.0
2010-05-10,6909.571283063022,6954.293427289967,6963.237856135356,6842.488066722604,84928.0,74418.0
2010-05-11,6833.543637877216,6905.0990686403275,6931.932355176495,6833.543637877216,84322.0,69376.0
2010-05-12,6744.099349423325,6824.599209031826,6869.3213532587715,6739.627135000631,86008.0,103552.0
2010-05-13,6757.515992691408,6761.988207114103,6766.460421536797,6717.266062887158,81300.0,74668.0
2010-05-14,6681.488347505602,6717.266062887158,6766.460421536797,6672.5439186602125,85806.0,64032.0
2010-05-17,6417.627696566626,6623.349560010573,6636.766203278657,6381.84998118507,80576.0,96652.0
2010-05-18,6516.016413865905,6431.044339834709,6533.905271556683,6350.544480226208,67954.0,81974.0
2010-05-19,6524.960842711294,6439.9887686800985,6578.627415783628,6399.738838875847,68630.0,68410.0
2010-05-20,6596.516273474406,6565.210772515545,6614.405131165184,6542.849700402072,67614.0,52546.0
2010-05-21,6578.627415783628,6538.3774859793775,6632.293988855962,6489.1831273297375,64422.0,84074.0
2010-05-24,6694.904990773685,6605.460702319795,6699.37720519638,6587.5718446290175,65656.0,67834.0
2010-05-25,6632.293988855962,6663.599489814824,6712.793848464464,6614.405131165184,76768.0,102062.0
2010-05-26,6654.655060969435,6672.5439186602125,6685.960561928297,6600.988487897101,75344.0,69776.0
2010-05-27,6726.210491732547,6677.016133082908,6726.210491732547,6636.766203278657,70782.0,55806.0
2010-05-28,6726.210491732547,6761.988207114103,6788.82149365027,6708.321634041769,66832.0,51394.0
2010-05-31,6677.016133082908,6717.266062887158,6717.266062887158,6668.071704237518,68528.0,34362.0
2010-06-01,6507.071985020516,6672.5439186602125,6677.016133082908,6502.599770597822,72214.0,81312.0
2010-06-02,6475.766484061654,6529.433057133989,6547.321914824766,6399.738838875847,68362.0,84124.0
2010-06-03,6520.488628288599,6529.433057133989,6542.849700402072,6489.1831273297375,65602.0,49112.0
2010-06-04,6511.54419944321,6520.488628288599,6524.960842711294,6457.877626370876,67310.0,41540.0
2010-06-07,6202.961404277289,6368.433337916986,6368.433337916986,6171.655903318428,79118.0,148920.0
2010-06-08,6363.961123494291,6234.266905236151,6381.84998118507,6234.266905236151,67310.0,104268.0
2010-06-09,6408.683267721237,6381.84998118507,6417.627696566626,6319.238979267347,66876.0,87868.0
2010-06-10,6399.738838875847,6417.627696566626,6453.405411948182,6355.016694648903,61016.0,64910.0
2010-06-11,6404.2110532985425,6439.9887686800985,6462.34984079357,6390.7944100304585,58700.0,36116.0
2010-06-17,6422.09991098932,6475.766484061654,6489.1831273297375,6399.738838875847,58116.0,34572.0
2010-06-18,6359.488909071597,6431.044339834709,6444.460983102793,6355.016694648903,61340.0,57868.0
2010-06-21,6533.905271556683,6422.09991098932,6614.405131165184,6395.266624453153,53250.0,84634.0
2010-06-22,6471.29426963896,6493.655341752432,6498.127556175127,6448.933197525487,51990.0,46550.0
2010-06-23,6431.044339834709,6439.9887686800985,6475.766484061654,6395.266624453153,48674.0,44028.0
2010-06-24,6444.460983102793,6413.155482143931,6502.599770597822,6413.155482143931,48106.0,53862.0
2010-06-25,6408.683267721237,6448.933197525487,6457.877626370876,6395.266624453153,48104.0,32540.0
2010-06-28,6390.7944100304585,6448.933197525487,6457.877626370876,6386.322195607764,47790.0,46806.0
2010-06-29,6319.238979267347,6359.488909071597,6395.266624453153,6274.516835040401,51530.0,43290.0
2010-06-30,6305.822335999263,6261.100191772318,6319.238979267347,6261.100191772318,51218.0,34938.0
2010-07-01,6243.2113340815395,6296.877907153874,6314.766764844652,6243.2113340815395,52630.0,31428.0
2010-07-02,6296.877907153874,6216.378047545372,6301.350121576568,6216.378047545372,50350.0,34726.0
2010-07-05,6287.933478308485,6296.877907153874,6305.822335999263,6274.516835040401,48308.0,30740.0
2010-07-06,6243.2113340815395,6261.100191772318,6261.100191772318,6198.489189854595,49050.0,36998.0
2010-07-07,6194.0169754319,6225.322476390762,6238.739119658845,6189.544761009205,50482.0,21428.0
2010-07-08,6185.072546586511,6265.572406195012,6278.989049463095,6153.767045627649,50692.0,39764.0
2010-07-09,6211.905833122678,6189.544761009205,6229.794690813456,6185.072546586511,48018.0,25212.0
2010-07-12,6202.961404277289,6216.378047545372,6261.100191772318,6198.489189854595,46324.0,29194.0
2010-07-13,6176.128117741122,6198.489189854595,6211.905833122678,6171.655903318428,45470.0,19200.0
2010-07-14,6189.544761009205,6225.322476390762,6225.322476390762,6180.600332163816,44656.0,14004.0
2010-07-15,6122.461544668788,6176.128117741122,6180.600332163816,6109.0449014007045,48378.0,28246.0
2010-07-16,6113.517115823399,6126.933759091482,6149.294831204955,6091.156043709926,47756.0,16856.0
2010-07-19,6135.878187936872,6100.100472555315,6140.350402359566,6073.2671860191485,46410.0,18576.0
2010-07-20,6229.794690813456,6144.82261678226,6229.794690813456,6131.405973514177,43470.0,40430.0
2010-07-21,6220.850261968067,6234.266905236151,6247.683548504234,6202.961404277289,40264.0,17026.0
2010-07-22,6252.155762926928,6198.489189854595,6261.100191772318,6198.489189854595,38474.0,21762.0
2010-07-23,6372.90555233968,6305.822335999263,6390.7944100304585,6287.933478308485,32602.0,36876.0
2010-07-26,6404.2110532985425,6377.377766762375,6413.155482143931,6363.961123494291,29994.0,19698.0
2010-07-27,6359.488909071597,6404.2110532985425,6408.683267721237,6346.072265803514,27832.0,13586.0
