,Close,Open,High,Low,Oi,Volume
2018-03-27,424.0,429.9,431.7,412.6,3936.0,40602.0
2018-03-28,410.4,429.0,429.2,406.5,6074.0,67198.0
2018-03-29,409.7,410.5,412.0,401.6,7732.0,66668.0
2018-03-30,420.3,407.4,421.7,405.0,7058.0,58562.0
2018-04-02,416.6,420.5,421.3,413.8,6536.0,24644.0
2018-04-03,402.5,414.3,414.3,400.5,8546.0,52826.0
2018-04-04,401.5,403.8,406.9,399.0,9164.0,44234.0
2018-04-09,402.3,398.2,403.5,397.7,9504.0,15470.0
2018-04-10,413.5,404.2,415.2,403.8,8992.0,61690.0
2018-04-11,417.8,415.0,421.8,414.1,12462.0,66434.0
2018-04-12,428.7,421.0,429.9,416.9,14474.0,110076.0
2018-04-13,427.0,425.3,428.7,423.3,13480.0,63092.0
2018-04-16,424.4,427.7,431.0,423.5,13494.0,65284.0
2018-04-17,427.4,426.0,427.5,421.5,13002.0,55000.0
2018-04-18,429.7,422.8,431.4,420.6,14628.0,80338.0
2018-04-19,440.6,435.0,444.0,432.5,15928.0,84716.0
2018-04-20,436.7,440.7,443.0,435.3,15616.0,68430.0
2018-04-23,439.7,435.1,441.2,432.4,15986.0,70338.0
2018-04-24,447.3,434.2,449.2,432.2,18324.0,91590.0
2018-04-25,438.0,447.0,448.9,436.6,16184.0,98992.0
2018-04-26,441.4,437.1,445.0,434.4,16286.0,109256.0
2018-04-27,444.2,444.0,445.5,440.4,16256.0,80582.0
2018-05-02,443.5,439.7,444.4,436.0,17254.0,33454.0
2018-05-03,447.0,441.6,448.0,439.1,21392.0,111198.0
2018-05-04,446.9,443.8,448.8,442.8,20456.0,100694.0
2018-05-07,458.3,448.3,461.6,448.3,22786.0,135002.0
2018-05-08,459.1,460.6,462.4,456.9,23344.0,110926.0
2018-05-09,465.2,459.1,466.6,445.3,25760.0,244268.0
2018-05-10,476.4,466.3,478.4,466.0,30620.0,165456.0
2018-05-11,471.2,474.2,474.3,467.0,28136.0,165686.0
2018-05-14,465.6,471.7,472.6,462.7,24488.0,168258.0
2018-05-15,472.8,467.5,475.6,467.5,27872.0,150048.0
2018-05-16,473.1,478.0,478.0,470.5,25888.0,193836.0
2018-05-17,481.9,472.0,485.3,470.5,31014.0,220206.0
2018-05-18,486.5,485.0,488.6,481.9,29920.0,179326.0
2018-05-21,482.4,484.8,486.0,477.0,26892.0,175668.0
2018-05-22,485.1,480.0,486.5,478.3,29060.0,133016.0
2018-05-23,484.6,486.0,493.8,482.6,30956.0,218094.0
2018-05-24,485.0,484.5,487.4,478.1,30414.0,217168.0
2018-05-25,477.4,481.1,483.8,476.6,30964.0,180374.0
2018-05-28,462.8,467.4,470.5,456.6,30338.0,245594.0
2018-05-29,463.8,462.5,466.0,459.2,30166.0,145200.0
2018-05-30,463.9,467.0,468.3,458.5,30760.0,224162.0
2018-05-31,472.5,466.0,476.8,465.3,33824.0,234544.0
2018-06-01,474.7,470.5,483.9,469.9,33986.0,275006.0
2018-06-04,470.9,472.9,473.1,467.6,31182.0,202210.0
2018-06-05,466.2,468.7,471.4,461.6,30258.0,212376.0
2018-06-06,465.0,461.7,466.7,455.8,33080.0,238464.0
2018-06-07,465.8,461.0,466.0,458.0,33264.0,251680.0
2018-06-08,468.3,467.7,474.2,466.6,34290.0,228524.0
2018-06-11,467.5,469.0,476.3,466.8,32846.0,192790.0
2018-06-12,472.1,466.4,473.0,463.9,33878.0,235584.0
2018-06-13,464.5,469.2,471.7,463.0,32200.0,217898.0
2018-06-14,468.1,466.3,472.0,464.4,31010.0,222996.0
2018-06-15,467.2,470.7,472.2,465.5,28670.0,182254.0
2018-06-19,460.3,463.1,465.5,458.0,31970.0,75788.0
2018-06-20,464.2,461.1,465.7,458.8,32990.0,223134.0
2018-06-21,459.8,465.0,468.7,458.7,34196.0,312444.0
2018-06-22,459.0,458.0,461.8,453.7,35592.0,271166.0
2018-06-25,466.5,464.4,472.0,464.3,34400.0,254096.0
2018-06-26,471.5,468.4,471.9,465.3,35956.0,184420.0
2018-06-27,485.0,472.2,486.1,469.6,39126.0,295640.0
2018-06-28,491.0,487.0,495.0,486.3,36606.0,260304.0
2018-06-29,494.8,490.4,498.0,490.4,36364.0,252972.0
2018-07-02,501.6,498.0,510.0,497.6,36276.0,283214.0
2018-07-03,503.5,502.4,505.2,496.8,36494.0,255268.0
2018-07-04,496.7,504.1,504.5,491.3,33908.0,319660.0
2018-07-05,497.6,496.0,501.8,494.4,34278.0,212576.0
2018-07-06,495.7,498.8,502.0,492.8,34222.0,330606.0
2018-07-09,497.7,491.0,498.7,487.0,39620.0,218764.0
2018-07-10,504.9,497.6,505.0,496.3,44140.0,240444.0
2018-07-11,507.9,506.7,511.5,502.6,44978.0,291768.0
2018-07-12,492.6,503.2,508.6,490.0,36094.0,346284.0
2018-07-13,491.1,492.5,495.8,487.6,35316.0,264248.0
2018-07-16,491.9,494.0,499.5,491.8,32572.0,225268.0
2018-07-17,479.2,486.2,488.7,478.5,34326.0,293302.0
2018-07-18,481.5,483.0,485.3,478.6,33670.0,218500.0
2018-07-19,486.1,482.6,489.1,479.0,31842.0,263424.0
2018-07-20,493.4,483.5,494.5,483.3,32128.0,318348.0
2018-07-23,490.4,493.6,494.7,489.1,30746.0,211466.0
2018-07-24,494.7,495.5,499.7,493.1,30092.0,229940.0
2018-07-25,503.1,495.0,504.3,492.9,31258.0,234826.0
2018-07-26,503.8,501.7,504.7,497.3,28914.0,266060.0
2018-07-27,506.9,501.3,508.7,501.3,29372.0,193380.0
2018-07-30,509.9,508.3,510.0,503.7,30306.0,187630.0
2018-07-31,513.2,514.1,515.5,512.4,30572.0,151032.0
2018-08-01,503.3,512.8,514.1,501.3,24470.0,238068.0
2018-08-02,503.7,497.6,504.3,497.4,25200.0,235238.0
2018-08-03,513.5,501.0,515.3,501.0,24054.0,232308.0
2018-08-06,518.6,512.7,519.6,506.0,22746.0,244680.0
2018-08-07,537.2,520.9,537.2,520.5,21482.0,216280.0
2018-08-08,523.2,545.6,550.0,510.2,13342.0,367998.0
2018-08-09,519.1,520.1,528.5,513.2,12514.0,254974.0
2018-08-10,512.9,521.0,526.5,510.7,11538.0,204814.0
2018-08-13,515.4,516.0,527.5,514.6,11330.0,167944.0
2018-08-14,521.0,515.0,525.3,511.2,7036.0,196948.0
2018-08-15,516.8,526.0,526.6,515.3,6344.0,92172.0
2018-08-16,505.99999999999994,517.0773247640088,520.6342639084153,502.03655352480416,30634.0,326410.0
2018-08-17,504.780478007632,508.13416348664384,509.9634464751958,503.0528218517774,33838.0,249986.0
2018-08-20,499.39425587467355,509.6585659771038,511.6911026310504,487.8087969471781,32764.0,327468.0
2018-08-21,504.47559750954,499.1910022092789,510.0650733078931,496.447077726451,35774.0,335614.0
2018-08-22,512.808997790721,508.13416348664384,516.2643101024302,504.88210484032936,36000.0,304726.0
2018-08-23,516.2643101024302,517.3822052621008,522.057039566178,513.113878288813,34954.0,314562.0
2018-08-24,520.1261297449287,516.2643101024302,523.0733078931512,512.4024904599316,31622.0,287220.0
2018-08-27,519.1098614179554,520.5326370757181,522.6668005623618,515.9594296043382,31684.0,259682.0
2018-08-28,520.3293834103233,520.8375175738099,524.5977103836111,517.8903394255874,31138.0,258382.0
2018-08-29,516.7724442659168,521.8537859007832,522.4635468969673,516.3659369351275,30538.0,250278.0
2018-08-30,531.3050813416348,521.3456517372966,532.1180960032135,519.008234585258,32796.0,318074.0
2018-08-31,532.5246033340028,532.0164691705161,533.845752159068,527.5448885318336,33620.0,224134.0
2018-09-03,529.6790520184776,531.4067081743322,532.9311106647921,526.426993372163,32370.0,242128.0
2018-09-04,532.4229765013055,530.4920666800562,535.5734083149226,528.6627836915043,31700.0,233514.0
2018-09-05,529.7806788511748,538.9270937939344,541.1628841132757,528.8660373568989,33730.0,348304.0
2018-09-06,528.4595300261096,528.9676641895962,532.8294838320948,527.1383812010444,35128.0,280408.0
2018-09-07,525.207471379795,530.2888130146615,531.1018276762402,520.3293834103233,33830.0,331998.0
2018-09-10,533.0327374974894,525.1058445470978,533.9473789917654,519.2114882506527,35010.0,304954.0
2018-09-11,532.8294838320948,531.7115886724242,533.5408716609761,526.731873870255,34716.0,292542.0
2018-09-12,544.6181964249848,531.3050813416348,549.0897770636673,530.6953203454509,37912.0,353554.0
2018-09-13,541.9758987748543,545.8377184173529,549.293030729062,538.8254669612372,38618.0,332700.0
2018-09-14,534.3538863225547,540.1466157863024,542.0775256075517,532.0164691705161,37968.0,293498.0
2018-09-17,536.3864229765012,533.845752159068,539.1303474593292,529.6790520184776,40108.0,335812.0
2018-09-18,531.8132155051214,538.1140791323559,539.2319742920265,530.8985740108454,43488.0,272110.0
2018-09-19,537.3010644707773,538.6222132958425,541.569391444065,534.455513155252,42154.0,307304.0
2018-09-20,544.6181964249848,535.9799156457119,546.3458525808395,534.2522594898574,48718.0,340108.0
2018-09-21,540.7563767824864,541.6710182767623,543.5003012653142,537.8091986342639,43742.0,267538.0
2018-09-25,558.0329383410323,551.5288210484033,561.2849969873467,550.4109258887327,46736.0,114378.0
2018-09-26,563.2159068085961,559.7605944968868,564.5370556336613,559.5573408314923,49386.0,272886.0
2018-09-27,566.7728459530026,559.9638481622816,569.1102631050411,559.0492066680056,46866.0,302500.0
2018-09-28,572.768829082145,565.8582044587265,573.7850974091183,560.2687286603734,44052.0,246962.0
2018-10-08,581.8136171922072,581.9152440249046,584.3542880096404,574.8013657360916,43144.0,91178.0
2018-10-09,602.5454910624622,578.4599317131954,607.728459530026,578.4599317131954,43400.0,366142.0
2018-10-10,607.0170717011447,603.7650130548302,608.2365936935128,594.6185981120707,42608.0,349738.0
2018-10-11,583.5412733480618,604.9845350471982,607.0170717011447,576.5290218919461,39928.0,421404.0
2018-10-12,582.6266318537859,583.9477806788511,585.9803173327978,569.5167704358304,38516.0,388228.0
2018-10-15,582.4233781883912,581.0006025306286,584.6591685077324,570.4314119301064,36928.0,335974.0
2018-10-16,569.1102631050411,581.8136171922072,582.9315123518778,564.3338019682666,35534.0,370396.0
2018-10-17,575.2078730668809,566.1630849568186,575.4111267322755,561.9963848162281,34298.0,341110.0
2018-10-18,563.7240409720828,570.0249045993171,570.939546093593,556.2036553524804,33448.0,408230.0
2018-10-19,560.7768628238601,554.4759991966258,568.8053826069491,554.4759991966258,33118.0,337546.0
2018-10-22,568.3988752761597,564.740309299056,571.0411729262903,561.3866238200441,37892.0,341894.0
2018-10-23,563.1142799758987,564.6386824663587,566.7728459530026,559.9638481622816,38158.0,339558.0
2018-10-24,544.9230769230769,555.2890138582044,556.5085358505723,539.7401084555131,39868.0,398960.0
2018-10-25,545.0247037557741,548.5816429001807,552.5450893753766,539.7401084555131,40722.0,405956.0
2018-10-26,547.0572404097207,550.4109258887327,551.5288210484033,544.2116890941955,39970.0,312086.0
2018-10-29,544.8214500903796,546.7523599116288,554.0694918658365,543.703554930709,39042.0,330714.0
2018-10-30,550.2076722233379,545.2279574211689,551.8337015464953,544.313315926893,38810.0,260678.0
2018-10-31,543.8051817634063,543.703554930709,545.3295842538662,533.2359911628841,33890.0,343292.0
2018-11-01,531.1018276762402,541.6710182767623,542.3824061056437,528.0530226953204,34732.0,344550.0
2018-11-02,519.008234585258,529.8823056838722,532.8294838320948,511.4878489656557,33362.0,396644.0
2018-11-05,517.8903394255874,516.6708174332194,519.7196224141393,512.504117292629,35328.0,284116.0
2018-11-06,515.8578027716409,520.3293834103233,525.8172323759791,513.3171319542076,33910.0,278600.0
2018-11-07,506.7113878288813,515.7561759389436,520.5326370757181,505.695119501908,33556.0,344536.0
2018-11-08,511.589475798353,513.5203856196023,515.2480417754568,507.3211488250652,31924.0,326460.0
2018-11-09,503.4593291825667,510.36995380598506,510.9797148021691,500.5121510343442,31990.0,319338.0
2018-11-12,506.7113878288813,496.75195822454305,508.3374171520385,491.7722434223739,31234.0,339006.0
2018-11-13,492.28037758586055,504.88210484032936,506.81301466157856,491.467362924282,30358.0,274046.0
2018-11-14,475.61357702349864,491.0608555934926,494.61779473789915,475.61357702349864,28962.0,296062.0
2018-11-15,471.44687688290816,472.5647720425788,475.410323358104,463.51998393251654,26168.0,368964.0
2018-11-16,474.29242819843336,472.05663787909214,476.5282185177746,468.1948182365936,23936.0,286342.0
2018-11-19,473.3777867041574,477.6461136774452,480.6949186583651,467.28017674231774,15962.0,244146.0
2018-11-20,463.2151034344246,469.4143402289616,472.1582647117895,462.91022293633256,8212.0,99200.0
2018-11-21,446.954810202852,464.43348993145514,464.6332462712106,443.05956157762046,38520.0,472424.0
