,Close,Open,High,Low,Oi,Volume
2010-01-04,12635.0,12600.0,12695.0,12550.0,90050.0,190792.0
2010-01-05,12660.0,12720.0,12745.0,12620.0,84230.0,158990.0
2010-01-06,12605.0,12650.0,12700.0,12560.0,84866.0,257520.0
2010-01-07,12235.0,12705.0,12840.0,12000.0,66252.0,326148.0
2010-01-08,12175.0,12300.0,12365.0,12040.0,57566.0,251674.0
2010-01-11,12490.0,12310.0,12495.0,12310.0,63628.0,194252.0
2010-01-12,12255.0,12415.0,12445.0,12230.0,58786.0,179180.0
2010-01-13,11765.0,11995.0,11995.0,11740.0,52806.0,158518.0
2010-01-14,12065.0,11900.0,12150.0,11850.0,64460.0,334574.0
2010-01-15,11840.0,12035.0,12055.0,11770.0,57490.0,212622.0
2010-01-18,11985.0,11685.0,12040.0,11680.0,73890.0,378828.0
2010-01-19,12000.0,12030.0,12075.0,11920.0,74398.0,268256.0
2010-01-20,12100.0,12100.0,12205.0,12000.0,73472.0,353290.0
2010-01-21,12335.0,12100.0,12335.0,12065.0,81580.0,366340.0
2010-01-22,12070.0,12135.0,12315.0,11920.0,65192.0,429676.0
2010-01-25,11945.0,12030.0,12070.0,11880.0,67690.0,319172.0
2010-01-26,11775.0,12000.0,12050.0,11775.0,65778.0,279996.0
2010-01-27,11575.0,11835.0,11845.0,11535.0,79610.0,392762.0
2010-01-28,11450.0,11445.0,11520.0,11330.0,77622.0,346678.0
2010-01-29,11450.0,11425.0,11500.0,11360.0,70530.0,233502.0
2010-02-01,11375.0,11415.0,11495.0,11245.0,71662.0,279494.0
2010-02-02,11285.0,11500.0,11600.0,11150.0,75532.0,285564.0
2010-02-03,11475.0,11480.0,11500.0,11215.0,73476.0,350400.0
2010-02-04,11390.0,11370.0,11485.0,11330.0,74554.0,324340.0
2010-02-05,11285.0,11140.0,11310.0,11050.0,65524.0,262388.0
2010-02-08,11395.0,11300.0,11480.0,11285.0,64572.0,238000.0
2010-02-09,11520.0,11375.0,11550.0,11305.0,64720.0,215600.0
2010-02-10,11645.0,11580.0,11695.0,11520.0,53314.0,162576.0
2010-02-11,11690.0,11715.0,11780.0,11630.0,49270.0,103400.0
2010-02-12,11790.0,11715.0,11810.0,11625.0,45262.0,56974.0
2010-02-22,12095.0,12300.0,12320.0,12010.0,40434.0,71674.0
2010-02-23,12125.0,12075.0,12155.0,12015.0,48004.0,84224.0
2010-02-24,12060.0,12025.0,12160.0,12020.0,49434.0,84108.0
2010-02-25,11855.0,12055.0,12145.0,11835.0,55300.0,155272.0
2010-02-26,11890.0,11835.0,11945.0,11810.0,53354.0,100704.0
2010-03-01,11915.0,12010.0,12055.0,11835.0,55320.0,104138.0
2010-03-02,11640.0,11870.0,11910.0,11625.0,62790.0,165540.0
2010-03-03,11695.0,11720.0,11755.0,11655.0,71466.0,141562.0
2010-03-04,11520.0,11755.0,11810.0,11480.0,75936.0,221452.0
2010-03-05,11495.0,11525.0,11555.0,11445.0,81786.0,180914.0
2010-03-08,11620.0,11550.0,11685.0,11400.0,102354.0,323210.0
2010-03-09,11540.0,11580.0,11640.0,11520.0,107764.0,204934.0
2010-03-10,11535.0,11500.0,11660.0,11480.0,110308.0,262132.0
2010-03-11,11270.0,11550.0,11595.0,11250.0,118390.0,304614.0
2010-03-12,11345.0,11295.0,11370.0,11200.0,116204.0,300704.0
2010-03-15,10960.0,11330.0,11330.0,10920.0,128760.0,314430.0
2010-03-16,10920.0,10865.0,11000.0,10835.0,129098.0,359740.0
2010-03-17,11220.0,11000.0,11250.0,10950.0,117738.0,380610.0
2010-03-18,11100.0,11175.0,11305.0,11060.0,117884.0,368450.0
2010-03-19,11245.0,11095.0,11260.0,11065.0,107696.0,306790.0
2010-03-22,11335.0,11160.0,11370.0,11145.0,94830.0,317170.0
2010-03-23,11355.0,11400.0,11465.0,11285.0,88460.0,302550.0
2010-03-24,11275.0,11355.0,11435.0,11205.0,77556.0,310814.0
2010-03-25,11280.0,11250.0,11340.0,11225.0,62384.0,152376.0
2010-03-26,11320.0,11300.0,11345.0,11255.0,48722.0,62924.0
2010-03-29,11275.0,11260.464116888697,11318.607649333906,11182.939406961754,76084.0,217654.0
2010-03-30,11144.17705199828,11333.143532445209,11337.988826815643,11081.18822518264,84378.0,249828.0
2010-03-31,11027.889987107865,11144.17705199828,11173.248818220885,11003.663515255694,95742.0,308014.0
2010-04-01,11076.342930812205,11061.807047700902,11163.558229480017,11052.116458960034,88506.0,192020.0
2010-04-02,11207.165878813923,11144.17705199828,11221.701761925226,11119.950580146111,89796.0,207342.0
2010-04-06,11410.668242372152,11299.22647185217,11507.574129780833,11250.773528147829,92684.0,296042.0
2010-04-07,11420.35883111302,11434.894714224323,11468.81177481736,11396.132359260851,90524.0,161752.0
2010-04-08,11304.071766222603,11367.060593038246,11376.751181779115,11275.0,93124.0,155486.0
2010-04-09,11410.668242372152,11337.988826815643,11415.513536742586,11323.45294370434,89986.0,161048.0
2010-04-12,11376.751181779115,11454.275891706058,11488.192952299098,11333.143532445209,93746.0,225410.0
2010-04-13,11386.441770519983,11337.988826815643,11386.441770519983,11299.22647185217,87612.0,185732.0
2010-04-14,11522.110012892135,11415.513536742586,11565.717662226041,11391.287064890417,106608.0,343244.0
2010-04-15,11512.419424151267,11580.253545337344,11594.789428448647,11493.038246669532,96124.0,238140.0
2010-04-16,11483.347657928663,11531.800601633004,11536.645896003438,11415.513536742586,91172.0,180048.0
2010-04-19,11158.712935109583,11289.535883111303,11347.67941555651,11153.867640739149,87708.0,183310.0
2010-04-20,11304.071766222603,11221.701761925226,11313.762354963472,11216.856467554791,81450.0,146390.0
2010-04-21,11308.917060593038,11318.607649333906,11333.143532445209,11231.392350666094,81054.0,152690.0
2010-04-22,11178.09411259132,11270.154705629566,11279.845294370434,11173.248818220885,92440.0,180872.0
2010-04-23,11207.165878813923,11187.784701332186,11255.618822518263,11178.09411259132,88176.0,140780.0
2010-04-26,11260.464116888697,11275.0,11337.988826815643,11245.928233777395,90242.0,114808.0
2010-04-27,11081.18822518264,11231.392350666094,11236.237645036528,11032.735281478297,100476.0,213308.0
2010-04-28,11018.199398366996,10901.912333476579,11086.033519553072,10901.912333476579,94822.0,198384.0
2010-04-29,11008.508809626128,11061.807047700902,11115.105285775677,10979.437043403523,103222.0,199492.0
2010-04-30,11095.72410829394,11095.72410829394,11115.105285775677,10998.81822088526,93700.0,176418.0
2010-05-04,11090.878813923506,11047.2711645896,11139.331757627846,11018.199398366996,95198.0,170382.0
2010-05-05,11056.961753330468,10901.912333476579,11056.961753330468,10901.912333476579,96736.0,149206.0
2010-05-06,10993.972926514825,11047.2711645896,11086.033519553072,10979.437043403523,100064.0,132880.0
2010-05-07,10664.49290932531,10906.757627847013,10911.602922217447,10659.647614954878,107822.0,254012.0
2010-05-10,10775.934679845293,10756.553502363558,10775.934679845293,10625.730554361839,105798.0,222712.0
2010-05-11,10557.896433175763,10756.553502363558,10780.779974215728,10548.205844434895,112214.0,241300.0
2010-05-12,10470.68113450795,10562.741727546196,10611.194671250536,10417.382896433175,112142.0,372728.0
2010-05-13,10548.205844434895,10485.217017619252,10557.896433175763,10368.929952728835,103712.0,363508.0
2010-05-14,10359.239363987966,10485.217017619252,10494.90760636012,10330.167597765363,101034.0,410414.0
2010-05-17,9894.0911044263,10175.118177911474,10218.72582724538,9894.0911044263,93638.0,249100.0
2010-05-18,9986.151697464546,9894.0911044263,10000.687580575848,9739.04168457241,91838.0,371532.0
2010-05-19,9884.400515685431,9700.279329608938,10029.759346798453,9661.516974645467,89976.0,379424.0
2010-05-20,10029.759346798453,9952.234636871508,10092.748173614094,9947.389342501074,95398.0,338454.0
2010-05-21,9918.31757627847,9884.400515685431,9942.54404813064,9797.185217017619,92374.0,272510.0
2010-05-24,10121.8199398367,9942.54404813064,10136.355822948002,9942.54404813064,96788.0,275842.0
2010-05-25,9898.936398796734,10020.068758057585,10083.057584873228,9889.245810055865,100192.0,294920.0
2010-05-26,10053.985818650623,9961.925225612376,10068.521701761925,9961.925225612376,97760.0,223216.0
2010-05-27,10141.201117318435,10078.212290502794,10150.891706059303,10005.532874946282,105278.0,213392.0
2010-05-28,10116.974645466265,10252.642887838418,10252.642887838418,10097.593467984529,100508.0,201886.0
2010-05-31,10102.438762354963,10078.212290502794,10184.808766652342,10044.295229909754,99022.0,218638.0
2010-06-01,9918.31757627847,10083.057584873228,10112.129351095831,9903.781693167168,102670.0,295724.0
2010-06-02,9705.124623979373,9903.781693167168,9918.31757627847,9554.920498495918,110038.0,457822.0
2010-06-03,9729.351095831542,9787.49462827675,9816.566394499356,9666.3622690159,105210.0,315100.0
2010-06-04,9564.611087236784,9680.898152127202,9685.743446497636,9521.003437902878,114290.0,341326.0
2010-06-07,9123.689299527288,9128.534593897723,9206.059303824666,9123.689299527288,113840.0,57830.0
2010-06-08,9152.761065749892,9109.153416415986,9162.45165449076,8992.866351525568,111736.0,391336.0
2010-06-09,9302.965191233347,9147.915771379458,9312.655779974215,9099.462827675117,101006.0,392226.0
2010-06-10,9298.119896862914,9283.584013751612,9375.644606789858,9230.285775676837,96406.0,316376.0
2010-06-11,9419.252256123764,9370.799312419424,9443.478727975935,9356.263429308121,92392.0,203510.0
2010-06-17,9269.048130640309,9545.22990975505,9574.301675977653,9230.285775676837,111572.0,284950.0
2010-06-18,9060.700472711645,9264.202836269875,9288.429308122046,9055.855178341211,136240.0,531668.0
2010-06-21,9467.705199828104,9138.225182638591,9550.075204125484,9065.54576708208,131822.0,929864.0
2010-06-22,9351.418134937689,9327.191663085518,9428.942844864632,9307.81048560378,136884.0,717320.0
2010-06-23,9317.50107434465,9283.584013751612,9438.6334336055,9181.832831972497,147076.0,938634.0
2010-06-24,9501.622260421143,9327.191663085518,9559.765792866352,9322.346368715083,168138.0,990786.0
2010-06-25,9414.40696175333,9535.539321014181,9540.384615384615,9375.644606789858,152320.0,803316.0
2010-06-28,9487.08637730984,9477.395788568972,9637.290502793296,9472.550494198538,148236.0,845690.0
2010-06-29,9215.749892565535,9399.871078642029,9472.550494198538,9181.832831972497,148348.0,826810.0
2010-06-30,9191.523420713365,9109.153416415986,9210.9045981951,9084.926944563817,151308.0,633084.0
2010-07-01,8929.877524709927,9152.761065749892,9181.832831972497,8920.186935969059,182396.0,870946.0
2010-07-02,9094.617533304683,8920.186935969059,9118.844005156854,8886.26987537602,168806.0,1080018.0
2010-07-05,9109.153416415986,9080.081650193382,9157.606360120326,8992.866351525568,178644.0,825508.0
2010-07-06,9075.236355822948,9012.247529007305,9075.236355822948,8925.032230339493,189062.0,928788.0
2010-07-07,8973.485174043833,9065.54576708208,9109.153416415986,8949.258702191662,207094.0,808648.0
2010-07-08,9036.474000859476,9118.844005156854,9152.761065749892,9017.09282337774,208670.0,777578.0
2010-07-09,9104.308122045551,9060.700472711645,9118.844005156854,9012.247529007305,210200.0,765598.0
2010-07-12,9080.081650193382,9123.689299527288,9235.131070047271,9070.391061452514,198926.0,851288.0
2010-07-13,9017.09282337774,9094.617533304683,9123.689299527288,8983.175762784702,203848.0,963294.0
2010-07-14,9041.319295229909,9118.844005156854,9133.379888268157,9026.783412118608,192972.0,783326.0
2010-07-15,8920.186935969059,9012.247529007305,9041.319295229909,8857.198109153416,204538.0,1180906.0
2010-07-16,8895.960464116888,8963.794585302965,8992.866351525568,8832.971637301245,212914.0,846540.0
2010-07-19,8891.115169746454,8799.054576708208,8925.032230339493,8779.67339922647,205520.0,673940.0
2010-07-20,9046.164589600343,8895.960464116888,9055.855178341211,8895.960464116888,186948.0,581670.0
2010-07-21,9060.700472711645,9055.855178341211,9094.617533304683,9021.938117748174,177260.0,472560.0
2010-07-22,9244.82165878814,9021.938117748174,9249.666953158572,9021.938117748174,196610.0,973978.0
2010-07-23,9428.942844864632,9351.418134937689,9467.705199828104,9332.036957455952,161646.0,737446.0
2010-07-26,9501.622260421143,9448.324022346369,9516.158143532444,9409.561667382895,150692.0,555454.0
2010-07-27,9404.716373012463,9496.77696605071,9506.467554791578,9370.799312419424,138952.0,648410.0
2010-07-28,9487.08637730984,9351.418134937689,9530.694026643747,9341.72754619682,133704.0,568066.0
2010-07-29,9501.622260421143,9525.848732273313,9525.848732273313,9395.025784271595,113086.0,455080.0
2010-07-30,9545.22990975505,9511.31284916201,9574.301675977653,9458.014611087237,94176.0,175586.0
2010-08-02,9748.732273313279,9651.291351019332,9776.572536825834,9632.731175344295,131806.0,590258.0
2010-08-03,9730.17209763824,9883.293546957297,9892.573634794817,9725.532053719482,138440.0,688366.0
2010-08-04,9767.292448988315,9753.372317232037,9809.052844257149,9665.21148277561,144132.0,656388.0
2010-08-05,9618.811043588017,9799.77275641963,9832.253063850945,9586.330736156702,154012.0,857148.0
2010-08-06,9683.771658450647,9600.25086791298,9711.611921963204,9586.330736156702,143720.0,543228.0
2010-08-09,9836.893107769705,9688.411702369407,9846.173195607224,9669.85152669437,154276.0,536368.0
2010-08-10,9776.572536825834,9818.332932094667,9925.053942226132,9739.452185475759,144996.0,727110.0
2010-08-11,9637.371219263056,9744.092229394519,9822.972976013427,9628.091131425535,150972.0,655252.0
2010-08-12,9484.249769943997,9553.850428725387,9581.690692237944,9456.409506431442,152112.0,713604.0
2010-08-13,9646.651307100574,9498.169901700276,9651.291351019332,9498.169901700276,154350.0,584168.0
2010-08-16,9781.212580744594,9604.89091183174,9827.613019932185,9539.930296969109,184464.0,874740.0
2010-08-17,9860.0933273635,9781.212580744594,9883.293546957297,9744.092229394519,193498.0,911482.0
2010-08-18,9822.972976013427,9915.773854388612,9948.254161819928,9790.492668582112,192378.0,757604.0
2010-08-19,9943.614117901168,9855.453283444742,9962.174293576205,9809.052844257149,209864.0,981318.0
2010-08-20,9665.21148277561,9883.293546957297,9901.853722632335,9660.571438856852,182400.0,838558.0
2010-08-23,9581.690692237944,9665.21148277561,9679.131614531889,9539.930296969109,189420.0,695534.0
2010-08-24,9502.809945619036,9535.29025305035,9581.690692237944,9470.32963818772,190024.0,649236.0
2010-08-25,9600.25086791298,9484.249769943997,9609.530955750499,9447.129418593924,200198.0,794008.0
2010-08-26,9753.372317232037,9655.931394938092,9762.652405069555,9646.651307100574,188036.0,735500.0
2010-08-27,9711.611921963204,9753.372317232037,9767.292448988315,9642.011263181814,191836.0,653728.0
2010-08-30,9785.852624663352,9790.492668582112,9887.933590876057,9776.572536825834,178406.0,561620.0
2010-08-31,9521.370121294072,9716.251965881962,9725.532053719482,9516.730077375312,192746.0,589234.0
2010-09-01,9628.091131425535,9521.370121294072,9674.491570613129,9512.090033456554,186184.0,715386.0
2010-09-02,9827.613019932185,9734.812141557,9841.533151688463,9642.011263181814,230326.0,846254.0
2010-09-03,9762.652405069555,9864.73337128226,9883.293546957297,9706.971878044444,207946.0,961328.0
2010-09-06,9962.174293576205,9758.012361150797,10013.214776682558,9734.812141557,258932.0,1181806.0
2010-09-07,9929.69398614489,9934.33403006365,9980.734469251243,9860.0933273635,259574.0,894044.0
2010-09-08,10031.774952357595,9938.974073982408,10073.535347626428,9897.213678713575,295420.0,1251826.0
2010-09-09,9720.892009800722,10096.735567220225,10106.015655057743,9512.090033456554,213516.0,1256618.0
2010-09-10,9767.292448988315,9758.012361150797,9804.41280033839,9693.051746288167,208536.0,883730.0
2010-09-13,9855.453283444742,9850.813239525982,9883.293546957297,9790.492668582112,222144.0,734972.0
2010-09-14,9795.13271250087,9836.893107769705,9911.133810469853,9753.372317232037,217464.0,727994.0
2010-09-15,9693.051746288167,9799.77275641963,9860.0933273635,9679.131614531889,217298.0,713952.0
2010-09-16,9651.291351019332,9683.771658450647,9734.812141557,9595.61082399422,203502.0,603592.0
2010-09-17,9706.971878044444,9665.21148277561,9730.17209763824,9632.731175344295,188456.0,442496.0
2010-09-20,9785.852624663352,9744.092229394519,9855.453283444742,9720.892009800722,188526.0,407264.0
2010-09-21,9693.051746288167,9813.692888175909,9818.332932094667,9651.291351019332,161844.0,301974.0
2010-09-27,9929.69398614489,9855.453283444742,9971.454381413723,9804.41280033839,182148.0,478964.0
2010-09-28,9915.773854388612,9911.133810469853,10003.934688845038,9832.253063850945,178730.0,386806.0
2010-09-29,9966.814337494965,9952.894205738687,10003.934688845038,9822.972976013427,171236.0,444472.0
2010-09-30,10050.335128032631,9999.29464492628,10073.535347626428,9864.73337128226,168448.0,462264.0
2010-10-08,10263.77714829556,10133.8559185703,10328.73776315819,10068.89530370767,174048.0,326950.0
2010-10-11,10662.820925308859,10486.499256396006,10732.421584090249,10426.178685452134,200016.0,663610.0
2010-10-12,10514.33951990856,10532.8996955836,10611.780442202507,10467.93908072097,196656.0,613938.0
2010-10-13,10611.780442202507,10588.58022260871,10686.021144902656,10542.179783421117,190428.0,552698.0
2010-10-14,10704.581320577692,10723.14149625273,10825.222462465434,10625.700573958784,197752.0,734444.0
2010-10-15,10593.220266527469,10625.700573958784,10653.54083747134,10518.97956382732,202280.0,655926.0
2010-10-18,10379.778246264543,10486.499256396006,10486.499256396006,10365.858114508264,191072.0,545510.0
2010-10-19,10472.579124639728,10491.139300314764,10593.220266527469,10384.418290183301,194198.0,547720.0
2010-10-20,10338.017850995708,10115.295742895261,10365.858114508264,10115.295742895261,188002.0,434824.0
2010-10-21,10402.978465858338,10477.219168558488,10509.699475989803,10365.858114508264,187808.0,431408.0
2010-10-22,10607.140398283747,10393.69837802082,10653.54083747134,10347.297938833226,215304.0,642334.0
2010-10-25,10764.901891521564,10672.101013146377,10811.302330709157,10662.820925308859,217800.0,370922.0
2010-10-26,10704.581320577692,10764.901891521564,10792.742155034119,10579.300134771192,204482.0,533898.0
2010-10-27,10505.059432071042,10760.261847602804,10792.742155034119,10393.69837802082,183372.0,568232.0
