,Close,Open,High,Low,Oi,Volume
2019-08-12,1716.0,1690.0,1726.0,1679.0,93880.0,546572
2019-08-13,1767.0,1705.0,1767.0,1702.0,130368.0,646106
2019-08-14,1732.0,1770.0,1783.0,1716.0,91742.0,580890
2019-08-15,1738.0,1738.0,1753.0,1724.0,91470.0,359014
2019-08-16,1739.0,1737.0,1754.0,1732.0,85024.0,155558
2019-08-19,1741.0,1743.0,1750.0,1730.0,82192.0,114896
2019-08-20,1741.0,1741.0,1749.0,1736.0,75570.0,56548
2019-08-21,1718.0,1738.0,1738.0,1706.0,72356.0,186728
2019-08-22,1723.0,1722.0,1730.0,1718.0,66808.0,60066
2019-08-23,1720.0,1725.0,1727.0,1714.0,66130.0,39686
2019-08-26,1736.0,1715.0,1748.0,1712.0,63260.0,84092
2019-08-27,1738.0,1734.0,1758.0,1731.0,64540.0,119160
2019-08-28,1750.0,1744.0,1758.0,1738.0,65434.0,63824
2019-08-29,1786.0,1749.0,1815.0,1749.0,88936.0,461238
2019-08-30,1789.0,1795.0,1804.0,1781.0,88046.0,164404
2019-09-02,1796.0,1793.0,1826.0,1781.0,94430.0,149628
2019-09-03,1791.0,1798.0,1806.0,1785.0,92054.0,92794
2019-09-04,1813.0,1796.0,1843.0,1793.0,97976.0,302950
2019-09-05,1812.0,1814.0,1830.0,1807.0,92870.0,127216
2019-09-06,1820.0,1815.0,1827.0,1810.0,93418.0,89434
2019-09-09,1823.0,1832.0,1840.0,1817.0,96624.0,86552
2019-09-10,1811.0,1826.0,1835.0,1803.0,91392.0,113858
2019-09-11,1817.0,1811.0,1820.0,1808.0,86822.0,50736
2019-09-12,1815.0,1818.0,1822.0,1811.0,83524.0,36434
2019-09-16,1790.0,1819.0,1825.0,1775.0,75976.0,93312
2019-09-17,1781.0,1791.0,1796.0,1778.0,70150.0,60294
2019-09-18,1785.0,1782.0,1786.0,1764.0,65600.0,69102
2019-09-19,1778.0,1784.0,1794.0,1774.0,68304.0,60948
2019-09-20,1760.0,1780.0,1780.0,1752.0,71280.0,86986
2019-09-23,1763.0,1764.0,1769.0,1756.0,74478.0,46354
2019-09-24,1772.0,1764.0,1776.0,1759.0,69872.0,50838
2019-09-25,1756.0,1774.0,1775.0,1754.0,74100.0,43502
2019-09-26,1758.0,1757.0,1765.0,1744.0,70618.0,39750
2019-09-27,1749.0,1751.0,1757.0,1747.0,65782.0,22444
2019-09-30,1755.0,1754.0,1764.0,1749.0,63890.0,23764
2019-10-08,1753.0,1750.0,1764.0,1728.0,65400.0,38406
2019-10-09,1769.0,1754.0,1773.0,1752.0,73802.0,55208
2019-10-10,1758.0,1769.0,1779.0,1756.0,74388.0,35538
2019-10-11,1752.0,1760.0,1763.0,1748.0,75068.0,26466
2019-10-14,1739.0,1750.0,1753.0,1734.0,81130.0,30908
2019-10-15,1737.0,1730.0,1738.0,1730.0,83800.0,20866
2019-10-16,1730.0,1737.0,1742.0,1730.0,84696.0,21902
2019-10-17,1715.0,1728.0,1728.0,1711.0,89514.0,42662
2019-10-18,1714.0,1715.0,1725.0,1711.0,90502.0,23358
2019-10-21,1700.0,1715.0,1715.0,1699.0,94696.0,34972
2019-10-22,1683.0,1701.0,1704.0,1673.0,112242.0,99962
2019-10-23,1679.0,1685.0,1686.0,1675.0,113544.0,38312
2019-10-24,1683.0,1683.0,1692.0,1678.0,113368.0,40328
2019-10-25,1680.0,1681.0,1687.0,1678.0,115202.0,32438
2019-10-28,1685.0,1682.0,1692.0,1679.0,111456.0,32350
2019-10-29,1686.0,1686.0,1695.0,1680.0,109100.0,36342
2019-10-30,1690.0,1685.0,1695.0,1682.0,108308.0,30166
2019-10-31,1686.0,1690.0,1697.0,1686.0,109254.0,28798
2019-11-01,1687.0,1686.0,1690.0,1681.0,107634.0,24620
2019-11-04,1682.0,1687.0,1689.0,1680.0,108386.0,18892
2019-11-05,1702.0,1684.0,1706.0,1682.0,112280.0,55988
2019-11-06,1683.0,1701.0,1706.0,1682.0,108456.0,37030
2019-11-07,1668.0,1686.0,1689.0,1667.0,117574.0,68910
2019-11-08,1643.0,1670.0,1672.0,1638.0,125090.0,80700
2019-11-11,1636.0,1646.0,1648.0,1634.0,125764.0,43368
