,Close,Open,High,Low,Oi,Volume
2010-01-04,7302.0,7300.0,7368.0,7244.0,302644.0,641592.0
2010-01-05,7344.0,7320.0,7388.0,7288.0,329262.0,726722.0
2010-01-06,7376.0,7314.0,7466.0,7304.0,345622.0,758566.0
2010-01-07,7134.0,7420.0,7464.0,7030.0,284252.0,971910.0
2010-01-08,7036.0,7130.0,7150.0,6914.0,264762.0,857686.0
2010-01-11,7124.0,7124.0,7204.0,7120.0,279150.0,697064.0
2010-01-12,7034.0,7022.0,7100.0,7008.0,286586.0,495840.0
2010-01-13,6794.0,6800.0,6880.0,6736.0,263236.0,544822.0
2010-01-14,6888.0,6880.0,6918.0,6844.0,248218.0,472570.0
2010-01-15,6842.0,6860.0,6944.0,6786.0,255726.0,586250.0
2010-01-18,6820.0,6790.0,6862.0,6750.0,308022.0,581646.0
2010-01-19,6846.0,6850.0,6892.0,6810.0,297188.0,434246.0
2010-01-20,6702.0,6888.0,6894.0,6698.0,292092.0,622982.0
2010-01-21,6818.0,6688.0,6830.0,6662.0,280430.0,694602.0
2010-01-22,6808.0,6752.0,6826.0,6658.0,278932.0,786590.0
2010-01-25,6818.0,6790.0,6868.0,6774.0,313968.0,800640.0
2010-01-26,6706.0,6826.0,6846.0,6706.0,306826.0,765770.0
2010-01-27,6750.0,6750.0,6774.0,6690.0,289686.0,665180.0
2010-01-28,6704.0,6682.0,6720.0,6618.0,276574.0,631430.0
2010-01-29,6646.0,6700.0,6772.0,6640.0,304518.0,720468.0
2010-02-01,6556.0,6662.0,6682.0,6554.0,286032.0,575700.0
2010-02-02,6558.0,6644.0,6644.0,6534.0,282612.0,459570.0
2010-02-03,6720.0,6686.0,6724.0,6636.0,285022.0,470116.0
2010-02-04,6648.0,6662.0,6694.0,6608.0,289572.0,447720.0
2010-02-05,6684.0,6582.0,6728.0,6572.0,295658.0,529578.0
2010-02-08,6784.0,6740.0,6796.0,6732.0,322866.0,469572.0
2010-02-09,6776.0,6802.0,6814.0,6748.0,310254.0,351342.0
2010-02-10,6766.0,6800.0,6826.0,6730.0,306356.0,437428.0
2010-02-11,6820.0,6800.0,6856.0,6800.0,296490.0,233452.0
2010-02-12,6782.0,6820.0,6842.0,6750.0,291972.0,165296.0
2010-02-22,6932.0,6900.0,6972.0,6846.0,319766.0,451592.0
2010-02-23,7016.0,6938.0,7018.0,6920.0,343624.0,405170.0
2010-02-24,6956.0,6962.0,6988.0,6938.0,333394.0,309294.0
2010-02-25,6900.0,7000.0,7006.0,6858.0,311078.0,391872.0
2010-02-26,6864.0,6900.0,6924.0,6844.0,321734.0,301028.0
2010-03-01,6922.0,7000.0,7002.0,6904.0,330956.0,344422.0
2010-03-02,6888.0,6918.0,6976.0,6888.0,296070.0,429384.0
2010-03-03,6968.0,6912.0,6986.0,6912.0,305024.0,377554.0
2010-03-04,6884.0,6960.0,6970.0,6880.0,285390.0,332544.0
2010-03-05,7018.0,6900.0,7038.0,6860.0,339764.0,621786.0
2010-03-08,7030.0,7008.0,7048.0,6972.0,332682.0,505750.0
2010-03-09,7092.0,7016.0,7104.0,7010.0,397838.0,802350.0
2010-03-10,7046.0,7050.0,7086.0,7032.0,392456.0,521414.0
2010-03-11,6954.0,7086.0,7098.0,6890.0,326030.0,658346.0
2010-03-12,6904.0,6922.0,6956.0,6888.0,302502.0,332210.0
2010-03-15,6854.0,6880.0,6912.0,6794.0,284250.0,406324.0
2010-03-16,6844.0,6820.0,6858.0,6810.0,275790.0,295900.0
2010-03-17,6888.0,6868.0,6924.0,6866.0,257322.0,328958.0
2010-03-18,6850.0,6904.0,6906.0,6822.0,263592.0,310792.0
2010-03-19,6880.0,6858.0,6896.0,6840.0,255378.0,246002.0
2010-03-22,6902.0,6866.0,6940.0,6862.0,271096.0,325718.0
2010-03-23,6896.0,6950.0,6950.0,6892.0,279040.0,260026.0
2010-03-24,6888.0,6900.0,6922.0,6852.0,259436.0,276752.0
2010-03-25,6892.0,6870.0,6918.0,6868.0,244646.0,222262.0
2010-03-26,6860.0,6876.0,6884.0,6838.0,241436.0,219374.0
2010-03-29,6886.0,6862.0,6918.0,6854.0,238774.0,209610.0
