,Close,Open,High,Low,Oi,Volume
2010-01-04,24350.0,24595.0,24750.0,24330.0,138342.0,488932.0
2010-01-05,24705.0,24545.0,24880.0,24465.0,142610.0,647784.0
2010-01-06,25050.0,24680.0,25145.0,24635.0,149612.0,534648.0
2010-01-07,24855.0,25465.0,25740.0,24400.0,153272.0,861896.0
2010-01-08,25355.0,25030.0,25380.0,24500.0,192540.0,1479472.0
2010-01-11,26040.0,25760.0,26170.0,25480.0,193384.0,953166.0
2010-01-12,25860.0,25980.0,26100.0,25660.0,198120.0,1097928.0
2010-01-13,25305.0,25100.0,25780.0,24910.0,206094.0,1219774.0
2010-01-14,25680.0,25890.0,25960.0,25555.0,195920.0,794178.0
2010-01-15,25050.0,25500.0,25590.0,24820.0,203798.0,1053678.0
2010-01-18,24740.0,24790.0,24920.0,24575.0,174026.0,674758.0
2010-01-19,25360.0,25005.0,25405.0,24800.0,174766.0,920174.0
2010-01-20,25270.0,25540.0,25605.0,25235.0,181660.0,1042078.0
2010-01-21,25730.0,25170.0,25750.0,24955.0,190406.0,1028470.0
2010-01-22,24475.0,24915.0,25155.0,24105.0,160082.0,1121418.0
2010-01-25,24590.0,24350.0,24745.0,24305.0,167126.0,854140.0
2010-01-26,24065.0,24895.0,24895.0,24015.0,180508.0,969658.0
2010-01-27,23780.0,24095.0,24250.0,23655.0,172214.0,1294600.0
2010-01-28,23165.0,23355.0,23505.0,22760.0,165800.0,1286068.0
2010-01-29,22985.0,23165.0,23460.0,22845.0,172460.0,1299400.0
2010-02-01,23000.0,23115.0,23245.0,22250.0,171790.0,1365602.0
2010-02-02,22955.0,23450.0,23520.0,22875.0,159382.0,1102952.0
2010-02-03,23525.0,23245.0,23620.0,23040.0,154746.0,1118430.0
2010-02-04,22980.0,23060.0,23390.0,22850.0,164048.0,1131588.0
2010-02-05,22030.0,22110.0,22375.0,22000.0,157034.0,864188.0
2010-02-08,21980.0,22300.0,22385.0,21965.0,160348.0,983534.0
2010-02-09,22380.0,22000.0,22455.0,21650.0,135932.0,1314612.0
2010-02-10,23280.0,22660.0,23280.0,22555.0,126314.0,886374.0
2010-02-11,23850.0,23495.0,23955.0,23270.0,109578.0,842212.0
2010-02-12,24330.0,24070.0,24370.0,23825.0,95288.0,562840.0
2010-02-22,24885.0,25075.0,25380.0,24660.0,108096.0,545730.0
2010-02-23,25105.0,24680.0,25135.0,24565.0,147016.0,805256.0
2010-02-24,25145.0,24870.0,25285.0,24770.0,144682.0,770894.0
2010-02-25,24680.0,25155.0,25450.0,24635.0,137044.0,1013566.0
2010-02-26,24835.0,24795.0,25020.0,24685.0,123620.0,800010.0
2010-03-01,24680.0,25300.0,25580.0,24630.0,101142.0,461810.0
2010-03-02,23785.0,24540.157709068273,24569.77173687487,23750.450300892302,151084.0,1071784.0
2010-03-03,23967.619838140694,23962.684166839594,24125.561319775887,23824.4853704088,149384.0,965052.0
2010-03-04,23419.760323718612,24086.07594936709,24194.660717991286,23370.403610707617,171114.0,1386924.0
2010-03-05,23710.964930483504,23483.92405063291,23898.520439925294,23345.725254202116,163414.0,1443940.0
2010-03-08,24480.929653455074,23938.005810334093,24515.479352562772,23706.029259182404,187304.0,1303526.0
2010-03-09,24214.403403195683,24337.79518572318,24421.701597841875,24056.46192156049,168184.0,1549044.0
2010-03-10,24239.08175970118,23997.23386594729,24372.344884830876,23977.491180742894,184194.0,1536088.0
2010-03-11,23780.0643286989,24268.695787507782,24362.47354222868,23572.76613405271,192372.0,1844336.0
2010-03-12,23424.695995019712,23898.520439925294,23977.491180742894,23256.88317078232,219494.0,1904120.0
2010-03-15,22595.503216434943,23424.695995019712,23444.438680224113,22477.04710520855,220444.0,1421434.0
2010-03-16,23010.09960572733,22348.719651379954,23118.684374351524,22235.19921145466,195508.0,1671028.0
2010-03-17,23572.76613405271,23207.52645777132,23592.508819257106,22950.87155011413,192694.0,1525368.0
2010-03-18,23355.596596804317,23404.953309815315,23952.812824237393,23276.62585598672,193488.0,2106720.0
2010-03-19,23888.649097323098,23395.081967213115,23997.23386594729,23360.532268105417,198594.0,1888218.0
2010-03-22,23696.157916580203,23701.093587881303,23863.970740817596,23523.40942104171,221232.0,1563526.0
2010-03-23,23256.88317078232,23750.450300892302,23839.2923843121,23202.59078647022,231886.0,1613446.0
2010-03-24,23444.438680224113,23335.853911599916,23627.058518364807,23039.713633533927,211466.0,1765806.0
2010-03-25,24357.53787092758,23513.53807843951,24461.186968250673,23478.98837933181,268370.0,2148578.0
2010-03-26,24535.222037767173,24579.64307947707,24703.034862004566,24248.95310230338,235246.0,1779104.0
2010-03-29,24633.935463789167,24757.32724631666,24860.97634363976,24579.64307947707,212962.0,1250220.0
2010-03-30,24594.45009338037,24658.613820294668,24846.169329736458,24421.701597841875,225418.0,1471900.0
2010-03-31,24199.596389292383,24678.356505499065,24767.19858891886,24115.689977173686,229620.0,1411118.0
2010-04-01,24263.760116206682,24298.30981531438,24480.929653455074,24169.982361485785,234276.0,1289730.0
2010-04-02,24461.186968250673,24461.186968250673,24752.391575015565,24293.37414401328,250124.0,1554770.0
2010-04-06,25063.33886698485,24757.32724631666,25675.362108321227,24545.09338036937,241664.0,1978332.0
2010-04-07,25176.859306910148,25152.180950404647,25285.444075534342,25009.046482672755,237968.0,1522958.0
2010-04-08,24727.713218510064,25073.21020958705,25142.30960780245,24722.777547208963,226250.0,1546022.0
