,Close,Open,High,Low,Oi,Volume
2013-10-10,4502.0,4460.0,4522.0,4452.0,54008.0,204880.0
2013-10-11,4466.0,4510.0,4524.0,4456.0,60936.0,180100.0
2013-10-14,4444.0,4476.0,4490.0,4434.0,67386.0,148998.0
2013-10-15,4442.0,4448.0,4494.0,4436.0,63700.0,201544.0
2013-10-16,4432.0,4428.0,4484.0,4428.0,67078.0,206374.0
2013-10-17,4410.0,4448.0,4460.0,4408.0,73002.0,142864.0
2013-10-18,4404.0,4412.0,4430.0,4402.0,75164.0,88740.0
2013-10-21,4452.0,4410.0,4466.0,4406.0,58838.0,154962.0
2013-10-22,4440.0,4444.0,4454.0,4428.0,56140.0,57890.0
2013-10-23,4436.0,4432.0,4444.0,4408.0,54076.0,85280.0
2013-10-24,4458.0,4434.0,4482.0,4426.0,53534.0,161110.0
2013-10-25,4406.0,4460.0,4464.0,4406.0,40222.0,115570.0
2013-10-28,4268.0,4410.0,4412.0,4250.0,93932.0,355282.0
2013-10-29,4270.0,4266.0,4288.0,4248.0,92778.0,231734.0
2013-10-30,4316.0,4270.0,4328.0,4228.0,60394.0,391474.0
2013-10-31,4292.0,4308.0,4324.0,4288.0,53198.0,128838.0
2013-11-01,4310.0,4288.0,4340.0,4256.0,42912.0,191472.0
2013-11-04,4314.0,4280.0,4336.0,4276.0,42202.0,93718.0
2013-11-05,4308.0,4310.0,4332.0,4264.0,39746.0,125920.0
2013-11-06,4308.0,4300.0,4316.0,4290.0,41692.0,71154.0
2013-11-07,4274.0,4312.0,4324.0,4268.0,61360.0,113300.0
2013-11-08,4260.0,4272.0,4284.0,4252.0,67934.0,103258.0
2013-11-11,4278.0,4262.0,4286.0,4254.0,63250.0,61468.0
2013-11-12,4304.0,4272.0,4308.0,4268.0,50388.0,88114.0
2013-11-13,4286.0,4280.0,4290.0,4262.0,52474.0,65264.0
2013-11-14,4266.0,4298.0,4302.0,4264.0,56440.0,51534.0
2013-11-15,4270.0,4266.0,4284.0,4246.0,56028.0,105770.0
2013-11-18,4292.0,4278.0,4314.0,4272.0,51044.0,49598.0
2013-11-19,4296.0,4280.0,4306.0,4264.0,53148.0,72202.0
2013-11-20,4310.0,4296.0,4326.0,4296.0,52326.0,75654.0
2013-11-21,4298.0,4306.0,4312.0,4288.0,50446.0,33340.0
2013-11-22,4338.0,4312.0,4350.0,4308.0,50256.0,75342.0
2013-11-25,4356.0,4336.0,4368.0,4316.0,51864.0,84024.0
2013-11-26,4370.0,4360.0,4444.0,4350.0,47304.0,221656.0
2013-11-27,4336.0,4366.0,4384.0,4332.0,43306.0,76758.0
2013-11-28,4346.0,4330.0,4358.0,4318.0,38930.0,47474.0
2013-11-29,4352.0,4352.0,4366.0,4332.0,36782.0,41974.0
2013-12-02,4354.0,4362.0,4372.0,4340.0,38472.0,46012.0
2013-12-03,4382.0,4360.0,4410.0,4352.0,41354.0,81870.0
2013-12-04,4388.0,4408.0,4412.0,4378.0,46282.0,93100.0
2013-12-05,4376.0,4398.0,4406.0,4372.0,39522.0,57462.0
2013-12-06,4424.0,4382.0,4430.0,4360.0,59890.0,135882.0
2013-12-09,4396.0,4426.0,4442.0,4376.0,46882.0,119214.0
2013-12-10,4388.0,4398.0,4408.0,4380.0,46356.0,50566.0
2013-12-11,4390.0,4390.0,4404.0,4380.0,44676.0,33290.0
2013-12-12,4388.0,4398.0,4420.0,4372.0,49622.0,79410.0
2013-12-13,4370.0,4388.0,4388.0,4302.0,46132.0,86970.0
2013-12-16,4360.0,4378.0,4382.0,4334.0,42952.0,34804.0
2013-12-17,4330.0,4360.0,4364.0,4328.0,42262.0,35108.0
2013-12-18,4334.0,4330.0,4340.0,4314.0,41638.0,22778.0
2013-12-19,4326.0,4334.0,4350.0,4326.0,40540.0,14012.0
2013-12-20,4316.0,4326.0,4350.0,4314.0,43002.0,30948.0
2013-12-23,4330.0,4314.0,4330.0,4306.0,41614.0,22338.0
2013-12-24,4326.0,4328.0,4334.0,4316.0,41882.0,15596.0
2013-12-25,4338.0,4326.0,4356.0,4324.0,43250.0,16528.0
2013-12-26,4282.0,4342.0,4344.0,4268.0,51334.0,66716.0
2013-12-27,4316.0,4276.0,4328.0,4262.0,43832.0,57464.0
2013-12-30,4334.0,4320.0,4340.0,4312.0,38628.0,22012.0
2013-12-31,4304.0,4320.0,4324.0,4292.0,40424.0,23528.0
2014-01-02,4290.0,4302.0,4314.0,4282.0,41304.0,22642.0
2014-01-03,4278.0,4282.0,4292.0,4254.0,40832.0,22232.0
2014-01-06,4284.0,4270.0,4306.0,4262.0,40442.0,15122.0
2014-01-07,4248.0,4272.0,4288.0,4248.0,43496.0,23584.0
2014-01-08,4272.0,4246.0,4276.0,4206.0,40892.0,36410.0
2014-01-09,4282.0,4266.0,4312.0,4264.0,38102.0,22262.0
2014-01-10,4282.0,4280.0,4306.0,4256.0,37350.0,9368.0
2014-01-13,4308.0,4280.0,4318.0,4276.0,35994.0,11788.0
2014-01-14,4342.0,4310.0,4346.0,4302.0,34526.0,17872.0
2014-01-15,4370.0,4320.0,4378.0,4318.0,37610.0,21692.0
2014-01-16,4364.0,4380.0,4498.0,4354.0,34698.0,14170.0
2014-01-17,4354.0,4374.0,4384.0,4346.0,34078.0,12816.0
2014-01-20,4354.0,4358.0,4376.0,4330.0,30362.0,13012.0
2014-01-21,4348.0,4360.0,4366.0,4336.0,30250.0,7672.0
2014-01-22,4350.0,4370.0,4374.0,4344.0,29270.0,5568.0
2014-01-23,4356.0,4360.0,4360.0,4350.0,28012.0,2362.0
2014-01-24,4360.0,4356.0,4374.0,4352.0,24262.0,7500.0
2014-01-27,4372.0,4350.0,4386.0,4350.0,21986.0,7680.0
2014-01-28,4372.0,4372.0,4390.0,4366.0,18726.0,6692.0
2014-01-29,4372.0,4368.0,4374.0,4328.0,17070.0,6764.0
2014-01-30,4390.0,4370.0,4438.0,4352.0,16488.0,6080.0
2014-02-07,4428.0,4392.0,4428.0,4392.0,14312.0,8012.0
2014-02-10,4426.0,4428.0,4444.0,4386.0,12128.0,7392.0
2014-02-11,4424.0,4402.0,4426.0,4402.0,11000.0,3824.0
2014-02-12,4292.0,4420.0,4420.0,4290.0,7306.0,6856.0
2014-02-13,4246.0,4312.0,4346.0,4206.0,7180.0,196.0
2014-02-14,4092.0,4131.1133363677745,4134.838416021848,4092.0,10074.0,7306.0
2014-02-17,4101.312699135185,4092.0,4116.213017751479,4064.061902594447,11250.0,12282.0
2014-02-18,4097.587619481111,4099.450159308148,4108.762858443332,4080.824761037779,11266.0,7886.0
2014-02-19,4086.4123805188897,4105.0377787892585,4116.213017751479,4078.962221210742,10950.0,6848.0
2014-02-20,4069.649522075558,4082.687300864816,4090.137460172963,4030.5361857077833,12872.0,18446.0
2014-02-21,4065.924442421484,4067.786982248521,4071.5120619025947,4037.986345015931,13634.0,9540.0
2014-02-24,4051.024123805189,4062.19936276741,4069.649522075558,4047.299044151115,13500.0,6308.0
2014-02-25,4051.024123805189,4056.6117432862998,4067.786982248521,4047.299044151115,13292.0,6042.0
2014-02-26,3978.385070550751,4054.749203459263,4056.6117432862998,3939.271734182977,20326.0,31196.0
2014-02-27,3982.110150204825,3974.6599908966773,4000.7355484751934,3961.6222121074193,19370.0,12582.0
2014-02-28,3980.247610377788,3980.247610377788,3985.8352298588984,3965.347291761493,17956.0,7212.0
2014-03-03,3970.9349112426034,3991.422849340009,3993.285389167046,3963.484751934456,18216.0,6312.0
2014-03-04,3957.8971324533454,3970.9349112426034,3982.110150204825,3954.172052799272,19830.0,11122.0
2014-03-05,3976.522530723714,3963.484751934456,3998.8730086481564,3961.6222121074193,19014.0,6428.0
2014-03-06,3969.072371415567,3972.7974510696404,3974.6599908966773,3937.40919435594,19824.0,11586.0
2014-03-07,3952.309512972235,3974.6599908966773,3983.9726900318615,3946.7218934911243,23018.0,13108.0
2014-03-10,3903.8834774692764,3941.1342740100135,3946.7218934911243,3868.4952207555757,29034.0,32022.0
2014-03-11,3929.9590350477924,3900.1583978152025,3946.7218934911243,3894.570778334092,27614.0,15872.0
2014-03-12,3902.0209376422395,3918.7837960855713,3920.6463359126083,3874.0828402366865,28124.0,12222.0
2014-03-13,3902.0209376422395,3900.1583978152025,3909.471096950387,3890.8456986800184,30972.0,11154.0
2014-03-14,3900.1583978152025,3896.4333181611287,3903.8834774692764,3874.0828402366865,30102.0,9806.0
2014-03-17,3900.1583978152025,3902.0209376422395,3916.9212562585344,3888.9831588529814,29934.0,9640.0
2014-03-18,3905.7460172963133,3898.2958579881656,3909.471096950387,3894.570778334092,29254.0,7580.0
2014-03-19,3924.371415566682,3907.6085571233502,3939.271734182977,3905.7460172963133,30732.0,19336.0
2014-03-20,3928.0964952207555,3935.546654528903,3944.8593536640874,3926.2339553937186,29816.0,11094.0
2014-03-21,3929.9590350477924,3926.2339553937186,3935.546654528903,3907.6085571233502,29108.0,11518.0
2014-03-24,3937.40919435594,3928.0964952207555,3944.8593536640874,3928.0964952207555,28672.0,9510.0
2014-03-25,3946.7218934911243,3937.40919435594,3961.6222121074193,3929.9590350477924,25784.0,13670.0
2014-03-26,3928.0964952207555,3944.8593536640874,3956.0345926263085,3922.508875739645,25618.0,12960.0
2014-03-27,3924.371415566682,3929.9590350477924,3931.8215748748294,3916.9212562585344,24592.0,8936.0
2014-03-28,3883.3955393718707,3922.508875739645,3928.0964952207555,3767.918070095585,27736.0,31536.0
2014-03-31,3883.3955393718707,3995.147928994083,3995.147928994083,3881.5329995448337,25560.0,14006.0
2014-04-01,3890.8456986800184,3879.6704597177973,3896.4333181611287,3874.0828402366865,26260.0,4980.0
2014-04-02,3857.3199817933546,3887.1206190259445,3892.7082385070553,3853.5949021392807,28378.0,11914.0
2014-04-03,3831.2444242148385,3853.5949021392807,3861.0450614474285,3808.893946290396,33228.0,15724.0
2014-04-04,3842.4196631770596,3831.2444242148385,3848.0072826581704,3829.3818843878016,29688.0,8518.0
2014-04-08,3862.9076012744654,3844.2822030040966,3894.570778334092,3840.5571233500227,27646.0,16012.0
2014-04-09,3866.632680928539,3866.632680928539,3879.6704597177973,3861.0450614474285,27998.0,6380.0
2014-04-10,3861.0450614474285,3868.4952207555757,3868.4952207555757,3851.732362312244,29842.0,8100.0
