,Close,Open,High,Low,Oi,Volume
2011-03-25,18950.0,18935.0,19135.0,18860.0,8494.0,24858.0
2011-03-28,18605.0,18900.0,19035.0,18500.0,8262.0,16960.0
2011-03-29,18675.0,18530.0,18735.0,18485.0,7968.0,10618.0
2011-03-30,18760.0,18800.0,18850.0,18695.0,7320.0,8086.0
2011-03-31,18665.0,18700.0,18720.0,18580.0,6776.0,3056.0
2011-04-01,18640.0,18780.0,18780.0,18570.0,6716.0,2550.0
2011-04-06,19220.0,18675.0,19360.0,18675.0,9362.0,15400.0
2011-04-07,19075.0,19200.0,19300.0,19035.0,8644.0,10426.0
2011-04-08,19175.0,19090.0,19250.0,19005.0,9388.0,8434.0
2011-04-11,19210.0,19250.0,19440.0,19145.0,10242.0,13938.0
2011-04-12,18800.0,19000.0,19125.0,18790.0,9154.0,9256.0
2011-04-13,18715.0,18610.0,18745.0,18540.0,8776.0,5566.0
2011-04-14,18580.0,18555.0,18690.0,18540.0,8574.0,3846.0
2011-04-15,18580.0,18605.0,18780.0,18505.0,8818.0,9992.0
2011-04-18,18580.0,18575.0,18650.0,18525.0,8898.0,3334.0
2011-04-19,17980.0,18300.0,18350.0,17950.0,10212.0,8390.0
2011-04-20,18165.0,18065.0,18180.0,18065.0,9508.0,2930.0
2011-04-21,18180.0,18300.0,18300.0,18140.0,9250.0,2504.0
2011-04-22,17975.0,18235.0,18235.0,17880.0,9506.0,3420.0
2011-04-25,17760.0,17980.0,18050.0,17760.0,9514.0,2102.0
2011-04-26,17645.0,17695.0,17695.0,17420.0,8968.0,3506.0
2011-04-27,17550.0,17620.0,17790.0,17420.0,8776.0,2974.0
2011-04-28,17755.0,17555.0,17850.0,17555.0,8592.0,3278.0
2011-04-29,17550.0,17665.0,17725.0,17530.0,8520.0,1548.0
2011-05-03,17530.0,17550.0,17650.0,17460.0,8712.0,1902.0
2011-05-04,17480.0,17590.0,17595.0,17440.0,8546.0,1140.0
2011-05-05,16715.0,17310.0,17310.0,16450.0,8648.0,4070.0
2011-05-06,16255.0,16220.0,16440.0,16190.0,8950.0,6540.0
2011-05-09,16620.0,16330.0,16640.0,16330.0,8668.0,3246.0
2011-05-10,16645.0,16505.0,16710.0,16465.0,8604.0,2760.0
2011-05-11,16675.0,16690.0,17200.0,16595.0,8608.0,3638.0
2011-05-12,16220.0,16450.0,16500.0,16220.0,8802.0,4424.0
