,Close,Open,High,Low,Oi,Volume
2010-01-04,60030.0,60150.0,60710.0,59820.0,161040.0,285600.0
2010-01-05,60590.0,60450.0,60670.0,59900.0,160152.0,270286.0
2010-01-06,61630.0,60660.0,61940.0,60510.0,172100.0,317130.0
2010-01-07,61170.0,62070.0,63450.0,60510.0,159808.0,585286.0
2010-01-08,60690.0,61200.0,61460.0,59680.0,155876.0,533576.0
2010-01-11,62170.0,61550.0,62520.0,61530.0,156532.0,313530.0
2010-01-12,61700.0,61520.0,61850.0,61050.0,151668.0,269398.0
2010-01-13,59770.0,59500.0,60480.0,58770.0,157426.0,379902.0
2010-01-14,60750.0,61010.0,61240.0,60600.0,150502.0,180786.0
2010-01-15,60510.0,60710.0,60960.0,60170.0,148232.0,157256.0
2010-01-18,60880.0,60000.0,60950.0,59960.0,140768.0,114758.0
2010-01-19,61630.0,61230.0,61680.0,61150.0,120820.0,88826.0
2010-01-20,61000.0,62130.0,62240.0,60980.0,172128.0,309334.0
2010-01-21,60970.0,60800.0,61230.0,60300.0,185938.0,354376.0
2010-01-22,59360.0,59580.0,59970.0,58600.0,205670.0,446150.0
2010-01-25,59930.0,59780.0,60060.0,59280.0,209794.0,316838.0
2010-01-26,59210.0,60430.0,60450.0,59180.0,216100.0,357058.0
2010-01-27,59530.0,59550.0,59850.0,59110.0,214978.0,336408.0
2010-01-28,57480.0,57500.0,57980.0,57050.0,225750.0,517296.0
2010-01-29,55570.0,56780.0,56880.0,55390.0,234376.0,533156.0
2010-02-01,54470.0,55050.0,55280.0,53360.0,216234.0,613814.0
2010-02-02,54300.0,55210.0,55490.0,54110.0,206016.0,459288.0
2010-02-03,55890.0,55070.0,56000.0,54560.0,198888.0,521488.0
2010-02-04,54000.0,53700.0,54460.0,53420.0,201322.0,448664.0
2010-02-05,51980.0,52280.0,52350.0,51360.0,195436.0,397578.0
2010-02-08,52560.0,52420.0,53280.0,52310.0,188590.0,287140.0
2010-02-09,53200.0,52410.0,53390.0,51980.0,193240.0,398498.0
