,Close,Open,High,Low,Oi,Volume
2010-01-04,17200.0,17440.0,17450.0,17185.0,127660.0,131892.0
2010-01-05,17540.0,17250.0,17570.0,17240.0,146912.0,215870.0
2010-01-06,18160.0,17520.0,18295.0,17520.0,164378.0,430170.0
2010-01-07,17835.0,18400.0,18685.0,17200.0,159386.0,495942.0
2010-01-08,17500.0,17770.0,17890.0,17320.0,145602.0,356244.0
2010-01-11,18260.0,17770.0,18270.0,17750.0,163544.0,335398.0
2010-01-12,18255.0,18180.0,18325.0,17960.0,175814.0,520554.0
2010-01-13,17410.0,17500.0,17640.0,17250.0,149034.0,374130.0
2010-01-14,17600.0,17810.0,17815.0,17550.0,148542.0,182448.0
2010-01-15,17590.0,17680.0,17825.0,17465.0,141990.0,223298.0
2010-01-18,17665.0,17400.0,17715.0,17350.0,139062.0,107274.0
2010-01-19,17735.0,17640.0,17860.0,17610.0,123694.0,147694.0
2010-01-20,17410.0,17730.0,17780.0,17405.0,115292.0,71252.0
2010-01-21,17465.0,17300.0,17490.0,17290.0,112484.0,41894.0
2010-01-22,17060.0,17275.0,17370.0,16930.0,104184.0,59878.0
2010-01-25,17195.000000000004,17041.384726224787,17308.972622478388,16957.144092219023,110512.0,164152.0
2010-01-26,16962.099423631127,17204.91066282421,17259.419308357352,16947.233429394815,111578.0,167954.0
2010-01-27,17001.742074927955,17046.34005763689,17100.84870317003,16937.322766570607,112064.0,130144.0
2010-01-28,16312.951008645536,16570.62824207493,16620.18155619597,16258.442363112395,115150.0,246752.0
2010-01-29,15995.809798270897,16025.541786743519,16159.33573487032,15876.881844380407,108346.0,216634.0
2010-02-01,16198.97838616715,16065.184438040349,16218.799711815565,15792.641210374642,117644.0,365148.0
2010-02-02,16223.75504322767,16263.3976945245,16342.682997118158,16099.871757925075,107990.0,195952.0
2010-02-03,16595.40489913545,16377.370317002884,16605.31556195966,16273.308357348706,112130.0,265786.0
2010-02-04,16372.414985590782,16253.487031700291,16496.298270893374,16154.380403458215,107566.0,205216.0
2010-02-05,16134.559077809801,16005.720461095103,16159.33573487032,15985.899135446689,105306.0,182194.0
2010-02-08,16159.33573487032,16154.380403458215,16243.576368876084,16055.273775216141,104850.0,130992.0
2010-02-09,16317.90634005764,16134.559077809801,16337.727665706056,16089.961095100867,108500.0,140462.0
2010-02-10,16471.521613832854,16461.61095100865,16535.940922190206,16372.414985590782,102576.0,83172.0
2010-02-11,16491.34293948127,16451.700288184442,16644.958213256486,16446.744956772338,102154.0,67278.0
2010-02-12,16674.69020172911,16540.89625360231,16778.752161383287,16451.700288184442,97864.0,72272.0
2010-02-22,16828.305475504327,17328.793948126804,17328.793948126804,16749.020172910667,98560.0,63050.0
2010-02-23,16862.99279538905,16843.17146974064,16932.367435158503,16788.662824207495,104384.0,61102.0
2010-02-24,16679.645533141214,16649.91354466859,16773.796829971183,16630.092219020175,98802.0,41798.0
2010-02-25,16689.556195965422,16699.466858789627,16818.39481268012,16640.002881844383,96294.0,42188.0
2010-02-26,16580.53890489914,16590.449567723346,16689.556195965422,16560.717579250722,96512.0,24018.0
2010-03-01,16694.511527377526,16838.216138328535,16917.501440922195,16635.04755043228,92016.0,21840.0
2010-03-02,16402.146974063402,16689.556195965422,16689.556195965422,16397.191642651298,90918.0,11246.0
2010-03-03,16530.9855907781,16516.247713579785,16614.500228235225,16511.335087847012,89660.0,60112.0
2010-03-04,16526.07296504533,16634.150731166315,16648.888608364632,16476.94670771761,89830.0,48716.0
2010-03-05,16594.84972530414,16565.373970907505,16624.32547970077,16526.07296504533,95922.0,64712.0
2010-03-08,16776.616877416705,16643.97598263186,16835.56838620997,16609.587602502455,115550.0,139822.0
2010-03-09,16639.063356899085,16712.75274289067,16712.75274289067,16599.76235103691,113194.0,71682.0
2010-03-10,16766.791625951162,16698.014865692352,16820.830509011656,16668.53911129572,114720.0,89756.0
2010-03-11,16609.587602502455,16683.276988494035,16693.10223995958,16570.286596640275,110576.0,78846.0
2010-03-12,16619.412853968,16663.626485562945,16668.53911129572,16540.810842243645,111042.0,52680.0
2010-03-15,16378.694193062165,16653.801234097402,16663.626485562945,16349.218438665532,114042.0,82646.0
2010-03-16,16403.257321726025,16329.567935734443,16427.820450389885,16226.40279534623,110434.0,70996.0
2010-03-17,16526.07296504533,16476.94670771761,16560.461345174732,16383.606818794937,110576.0,71450.0
2010-03-18,16383.606818794937,16555.548719441962,16589.937099571365,16329.567935734443,114318.0,82628.0
2010-03-19,16555.548719441962,16408.1699474588,16653.801234097402,16368.868941596622,121086.0,141928.0
2010-03-22,16393.432070260482,16427.820450389885,16521.160339312555,16388.51944452771,114578.0,69272.0
2010-03-23,16319.7426842689,16447.470953320975,16486.771959183152,16260.791175475635,121740.0,78872.0
2010-03-24,16236.228046811775,16319.7426842689,16447.470953320975,16177.27653801851,123770.0,108532.0
2010-03-25,16093.761900561383,16162.538660820193,16236.228046811775,16034.810391768118,131332.0,125426.0
2010-03-26,16270.616426941178,16133.06290642356,16305.004807070583,16069.198771897523,124822.0,113812.0
2010-03-29,16334.480561467217,16309.917432803355,16359.043690131077,16280.441678406723,121894.0,57960.0
2010-03-30,16368.868941596622,16408.1699474588,16417.995198924342,16309.917432803355,113658.0,51436.0
2010-03-31,16285.354304139495,16398.344695993255,16398.344695993255,16216.577543880687,113966.0,32018.0
2010-04-01,16359.043690131077,16354.131064398305,16457.29620478652,16309.917432803355,107396.0,47394.0
2010-04-02,16417.995198924342,16408.1699474588,16457.29620478652,16359.043690131077,105076.0,20552.0
2010-04-06,16521.160339312555,16437.645701855432,16575.19922237305,16432.73307612266,101572.0,30028.0
2010-04-07,16491.68458491592,16521.160339312555,16555.548719441962,16422.907824657115,96674.0,16004.0
2010-04-08,16339.39318719999,16475.635893942574,16475.635893942574,16319.92994337962,99148.0,67180.0
2010-04-09,16422.11197343656,16397.782918661098,16441.57521725693,16368.588052930545,101560.0,47814.0
2010-04-12,16626.476033550436,16548.62305826896,16689.731575966638,16524.294003493498,136546.0,154246.0
2010-04-13,16587.5495459097,16563.220491134238,16728.658063607374,16509.69657062822,152698.0,287364.0
2010-04-14,16660.536710236083,16728.658063607374,16748.121307427744,16650.8050883259,153000.0,128282.0
2010-04-15,16631.34184450553,16723.79225265228,16733.523874562467,16602.146978774974,159682.0,101608.0
2010-04-16,16572.952113044423,16675.13414310136,16675.13414310136,16563.220491134238,161118.0,80184.0
2010-04-19,16125.297505175928,16407.514540571283,16417.246162481468,16120.431694220837,142460.0,127606.0
2010-04-20,16246.942779053237,16203.150480457405,16266.406022873605,16159.358181861575,140320.0,66292.0
2010-04-21,16242.076968098145,16237.211157143052,16261.540211918513,16178.821425681945,140740.0,60516.0
