,Close,Open,High,Low,Oi,Volume
2010-01-04,21435.0,21405.0,21725.0,21250.0,159712.0,379208.0
2010-01-05,21650.0,21470.0,21700.0,21255.0,168020.0,470848.0
2010-01-06,21740.0,21580.0,21935.0,21510.0,161544.0,415594.0
2010-01-07,21725.0,22150.0,22600.0,21350.0,146986.0,520498.0
2010-01-08,21210.0,21520.0,21705.0,20900.0,140680.0,614318.0
2010-01-11,21735.0,21510.0,21780.0,21350.0,135738.0,373446.0
2010-01-12,21490.0,21600.0,21600.0,21125.0,147190.0,448548.0
2010-01-13,20450.0,20515.0,20830.0,20325.0,134540.0,360390.0
2010-01-14,20610.0,20935.0,20965.0,20520.0,142024.0,360666.0
2010-01-15,20470.0,20550.0,20845.0,20200.0,133166.0,412092.0
2010-01-18,20550.0,20290.0,20575.0,20235.0,119920.0,282532.0
2010-01-19,20950.0,20685.0,20970.0,20560.0,97614.0,257556.0
2010-01-20,20795.0,21142.41050119332,21261.522673031028,20765.221957040576,137176.0,549688.0
2010-01-21,20770.184964200478,20616.331742243437,20824.778042959428,20378.10739856802,143084.0,547954.0
2010-01-22,19782.546539379477,20249.069212410504,20378.10739856802,19554.248210023867,158540.0,627324.0
2010-01-25,19876.843675417662,19752.76849642005,20015.80787589499,19574.100238663486,171296.0,569736.0
2010-01-26,19246.541766109785,19891.732696897376,19981.06682577566,19186.985680190934,216286.0,810362.0
2010-01-27,19306.09785202864,19405.357995226732,19499.655131264917,19191.948687350836,195344.0,694706.0
2010-01-28,18378.015513126495,18571.57279236277,18755.20405727924,18378.015513126495,194452.0,421842.0
2010-01-29,17459.859188544153,18095.124105011935,18129.865155131265,17400.3031026253,188626.0,827258.0
2010-02-01,17301.04295942721,17440.007159904537,17698.08353221957,16993.33651551313,200092.0,1014014.0
2010-02-02,17176.967780429597,17668.305489260143,17698.08353221957,17033.040572792364,177090.0,811038.0
2010-02-03,18025.64200477327,17380.45107398568,18040.531026252986,17266.301909307876,170240.0,1037960.0
2010-02-04,17549.193317422436,17420.155131264917,17812.232696897376,17211.708830548927,171416.0,1127880.0
2010-02-05,17018.15155131265,16953.632458233893,17122.374701670647,16784.89021479714,162160.0,818788.0
2010-02-08,17052.892601431984,16978.447494033415,17370.525059665873,16978.447494033415,166092.0,733668.0
2010-02-09,17181.9307875895,16973.48448687351,17266.301909307876,16809.70525059666,172146.0,855268.0
2010-02-10,17554.15632458234,17459.859188544153,17663.34248210024,17330.821002386638,154572.0,749502.0
2010-02-11,17941.270883054895,17618.6754176611,18010.752983293558,17569.045346062056,143436.0,652988.0
2010-02-12,18209.27326968974,18214.236276849642,18278.755369928404,18015.715990453464,123522.0,346594.0
2010-02-22,18700.610978520286,19335.87589498807,19335.87589498807,18660.90692124105,110260.0,318244.0
2010-02-23,18636.09188544153,18551.72076372315,18710.536992840098,18482.238663484488,114214.0,278404.0
2010-02-24,18244.01431980907,18244.01431980907,18313.496420047733,18184.458233890215,107206.0,188724.0
2010-02-25,18139.791169451077,18297.229009815175,18621.94455556613,18129.95130442832,144408.0,555342.0
2010-02-26,18134.871236939696,18110.27157438281,18262.789482235527,18056.15231675765,162710.0,502646.0
2010-03-01,18474.34658022479,18695.7435432368,18872.861113646413,18351.348267440335,172476.0,540008.0
2010-03-02,17770.796231097716,18434.987120133763,18444.826985156516,17760.956366074963,184818.0,490752.0
2010-03-03,17962.673599041464,18085.671911825917,18085.671911825917,17829.835421234257,177258.0,547928.0
2010-03-04,18056.15231675765,18120.111439405562,18292.3090773038,17967.59353155284,167124.0,610622.0
2010-03-05,18292.3090773038,18026.63272168938,18351.348267440335,17879.034746348036,159588.0,585200.0
2010-03-08,18926.980371271573,18567.82529794097,18951.580033828464,18479.266512736165,174936.0,608786.0
2010-03-09,18794.142193464362,18813.821923509877,18867.941181135036,18597.344893009238,169384.0,607574.0
2010-03-10,19045.058751544646,18794.142193464362,19138.53746926083,18769.542530907474,174336.0,613210.0
2010-03-11,18567.82529794097,18917.140506248816,18990.939493919486,18484.186445247542,171092.0,670832.0
2010-03-12,18749.86280086196,18695.7435432368,18774.46246341885,18489.106377758922,170706.0,533276.0
2010-03-15,18198.830359587613,18676.06381319129,18710.503340770934,18110.27157438281,175154.0,617032.0
2010-03-16,18356.26819995171,18006.952991643866,18415.30739008825,17829.835421234257,186408.0,727168.0
