,Close,Open,High,Low,Oi,Volume
2015-03-30,118080.0,119270.0,119530.0,115600.0,830.0,2468.0
2015-03-31,118160.0,117650.0,119800.0,115960.0,1176.0,4522.0
2015-04-01,117910.0,118020.0,118880.0,117070.0,1272.0,4374.0
2015-04-02,118620.0,117970.0,119080.0,117970.0,1038.0,2716.0
2015-04-03,118850.0,118810.0,119470.0,118560.0,1000.0,1390.0
2015-04-07,118860.0,118890.0,119090.0,118270.0,904.0,848.0
2015-04-08,117870.0,118710.0,118890.0,117150.0,750.0,848.0
2015-04-09,116790.0,117570.0,117980.0,116500.0,802.0,816.0
2015-04-10,115990.0,116500.0,116980.0,115320.0,916.0,2418.0
2015-04-13,115940.0,115960.0,116290.0,115270.0,1008.0,1628.0
2015-04-14,112300.0,115550.0,115650.0,112300.0,1894.0,5588.0
2015-04-15,113850.0,112400.0,114140.0,112320.0,1692.0,4132.0
2015-04-16,112880.0,113200.0,113700.0,111010.0,1962.0,3866.0
2015-04-17,110000.0,113010.0,113010.0,109300.0,3584.0,11322.0
2015-04-20,111440.0,112000.0,112960.0,111120.0,2656.0,10518.0
2015-04-21,111550.0,111840.0,111880.0,111100.0,2964.0,3434.0
2015-04-22,112940.0,112190.0,113430.0,112190.0,2738.0,5870.0
2015-04-23,113300.0,113400.0,113760.0,112960.0,2468.0,3310.0
2015-04-24,113940.0,113350.0,113950.0,112750.0,2526.0,2088.0
2015-04-27,117960.0,114400.0,117960.0,114400.0,3096.0,16994.0
2015-04-28,117400.0,117970.0,118550.0,116500.0,4452.0,31980.0
2015-04-29,115370.0,117140.0,117720.0,115110.0,4638.0,10628.0
2015-04-30,117640.0,116000.0,119900.0,115050.0,5578.0,17782.0
2015-05-04,118800.0,117360.0,119520.0,117360.0,6072.0,8824.0
2015-05-05,118680.0,119000.0,119780.0,118000.0,6392.0,12990.0
2015-05-06,123400.0,119650.0,123670.0,119500.0,8600.0,32668.0
2015-05-07,122030.0,123300.0,125910.0,121500.0,7606.0,51604.0
2015-05-08,121360.0,122700.0,122960.0,120020.0,7344.0,22070.0
2015-05-11,122400.0,120890.0,122690.0,120710.0,7580.0,13824.0
2015-05-12,119970.0,121100.0,121930.0,119690.0,7502.0,17242.0
2015-05-13,120700.0,120800.0,121100.0,120000.0,7156.0,10418.0
2015-05-14,119500.0,120700.0,122480.0,117800.0,7222.0,31286.0
2015-05-15,119100.0,119190.0,119680.0,118610.0,7396.0,11000.0
2015-05-18,119250.0,118690.0,119940.0,118030.0,7298.0,11708.0
2015-05-19,118140.0,119520.0,119650.0,118070.0,6732.0,7572.0
2015-05-20,115850.0,117690.0,117960.0,114160.0,6122.0,27600.0
2015-05-21,119190.0,116350.0,120400.0,115220.0,6916.0,38176.0
2015-05-22,117980.0,119500.0,119730.0,116900.0,6632.0,23976.0
2015-05-25,117590.0,117170.0,119800.0,116800.0,6844.0,25734.0
2015-05-26,118270.0,117600.0,119570.0,117600.0,6648.0,18802.0
2015-05-27,116560.0,116760.0,117570.0,116200.0,7100.0,17864.0
2015-05-28,116960.0,116010.0,117510.0,115720.0,6654.0,15242.0
2015-05-29,116160.0,116900.0,116900.0,115680.0,6090.0,8976.0
2015-06-01,116120.0,116090.0,116350.0,115630.0,5706.0,4366.0
2015-06-02,116520.0,116120.0,117000.0,115780.0,5624.0,3880.0
2015-06-03,115680.0,116740.0,116800.0,115020.0,5472.0,3306.0
2015-06-04,114800.0,115330.0,115900.0,114500.0,5214.0,3252.0
2015-06-05,114260.0,114640.0,114980.0,114260.0,5218.0,1284.0
2015-06-08,114700.0,113990.0,114940.0,113910.0,5128.0,2082.0
2015-06-09,115080.0,114710.0,115600.0,114710.0,5112.0,2204.0
2015-06-10,115440.0,115340.0,115550.0,114850.0,5090.0,1234.0
2015-06-11,115420.0,115490.0,115670.0,115300.0,4910.0,1014.0
2015-06-12,113700.0,114420.0,114700.0,113520.0,4014.0,3152.0
2015-06-15,113160.0,113410.0,113660.0,112810.0,3794.0,1276.0
2015-06-16,111780.0,111720.0,112650.0,111700.0,3668.0,1166.0
2015-06-17,111730.0,111990.0,112230.0,111210.0,3574.0,1016.0
2015-06-18,112510.0,112290.0,112600.0,111820.0,3462.0,768.0
2015-06-19,113770.0,113010.0,114450.0,112470.0,3422.0,1368.0
2015-06-23,114100.0,113360.0,114330.0,113360.0,3304.0,644.0
2015-06-24,113180.0,113540.0,114150.0,112500.0,3194.0,988.0
2015-06-25,111460.0,112820.0,113300.0,109470.0,3092.0,1352.0
2015-06-26,110540.0,111280.0,111920.0,109800.0,2948.0,1700.0
2015-06-29,109720.0,109100.0,110800.0,108560.0,3000.0,1252.0
2015-06-30,106000.0,109000.0,109400.0,105740.0,2810.0,1384.0
2015-07-01,106700.0,104010.0,107980.0,104010.0,2776.0,278.0
2015-07-02,108570.00000000001,108668.96991795808,108857.0127620784,107441.74293527805,2810.0,2598.0
2015-07-03,108866.9097538742,109233.09845031906,109995.16681859618,108263.19325433,2900.0,2348.0
2015-07-06,105986.88514129445,106847.92342752963,108718.45487693712,105412.85961713766,2884.0,2102.0
2015-07-07,105976.98814949865,107382.3609845032,108065.25341841386,105699.87237921606,2794.0,2356.0
2015-07-08,102641.70191431176,104908.11303555152,105333.68368277121,102641.70191431176,2882.0,3870.0
2015-07-09,106689.57155879673,103591.81312670921,108886.70373746582,102938.61166818597,2426.0,3426.0
2015-07-10,106729.15952597995,107085.451230629,109302.37739288971,105482.1385597083,2666.0,3844.0
2015-07-13,106422.35278030994,106640.08659981769,107382.3609845032,105798.84229717412,2586.0,2170.0
2015-07-14,107679.2707383774,106887.51139471287,109351.86235186874,106887.51139471287,2336.0,2830.0
2015-07-15,108560.1030082042,107906.90154968096,109163.81950774841,107154.73017319964,2256.0,2168.0
2015-07-16,108223.60528714677,108748.14585232454,109084.64357338197,107006.27529626254,2220.0,1928.0
2015-07-17,109351.86235186874,108391.85414767549,109648.77210574294,108193.91431175935,2314.0,2288.0
2015-07-20,110381.14949863264,111242.18778486783,111331.26071103009,109955.57885141295,2316.0,6298.0
2015-07-21,109856.60893345489,110707.75022789427,110707.75022789427,109648.77210574294,2140.0,3266.0
2015-07-22,107679.2707383774,109638.87511394714,110044.65177757521,107441.74293527805,2098.0,2200.0
2015-07-23,107817.8286235187,107134.93618960804,107817.8286235187,106946.8933454877,2130.0,1550.0
2015-07-24,107095.3482224248,108075.15041020967,108362.16317228807,107006.27529626254,2078.0,1462.0
2015-07-27,107055.76025524158,107164.62716499546,110252.48860528716,105927.50319051961,2084.0,3556.0
2015-07-28,108688.7639015497,107283.39106654514,108807.52780309936,106808.33546034641,2068.0,1906.0
2015-07-29,110618.67730173201,109836.81494986327,111202.5998176846,109658.66909753875,2024.0,3144.0
2015-07-30,109045.05560619873,110113.93072014586,110628.57429352781,108985.67365542389,1958.0,2828.0
2015-07-31,108827.32178669098,108471.03008204194,109995.16681859618,108154.32634457613,1960.0,1278.0
2015-08-03,107600.09480401095,109302.37739288971,110222.79762989974,107600.09480401095,1906.0,1688.0
2015-08-04,107629.78577939837,106689.57155879673,107738.65268915224,106392.66180492252,1744.0,1578.0
2015-08-05,106382.76481312672,107778.24065633547,108065.25341841386,105798.84229717412,1792.0,1078.0
2015-08-06,106244.20692798542,106392.66180492252,107362.56700091159,105294.09571558797,1736.0,1482.0
2015-08-07,106303.58887876026,106491.6317228806,106966.68732907932,105689.97538742024,1680.0,810.0
2015-08-10,106699.46855059253,105996.78213309025,106847.92342752963,105412.85961713766,1590.0,816.0
2015-08-11,107372.46399270739,106293.69188696446,110203.00364630812,106155.13400182316,1506.0,1200.0
2015-08-12,107283.39106654514,106986.48131267093,107501.12488605289,105967.09115770283,1536.0,1104.0
2015-08-13,106679.67456700093,107501.12488605289,108193.91431175935,106392.66180492252,1476.0,1550.0
2015-08-14,106095.75205104833,106511.4257064722,107095.3482224248,106095.75205104833,1458.0,610.0
2015-08-17,106283.79489516866,108075.15041020967,108075.15041020967,105957.19416590703,1512.0,950.0
2015-08-18,106056.1640838651,106224.41294439381,106659.88058340931,105699.87237921606,1526.0,562.0
2015-08-19,106174.92798541478,105610.7994530538,106254.10391978124,105452.44758432088,1364.0,760.0
2015-08-20,105838.43026435735,106452.04375569736,107560.50683682773,105581.10847766638,1280.0,576.0
2015-08-21,104294.49954421149,105996.78213309025,106343.1768459435,104225.22060164085,1288.0,712.0
2015-08-24,100929.5223336372,102928.71467639017,104700.27620783958,100929.5223336372,1264.0,1358.0
2015-08-25,99722.08933454879,99019.4029170465,100533.64266180493,98979.81494986327,1196.0,782.0
2015-08-26,99177.75478577941,99672.60437556975,100988.90428441204,99177.75478577941,1104.0,566.0
2015-08-27,99078.78486782133,98554.24430264358,99425.17958067458,97198.35642661806,1060.0,478.0
2015-08-28,99959.61713764814,99058.99088422973,101919.22151321788,98583.935278031,1028.0,1190.0
2015-08-31,98475.06836827713,99959.61713764814,101038.38924339108,98188.05560619873,916.0,690.0
2015-09-01,98791.77210574294,99454.870556062,99464.7675478578,98484.96536007294,880.0,76.0
2015-09-02,98574.0382862352,99464.7675478578,99543.94348222426,96208.65724703738,868.0,156.0
2015-09-07,98969.91795806747,98969.91795806747,98969.91795806747,96624.33090246127,796.0,104.0
2015-09-08,99118.37283500457,97228.04740200548,99118.37283500457,97228.04740200548,760.0,76.0
2015-09-09,99365.79762989974,100523.74567000913,101147.25615314495,98969.91795806747,756.0,68.0
2015-09-10,99959.61713764814,98989.71194165907,99959.61713764814,98504.75934366455,644.0,256.0
2015-09-11,100553.43664539655,100454.46672743848,101929.11850501368,100454.46672743848,592.0,96.0
2015-09-14,99098.57885141295,100127.21666557764,100690.05622427152,99011.24167851217,830.0,574.0
2015-09-15,98458.1062501406,99147.09950302448,99486.74406430528,98166.98234047134,868.0,432.0
2015-09-16,99166.5077636691,99127.69124237988,99370.29450043758,98555.14755336368,864.0,296.0
