,Close,Open,High,Low,Oi,Volume
2015-03-30,98430.0,99010.0,100000.0,96820.0,34186.0,66684.0
2015-03-31,95040.0,98000.0,98200.0,93840.0,54888.0,105600.0
2015-04-01,92500.0,93940.0,94130.0,91270.0,70960.0,158952.0
2015-04-02,96160.0,92870.0,96600.0,92550.0,80724.0,202848.0
2015-04-03,97300.0,96000.0,97800.0,95660.0,80998.0,150282.0
2015-04-07,96420.0,97500.0,97980.0,95950.0,83542.0,75688.0
2015-04-08,93950.0,94500.0,95630.0,93300.0,95102.0,183088.0
2015-04-09,94300.0,94450.0,95260.0,93880.0,99084.0,160974.0
2015-04-10,94540.0,94500.0,94970.0,93180.0,105628.0,137722.0
2015-04-13,95230.0,94280.0,95670.0,93700.0,112858.0,180214.0
2015-04-14,93100.0,94780.0,95070.0,92810.0,127690.0,199150.0
2015-04-15,94730.0,92700.0,95000.0,92640.0,132258.0,220106.0
2015-04-16,95400.0,94610.0,95900.0,94260.0,131624.0,195920.0
2015-04-17,95850.0,96280.0,96660.0,95010.0,127284.0,168702.0
2015-04-20,95410.0,95980.0,96550.0,95200.0,116410.0,148104.0
2015-04-21,95880.0,95330.0,96800.0,94900.0,110552.0,140930.0
2015-04-22,96330.0,95910.0,96720.0,95750.0,110516.0,123902.0
2015-04-23,95860.0,96120.0,96500.0,95600.0,110646.0,101066.0
2015-04-24,97830.0,95840.0,97900.0,95700.0,113816.0,118180.0
2015-04-27,101490.0,98000.0,101490.0,97990.0,116290.0,241904.0
2015-04-28,102650.0,102490.0,104530.0,101420.0,111958.0,285722.0
2015-04-29,101020.0,102350.0,104400.0,100500.0,111334.0,317634.0
2015-04-30,106010.0,101190.0,106980.0,101160.0,125970.0,552750.0
2015-05-04,107580.0,106010.0,108900.0,105450.0,128702.0,278844.0
2015-05-05,107960.0,107850.0,109230.0,106160.0,133626.0,518266.0
2015-05-06,113380.0,110000.0,113380.0,109690.0,134182.0,609024.0
2015-05-07,112500.0,114580.0,115300.0,111050.0,123678.0,969052.0
2015-05-08,112300.0,113700.0,114100.0,110000.0,118556.0,878416.0
2015-05-11,113880.0,111810.0,114430.0,111060.0,128054.0,728054.0
2015-05-12,111600.0,113300.0,115060.0,111270.0,126536.0,871696.0
2015-05-13,111750.0,112280.0,113650.0,110780.0,123868.0,752614.0
2015-05-14,109400.0,112100.0,112100.0,107060.0,121384.0,760542.0
2015-05-15,110210.0,108980.0,110960.0,108540.0,130696.0,609290.0
2015-05-18,108610.0,109390.0,109690.0,108200.0,121292.0,544094.0
2015-05-19,106430.0,108300.0,108890.0,106160.0,116362.0,467078.0
2015-05-20,102340.0,105500.0,105990.0,102340.0,107676.0,318956.0
2015-05-21,101070.0,100490.0,102550.0,100170.0,106184.0,480198.0
2015-05-22,100070.0,100960.0,103370.0,96710.0,109808.0,741862.0
2015-05-25,99480.0,98900.0,100580.0,98110.0,114898.0,610232.0
2015-05-26,100010.0,99670.0,101900.0,99660.0,115194.0,550278.0
2015-05-27,100670.0,99990.0,101180.0,99200.0,119564.0,406048.0
2015-05-28,101130.0,100420.0,102040.0,100400.0,116488.0,545222.0
2015-05-29,99200.0,101000.0,101680.0,97740.0,116460.0,462924.0
2015-06-01,98040.0,98860.0,99290.0,97800.0,108666.0,245968.0
