,Close,Open,High,Low,Oi,Volume
2014-12-22,2738.0,2795.0,2800.0,2727.0,8132.0,26170.0
2014-12-23,2740.0,2736.0,2760.0,2715.0,8664.0,18726.0
2014-12-24,2752.0,2747.0,2760.0,2741.0,7722.0,8284.0
2014-12-25,2727.0,2750.0,2750.0,2665.0,8792.0,20260.0
2014-12-26,2721.0,2727.0,2738.0,2718.0,9116.0,9158.0
2014-12-29,2731.0,2722.0,2737.0,2720.0,8528.0,5406.0
2014-12-30,2721.0,2727.0,2733.0,2710.0,8196.0,9056.0
2014-12-31,2713.0,2728.0,2728.0,2708.0,7520.0,5280.0
2015-01-05,2684.0,2718.0,2718.0,2678.0,9790.0,13408.0
2015-01-06,2630.0,2689.0,2697.0,2624.0,14276.0,28882.0
2015-01-07,2643.0,2640.0,2651.0,2625.0,12144.0,16506.0
2015-01-08,2652.0,2640.0,2657.0,2636.0,12230.0,10858.0
2015-01-09,2648.0,2652.0,2662.0,2637.0,12758.0,12278.0
2015-01-12,2658.0,2649.0,2660.0,2648.0,12546.0,8452.0
2015-01-13,2658.0,2658.0,2661.0,2638.0,13294.0,10230.0
2015-01-14,2647.0,2646.0,2665.0,2646.0,12464.0,8676.0
2015-01-15,2662.0,2645.0,2663.0,2640.0,12536.0,7404.0
2015-01-16,2684.0,2660.0,2693.0,2655.0,12184.0,11940.0
2015-01-19,2701.0,2690.0,2714.0,2680.0,10964.0,9284.0
2015-01-20,2702.0,2700.0,2708.0,2694.0,11160.0,4142.0
2015-01-21,2711.0,2704.0,2723.0,2702.0,10840.0,7186.0
2015-01-22,2694.0,2713.0,2714.0,2672.0,11980.0,10236.0
2015-01-23,2686.0,2690.0,2703.0,2681.0,12616.0,4912.0
2015-01-26,2694.0,2695.0,2703.0,2660.0,12394.0,5054.0
2015-01-27,2728.0,2695.0,2736.0,2693.0,11850.0,12686.0
2015-01-28,2759.0,2725.0,2763.0,2704.0,12770.0,13162.0
2015-01-29,2780.0,2760.0,2828.0,2750.0,13520.0,23132.0
2015-01-30,2778.0,2780.0,2795.0,2766.0,13628.0,14918.0
2015-02-02,2796.0,2781.0,2812.0,2765.0,13480.0,11744.0
2015-02-03,2792.0,2795.0,2806.0,2782.0,13972.0,9956.0
2015-02-04,2797.0,2801.0,2817.0,2785.0,14220.0,11042.0
2015-02-05,2814.0,2800.0,2858.0,2792.0,17990.0,55740.0
2015-02-06,2839.0,2821.0,2839.0,2815.0,16914.0,13580.0
2015-02-09,2862.0,2842.0,2873.0,2833.0,22138.0,42018.0
2015-02-10,2879.0,2868.0,2880.0,2854.0,24250.0,35920.0
2015-02-11,2862.0,2875.0,2878.0,2858.0,23082.0,21656.0
2015-02-12,2840.0,2862.0,2867.0,2830.0,20088.0,30088.0
2015-02-13,2856.0,2840.0,2872.0,2837.0,19640.0,21888.0
2015-02-16,2858.0,2858.0,2860.0,2845.0,18306.0,8348.0
2015-02-17,2825.0,2855.0,2855.0,2817.0,16602.0,13600.0
2015-02-25,2810.0,2824.0,2843.0,2802.0,16506.0,10708.0
2015-02-26,2828.0,2809.0,2838.0,2806.0,17270.0,14028.0
2015-02-27,2856.0,2828.0,2865.0,2827.0,18682.0,16064.0
2015-03-02,2861.0,2856.0,2875.0,2856.0,18874.0,9402.0
2015-03-03,2842.0,2859.0,2860.0,2818.0,16686.0,11430.0
