,Close,Open,High,Low,Oi,Volume
2014-03-24,3330.0,3314.0,3330.0,3266.0,47616.0,86810.0
2014-03-25,3378.0,3326.0,3400.0,3320.0,61256.0,119854.0
2014-03-26,3376.0,3370.0,3382.0,3354.0,60560.0,37876.0
2014-03-27,3362.0,3368.0,3386.0,3350.0,61430.0,40230.0
2014-03-28,3382.0,3376.0,3386.0,3360.0,63080.0,34290.0
2014-03-31,3410.0,3396.0,3422.0,3382.0,65640.0,60970.0
2014-04-01,3414.0,3412.0,3418.0,3396.0,64136.0,17896.0
2014-04-02,3390.0,3410.0,3426.0,3388.0,68700.0,28570.0
2014-04-03,3410.0,3384.0,3414.0,3382.0,68410.0,20706.0
2014-04-04,3440.0,3412.0,3440.0,3402.0,70094.0,21360.0
2014-04-08,3480.0,3450.0,3488.0,3442.0,80872.0,40286.0
2014-04-09,3452.0,3488.0,3488.0,3444.0,81834.0,32902.0
2014-04-10,3446.0,3450.0,3470.0,3442.0,81232.0,19630.0
2014-04-11,3434.0,3430.0,3452.0,3430.0,76840.0,13100.0
2014-04-14,3438.0,3432.0,3464.0,3432.0,77020.0,12642.0
2014-04-15,3448.0,3442.0,3448.0,3418.0,75524.0,20724.0
2014-04-16,3418.0,3446.0,3446.0,3410.0,68152.0,18538.0
2014-04-17,3412.0,3428.0,3428.0,3410.0,67404.0,5590.0
2014-04-18,3354.0,3410.0,3412.0,3346.0,66498.0,51760.0
2014-04-21,3340.0,3340.0,3364.0,3340.0,64836.0,8292.0
2014-04-22,3354.0,3340.0,3366.0,3324.0,60950.0,23958.0
2014-04-23,3380.0,3358.0,3388.0,3336.0,58920.0,19844.0
2014-04-24,3390.0,3376.0,3396.0,3366.0,58086.0,12648.0
2014-04-25,3378.0,3398.0,3400.0,3372.0,58570.0,8566.0
2014-04-28,3336.0,3372.0,3372.0,3334.0,56630.0,17354.0
2014-04-29,3360.0,3334.0,3374.0,3334.0,55692.0,8736.0
2014-04-30,3344.0,3370.0,3370.0,3338.0,55210.0,9948.0
2014-05-05,3352.0,3334.0,3362.0,3224.0,53726.0,11568.0
2014-05-06,3344.0,3342.0,3364.0,3336.0,52980.0,4722.0
2014-05-07,3332.0,3338.0,3358.0,3330.0,52784.0,9532.0
2014-05-08,3312.0,3330.0,3338.0,3310.0,49644.0,13298.0
2014-05-09,3318.0,3312.0,3330.0,3302.0,49350.0,9612.0
