,Close,Open,High,Low,Oi,Volume
2011-04-18,2381.0,2233.0,2388.0,2233.0,19488.0,132702.0
2011-04-19,2336.0,2375.0,2384.0,2320.0,23270.0,204462.0
2011-04-20,2343.0,2350.0,2395.0,2328.0,23484.0,175506.0
2011-04-21,2335.0,2353.0,2363.0,2323.0,22246.0,97576.0
2011-04-22,2330.0,2336.0,2351.0,2297.0,18880.0,128218.0
2011-04-25,2329.0,2340.0,2359.0,2317.0,18038.0,64954.0
2011-04-26,2322.0,2315.0,2329.0,2303.0,17852.0,44336.0
2011-04-27,2320.0,2332.0,2339.0,2315.0,16356.0,32038.0
2011-04-28,2337.0,2330.0,2347.0,2326.0,14190.0,26286.0
2011-04-29,2329.0,2337.0,2343.0,2323.0,11762.0,17654.0
2011-05-03,2344.0,2330.0,2354.0,2326.0,12876.0,26594.0
2011-05-04,2329.0,2341.0,2346.0,2320.0,10782.0,14518.0
2011-05-05,2308.0,2309.0,2319.0,2293.0,10736.0,13896.0
2011-05-06,2271.0,2255.0,2289.0,2255.0,10206.0,14736.0
2011-05-09,2280.0,2280.0,2284.0,2273.0,9292.0,7240.0
2011-05-10,2287.0,2285.0,2288.0,2275.0,8290.0,7890.0
2011-05-11,2314.0,2293.0,2338.0,2286.0,9430.0,30078.0
2011-05-12,2344.0,2290.0,2352.0,2288.0,17712.0,61826.0
2011-05-13,2419.0,2360.0,2444.0,2353.0,26414.0,134808.0
2011-05-16,2407.0,2415.0,2423.0,2396.0,25800.0,57056.0
2011-05-17,2391.0,2414.0,2417.0,2371.0,21764.0,57660.0
2011-05-18,2372.0,2400.0,2423.0,2370.0,21830.0,70386.0
2011-05-19,2367.0,2394.0,2394.0,2363.0,18316.0,47602.0
2011-05-20,2376.0,2364.0,2392.0,2362.0,18196.0,37048.0
2011-05-23,2357.0,2388.0,2389.0,2350.0,17736.0,18982.0
2011-05-24,2380.0,2356.0,2380.0,2345.0,20964.0,30504.0
2011-05-25,2375.0,2382.0,2385.0,2366.0,18796.0,18206.0
2011-05-26,2378.0,2385.0,2398.0,2377.0,19388.0,19554.0
2011-05-27,2371.0,2379.0,2380.0,2351.0,18558.0,21708.0
2011-05-30,2365.0,2370.0,2382.0,2360.0,17792.0,16418.0
2011-05-31,2364.0,2370.0,2378.0,2361.0,15882.0,15208.0
2011-06-01,2359.0,2370.0,2375.0,2357.0,15718.0,13608.0
2011-06-02,2339.0,2351.0,2363.0,2337.0,15418.0,18632.0
2011-06-03,2326.0,2340.0,2344.0,2320.0,15508.0,16864.0
2011-06-07,2331.0,2321.0,2341.0,2312.0,14872.0,15600.0
2011-06-08,2326.0,2338.0,2338.0,2320.0,14088.0,7924.0
2011-06-09,2318.0,2330.0,2333.0,2318.0,14184.0,8022.0
2011-06-10,2311.0,2324.0,2324.0,2306.0,15946.0,12900.0
2011-06-13,2320.0,2306.0,2321.0,2295.0,17520.0,9360.0
2011-06-14,2334.0,2313.0,2353.0,2313.0,15432.0,42350.0
2011-06-15,2323.0,2339.0,2342.0,2321.0,14966.0,9736.0
2011-06-16,2307.0,2315.0,2321.0,2299.0,14454.0,9420.0
2011-06-17,2307.0,2310.0,2320.0,2304.0,14474.0,6440.0
2011-06-20,2281.0,2306.0,2310.0,2280.0,15056.0,8336.0
2011-06-21,2295.0,2288.0,2300.0,2270.0,14996.0,10346.0
2011-06-22,2288.0,2290.0,2296.0,2283.0,14434.0,6136.0
2011-06-23,2318.0,2287.0,2322.0,2280.0,15954.0,23256.0
2011-06-24,2302.0,2318.0,2323.0,2300.0,14442.0,13368.0
2011-06-27,2308.0,2296.0,2318.0,2291.0,14432.0,12430.0
2011-06-28,2303.0,2316.0,2338.0,2302.0,15274.0,18786.0
2011-06-29,2296.0,2310.0,2313.0,2288.0,15078.0,10906.0
2011-06-30,2309.0,2299.0,2312.0,2296.0,14546.0,11084.0
2011-07-01,2296.0,2308.0,2317.0,2295.0,14530.0,7398.0
2011-07-04,2316.0,2299.0,2325.0,2293.0,15352.0,15622.0
2011-07-05,2315.0,2317.0,2322.0,2306.0,15922.0,9450.0
2011-07-06,2342.0,2321.0,2345.0,2316.0,18846.0,22492.0
2011-07-07,2311.0,2340.0,2348.0,2307.0,15390.0,19208.0
2011-07-08,2307.0,2316.0,2322.0,2302.0,14696.0,12320.0
2011-07-11,2304.0,2303.0,2316.0,2302.0,13954.0,6404.0
2011-07-12,2297.0,2306.0,2315.0,2290.0,13448.0,7230.0
2011-07-13,2310.0,2304.0,2313.0,2300.0,12648.0,5688.0
2011-07-14,2305.0,2316.0,2316.0,2297.0,12444.0,6374.0
2011-07-15,2303.0,2303.0,2309.0,2298.0,11752.0,3296.0
2011-07-18,2305.0,2307.0,2314.0,2303.0,11822.0,5970.0
2011-07-19,2305.0,2306.0,2310.0,2302.0,11162.0,2810.0
2011-07-20,2298.0,2308.0,2314.0,2296.0,11772.0,6294.0
2011-07-21,2286.0,2300.0,2300.0,2283.0,12006.0,6128.0
2011-07-22,2286.0,2279.0,2293.0,2276.0,11562.0,3014.0
2011-07-25,2286.0,2285.0,2298.0,2282.0,10992.0,4536.0
2011-07-26,2289.0,2290.0,2293.0,2280.0,10314.0,2430.0
2011-07-27,2284.0,2293.0,2293.0,2283.0,10060.0,2342.0
2011-07-28,2285.0,2283.0,2294.0,2280.0,9164.0,4140.0
2011-07-29,2285.0,2288.0,2291.0,2284.0,8752.0,2262.0
