,Close,Open,High,Low,Oi,Volume
2010-01-04,4549.0,4535.0,4575.0,4533.0,128040.0,230706.0
2010-01-05,4696.0,4589.0,4705.0,4582.0,168630.0,500420.0
2010-01-06,4704.0,4689.0,4755.0,4688.0,173120.0,497198.0
2010-01-07,4603.0,4750.0,4768.0,4549.0,134190.0,418948.0
2010-01-08,4604.0,4628.0,4628.0,4509.0,124072.0,286002.0
2010-01-11,4719.0,4668.0,4727.0,4650.0,138624.0,324066.0
2010-01-12,4658.0,4688.0,4688.0,4625.0,129600.0,255788.0
2010-01-13,4584.0,4520.0,4619.0,4462.0,124280.0,293184.0
2010-01-14,4615.0,4638.0,4667.0,4610.0,126946.0,197012.0
2010-01-15,4577.0,4596.0,4617.0,4556.0,120330.0,172322.0
2010-01-18,4580.0,4540.0,4597.0,4530.0,130644.0,161136.0
2010-01-19,4600.0,4589.0,4628.0,4575.0,133092.0,155932.0
2010-01-20,4588.0,4613.0,4638.0,4581.0,131652.0,149580.0
2010-01-21,4630.0,4561.0,4633.0,4555.0,147238.0,196520.0
2010-01-22,4586.0,4570.0,4605.0,4536.0,143002.0,235024.0
2010-01-25,4563.0,4570.0,4584.0,4548.0,147376.0,144874.0
2010-01-26,4519.0,4569.0,4594.0,4505.0,139312.0,192458.0
2010-01-27,4526.0,4530.0,4538.0,4505.0,139318.0,113696.0
2010-01-28,4544.0,4496.0,4555.0,4450.0,153474.0,293206.0
2010-01-29,4496.0,4520.0,4545.0,4490.0,142798.0,192320.0
2010-02-01,4407.0,4491.0,4496.0,4380.0,136884.0,222188.0
2010-02-02,4439.0,4469.0,4474.0,4404.0,131794.0,157158.0
2010-02-03,4498.0,4480.0,4508.0,4472.0,121986.0,154390.0
2010-02-04,4457.0,4476.0,4478.0,4446.0,117244.0,102000.0
2010-02-05,4331.0,4351.0,4357.0,4308.0,115194.0,159146.0
2010-02-08,4332.0,4339.0,4356.0,4325.0,113982.0,85124.0
2010-02-09,4341.0,4330.0,4347.0,4302.0,113148.0,98894.0
2010-02-10,4352.0,4360.0,4368.0,4332.0,104302.0,83810.0
2010-02-11,4380.0,4370.0,4387.0,4358.0,93436.0,60476.0
2010-02-12,4426.0,4385.0,4437.0,4378.0,85586.0,59090.0
2010-02-22,4530.0,4569.0,4583.0,4504.0,82676.0,57174.0
2010-02-23,4515.0,4518.0,4529.0,4506.0,85650.0,53914.0
2010-02-24,4506.0,4496.0,4521.0,4482.0,84284.0,58634.0
2010-02-25,4509.0,4520.0,4543.0,4505.0,84160.0,100960.0
2010-02-26,4507.0,4495.0,4512.0,4486.0,84746.0,59704.0
2010-03-01,4534.0,4550.0,4550.0,4525.0,80088.0,39968.0
2010-03-02,4503.0,4525.0,4526.0,4495.0,76272.0,42338.0
2010-03-03,4520.0,4530.0,4530.0,4514.0,75862.0,32122.0
2010-03-04,4528.0,4535.0,4576.0,4528.0,78270.0,116648.0
2010-03-05,4545.0,4541.0,4547.0,4526.0,74904.0,41008.0
2010-03-08,4567.0,4575.0,4589.0,4555.0,70698.0,53308.0
2010-03-09,4563.0,4560.0,4576.0,4550.0,71532.0,34210.0
2010-03-10,4560.0,4551.0,4571.0,4551.0,70580.0,22826.0
2010-03-11,4547.0,4565.0,4574.0,4546.0,63692.0,32932.0
2010-03-12,4563.0,4564.0,4569.0,4555.0,56774.0,15792.0
2010-03-15,4544.0,4552.0,4560.0,4536.0,53046.0,13160.0
2010-03-16,4535.0,4530.0,4538.0,4515.0,49642.0,11988.0
2010-03-17,4596.0,4558.0,4608.0,4558.0,41168.0,17752.0
2010-03-18,4577.0,4590.818848393357,4593.780030191934,4564.1682122061675,57224.0,52584.0
2010-03-19,4576.012939400474,4570.0905758033205,4584.896484796204,4565.155272805693,56174.0,36844.0
2010-03-22,4545.414060815182,4538.504636618503,4557.258788009489,4532.5822730213495,59048.0,39280.0
2010-03-23,4553.310545611386,4560.219969808065,4570.0905758033205,4548.375242613759,61692.0,25730.0
2010-03-24,4555.284666810438,4546.401121414708,4579.961181798576,4545.414060815182,64560.0,54222.0
2010-03-25,4551.336424412335,4542.452879016605,4568.11645460427,4538.504636618503,64390.0,37724.0
2010-03-26,4577.0,4560.219969808065,4587.857666594781,4552.323485011861,63664.0,59436.0
2010-03-29,4591.805908992883,4579.961181798576,4607.5988785852915,4573.051757601897,68168.0,58944.0
2010-03-30,4599.702393789087,4612.53418158292,4625.365969376752,4597.728272590037,66034.0,76976.0
2010-03-31,4589.831787793832,4607.5988785852915,4608.585939184817,4585.88354539573,62846.0,27870.0
2010-04-01,4621.41772697865,4607.5988785852915,4634.249514772482,4600.689454388613,63366.0,52248.0
2010-04-02,4644.120120767738,4641.158938969161,4664.8483933577745,4633.2624541729565,64918.0,34420.0
