,Close,Open,High,Low,Oi,Volume
2010-01-04,1892.0,1878.0,1900.0,1875.0,217210.0,176352.0
2010-01-05,1891.0,1893.0,1904.0,1889.0,226796.0,103552.0
2010-01-06,1908.0,1895.0,1918.0,1890.0,241304.0,160396.0
2010-01-07,1898.0,1910.0,1921.0,1881.0,228008.0,162554.0
2010-01-08,1925.0,1898.0,1927.0,1895.0,298488.0,605112.0
2010-01-11,1921.0,1932.0,1936.0,1918.0,305364.0,242470.0
2010-01-12,1908.0,1915.0,1922.0,1905.0,288226.0,195492.0
2010-01-13,1887.0,1885.0,1896.0,1879.0,230980.0,217122.0
2010-01-14,1896.0,1898.0,1903.0,1892.0,225416.0,108336.0
2010-01-15,1891.0,1894.0,1897.0,1890.0,223028.0,78334.0
2010-01-18,1896.0,1888.0,1897.0,1888.0,227506.0,65240.0
2010-01-19,1896.0,1898.0,1903.0,1894.0,231082.0,56094.0
2010-01-20,1890.0,1896.0,1898.0,1888.0,224912.0,52456.0
2010-01-21,1895.0,1891.0,1896.0,1888.0,234780.0,77808.0
2010-01-22,1877.0,1893.0,1894.0,1868.0,201914.0,170874.0
2010-01-25,1867.0,1880.0,1880.0,1866.0,216812.0,89270.0
2010-01-26,1859.0,1867.0,1869.0,1859.0,209614.0,73696.0
2010-01-27,1861.0,1860.0,1865.0,1855.0,210744.0,76426.0
2010-01-28,1844.0,1852.0,1857.0,1843.0,215290.0,95098.0
2010-01-29,1854.0,1847.0,1855.0,1843.0,200514.0,76920.0
2010-02-01,1847.0,1851.0,1854.0,1845.0,177486.0,72182.0
2010-02-02,1846.0,1850.0,1853.0,1841.0,171738.0,70578.0
2010-02-03,1862.0,1920.0,1920.0,1851.0,195460.0,111026.0
2010-02-04,1848.0,1853.0,1853.0,1846.0,178300.0,62294.0
2010-02-05,1850.0,1846.0,1851.0,1843.0,174544.0,38272.0
2010-02-08,1850.0,1850.0,1854.0,1849.0,167882.0,30136.0
2010-02-09,1849.0,1851.0,1852.0,1845.0,164726.0,38996.0
2010-02-10,1858.0,1850.0,1860.0,1846.0,158292.0,54188.0
2010-02-11,1855.0,1860.0,1861.0,1854.0,160042.0,28806.0
2010-02-12,1858.0,1859.0,1859.0,1855.0,153590.0,18804.0
2010-02-22,1865.0,1866.0,1868.0,1860.0,156628.0,32018.0
2010-02-23,1877.0,1865.0,1878.0,1864.0,178464.0,82660.0
2010-02-24,1874.0,1872.0,1877.0,1872.0,181860.0,35126.0
2010-02-25,1871.0,1876.0,1878.0,1870.0,177818.0,35520.0
2010-02-26,1866.0,1873.0,1875.0,1866.0,165506.0,48962.0
2010-03-01,1878.0,1871.0,1883.0,1870.0,173926.0,60686.0
2010-03-02,1872.0,1875.0,1878.0,1870.0,169072.0,38314.0
2010-03-03,1871.0,1873.0,1876.0,1870.0,168620.0,26438.0
2010-03-04,1863.0,1872.0,1873.0,1863.0,157052.0,46220.0
2010-03-05,1862.0,1860.0,1863.0,1856.0,157642.0,33828.0
2010-03-08,1869.0,1862.0,1870.0,1861.0,152058.0,28326.0
2010-03-09,1870.0,1868.0,1873.0,1866.0,151334.0,28340.0
2010-03-10,1872.0,1869.0,1874.0,1866.0,159046.0,33464.0
2010-03-11,1873.0,1872.0,1875.0,1869.0,163326.0,35710.0
2010-03-12,1879.0,1872.0,1879.0,1871.0,171280.0,45376.0
2010-03-15,1893.0,1880.0,1895.0,1878.0,188652.0,91162.0
2010-03-16,1897.0,1894.0,1899.0,1889.0,194358.0,55364.0
2010-03-17,1899.0,1902.0,1903.0,1895.0,199488.0,44064.0
2010-03-18,1894.0,1900.0,1901.0,1891.0,193000.0,34180.0
2010-03-19,1907.0,1895.0,1909.0,1894.0,203088.0,57882.0
2010-03-22,1912.0,1908.0,1916.0,1905.0,208344.0,49638.0
2010-03-23,1909.0,1914.0,1918.0,1908.0,203950.0,52330.0
2010-03-24,1904.0,1908.0,1910.0,1903.0,199832.0,38300.0
2010-03-25,1912.0,1907.0,1916.0,1905.0,202224.0,37068.0
2010-03-26,1917.0,1910.0,1919.0,1907.0,207424.0,56784.0
2010-03-29,1939.0,1919.0,1941.0,1919.0,218556.0,104476.0
2010-03-30,1931.0,1939.0,1941.0,1931.0,224348.0,102398.0
2010-03-31,1928.0,1933.0,1936.0,1925.0,216612.0,104056.0
2010-04-01,1932.0,1925.0,1937.0,1925.0,222510.0,73748.0
2010-04-02,1934.0,1933.0,1935.0,1927.0,216288.0,44346.0
2010-04-06,1938.0,1935.0,1946.0,1933.0,223954.0,77224.0
2010-04-07,1932.0,1939.0,1939.0,1928.0,224396.0,107636.0
2010-04-08,1907.0,1932.0,1933.0,1901.0,219312.0,274018.0
2010-04-09,1904.0,1906.0,1910.0,1902.0,216474.0,74794.0
2010-04-12,1897.0,1902.0,1911.0,1891.0,210110.0,116750.0
2010-04-13,1914.0,1895.0,1916.0,1895.0,209764.0,137252.0
2010-04-14,1913.0,1915.0,1919.0,1912.0,209978.0,51858.0
2010-04-15,1913.0,1916.0,1916.0,1908.0,206954.0,63840.0
2010-04-16,1914.0,1915.0,1915.0,1911.0,207342.0,30462.0
2010-04-19,1925.0,1912.0,1929.0,1911.0,228042.0,173308.0
2010-04-20,1924.0,1925.0,1932.0,1923.0,230676.0,92878.0
2010-04-21,1927.0,1925.0,1928.0,1922.0,225068.0,50968.0
2010-04-22,1924.0,1928.0,1929.0,1923.0,223408.0,28216.0
2010-04-23,1926.0,1924.0,1928.0,1923.0,219278.0,37652.0
2010-04-26,1916.0,1927.0,1929.0,1914.0,216774.0,94444.0
2010-04-27,1936.0,1914.0,1937.0,1911.0,232248.0,146724.0
2010-04-28,1925.0,1930.0,1937.0,1922.0,230714.0,167408.0
2010-04-29,1918.0,1927.0,1928.0,1914.0,235102.0,137664.0
