,Close,Open,High,Low,Oi,Volume
2012-12-04,1311.0,1309.0,1326.0,1296.0,168662.0,1373086.0
2012-12-05,1331.0,1313.0,1345.0,1311.0,148090.0,1526540.0
2012-12-06,1325.0,1333.0,1338.0,1320.0,166778.0,1005208.0
2012-12-07,1331.0,1322.0,1340.0,1319.0,136784.0,903684.0
2012-12-10,1336.0,1331.0,1344.0,1331.0,148746.0,631448.0
2012-12-11,1293.0,1335.0,1337.0,1286.0,305548.0,1624386.0
2012-12-12,1299.0,1289.0,1306.0,1283.0,223502.0,1755162.0
2012-12-13,1289.0,1297.0,1312.0,1282.0,306244.0,1986856.0
2012-12-14,1304.0,1287.0,1315.0,1283.0,239266.0,1926362.0
2012-12-17,1327.0,1307.0,1335.0,1307.0,230150.0,1997146.0
2012-12-18,1325.0,1328.0,1339.0,1316.0,239250.0,1888574.0
2012-12-19,1351.0,1324.0,1353.0,1318.0,419230.0,2774384.0
2012-12-20,1350.0,1348.0,1356.0,1342.0,391226.0,2593940.0
2012-12-21,1336.0,1345.0,1354.0,1330.0,278578.0,1961266.0
2012-12-24,1344.0,1336.0,1349.0,1334.0,279034.0,1234044.0
2012-12-25,1352.0,1344.0,1363.0,1339.0,278818.0,1561036.0
2012-12-26,1352.0,1351.0,1354.0,1344.0,252746.0,995884.0
2012-12-27,1352.0,1358.0,1367.0,1349.0,224072.0,963506.0
2012-12-28,1351.0,1353.0,1364.0,1343.0,189374.0,1175326.0
2012-12-31,1363.0,1352.0,1365.0,1349.0,136002.0,500112.0
2013-01-04,1425.0,1371.0,1425.0,1367.0,241454.0,1001748.0
2013-01-07,1445.0,1440.0,1468.0,1433.0,217758.0,1558552.0
2013-01-08,1457.0,1438.0,1470.0,1427.0,306490.0,2761400.0
2013-01-09,1476.0,1459.0,1476.0,1452.0,444362.0,2100312.0
2013-01-10,1463.0,1479.0,1484.0,1456.0,376812.0,2311352.0
2013-01-11,1439.0,1462.0,1465.0,1428.0,311804.0,1916270.0
2013-01-14,1502.0,1438.0,1502.0,1438.0,508076.0,1878770.0
2013-01-15,1497.0,1520.0,1527.0,1490.0,387356.0,3006350.0
2013-01-16,1500.0,1499.0,1515.0,1455.0,473158.0,4239926.0
2013-01-17,1506.0,1503.0,1512.0,1491.0,538936.0,3961892.0
2013-01-18,1496.0,1520.0,1521.0,1488.0,431672.0,3867610.0
2013-01-21,1501.0,1495.0,1518.0,1484.0,478024.0,3225458.0
2013-01-22,1490.0,1505.0,1508.0,1475.0,401292.0,3070314.0
2013-01-23,1481.0,1492.0,1496.0,1472.0,401822.0,2053414.0
2013-01-24,1467.0,1479.0,1489.0,1458.0,367110.0,2346462.0
2013-01-25,1469.0,1470.0,1472.0,1459.0,315722.0,1305300.0
2013-01-28,1491.0,1471.0,1496.0,1468.0,341564.0,1274788.0
2013-01-29,1488.0,1487.0,1494.0,1483.0,299958.0,436820.0
2013-01-30,1475.0,1480.6048131728942,1486.2096263457886,1474.0658644711843,390976.0,1240592.0
2013-01-31,1480.6048131728942,1474.0658644711843,1495.5509816339456,1473.1317289423687,457056.0,2457828.0
