,Close,Open,High,Low,Oi,Volume
2011-10-31,3134.0,3136.0,3198.0,3110.0,3646.0,34928.0
2011-11-01,3131.0,3140.0,3154.0,3125.0,3052.0,13354.0
2011-11-02,3123.0,3112.0,3128.0,3095.0,3482.0,7712.0
2011-11-03,3114.0,3120.0,3122.0,3107.0,3006.0,3308.0
2011-11-04,3139.0,3126.0,3145.0,3122.0,2726.0,5856.0
2011-11-07,3126.0,3139.0,3142.0,3121.0,2640.0,1748.0
2011-11-08,3118.0,3130.0,3134.0,3114.0,2774.0,1648.0
2011-11-09,3019.0,3125.0,3128.0,3008.0,6810.0,22388.0
2011-11-10,2920.0,2975.0,2975.0,2920.0,8186.0,12856.0
2011-11-11,2976.0,2930.0,3007.0,2900.0,4760.0,23654.0
2011-11-14,2932.0,3001.0,3009.0,2920.0,9610.0,33130.0
2011-11-15,2931.0,2900.0,2949.0,2890.0,8784.0,23396.0
2011-11-16,2903.0,2939.0,2944.0,2903.0,8526.0,11726.0
2011-11-17,2871.0,2912.0,2912.0,2855.0,11074.0,32724.0
2011-11-18,2869.0,2831.0,2877.0,2831.0,8732.0,12978.0
2011-11-21,2860.0,2852.0,2879.0,2852.0,9170.0,9488.0
2011-11-22,2839.0,2850.0,2859.0,2833.0,9068.0,8160.0
2011-11-23,2809.0,2841.0,2850.0,2801.0,9798.0,7758.0
2011-11-24,2784.0,2798.0,2810.0,2769.0,10172.0,11144.0
2011-11-25,2755.0,2776.0,2795.0,2753.0,11270.0,10664.0
2011-11-28,2743.0,2757.0,2776.0,2721.0,13638.0,28622.0
2011-11-29,2754.0,2744.0,2766.0,2722.0,13832.0,35106.0
2011-11-30,2758.0,2758.0,2788.0,2751.0,11692.0,34350.0
2011-12-01,2793.0,2821.0,2850.0,2782.0,10568.0,19554.0
2011-12-02,2784.0,2788.0,2799.0,2762.0,10780.0,16514.0
2011-12-05,2798.0,2786.0,2804.0,2784.0,9524.0,9732.0
2011-12-06,2794.0,2792.0,2796.0,2782.0,8894.0,6292.0
2011-12-07,2801.0,2798.0,2804.0,2793.0,8626.0,3054.0
2011-12-08,2789.0,2796.0,2796.0,2779.0,8354.0,4442.0
2011-12-09,2776.0,2782.0,2785.0,2775.0,8132.0,3928.0
2011-12-12,2739.0,2777.0,2780.0,2736.0,9152.0,6106.0
2011-12-13,2714.0,2728.0,2735.0,2713.0,10102.0,8626.0
2011-12-14,2713.0,2706.0,2724.0,2705.0,10410.0,4952.0
2011-12-15,2665.0,2685.0,2689.0,2661.0,10420.0,8222.0
2011-12-16,2692.0,2670.0,2696.0,2668.0,10140.0,8570.0
2011-12-19,2681.0,2689.0,2689.0,2668.0,10620.0,6132.0
2011-12-20,2677.0,2685.0,2687.0,2671.0,10926.0,4726.0
2011-12-21,2686.0,2690.0,2703.0,2685.0,10616.0,7626.0
2011-12-22,2690.0,2690.0,2691.0,2678.0,9996.0,4498.0
2011-12-23,2699.0,2692.0,2702.0,2687.0,9226.0,5286.0
2011-12-26,2668.0,2701.0,2707.0,2668.0,9098.0,4916.0
2011-12-27,2674.0,2670.0,2679.0,2665.0,8480.0,3692.0
2011-12-28,2720.0,2683.0,2726.0,2677.0,8228.0,11986.0
2011-12-29,2710.0,2708.0,2718.0,2701.0,7622.0,3146.0
2011-12-30,2724.0,2713.0281948004395,2726.992310508971,2712.0307579641158,7958.0,3556.0
2012-01-04,2730.982057854266,2747.9384840717685,2750.9307945807395,2730.982057854266,8128.0,2760.0
2012-01-05,2762.9000366166238,2731.9794946905895,2765.892347125595,2731.9794946905895,8532.0,4628.0
2012-01-06,2823.743683632369,2755.917978762358,2844.6898571951665,2754.9205419260343,10532.0,35166.0
2012-01-09,2830.725741486635,2820.751373123398,2840.7001098498718,2813.769315269132,11068.0,11682.0
2012-01-10,2827.733430977664,2828.7308678139875,2850.6744782131086,2806.7872574148664,10344.0,16818.0
2012-01-11,2839.702673013548,2815.7641889417796,2847.6821677041376,2815.7641889417796,12738.0,18910.0
2012-01-12,2833.718051995606,2837.7077993409007,2855.661662394727,2818.7564994507507,13018.0,12214.0
2012-01-13,2817.759062614427,2824.7411204686928,2840.7001098498718,2814.766752105456,10976.0,9898.0
2012-01-16,2828.7308678139875,2807.78469425119,2835.7129256682533,2803.7949469058954,10174.0,6610.0
2012-01-17,2859.651409740022,2830.725741486635,2873.615525448554,2828.7308678139875,9878.0,10748.0
2012-01-18,2869.625778103259,2858.653972903698,2887.5796411570855,2858.653972903698,9244.0,9298.0
2012-01-19,2937.45148297327,2879.600146466496,2937.45148297327,2872.61808861223,8224.0,16100.0
2012-01-20,2956.40278286342,2940.443793482241,2957.4002196997435,2925.4822409373855,7270.0,6704.0
2012-01-30,2974.3566459172466,2952.413035518125,2987.3233247894545,2943.436103991212,8026.0,8048.0
2012-01-31,3000.2900036616625,2979.343830098865,3007.2720615159283,2972.3617722445993,10368.0,22302.0
2012-02-01,2988.3207616257782,2990.3156352984256,3000.2900036616625,2985.328451116807,8920.0,9898.0
2012-02-02,2973.359209080923,2990.3156352984256,3000.2900036616625,2963.3848407176856,8276.0,15402.0
2012-02-03,2962.387403881362,2971.3643354082756,2976.351519589894,2945.4309776638593,7858.0,12492.0
2012-02-06,3013.2566825338704,2979.343830098865,3025.2259245697546,2972.3617722445993,8584.0,21232.0
2012-02-07,2998.295129989015,3010.2643720248993,3028.2182350787257,2988.3207616257782,8252.0,12984.0
2012-02-08,3014.254119370194,3020.238740388136,3024.228487733431,3001.287440497986,8406.0,11996.0
2012-02-09,2931.4668619553277,3004.279751006957,3007.2720615159283,2921.492493592091,9892.0,35710.0
2012-02-10,2924.484804101062,2939.446356645917,2942.438667154888,2903.5386305382644,9646.0,24620.0
2012-02-13,2926.479677773709,2925.4822409373855,2942.438667154888,2924.484804101062,9462.0,13202.0
2012-02-14,2879.600146466496,2929.4719882826803,2929.4719882826803,2876.607835957525,11590.0,24302.0
2012-02-15,2890.5719516660565,2881.5950201391433,2915.5078725741487,2867.6309044306113,11308.0,32378.0
2012-02-16,2919.4976199194434,2885.584767484438,2924.484804101062,2870.623214939583,13912.0,58942.0
2012-02-17,2921.492493592091,2929.4719882826803,2939.446356645917,2908.525814719883,12928.0,40704.0
2012-02-20,2910.5206883925302,2962.387403881362,2962.387403881362,2903.5386305382644,13460.0,31578.0
2012-02-21,2925.4822409373855,2906.5309410472355,2930.469425119004,2906.5309410472355,11208.0,17148.0
2012-02-22,2940.443793482241,2929.4719882826803,2943.436103991212,2922.4899304284145,11734.0,18394.0
2012-02-23,2933.461735627975,2937.45148297327,2945.4309776638593,2927.477114610033,11120.0,13026.0
2012-02-24,2911.518125228854,2938.4489198095935,2942.438667154888,2900.5463200292934,12478.0,20310.0
2012-02-27,2897.5540095203223,2921.492493592091,2925.4822409373855,2895.559135847675,13096.0,24114.0
2012-02-28,2914.510435737825,2892.566825338704,2922.4899304284145,2882.592456975467,12502.0,26916.0
2012-02-29,2968.3720248993045,2914.510435737825,2969.369461735628,2910.5206883925302,14322.0,40922.0
2012-03-01,2964.3822775540093,2959.395093372391,2980.3412669351887,2954.4079091907724,12754.0,34588.0
2012-03-02,3014.254119370194,2976.351519589894,3021.23617722446,2972.3617722445993,14994.0,42910.0
2012-03-05,3008.269498352252,3013.2566825338704,3032.2079824240204,2998.295129989015,15168.0,30298.0
2012-03-06,2974.3566459172466,3017.246429879165,3017.246429879165,2972.3617722445993,13738.0,25096.0
2012-03-07,2937.45148297327,2955.405346027096,2968.3720248993045,2935.4566093006224,12306.0,21122.0
2012-03-08,2941.4412303185645,2943.436103991212,2962.387403881362,2932.4642987916513,12324.0,22904.0
2012-03-09,2996.3002563163677,2947.4258513365066,3002.28487733431,2947.4258513365066,14922.0,34078.0
2012-03-12,2988.3207616257782,3002.28487733431,3008.269498352252,2968.3720248993045,15846.0,38292.0
2012-03-13,3015.2515562065178,2992.310508971073,3027.220798242402,2979.343830098865,17382.0,41442.0
2012-03-14,2988.3207616257782,3022.2336140607836,3052.156719150494,2984.3310142804835,18030.0,63716.0
2012-03-15,2971.3643354082756,2987.3233247894545,2995.302819480044,2964.3822775540093,16694.0,37680.0
2012-03-16,2950.4181618454777,2968.3720248993045,2982.336140607836,2933.461735627975,16234.0,33854.0
2012-03-19,2953.4104723544488,2949.420725009154,2971.3643354082756,2939.446356645917,16324.0,24534.0
2012-03-20,2990.3156352984256,2963.3848407176856,3006.2746246796046,2946.428414500183,18888.0,69600.0
2012-03-21,2989.318198462102,2984.3310142804835,3009.2669351885756,2982.336140607836,19226.0,50782.0
2012-03-22,2945.4309776638593,2992.310508971073,2998.295129989015,2937.45148297327,14850.0,53176.0
2012-03-23,2955.405346027096,2942.438667154888,2957.4002196997435,2924.484804101062,11186.0,28034.0
2012-03-26,2979.343830098865,2965.379714390333,2993.3079458073967,2957.4002196997435,11330.0,29628.0
2012-03-27,2977.3489564262177,2992.310508971073,2992.310508971073,2957.4002196997435,10832.0,30730.0
2012-03-28,2958.397656536067,2971.3643354082756,2992.310508971073,2945.4309776638593,10694.0,35554.0
2012-03-29,2956.40278286342,2952.413035518125,2982.336140607836,2944.4335408275356,9518.0,39000.0
2012-03-30,2941.4412303185645,2955.405346027096,2966.3771512266567,2937.45148297327,8292.0,19262.0
2012-04-05,2932.4642987916513,2931.4668619553277,2940.443793482241,2922.4899304284145,9412.0,16836.0
2012-04-06,2945.4309776638593,2933.461735627975,2947.4258513365066,2933.461735627975,8506.0,11850.0
2012-04-09,2931.4668619553277,2942.438667154888,2954.4079091907724,2927.477114610033,6788.0,13540.0
2012-04-10,2925.4822409373855,2935.4566093006224,2936.454046136946,2915.5078725741487,5242.0,5460.0
2012-04-11,2914.510435737825,2911.622875860938,2920.2855554915986,2897.1850764765036,6910.0,11010.0
2012-04-12,2968.4115534397133,2918.360515573674,2976.111713111412,2918.360515573674,15646.0,46320.0
2012-04-13,2964.561473603864,2983.81187278311,2985.7369127010347,2961.6739137269774,16196.0,31398.0
2012-04-16,2978.0367530293365,2951.0861941783924,2988.6244725779216,2945.3110744246183,21284.0,56444.0
2012-04-17,2969.3740733986756,2979.961792947261,2987.6619526189593,2962.6364336859397,19556.0,25636.0
2012-04-18,2984.7743927420725,2981.8868328651856,2995.3621122906575,2957.8238338911283,19380.0,44534.0
2012-04-19,2982.849352824148,2974.186673193487,2998.2496721675443,2970.336593357638,20520.0,44996.0
2012-04-20,2984.7743927420725,2984.7743927420725,2998.2496721675443,2974.186673193487,19402.0,36326.0
2012-04-23,2968.4115534397133,2984.7743927420725,2989.586992536884,2966.4865135217888,17946.0,27812.0
2012-04-24,2981.8868328651856,2974.186673193487,2987.6619526189593,2964.561473603864,18238.0,41252.0
2012-04-25,2978.0367530293365,2983.81187278311,3015.5750314288657,2976.111713111412,19508.0,47970.0
2012-04-26,2981.8868328651856,2978.0367530293365,2988.6244725779216,2972.2616332755624,16812.0,21832.0
2012-04-27,2981.8868328651856,2987.6619526189593,2987.6619526189593,2972.2616332755624,15534.0,16470.0
2012-05-02,3035.787950567074,2990.549512495846,3036.750470526036,2983.81187278311,27810.0,58036.0
2012-05-03,3021.3501511826394,3031.937870731225,3040.6005503618853,3015.5750314288657,25456.0,41160.0
2012-05-04,3003.062271962356,3017.5000713467903,3024.2377110595266,2991.5120324548084,20164.0,43174.0
2012-05-07,2958.7863538500906,2974.186673193487,2976.111713111412,2954.9362740142415,18044.0,28902.0
2012-05-08,2963.598953644902,2963.598953644902,2976.111713111412,2955.8987939732037,19126.0,22476.0
2012-05-09,2937.61091475292,2955.8987939732037,2960.711393768015,2926.0606752453723,18446.0,29698.0
2012-05-10,2940.498474629807,2940.498474629807,2944.348554465656,2927.023195204335,17032.0,14206.0
2012-05-11,2911.622875860938,2933.760834917071,3033.8629106491494,2907.772796025089,18692.0,42128.0
2012-05-14,2817.2959198826334,2920.2855554915986,2923.1731153684855,2817.2959198826334,21072.0,33466.0
2012-05-15,2789.382841072727,2778.7951215241415,2798.0455207033874,2734.519203411876,18310.0,36858.0
2012-05-16,2756.6571624680087,2770.132441893481,2781.6826814010283,2752.8070826321596,17822.0,20308.0
2012-05-17,2763.394802180745,2774.9450416882923,2787.4578011548024,2710.4562044378185,19044.0,60518.0
2012-05-18,2753.769602591122,2745.1069229604614,2764.3573221397073,2723.931483863291,17856.0,34222.0
2012-05-21,2783.607721318953,2767.244882016594,2788.4203211137647,2751.8445626731973,18058.0,23914.0
2012-05-22,2776.870081606217,2788.4203211137647,2799.0080406623497,2772.0574818114055,18742.0,18074.0
2012-05-23,2747.994482837348,2743.181883042537,2756.6571624680087,2722.9689639043286,17870.0,28492.0
2012-05-24,2763.394802180745,2745.1069229604614,2767.244882016594,2730.669123576027,17794.0,22606.0
2012-05-25,2763.394802180745,2763.394802180745,2769.1699219345187,2748.9570027963105,17304.0,12756.0
2012-05-28,2790.345361031689,2775.9075616472546,2793.232920908576,2767.244882016594,16748.0,12830.0
2012-05-29,2794.1954408675383,2772.0574818114055,2799.0080406623497,2770.132441893481,16926.0,11084.0
2012-05-30,2753.769602591122,2779.7576414831037,2786.49528119584,2749.9195227552727,17116.0,18498.0
2012-05-31,2745.1069229604614,2723.931483863291,2752.8070826321596,2720.0814040274417,16042.0,12834.0
2012-06-01,2714.306284273668,2729.7066036170645,2737.406763288763,2712.3812443557435,16344.0,16530.0
2012-06-04,2616.1292484595137,2683.5056455868744,2687.3557254227235,2615.1667285005515,17322.0,32962.0
2012-06-05,2681.58060566895,2645.967367187345,2695.055885094422,2638.2672075156465,13920.0,25952.0
2012-06-06,2682.543125627912,2683.5056455868744,2709.4936844788563,2673.8804459972516,14138.0,20836.0
