,Close,Open,High,Low,Oi,Volume
2010-01-04,5901.0,5803.0,5901.0,5800.0,883190.0,1145488.0
2010-01-05,5925.0,5950.0,5993.0,5901.0,821560.0,2152544.0
2010-01-06,5923.0,5913.0,5990.0,5888.0,764236.0,2337148.0
2010-01-07,5794.0,5969.0,5985.0,5703.0,655066.0,2158418.0
2010-01-08,5597.0,5795.0,5800.0,5596.0,543520.0,1696348.0
2010-01-11,5613.0,5599.0,5665.0,5551.0,607864.0,2460750.0
2010-01-12,5545.0,5573.0,5601.0,5527.0,601602.0,1555102.0
2010-01-13,5377.0,5515.0,5608.0,5354.0,593118.0,2568264.0
2010-01-14,5455.0,5450.0,5479.0,5322.0,635342.0,3022878.0
2010-01-15,5391.0,5443.0,5488.0,5388.0,602286.0,2611636.0
2010-01-18,5430.0,5380.0,5473.0,5367.0,654202.0,2381104.0
2010-01-19,5451.0,5451.0,5483.0,5424.0,644956.0,1837926.0
2010-01-20,5489.0,5519.0,5549.0,5470.0,609776.0,1788642.0
2010-01-21,5680.0,5494.0,5701.0,5485.0,701836.0,3414108.0
2010-01-22,5584.0,5650.0,5682.0,5533.0,630464.0,2615296.0
2010-01-25,5605.0,5583.0,5625.0,5570.0,665968.0,1632596.0
2010-01-26,5652.0,5657.0,5688.0,5633.0,679762.0,1961196.0
2010-01-27,5584.0,5645.0,5665.0,5578.0,691406.0,1709924.0
2010-01-28,5383.0,5500.0,5505.0,5383.0,609526.0,1442992.0
2010-01-29,5378.0,5421.0,5441.0,5352.0,562542.0,1645452.0
2010-02-01,5430.0,5420.0,5486.0,5345.0,594528.0,2245886.0
2010-02-02,5497.0,5452.0,5529.0,5424.0,644972.0,2683812.0
2010-02-03,5657.0,5580.0,5660.0,5549.0,689228.0,2583420.0
2010-02-04,5573.0,5590.0,5618.0,5536.0,662014.0,2232436.0
2010-02-05,5497.0,5495.0,5523.0,5463.0,652616.0,1720022.0
2010-02-08,5539.0,5448.0,5552.0,5445.0,732388.0,2102440.0
2010-02-09,5558.0,5536.0,5563.0,5514.0,645702.0,1182540.0
2010-02-10,5756.0,5582.0,5756.0,5576.0,708430.0,1956908.0
2010-02-11,5785.0,5761.0,5843.0,5735.0,624288.0,1781088.0
2010-02-12,5840.0,5830.0,5868.0,5816.0,580312.0,990698.0
2010-02-22,5733.0,5947.0,5976.0,5650.0,601410.0,1788322.0
2010-02-23,5764.0,5613.0,5771.0,5613.0,698476.0,2203862.0
2010-02-24,5780.0,5745.0,5809.0,5720.0,704890.0,2191008.0
2010-02-25,5741.0,5790.0,5876.0,5720.0,657298.0,2144800.0
2010-02-26,5765.0,5740.0,5780.0,5731.0,651828.0,992612.0
2010-03-01,5754.0,5810.0,5820.0,5713.0,651106.0,855028.0
2010-03-02,5670.0,5721.0,5729.0,5584.0,678216.0,1669322.0
2010-03-03,5682.0,5690.0,5719.0,5646.0,664636.0,977416.0
2010-03-04,5635.0,5660.0,5680.0,5611.0,646088.0,1024838.0
2010-03-05,5697.0,5630.0,5705.0,5601.0,637746.0,792194.0
2010-03-08,5747.0,5736.0,5748.0,5694.0,626860.0,553176.0
2010-03-09,5713.0,5724.0,5732.0,5678.0,599984.0,619774.0
2010-03-10,5557.0,5636.0,5645.0,5538.0,609148.0,1351938.0
2010-03-11,5359.0,5532.0,5535.0,5359.0,571094.0,1222028.0
2010-03-12,5343.0,5315.0,5352.0,5232.0,505396.0,1368108.0
2010-03-15,5252.0,5369.0,5372.0,5190.0,511478.0,1705504.0
2010-03-16,5267.000000000001,5194.604980079682,5283.787250996017,5152.636852589642,497032.0,2469746.0
2010-03-17,5305.820517928288,5204.047808764941,5325.7553784860565,5146.341633466136,537968.0,3573902.0
2010-03-18,5386.609163346614,5333.099800796814,5397.101195219124,5315.263346613547,546014.0,3158552.0
2010-03-19,5398.150398406376,5414.937649402391,5435.921713147411,5387.658366533865,523436.0,2173492.0
2010-03-22,5433.823306772909,5383.461553784861,5457.954980079682,5383.461553784861,537728.0,1976420.0
2010-03-23,5278.541235059762,5388.707569721117,5400.248804780877,5275.393625498009,606868.0,2867298.0
2010-03-24,5237.622310756973,5188.3097609561755,5240.769920318726,5152.636852589642,624858.0,3082462.0
2010-03-25,5299.525298804781,5314.214143426296,5331.001394422311,5268.049203187252,597994.0,2312798.0
2010-03-26,5362.4774900398415,5264.901593625499,5378.215537848606,5252.311155378487,599172.0,2907790.0
2010-03-29,5368.772709163347,5369.821912350599,5403.39641434263,5308.96812749004,598790.0,2880164.0
2010-03-30,5332.050597609563,5380.313944223109,5397.101195219124,5315.263346613547,553354.0,2640960.0
2010-03-31,5326.804581673307,5342.542629482073,5377.166334661355,5319.46015936255,559336.0,2071486.0
2010-04-01,5247.065139442232,5247.065139442232,5278.541235059762,5227.130278884463,597316.0,2313582.0
2010-04-02,5350.936254980081,5285.885657370519,5353.034661354583,5281.688844621514,537458.0,2422356.0
2010-04-06,5332.050597609563,5337.296613545817,5370.87111553785,5315.263346613547,564512.0,2413048.0
2010-04-07,5346.739442231076,5308.96812749004,5349.887051792829,5293.230079681275,610032.0,2043686.0
2010-04-08,5327.853784860558,5341.493426294822,5377.166334661355,5318.410956175299,622960.0,2844088.0
2010-04-09,5388.707569721117,5338.345816733068,5398.150398406376,5324.706175298806,643430.0,3484504.0
2010-04-12,5449.561354581674,5424.38047808765,5474.742231075698,5409.691633466136,628010.0,3946366.0
2010-04-13,5448.512151394423,5440.118525896415,5464.250199203188,5418.0852589641445,626694.0,3175700.0
2010-04-14,5460.053386454184,5476.8406374502,5490.480278884463,5457.954980079682,638572.0,2497846.0
2010-04-15,5415.986852589642,5478.939043824702,5484.185059760957,5410.740836653387,681518.0,2691956.0
2010-04-16,5441.167729083666,5415.986852589642,5446.413745019921,5404.445617529881,640942.0,2113588.0
2010-04-19,5318.410956175299,5382.41235059761,5393.953585657371,5298.4760956175305,645092.0,3034968.0
2010-04-20,5380.313944223109,5378.215537848606,5388.707569721117,5364.575896414343,612872.0,1681800.0
2010-04-21,5349.887051792829,5357.231474103586,5367.723505976096,5319.46015936255,672244.0,2295294.0
2010-04-22,5374.018725099602,5340.44422310757,5376.117131474104,5329.95219123506,703204.0,2233068.0
2010-04-23,5341.493426294822,5354.0838645418335,5369.821912350599,5335.1982071713155,658640.0,1885708.0
2010-04-26,5259.655577689244,5339.395019920319,5341.493426294822,5229.228685258965,881166.0,4105350.0
2010-04-27,5231.327091633467,5250.212749003985,5253.360358565737,5183.063745019921,795274.0,3110402.0
2010-04-28,5221.884262948208,5162.079681274901,5252.311155378487,5150.5384462151405,793720.0,2966836.0
2010-04-29,5168.374900398407,5192.50657370518,5216.638247011952,5120.111553784861,830492.0,3254414.0
2010-04-30,5180.965338645419,5198.801792828686,5211.392231075698,5155.784462151395,767808.0,2259096.0
2010-05-04,5056.110159362551,5151.587649402391,5158.932071713148,5052.962549800797,870202.0,2799604.0
2010-05-05,5045.618127490041,5015.191235059761,5054.011752988048,4994.207171314742,791362.0,2128582.0
2010-05-06,5029.880079681276,5048.765737051794,5076.04501992032,5009.945219123507,800976.0,2566196.0
