,Close,Open,High,Low,Oi,Volume
2012/5/11,6002,6110,6115,6000,55020,206804
2012/5/14,5976,6040,6045,5960,57028,207668
2012/5/15,5842,5895,5910,5711,82238,445150
2012/5/16,5647,5750,5786,5643,108376,599202
2012/5/17,5763,5705,5787,5691,89738,558288
2012/5/18,5863,5808,5881,5768,92162,695576
2012/5/21,5940,5957,5964,5903,97686,405766
2012/5/22,5890,5920,5930,5882,90716,371088
2012/5/23,5791,5800,5818,5759,90202,300170
2012/5/24,5832,5785,5838,5766,85938,301270
2012/5/25,5904,5858,5912,5804,92544,420278
2012/5/28,5986,5940,5992,5916,94920,381418
2012/5/29,5962,5933,5982,5922,93104,349920
2012/5/30,5801,5817,5855,5798,94548,349610
2012/5/31,5851,5836,5878,5826,85856,365958
2012/6/1,5832,5800,5840,5771,86528,296984
2012/6/4,5949,5923,5998,5901,87274,393688
2012/6/5,5931,5954,5985,5921,87988,323394
2012/6/6,6088,6001,6092,5991,89946,343846
2012/6/7,6134,6145,6154,6110,91644,272726
2012/6/8,5935,6005,6023,5905,79718,316480
2012/6/11,6062,6054,6099,6031,77300,207094
2012/6/12,5989,5992,6038,5978,87952,243702
2012/6/13,6083,6050,6083,6040,80188,184636
2012/6/14,6080,6068,6128,6061,82052,189246
2012/6/15,6070,6050,6085,6032,80836,208546
2012/6/18,6010,6087,6095,6003,99022,309918
2012/6/19,6061,6058,6080,6045,76972,168258
2012/6/20,6010,5996,6029,5990,83302,175782
2012/6/21,5911,5900,5925,5893,75606,141540
2012/6/25,5716,5700,5742,5691,89926,162514
2012/6/26,5791,5830,5830,5783,83698,139496
2012/6/27,5745,5767,5771,5725,90242,134318
2012/6/28,5736,5778,5782,5733,88594,120340
2012/6/29,5751,5651,5764,5632,83390,234654
2012/7/2,5796,5831,5835,5785,73088,156980
2012/7/3,5908,5820,5915,5810,68056,186102
2012/7/4,5948,5952,5979,5932,61944,133860
2012/7/5,5994,5960,5995,5944,64576,118224
2012/7/6,5872,5929,5932,5864,64902,148200
2012/7/9,5808,5790,5832,5782,71908,141662
2012/7/10,5798,5813,5834,5795,69612,100886
2012/7/11,5775,5755,5780,5750,69574,95462
2012/7/12,5743,5774,5779,5728,77556,113558
2012/7/13,5828,5770,5830,5764,69344,96864
2012/7/16,5828,5810,5834,5787,63190,90630
2012/7/17,5830,5845,5877,5812,59076,104858
2012/7/18,5811,5835,5838,5780,57180,76044
2012/7/19,5822,5815,5828,5797,55478,64602
2012/7/20,5799,5809,5811,5787,54728,61744
2012/7/23,5761,5806,5808,5755,50946,60596
2012/7/24,5771,5772.992061,5798.888851,5769.007939,53654,63916
2012/7/25,5717.21436,5761.039696,5793.908699,5717.21436,64072,81420
2012/7/26,5848.690369,5816.817397,5862.634795,5796.89679,55172,100676
2012/7/27,5903.47204,5838.730066,5908.452192,5838.730066,57758,83740
2012/7/30,5869.607007,5899.487919,5901.479979,5863.630825,53020,66076
2012/7/31,6000.086987,5954.269589,6020.007594,5948.293407,61994,124084
2012/8/1,5966.221954,5941.321194,5968.214014,5925.384708,60402,76542
2012/8/2,5872.595098,5856.658612,5886.539524,5856.658612,60746,67152
2012/8/3,5838.730066,5842.714187,5844.706248,5818.809458,62202,54240
2012/8/6,5928.372799,5946.301346,5948.293407,5917.416465,58854,48632
2012/8/7,5942.317225,5942.317225,5950.285468,5932.356921,58194,38914
2012/8/8,5931.360891,5975.186227,5975.186227,5929.36883,60102,56720
2012/8/9,5996.102865,5964.229893,5998.094926,5956.26165,69126,70034
2012/8/10,5952.277528,5981.162409,5982.15844,5937.337073,65498,56594
2012/8/13,5971.202106,5980.166379,6000.086987,5962.237832,68494,78452
2012/8/14,5952.277528,5950.285468,5956.26165,5920.404556,63982,62094
2012/8/15,5929.36883,5937.337073,5945.305316,5926.380739,62360,42428
2012/8/16,5928.372799,5945.305316,5954.269589,5921.400587,64478,40694
2012/8/17,6007.059199,5992.118744,6013.035381,5979.170349,70790,58038
2012/8/20,5995.106835,5976.182258,6010.04729,5972.198136,71480,53440
2012/8/21,6123.594753,6075.785295,6133.555057,6069.809113,91262,119104
2012/8/22,6235.150155,6183.356576,6241.126338,6177.380394,102880,112388
2012/8/23,6500.094235,6311.844494,6538.93942,6307.860373,151188,418584
2012/8/24,6461.249051,6492.125992,6522.006904,6433.3602,155740,313812
2012/8/27,6604.677425,6561.848119,6681.371764,6558.860028,161640,469970
2012/8/28,6539.93545,6524.994995,6548.899724,6490.133932,168502,226954
2012/8/29,6593.721091,6542.923542,6597.705212,6533.959268,176832,305838
2012/8/30,6546.907663,6553.879876,6560.852088,6499.098205,171226,251916
2012/8/31,6468.221263,6474.197446,6478.181567,6437.344322,156164,208992
2012/9/3,6792.927166,6704.280463,6821.812047,6703.284432,196858,309066
2012/9/4,6848.704867,6872.609596,6904.482568,6809.859682,190506,270772
2012/9/5,6851.692958,6841.732654,6876.593718,6827.788229,201866,198896
2012/9/6,7015.04194,6872.609596,7043.926821,6861.653262,261088,504852
2012/9/7,6846.712806,6958.268208,6978.188816,6774.998619,196494,566630
2012/9/10,7184.367104,7153.490162,7243.132896,7146.51795,208422,382854
2012/9/11,7159.466344,7141.537798,7166.438557,7086.756127,205490,361810
2012/9/12,7154.486193,7171.418709,7192.335347,7137.553676,212072,283694
2012/9/13,7027.990335,7080.779945,7094.72437,7023.010183,207530,261606
2012/9/14,7354.688298,7420.426303,7476.204004,7326.799448,201770,421404
2012/9/17,7322.815326,7369.628754,7375.604936,7312.855022,204484,225840
2012/9/18,7260.065412,7246.120987,7266.041595,7191.339317,197726,251114
2012/9/19,7405.485847,7344.727994,7408.473939,7271.021747,217028,388030
2012/9/20,7277.993959,7337.755782,7375.604936,7254.08923,211416,382430
2012/9/21,7379.589058,7366.640663,7389.549361,7334.767691,222722,305904
2012/9/24,7136.557646,7225.204349,7229.188471,7069.823611,190172,333096
2012/9/25,7130.581464,7186.359165,7191.339317,7094.72437,190490,223366
2012/9/26,7121.61719,7091.736279,7164.446496,7089.744218,175276,214708
2012/9/27,7205.283742,7146.51795,7208.271833,7139.545737,190514,264536
2012/9/28,7348.712116,7340.743873,7375.604936,7280.98205,194762,228456
2012/10/8,7078.787884,7227.19641,7235.164653,7007.073697,164834,325632
2012/10/9,7076.795823,7106.676735,7134.565585,7069.823611,174780,203654
2012/10/10,7049.903003,7022.014153,7062.851398,6994.125302,179800,206778
2012/10/11,7091.736279,7029.982396,7111.656886,7019.026061,178322,251396
2012/10/12,7052.891094,7065.839489,7114.644978,7036.954608,172310,226352
2012/10/15,6856.67311,6852.688989,6896.514325,6837.748533,164562,203468
2012/10/16,6840.736624,6794.919227,6845.716776,6779.978771,158638,204062
2012/10/17,6835.756472,6872.609596,6878.585778,6832.768381,153288,147290
2012/10/18,6855.67708,6843.724715,6887.550052,6811.851743,157806,182880
