,Close,Open,High,Low,Oi,Volume
2021-01-27,6538.0,6468.0,6548.0,6440.0,105251.0,80911
2021-01-28,6458.0,6508.0,6546.0,6424.0,102132.0,92218
2021-01-29,6618.0,6470.0,6624.0,6466.0,99181.0,109238
2021-02-01,6724.0,6632.0,6766.0,6602.0,105670.0,124583
2021-02-02,6748.0,6750.0,6808.0,6710.0,101117.0,122483
2021-02-03,6706.0,6782.0,6832.0,6668.0,101606.0,144204
2021-02-04,6792.0,6724.0,6798.0,6690.0,103148.0,87938
2021-02-05,6776.0,6786.0,6820.0,6738.0,102138.0,84605
2021-02-08,7004.0,6794.0,7036.0,6790.0,124557.0,197240
2021-02-09,7098.0,7008.0,7118.0,6982.0,119320.0,155634
2021-02-10,7144.0,7096.0,7144.0,7040.0,122182.0,117712
2021-02-18,7734.0,7350.0,7734.0,7350.0,142055.0,171281
2021-02-19,7594.0,7702.0,7762.0,7490.0,136019.0,266154
2021-02-22,8024.0,7594.0,8078.0,7530.0,144433.0,298198
2021-02-23,7968.0,7998.0,8236.0,7908.0,134002.0,326422
2021-02-24,8040.0,7970.0,8142.0,7910.0,143096.0,259723
2021-02-25,8506.0,8158.0,8526.0,8070.0,143864.0,403889
2021-02-26,8362.0,8508.0,8578.0,8260.0,140089.0,355427
2021-03-01,8046.0,8304.0,8400.0,7928.0,116235.0,522283
2021-03-02,7824.0,8016.0,8062.0,7712.0,110290.0,371043
2021-03-03,7788.0,7880.0,7998.0,7726.0,107125.0,290389
2021-03-04,7720.0,7836.0,7840.0,7580.0,111244.0,344548
2021-03-05,7780.0,7700.0,7874.0,7616.0,111700.0,416678
2021-03-08,7920.0,7832.0,8090.0,7808.0,105385.0,340200
2021-03-09,7600.0,7900.0,7900.0,7600.0,101209.0,248490
2021-03-10,7370.0,7640.0,7684.0,7306.0,105526.0,332635
2021-03-11,7578.0,7418.0,7596.0,7354.0,100833.0,266319
2021-03-12,7548.0,7578.0,7692.0,7502.0,103289.0,277590
2021-03-15,7436.0,7540.0,7618.0,7384.0,101413.0,250308
2021-03-16,7162.0,7394.0,7468.0,7136.0,112908.0,284911
2021-03-17,7228.0,7154.0,7278.0,7114.0,108491.0,204396
2021-03-18,7264.0,7172.0,7286.0,7124.0,107314.0,201682
2021-03-19,7014.0,7256.0,7352.0,6954.0,99479.0,370591
2021-03-22,7206.0,7018.0,7248.0,6994.0,92697.0,210196
