,Close,Open,High,Low,Oi,Volume
2014-08-11,5832.0,5768.0,5882.0,5768.0,33658.0,106956.0
2014-08-12,5912.0,5810.0,5956.0,5808.0,46588.0,233812.0
2014-08-13,5926.0,5920.0,5946.0,5880.0,46610.0,119328.0
2014-08-14,5740.0,5918.0,5936.0,5710.0,35404.0,142708.0
2014-08-15,5774.0,5740.0,5780.0,5730.0,33498.0,63946.0
2014-08-18,5748.0,5776.0,5796.0,5730.0,33734.0,48440.0
2014-08-19,5776.0,5740.0,5780.0,5690.0,32334.0,39674.0
2014-08-20,5730.0,5778.0,5778.0,5514.0,33542.0,47588.0
2014-08-21,5742.0,5746.0,5778.0,5722.0,33038.0,15598.0
2014-08-22,5716.0,5736.0,5754.0,5706.0,33512.0,27818.0
2014-08-25,5738.0,5710.0,5742.0,5676.0,29610.0,40176.0
2014-08-26,5752.0,5742.0,5770.0,5726.0,24442.0,15454.0
2014-08-27,5766.0,5744.0,5788.0,5744.0,21552.0,16096.0
2014-08-28,5780.0,5760.0,5780.0,5734.0,20416.0,11954.0
2014-08-29,5800.0,5776.0,5810.0,5756.0,19760.0,16324.0
2014-09-01,5776.0,5804.0,5828.0,5776.0,21208.0,22664.0
2014-09-02,5762.0,5772.0,5798.0,5714.0,24782.0,34782.0
2014-09-03,5754.0,5762.0,5792.0,5750.0,24676.0,10766.0
2014-09-04,5764.0,5750.0,5788.0,5720.0,24444.0,13020.0
2014-09-05,5752.0,5768.0,5784.0,5736.0,24888.0,10634.0
2014-09-09,5662.0,5740.0,5754.0,5648.0,32824.0,35286.0
2014-09-10,5710.0,5638.0,5786.0,5636.0,27534.0,25276.0
2014-09-11,5698.0,5708.0,5714.0,5686.0,27304.0,8168.0
2014-09-12,5728.0,5700.0,5736.0,5690.0,25880.0,5146.0
2014-09-15,5776.0,5722.0,5786.0,5716.0,24370.0,8792.0
2014-09-16,5764.0,5788.0,5808.0,5758.0,22790.0,6570.0
2014-09-17,5778.0,5778.0,5786.0,5762.0,22772.0,2508.0
2014-09-18,5758.0,5780.0,5788.0,5754.0,22258.0,3976.0
2014-09-19,5700.0,5760.0,5762.0,5694.0,21826.0,11852.0
2014-09-22,5540.0,5682.0,5686.0,5510.0,22332.0,20942.0
2014-09-23,5562.0,5522.0,5592.0,5522.0,22412.0,11374.0
2014-09-24,5590.0,5570.0,5640.0,5556.0,21070.0,6288.0
2014-09-25,5468.0,5604.0,5634.0,5444.0,23844.0,30972.0
2014-09-26,5500.0,5456.0,5536.0,5450.0,23138.0,13168.0
2014-09-29,5538.0,5500.0,5540.0,5462.0,21986.0,6662.0
2014-09-30,5572.0,5540.0,5586.0,5530.0,18852.0,6968.0
2014-10-08,5556.0,5568.0,5628.0,5536.0,18998.0,3116.0
2014-10-09,5636.0,5560.0,5646.0,5532.0,18644.0,5898.0
2014-10-10,5594.0,5634.0,5642.0,5584.0,17962.0,4890.0
2014-10-13,5630.0,5602.0,5698.0,5602.0,16212.0,13556.0
2014-10-14,5580.0,5620.0,5638.0,5564.0,15798.0,6462.0
2014-10-15,5536.0,5584.0,5608.0,5532.0,15832.0,6656.0
2014-10-16,5570.0,5530.0,5580.0,5524.0,14838.0,6804.0
2014-10-17,5588.0,5600.0,5622.0,5566.0,14220.0,3240.0
2014-10-20,5620.0,5590.0,5620.0,5570.0,14028.0,2064.0
2014-10-21,5610.0,5616.0,5620.0,5602.0,13702.0,1346.0
2014-10-22,5540.0,5612.0,5620.0,5534.0,14006.0,3878.0
2014-10-23,5580.0,5534.0,5596.0,5530.0,13558.0,2328.0
2014-10-24,5618.0,5612.0,5622.0,5576.0,12914.0,2080.0
2014-10-27,5598.0,5618.0,5620.0,5588.0,12778.0,1116.0
2014-10-28,5606.0,5604.0,5610.0,5572.0,12592.0,962.0
2014-10-29,5614.0,5600.0,5626.0,5600.0,12358.0,2024.0
2014-10-30,5568.0,5618.0,5620.0,5550.0,11966.0,2918.0
2014-10-31,5428.0,5552.0,5600.0,5368.0,11502.0,13816.0
2014-11-03,5390.0,5420.0,5432.0,5368.0,12310.0,4352.0
2014-11-04,5506.0,5384.0,5540.0,5334.0,9570.0,20824.0
2014-11-05,5452.0,5480.0,5520.0,5450.0,8452.0,4706.0
2014-11-06,5492.0,5460.0,5510.0,5440.0,8126.0,1588.0
2014-11-07,5506.0,5492.0,5512.0,5490.0,7538.0,1234.0
2014-11-10,5510.0,5510.0,5510.0,5492.0,7260.0,878.0
2014-11-11,5510.0,5508.0,5512.0,5492.0,6860.0,1096.0
2014-11-12,5508.0,5510.0,5512.0,5494.0,6676.0,832.0
2014-11-13,5508.0,5506.0,5508.0,5470.0,6532.0,1438.0
2014-11-14,5506.0,5504.0,5508.0,5484.0,6442.0,318.0
2014-11-17,5482.0,5508.0,5510.0,5482.0,6224.0,482.0
2014-11-18,5474.0,5478.0,5490.0,5448.0,6216.0,2982.0
2014-11-19,5512.0,5456.0,5512.0,5456.0,5658.0,1710.0
2014-11-20,5508.0,5500.0,5510.0,5470.0,4206.0,2044.0
2014-11-21,5500.0,5500.0,5510.0,5498.0,3226.0,1146.0
2014-11-24,5514.0,5518.0,5526.0,5510.0,3226.0,340.0
2014-11-25,5488.0,5510.0,5518.0,5482.0,3186.0,364.0
2014-11-26,5520.0,5488.0,5530.0,5450.0,3112.0,1194.0
2014-11-27,5538.0,5530.0,5542.0,5502.0,1896.0,2926.0
2014-11-28,5532.0,5530.0,5534.0,5520.0,1374.0,712.0
2014-12-01,5530.0,5530.0,5530.0,5484.0,1264.0,354.0
2014-12-02,5524.0,5528.0,5530.0,5508.0,1070.0,526.0
2014-12-03,5528.0,5522.0,5528.0,5522.0,918.0,252.0
2014-12-04,5494.0,5528.0,5546.0,5490.0,728.0,1126.0
2014-12-05,5468.0,5470.0,5510.0,5422.0,698.0,1256.0
2014-12-08,5464.0,5440.0,5478.0,5408.0,662.0,120.0
2014-12-09,5500.0,5440.0,5502.0,5430.0,610.0,236.0
2014-12-10,5554.0,5462.0,5556.0,5462.0,514.0,250.0
2014-12-11,5542.0,5556.0,5598.0,5542.0,372.0,202.0
2014-12-12,5554.0,5542.0,5582.0,5440.0,330.0,140.0
2014-12-15,5518.0,5522.0,5562.0,5518.0,290.0,54.0
2014-12-16,5544.0,5500.0,5544.0,5500.0,284.0,18.0
2014-12-17,5536.0,5496.0,5542.0,5496.0,272.0,26.0
2014-12-18,5528.0,5510.0,5528.0,5502.0,248.0,40.0
2014-12-19,5538.0,5528.0,5540.0,5504.0,192.0,144.0
2014-12-22,5492.0,5508.0,5610.0,5480.0,146.0,58.0
2014-12-23,5472.0,5510.0,5510.0,5432.0,114.0,54.0
2014-12-24,5452.0,5428.0,5488.0,5428.0,98.0,18.0
2014-12-25,5460.0,5460.0,5460.0,5460.0,98.0,0.0
2014-12-26,5578.000000000001,5578.000000000001,5578.000000000001,5578.000000000001,106.0,2.0
2014-12-29,5567.59328358209,5588.406716417911,5588.406716417911,5546.779850746269,114.0,12.0
2014-12-30,5578.000000000001,5600.894776119403,5600.894776119403,5565.511940298508,118.0,44.0
2014-12-31,5586.325373134329,5548.8611940298515,5594.650746268657,5548.8611940298515,120.0,10.0
2015-01-05,5561.349253731344,5515.559701492538,5588.406716417911,5515.559701492538,132.0,58.0
2015-01-06,5561.349253731344,5536.373134328359,5605.057462686567,5536.373134328359,136.0,18.0
2015-01-07,5559.267910447762,5563.430597014926,5607.138805970149,5559.267910447762,130.0,26.0
2015-01-08,5567.59328358209,5586.325373134329,5586.325373134329,5555.105223880598,128.0,16.0
2015-01-09,5559.267910447762,5538.454477611941,5602.976119402985,5538.454477611941,128.0,160.0
