,Close,Open,High,Low,Oi,Volume
2019-12-09,1572.0,1564.0,1591.0,1556.0,31568.0,167478
2019-12-10,1634.0,1572.0,1634.0,1570.0,68176.0,221672
2019-12-11,1649.0,1649.0,1674.0,1637.0,66020.0,459154
2019-12-12,1630.0,1642.0,1654.0,1625.0,70048.0,245622
2019-12-13,1630.0,1633.0,1639.0,1623.0,69386.0,132320
2019-12-16,1632.0,1634.0,1659.0,1626.0,77498.0,277650
2019-12-17,1623.0,1629.0,1636.0,1578.0,70596.0,223740
2019-12-18,1628.0,1623.0,1650.0,1622.0,71800.0,195192
2019-12-19,1626.0,1628.0,1641.0,1623.0,74830.0,130952
2019-12-20,1611.0,1626.0,1630.0,1611.0,84124.0,134436
2019-12-23,1601.0,1610.0,1616.0,1596.0,83368.0,113058
2019-12-24,1604.0,1603.0,1614.0,1600.0,83068.0,62084
2019-12-25,1603.0,1602.0,1610.0,1599.0,88032.0,57878
2019-12-26,1609.0,1602.0,1617.0,1602.0,85764.0,55730
2019-12-27,1608.0,1609.0,1629.0,1607.0,86076.0,102264
2019-12-30,1633.0,1609.0,1636.0,1608.0,80286.0,79116
2019-12-31,1633.0,1633.0,1643.0,1629.0,73396.0,79146
2020-01-02,1625.0,1633.0,1641.0,1618.0,34862.0,26179
2020-01-03,1629.0,1626.0,1634.0,1620.0,33974.0,23178
2020-01-06,1638.0,1629.0,1646.0,1628.0,33327.0,40966
2020-01-07,1627.0,1636.0,1640.0,1624.0,32570.0,19256
2020-01-08,1630.0,1626.0,1638.0,1624.0,32306.0,19972
2020-01-09,1632.0,1629.0,1635.0,1621.0,29476.0,27286
2020-01-10,1658.0,1633.0,1675.0,1633.0,39616.0,173405
2020-01-13,1653.0,1659.0,1661.0,1646.0,37522.0,30481
2020-01-14,1653.0,1657.0,1660.0,1648.0,36145.0,23832
2020-01-15,1665.0,1654.0,1691.0,1652.0,39110.0,129730
2020-01-16,1668.0,1667.0,1679.0,1665.0,36492.0,34266
2020-01-17,1677.0,1674.0,1684.0,1667.0,37576.0,40310
2020-01-20,1667.0,1678.0,1680.0,1658.0,33031.0,31571
2020-01-21,1655.0,1668.0,1674.0,1655.0,32381.0,17726
2020-01-22,1642.0,1657.0,1657.0,1631.0,26024.0,33941
2020-01-23,1615.0,1644.0,1651.0,1591.0,22223.0,24597
2020-02-03,1519.0,1517.0,1546.0,1509.0,18012.0,30443
2020-02-04,1561.0,1528.0,1570.0,1528.0,18788.0,19994
2020-02-05,1560.0,1558.0,1569.0,1551.0,21591.0,18788
2020-02-06,1574.0,1562.0,1577.0,1561.0,19533.0,13995
2020-02-07,1574.0,1574.0,1609.0,1571.0,19840.0,10599
2020-02-10,1568.0,1573.0,1577.0,1562.0,20067.0,6875
2020-02-11,1579.0,1569.0,1581.0,1564.0,19745.0,10022
2020-02-12,1578.0,1578.0,1588.0,1572.0,20825.0,9233
2020-02-13,1581.0,1579.0,1587.0,1573.0,21245.0,8057
