,Close,Open,High,Low,Oi,Volume
2018-11-28,5184.0,5300.0,5314.0,5142.0,101512.0,1027208.0
2018-11-29,5188.0,5160.0,5294.0,5122.0,110832.0,985508.0
2018-11-30,5148.0,5208.0,5220.0,5114.0,134838.0,897506.0
2018-12-03,4978.0,5158.0,5262.0,4970.0,207934.0,1415596.0
2018-12-04,5058.0,4978.0,5114.0,4978.0,188012.0,1129600.0
2018-12-05,5140.0,5060.0,5158.0,5040.0,166492.0,1494318.0
2018-12-06,5132.0,5150.0,5264.0,5128.0,172558.0,1621966.0
2018-12-07,5138.0,5112.0,5208.0,5086.0,175492.0,1295042.0
2018-12-10,5166.0,5150.0,5224.0,5136.0,174892.0,1094212.0
2018-12-11,5094.0,5160.0,5198.0,5074.0,178926.0,1022112.0
2018-12-12,5138.0,5112.0,5152.0,5104.0,160768.0,598704.0
2018-12-13,5126.0,5146.0,5158.0,5094.0,148716.0,689936.0
2018-12-14,5132.0,5120.0,5164.0,5104.0,141336.0,575672.0
2018-12-17,5132.0,5110.0,5150.0,5108.0,142682.0,328890.0
2018-12-18,5126.0,5134.0,5162.0,5112.0,144854.0,294500.0
2018-12-19,5062.0,5124.0,5144.0,5032.0,154904.0,462610.0
2018-12-20,5066.0,5068.0,5082.0,5044.0,147294.0,203714.0
2018-12-21,5048.0,5072.0,5072.0,5028.0,148736.0,269864.0
2018-12-24,4982.0,5042.0,5064.0,4960.0,180976.0,395298.0
2018-12-25,5000.0,4982.0,5038.0,4966.0,159952.0,380598.0
2018-12-26,4938.0,4996.0,5012.0,4916.0,171804.0,473358.0
2018-12-27,4952.0,4950.0,4998.0,4940.0,155260.0,241750.0
2018-12-28,5048.0,4944.0,5058.0,4938.0,135666.0,209158.0
2019-01-02,5082.0,5044.0,5118.0,5010.0,162558.0,319740.0
2019-01-03,5082.0,5072.0,5108.0,5060.0,155182.0,246184.0
2019-01-04,5140.0,5084.0,5236.0,5072.0,145862.0,597336.0
2019-01-07,5170.0,5152.0,5186.0,5114.0,137304.0,332738.0
2019-01-08,5158.0,5172.0,5192.0,5138.0,135222.0,221650.0
2019-01-09,5304.0,5160.0,5340.0,5156.0,151822.0,686342.0
2019-01-10,5272.0,5306.0,5362.0,5260.0,145902.0,686384.0
2019-01-11,5324.0,5272.0,5328.0,5252.0,146038.0,401620.0
2019-01-14,5294.0,5320.0,5378.0,5280.0,142160.0,505772.0
2019-01-15,5242.0,5300.0,5302.0,5214.0,139904.0,463412.0
2019-01-16,5318.0,5242.0,5320.0,5232.0,137610.0,393780.0
2019-01-17,5316.0,5310.0,5342.0,5284.0,145666.0,424606.0
2019-01-18,5380.0,5308.0,5418.0,5260.0,145996.0,713180.0
2019-01-21,5448.0,5386.0,5472.0,5372.0,146590.0,617074.0
2019-01-22,5430.0,5436.0,5530.0,5416.0,139224.0,675002.0
2019-01-23,5442.0,5428.0,5466.0,5402.0,142278.0,447592.0
2019-01-24,5394.0,5446.0,5480.0,5364.0,143160.0,526860.0
2019-01-25,5410.0,5382.0,5456.0,5358.0,130228.0,429936.0
2019-01-28,5326.0,5406.0,5430.0,5316.0,132686.0,455592.0
2019-01-29,5320.0,5320.0,5360.0,5308.0,128038.0,303530.0
2019-01-30,5316.0,5330.0,5372.0,5310.0,115214.0,263144.0
2019-01-31,5426.0,5322.0,5430.0,5280.0,106656.0,450268.0
2019-02-01,5474.0,5416.0,5540.0,5410.0,83168.0,541372.0
2019-02-11,5412.0,5468.0,5516.0,5392.0,90606.0,216126.0
2019-02-12,5506.0,5420.0,5514.0,5418.0,119386.0,343862.0
2019-02-13,5458.0,5522.0,5538.0,5434.0,112092.0,385848.0
2019-02-14,5414.0,5454.0,5506.0,5386.0,122630.0,432858.0
2019-02-15,5394.0,5430.0,5430.0,5352.0,118384.0,337720.0
2019-02-18,5438.0,5404.0,5450.0,5376.0,116540.0,285756.0
2019-02-19,5516.0,5444.0,5516.0,5428.0,120844.0,319284.0
2019-02-20,5496.0,5536.0,5554.0,5464.0,125076.0,321064.0
2019-02-21,5614.0,5496.0,5622.0,5480.0,170686.0,534140.0
2019-02-22,5670.0,5610.0,5686.0,5584.0,194514.0,560956.0
