,Close,Open,High,Low,Oi,Volume
2017-12-25,8095.0,8118.0,8157.0,8060.0,25296.0,358024.0
2017-12-26,8090.0,8105.0,8144.0,8079.0,21018.0,146420.0
2017-12-27,8086.0,8094.0,8109.0,8067.0,17524.0,67888.0
2017-12-28,8104.0,8092.0,8145.0,8088.0,15558.0,71176.0
2017-12-29,8088.0,8106.0,8122.0,8078.0,13754.0,25762.0
2018-01-02,8101.0,8088.0,8106.0,8086.0,12360.0,16426.0
2018-01-03,8094.0,8103.0,8122.0,8088.0,11852.0,20154.0
2018-01-04,8092.0,8098.0,8114.0,8076.0,11252.0,16652.0
2018-01-05,8099.0,8098.0,8111.0,8082.0,10090.0,9538.0
2018-01-08,8084.0,8103.0,8103.0,8080.0,9794.0,6932.0
2018-01-09,7966.0,8086.0,8090.0,7933.0,15934.0,71128.0
2018-01-10,7938.0,7956.0,7980.0,7933.0,16004.0,30192.0
2018-01-11,7865.0,7931.0,7953.0,7854.0,20238.0,43240.0
2018-01-12,7787.0,7821.0,7855.0,7784.0,24070.0,38852.0
2018-01-15,7777.0,7763.0,7795.0,7758.0,25024.0,26164.0
2018-01-16,7723.0,7764.0,7815.0,7711.0,28730.0,44712.0
2018-01-17,7670.0,7736.0,7744.0,7658.0,31314.0,88156.0
2018-01-18,7671.0,7668.0,7708.0,7666.0,32514.0,48086.0
2018-01-19,7657.0,7670.0,7701.0,7641.0,31622.0,57942.0
2018-01-22,7697.0,7682.0,7708.0,7667.0,30488.0,41406.0
2018-01-23,7699.0,7714.0,7740.0,7681.0,28442.0,54140.0
2018-01-24,7677.0,7706.0,7708.0,7664.0,28900.0,27376.0
2018-01-25,7661.0,7687.0,7701.0,7657.0,29692.0,27324.0
2018-01-26,7683.0,7668.0,7699.0,7660.0,27502.0,30254.0
2018-01-29,7560.0,7691.0,7697.0,7554.0,32460.0,56558.0
2018-01-30,7512.0,7551.0,7568.0,7510.0,36340.0,50684.0
2018-01-31,7487.0,7510.0,7543.0,7461.0,36572.0,88814.0
2018-02-01,7434.0,7492.0,7515.0,7434.0,38134.0,63248.0
2018-02-02,7372.0,7448.0,7462.0,7367.0,42932.0,101222.0
2018-02-05,7334.0,7360.0,7382.0,7321.0,48282.0,105376.0
2018-02-06,7278.0,7329.0,7372.0,7275.0,51858.0,114430.0
2018-02-07,6956.0,7278.0,7293.0,6956.0,70608.0,295794.0
2018-02-08,6754.0,6890.0,6890.0,6662.0,52822.0,430434.0
2018-02-09,6745.0,6762.0,6828.0,6697.0,55844.0,268308.0
2018-02-12,6803.0,6751.0,6941.0,6731.0,53656.0,272840.0
2018-02-13,6765.0,6805.0,6848.0,6740.0,53304.0,196004.0
2018-02-14,6621.0,6796.0,6821.0,6553.0,52600.0,235156.0
2018-02-22,6481.0,6591.0,6623.0,6480.0,71708.0,229594.0
2018-02-23,6846.0,6480.0,6846.0,6471.0,71108.0,509036.0
2018-02-26,6956.0,6955.0,7064.0,6883.0,54924.0,601232.0
2018-02-27,7083.0,6945.0,7150.0,6889.0,64128.0,932914.0
2018-02-28,7098.0,7082.0,7124.0,7036.0,66560.0,878110.0
2018-03-01,7131.0,7090.0,7188.0,7050.0,68836.0,801364.0
2018-03-02,7016.0,7115.0,7168.0,6976.0,62484.0,826852.0
2018-03-05,7026.0,7005.0,7052.0,6944.0,61168.0,955606.0
2018-03-06,7218.0,7030.0,7310.0,7018.0,76480.0,1667622.0
2018-03-07,7185.0,7216.0,7238.0,7149.0,68264.0,918752.0
2018-03-08,7132.0,7182.0,7200.0,7083.0,62722.0,837036.0
2018-03-09,7212.0,7132.0,7249.0,7114.0,63194.0,1062380.0
2018-03-12,7030.0,7251.0,7313.0,7004.0,65806.0,1298964.0
2018-03-13,7042.0,7029.0,7085.0,6982.0,59850.0,926130.0
2018-03-14,7023.0,7036.0,7068.0,6993.0,59196.0,502176.0
2018-03-15,6923.0,7004.0,7004.0,6892.0,73462.0,586156.0
2018-03-16,7048.0,6918.0,7052.0,6906.0,72430.0,611516.0
2018-03-19,7030.0,7045.0,7082.0,6976.0,64384.0,455230.0
2018-03-20,7000.0,7015.0,7029.0,6945.0,58194.0,431310.0
2018-03-21,7075.0,7012.0,7145.0,7006.0,60412.0,607318.0
2018-03-22,7217.0,7394.0,7394.0,7198.0,56210.0,509216.0
2018-03-23,7345.0,7190.0,7368.0,7145.0,61242.0,681390.0
2018-03-26,7399.0,7370.0,7421.0,7307.0,65986.0,402936.0
2018-03-27,7303.0,7412.0,7420.0,7261.0,57648.0,545684.0
2018-03-28,7332.0,7306.0,7357.0,7253.0,59120.0,544064.0
2018-03-29,7224.0,7336.0,7339.0,7190.0,53998.0,544174.0
2018-03-30,7270.0,7240.0,7293.0,7174.0,51520.0,501562.0
2018-04-02,7419.0,7302.0,7445.0,7237.0,73706.0,635948.0
2018-04-03,7401.0,7406.0,7437.0,7356.0,61594.0,400440.0
2018-04-04,7194.0,7400.0,7420.0,7176.0,54878.0,574360.0
2018-04-09,7319.0,7264.0,7346.0,7200.0,48220.0,411800.0
2018-04-10,7313.0,7323.0,7373.0,7266.0,49180.0,370486.0
2018-04-11,7324.0,7319.0,7399.0,7279.0,43652.0,452892.0
2018-04-12,7221.000000000001,7187.35705209657,7224.058449809404,7113.954256670903,88142.0,520134.0
2018-04-13,7302.558661584076,7238.331215586617,7307.65607793308,7140.460821685728,102042.0,606690.0
2018-04-16,7292.363828886067,7283.188479457858,7347.415925455317,7248.526048284626,102602.0,640174.0
2018-04-17,7254.642947903431,7268.915713680645,7270.954680220247,7163.908936891149,91362.0,666602.0
2018-04-18,7303.578144853876,7259.740364252437,7339.260059296909,7230.175349428209,101286.0,560674.0
2018-04-19,7295.422278695469,7309.695044472682,7318.87039390089,7215.902583650996,101554.0,503922.0
2018-04-20,7313.772977551886,7268.915713680645,7347.415925455317,7232.214315967812,111636.0,588000.0
2018-04-23,7648.1634900465915,7375.961457009743,7648.1634900465915,7360.669207962729,167276.0,1021878.0
2018-04-24,7674.670055061416,7648.1634900465915,7704.235069885643,7616.5595086827625,163418.0,802598.0
2018-04-25,7641.027107157985,7646.12452350699,7658.358322744601,7570.6827615417205,149010.0,711790.0
2018-04-26,7909.15120711563,7628.793307920374,7982.554002541297,7603.30622617535,191088.0,1728794.0
2018-04-27,7924.443456162644,7909.15120711563,8074.307496823381,7815.358746293944,177128.0,1958556.0
2018-05-02,8091.6387124099965,8043.722998729353,8142.612875900044,7943.8136382888615,208624.0,1446940.0
2018-05-03,8098.775095298603,8082.463362981788,8109.989411266413,7996.82676831851,229762.0,1225858.0
2018-05-04,7984.592969080899,8084.5023295213905,8098.775095298603,7841.8653113087685,209160.0,1745744.0
