,Close,Open,High,Low,Oi,Volume
2012-12-31,2340.0,2399.0,2399.0,2336.0,39290.0,237194.0
2013-01-04,2370.0,2322.0,2380.0,2316.0,38458.0,193882.0
2013-01-07,2455.0,2365.0,2457.0,2360.0,64538.0,406060.0
2013-01-08,2480.0,2470.0,2500.0,2438.0,77626.0,899582.0
2013-01-09,2478.0,2488.0,2514.0,2472.0,94100.0,696804.0
2013-01-10,2462.0,2473.0,2490.0,2459.0,96660.0,591086.0
2013-01-11,2509.0,2465.0,2525.0,2463.0,165614.0,1621470.0
2013-01-14,2541.0,2527.0,2548.0,2505.0,150852.0,1299760.0
2013-01-15,2562.0,2549.0,2618.0,2542.0,178192.0,1674334.0
2013-01-16,2586.0,2565.0,2595.0,2542.0,192280.0,1070868.0
2013-01-17,2571.0,2602.0,2612.0,2565.0,162682.0,815406.0
2013-01-18,2573.0,2580.0,2612.0,2561.0,147836.0,947392.0
2013-01-21,2573.0,2575.0,2591.0,2562.0,137418.0,568840.0
2013-01-22,2591.0,2574.0,2595.0,2574.0,146734.0,543526.0
2013-01-23,2576.0,2591.0,2604.0,2573.0,132690.0,411626.0
2013-01-24,2493.0,2569.0,2569.0,2486.0,152044.0,771526.0
2013-01-25,2504.0,2500.0,2518.0,2493.0,135610.0,595570.0
2013-01-28,2521.0,2513.0,2524.0,2484.0,130358.0,554936.0
2013-01-29,2515.0,2521.0,2528.0,2506.0,125532.0,375244.0
2013-01-30,2531.0,2518.0,2538.0,2516.0,119080.0,301474.0
2013-01-31,2537.0,2542.0,2550.0,2533.0,112210.0,174358.0
2013-02-01,2521.0,2530.0,2532.0,2477.0,118036.0,639604.0
2013-02-04,2561.0,2521.0,2579.0,2520.0,107596.0,496364.0
2013-02-05,2586.0,2558.0,2614.0,2549.0,118240.0,986224.0
2013-02-06,2579.0,2600.0,2609.0,2576.0,107738.0,308816.0
2013-02-07,2567.0,2576.0,2586.0,2563.0,86022.0,172970.0
2013-02-08,2586.0,2572.0,2602.0,2572.0,73776.0,137230.0
2013-02-18,2569.0,2536.796603315811,2574.194096239385,2522.2531338455315,102578.0,178628.0
2013-02-19,2639.639708855641,2605.3586736756974,2656.260816821674,2584.582288718156,243906.0,972538.0
2013-02-20,2642.756166599272,2655.221997573797,2661.4549130610594,2641.717347351395,261522.0,651684.0
2013-02-21,2682.2312980186007,2633.4067933683787,2684.308936514355,2614.7080469065913,382436.0,1543014.0
2013-02-22,2671.84310553983,2680.1536595228467,2741.443995147594,2664.5713708046906,401248.0,2491154.0
2013-02-25,2600.164577436312,2648.9890820865344,2659.377274565305,2592.8928427011724,259826.0,1683260.0
2013-02-26,2594.970481196927,2592.8928427011724,2636.52325111201,2578.3493732308934,240828.0,1923248.0
2013-02-27,2611.5915891629597,2615.746866154468,2636.52325111201,2590.8152042054185,255540.0,1649002.0
2013-02-28,2582.504650222402,2628.212697128993,2636.52325111201,2581.465830974525,302016.0,1532204.0
2013-03-01,2601.203396684189,2591.8540234532957,2612.630408410837,2571.077638495754,273402.0,1848742.0
2013-03-04,2592.8928427011724,2593.9316619490496,2610.552769915083,2576.2717347351395,263026.0,1036422.0
2013-03-05,2617.8245046502225,2610.552769915083,2628.212697128993,2605.3586736756974,286496.0,906504.0
2013-03-06,2593.9316619490496,2616.7856854023453,2624.0574201374848,2576.2717347351395,286186.0,1362960.0
2013-03-07,2591.8540234532957,2593.9316619490496,2603.2810351799435,2581.465830974525,275398.0,617866.0
2013-03-08,2589.7763849575413,2603.2810351799435,2607.436312171452,2587.6987464617873,281428.0,555146.0
2013-03-11,2533.6801455721793,2591.8540234532957,2591.8540234532957,2532.6413263243026,359568.0,1262590.0
2013-03-12,2502.5155681358674,2539.913061059442,2539.913061059442,2499.3991103922363,336730.0,825834.0
2013-03-13,2525.369591589163,2505.6320258794985,2529.5248685806714,2480.700363930449,314546.0,1206208.0
2013-03-14,2536.796603315811,2508.7484836231297,2545.107157298827,2494.2050141528507,318818.0,1392024.0
2013-03-15,2544.0683380509504,2548.2236150424583,2559.650626769106,2527.447230084917,326162.0,1384360.0
2013-03-18,2520.1754953497775,2522.2531338455315,2539.913061059442,2462.0016174686616,307992.0,893778.0
2013-03-19,2514.981399110392,2528.486049332794,2540.951880307319,2512.903760614638,321104.0,763568.0
2013-03-20,2520.1754953497775,2509.787302871007,2524.330772341286,2503.5543873837446,309114.0,544530.0
2013-03-21,2544.0683380509504,2525.369591589163,2552.3788920339666,2525.369591589163,272138.0,583242.0
2013-03-22,2511.864941366761,2549.2624342903355,2551.34007278609,2511.864941366761,284996.0,530536.0
2013-03-25,2502.5155681358674,2514.981399110392,2524.330772341286,2497.321471896482,300540.0,562204.0
2013-03-26,2514.981399110392,2500.437929640113,2518.0978568540236,2497.321471896482,267862.0,348862.0
2013-03-27,2518.0978568540236,2521.2143145976547,2529.5248685806714,2506.6708451273757,264100.0,237050.0
2013-03-28,2480.700363930449,2522.2531338455315,2525.369591589163,2478.6227254346945,268856.0,469982.0
2013-03-29,2456.807521229276,2441.22523251112,2470.3121714516783,2430.8370400323493,231440.0,390982.0
2013-04-01,2418.3712090578247,2454.729882733522,2458.8851597250305,2411.0994743226847,242052.0,365128.0
2013-04-02,2430.8370400323493,2426.681763040841,2441.22523251112,2413.177112818439,239100.0,417420.0
2013-04-03,2424.604124545087,2420.4488475535786,2427.720582288718,2393.4395471087746,218542.0,440064.0
2013-04-08,2444.3416902547515,2410.060655074808,2454.729882733522,2400.711281843914,223902.0,478260.0
2013-04-09,2441.22523251112,2447.4581479983826,2459.923978972907,2436.031136271735,238802.0,342182.0
2013-04-10,2463.0404367165384,2445.3805095026282,2467.1957137080467,2441.22523251112,228552.0,409600.0
2013-04-11,2462.0016174686616,2459.923978972907,2467.1957137080467,2446.4193287505054,226988.0,294566.0
2013-04-12,2502.5155681358674,2470.3121714516783,2503.5543873837446,2467.1957137080467,294338.0,768530.0
2013-04-15,2510.826122118884,2496.282652648605,2524.330772341286,2484.8556409219573,390282.0,1442540.0
2013-04-16,2524.330772341286,2485.894460169834,2529.5248685806714,2464.0792559644156,405208.0,1568516.0
2013-04-17,2504.5932066316213,2531.6025070764254,2537.8354225636876,2495.243833400728,360612.0,1104508.0
2013-04-18,2508.7484836231297,2496.282652648605,2517.0590376061464,2489.010917913465,338810.0,1036706.0
2013-04-19,2496.282652648605,2513.9425798625152,2520.1754953497775,2490.0497371613424,321126.0,710028.0
2013-04-22,2502.5155681358674,2492.1273756570968,2518.0978568540236,2477.583906186818,336216.0,835978.0
2013-04-23,2485.894460169834,2499.3991103922363,2510.826122118884,2474.467448443186,312922.0,637962.0
2013-04-24,2434.9923170238576,2480.700363930449,2483.81682167408,2424.604124545087,298738.0,944866.0
2013-04-25,2430.8370400323493,2433.9534977759804,2439.147594015366,2406.944197331177,260554.0,550706.0
2013-04-26,2432.9146785281037,2443.3028710068743,2454.729882733522,2415.254751314193,241220.0,394992.0
2013-05-02,2438.1087747674887,2420.4488475535786,2446.4193287505054,2411.0994743226847,253028.0,323828.0
2013-05-03,2418.3712090578247,2436.031136271735,2442.264051758997,2399.6724625960373,301506.0,922030.0
2013-05-06,2432.9146785281037,2428.7594015365953,2433.9534977759804,2411.0994743226847,265608.0,560294.0
2013-05-07,2433.9534977759804,2422.5264860493326,2447.4581479983826,2422.5264860493326,249474.0,387610.0
2013-05-08,2447.4581479983826,2436.031136271735,2453.691063485645,2428.7594015365953,244316.0,353412.0
2013-05-09,2441.22523251112,2446.4193287505054,2456.807521229276,2436.031136271735,244076.0,253098.0
2013-05-10,2446.4193287505054,2448.4969672462594,2456.807521229276,2439.147594015366,243342.0,275738.0
2013-05-13,2429.798220784472,2441.22523251112,2453.691063485645,2420.4488475535786,242494.0,457152.0
2013-05-14,2442.264051758997,2441.22523251112,2447.4581479983826,2427.720582288718,225052.0,255474.0
2013-05-15,2465.1180752122928,2442.264051758997,2479.6615446825717,2442.264051758997,245466.0,734810.0
2013-05-16,2464.0792559644156,2468.234532955924,2475.5062676910634,2447.4581479983826,232168.0,465412.0
2013-05-17,2479.6615446825717,2470.3121714516783,2482.778002426203,2468.234532955924,212248.0,284280.0
2013-05-20,2483.81682167408,2491.0885564092196,2499.3991103922363,2480.700363930449,206016.0,165486.0
2013-05-21,2486.933279417711,2491.0885564092196,2501.47674888799,2477.583906186818,200796.0,150392.0
2013-05-22,2492.1273756570968,2489.010917913465,2499.3991103922363,2483.81682167408,204662.0,109214.0
2013-05-23,2481.7391831783257,2501.47674888799,2505.6320258794985,2478.6227254346945,207054.0,137214.0
2013-05-24,2470.3121714516783,2480.700363930449,2480.700363930449,2443.3028710068743,192412.0,142710.0
2013-05-27,2487.9720986655884,2456.807521229276,2487.9720986655884,2456.807521229276,191910.0,103906.0
2013-05-28,2486.933279417711,2494.2050141528507,2495.243833400728,2481.7391831783257,190488.0,56858.0
2013-05-29,2509.787302871007,2469.985510573551,2538.217154512047,2465.4367343109843,190040.0,354888.0
2013-05-30,2521.159243527423,2509.787302871007,2523.433631658706,2499.5525562802322,191326.0,195686.0
2013-05-31,2537.079960446405,2524.5708257243473,2547.3147070371797,2513.1988850679313,208178.0,220796.0
2013-06-03,2579.156140875144,2545.040318905896,2601.900022187976,2543.903124840255,212480.0,334240.0
2013-06-04,2570.0585883500116,2581.4305290064276,2589.3908874659187,2560.9610358248788,212852.0,298972.0
2013-06-05,2628.055485697733,2573.470170546936,2653.073755141848,2571.195782415653,287456.0,823550.0
2013-06-06,2590.52808153156,2614.4091569100337,2618.9579331726,2588.253693400277,280604.0,349718.0
2013-06-07,2571.195782415653,2597.35124592541,2608.7231865818258,2554.137871431029,228728.0,347012.0
2013-06-13,2533.66837824948,2580.293334940786,2590.52808153156,2531.393990118197,219126.0,218032.0
2013-06-14,2570.0585883500116,2527.982407921272,2574.607364612578,2526.845213855631,250438.0,329560.0
2013-06-17,2592.8024696628436,2556.412259562312,2606.4487984505427,2538.217154512047,329232.0,674092.0
2013-06-18,2584.842111203352,2599.625634056693,2621.2323213038835,2582.567723072069,358558.0,675696.0
2013-06-19,2572.3329764812947,2582.567723072069,2593.939663728485,2562.09822989052,354028.0,504842.0
2013-06-20,2566.6470061530867,2572.3329764812947,2599.625634056693,2563.235423956162,369386.0,463138.0
2013-06-21,2509.787302871007,2541.6287367089712,2549.589095168463,2507.5129147397233,373394.0,658966.0
2013-06-24,2480.220257164325,2499.5525562802322,2520.022049461781,2474.534286836117,383298.0,521148.0
2013-06-25,2525.708019789989,2501.8269444115153,2530.2567960525553,2493.8665859520243,374198.0,692078.0
2013-06-26,2527.982407921272,2526.845213855631,2543.903124840255,2512.06169100229,409188.0,701566.0
2013-06-27,2543.903124840255,2535.9427663807633,2547.3147070371797,2524.5708257243473,422020.0,609248.0
2013-06-28,2517.747661330498,2537.079960446405,2551.863483299746,2515.473273199215,420078.0,493996.0
2013-07-01,2489.317809689458,2490.4550037550994,2500.689750345874,2479.0830630986834,436906.0,433806.0
2013-07-02,2534.805572315122,2479.0830630986834,2541.6287367089712,2476.8086749674003,501588.0,701860.0
2013-07-03,2545.040318905896,2534.805572315122,2560.9610358248788,2525.708019789989,545610.0,880818.0
2013-07-04,2530.2567960525553,2546.177512971538,2553.0006773653877,2524.5708257243473,550450.0,633774.0
2013-07-05,2537.079960446405,2530.2567960525553,2540.49154264333,2518.8848553961393,526912.0,539822.0
2013-07-08,2500.689750345874,2524.5708257243473,2529.119601986914,2489.317809689458,531586.0,495380.0
2013-07-09,2562.09822989052,2518.8848553961393,2565.509812087445,2518.8848553961393,507024.0,851624.0
2013-07-10,2565.509812087445,2572.3329764812947,2581.4305290064276,2554.137871431029,468790.0,662694.0
2013-07-11,2581.4305290064276,2574.607364612578,2599.625634056693,2560.9610358248788,491366.0,763076.0
2013-07-12,2581.4305290064276,2585.979305268994,2613.271962844392,2579.156140875144,512116.0,858772.0
2013-07-15,2572.3329764812947,2549.589095168463,2575.7445586782196,2549.589095168463,543884.0,514986.0
2013-07-16,2601.900022187976,2587.1164993346356,2601.900022187976,2576.881752743861,592146.0,680744.0
2013-07-17,2597.35124592541,2616.683545041317,2623.5067094351666,2592.8024696628436,604312.0,670470.0
2013-07-18,2610.997574713109,2591.665275597202,2613.271962844392,2582.567723072069,645476.0,490838.0
2013-07-19,2593.939663728485,2599.625634056693,2645.113396682357,2593.939663728485,814724.0,1698634.0
2013-07-22,2581.4305290064276,2606.4487984505427,2609.8603806474675,2571.195782415653,772586.0,1038912.0
