,Close,Open,High,Low,Oi,Volume
2010/1/4,4579,4523,4610,4523,965458,1809996
2010/1/5,4589,4592,4606,4572,987708,1320756
2010/1/6,4622,4587,4635,4581,1027884,1481228
2010/1/7,4489,4641,4650,4389,932514,2196160
2010/1/8,4462,4505,4510,4412,894544,1520076
2010/1/11,4516,4495,4518,4475,939144,1130570
2010/1/12,4510,4505,4528,4480,957810,1176288
2010/1/13,4418,4420,4460,4354,906786,1461688
2010/1/14,4433,4450,4464,4430,938680,1076498
2010/1/15,4368,4419,4436,4355,939862,1276950
2010/1/18,4395,4339,4399,4310,943604,1148302
2010/1/19,4382,4405,4418,4361,888684,1236092
2010/1/20,4364,4392,4394,4341,847790,1243448
2010/1/21,4352,4337,4366,4326,862226,960118
2010/1/22,4288,4319,4335,4257,856708,1207020
2010/1/25,4278,4280,4295,4265,874294,870946
2010/1/26,4265,4286,4290,4258,852992,818680
2010/1/27,4316,4275,4327,4265,891916,1452742
2010/1/28,4293,4260,4319,4255,914470,1793390
2010/1/29,4300,4281,4315,4276,870164,1234868
2010/2/1,4295,4317,4334,4276,861912,1156486
2010/2/2,4159,4316,4323,4126,825676,2453186
2010/2/3,4180,4175,4188,4136,802842,1448904
2010/2/4,4115,4150,4158,4093,775898,1152398
2010/2/5,4109,4090,4110,4066,711780,849138
2010/2/8,4129,4120,4139,4103,685168,577962
2010/2/9,4157,4123,4166,4115,690518,617652
2010/2/10,4198,4172,4219,4156,680758,732940
2010/2/11,4229,4210,4236,4190,676876,497494
2010/2/12,4293,4246,4299,4233,656346,599774
2010/2/22,4243,4330,4376,4229,710878,1055136
2010/2/23,4283,4240,4297,4220,798784,1147210
2010/2/24,4253,4261,4281,4233,824246,1098624
2010/2/25,4209,4258,4263,4191,790336,929826
2010/2/26,4214,4208,4219,4175,727690,703304
2010/3/1,4209,4233,4256,4190,697674,520590
2010/3/2,4155,4202,4208,4151,635048,425640
2010/3/3,4143,4173,4173,4133,618836,234628
2010/3/4,4141,4150,4158,4135,585416,231868
2010/3/5,4168,4140,4172,4135,567908,233628
2010/3/8,4189,4171,4205,4165,534642,268998
2010/3/9,4195,4175.997627,4205.858499,4158.805004,690336,1233638
2010/3/10,4206.763374,4200.429249,4220.336497,4179.617127,715950,1473124
2010/3/11,4209.477998,4214.002373,4228.480371,4165.139129,808320,2179364
2010/3/12,4214.907248,4224.860871,4233.004745,4204.953624,840734,1492582
2010/3/15,4216.716997,4217.621872,4230.290121,4193.19025,816388,1417516
2010/3/16,4325.301984,4207.668248,4337.970233,4204.048749,1017718,3010260
2010/3/17,4309.919111,4342.494607,4368.735979,4290.011864,1148228,3359552
2010/3/18,4282.772865,4303.584987,4318.062985,4280.05824,1083410,2106268
2010/3/19,4304.489862,4285.487489,4313.538611,4271.914366,1095246,1684262
2010/3/22,4314.443486,4299.060613,4354.257981,4299.060613,1112354,2049968
2010/3/23,4290.916739,4322.58736,4332.540984,4287.297239,1117220,1517210
2010/3/24,4323.492235,4298.155738,4329.826359,4280.963115,1056760,1723924
2010/3/25,4339.779983,4334.350733,4356.067731,4317.15811,1088852,1511786
2010/3/26,4337.065358,4344.304357,4386.833477,4331.636109,1136328,2573042
2010/3/29,4352.448231,4354.257981,4366.021355,4327.111734,1157194,1763838
2010/3/30,4308.109362,4356.972606,4369.640854,4302.680112,1182328,1950698
2010/3/31,4302.680112,4312.633736,4320.77761,4292.726488,1114870,1408260
2010/4/1,4300.870362,4311.728861,4312.633736,4275.533865,1105836,1429706
2010/4/2,4330.731234,4309.919111,4332.540984,4305.394737,1080974,1031424
2010/4/6,4365.11648,4342.494607,4372.355479,4337.970233,1084112,1307376
2010/4/7,4385.023727,4378.689603,4392.262726,4369.640854,1181006,1288222
2010/4/8,4352.448231,4382.309103,4385.023727,4344.304357,1224320,1165992
2010/4/9,4386.833477,4357.877481,4388.643227,4347.923857,1232048,1302658
2010/4/12,4408.550475,4402.21635,4420.313848,4391.357852,1251714,1533734
2010/4/13,4416.694349,4402.21635,4432.077222,4400.406601,1282594,1749724
2010/4/14,4392.262726,4424.838223,4430.267472,4390.452977,1408238,1743728
2010/4/15,4360.592105,4390.452977,4400.406601,4354.257981,1433440,1949828
2010/4/16,4377.784728,4358.782355,4382.309103,4347.018982,1434070,1656806
2010/4/19,4299.965487,4345.209232,4358.782355,4282.772865,1284178,2397786
2010/4/20,4318.062985,4316.253236,4322.58736,4292.726488,1303964,1686264
2010/4/21,4306.299612,4311.728861,4318.062985,4282.772865,1315284,1698588
2010/4/22,4283.677739,4298.155738,4313.538611,4278.24849,1370598,1372024
2010/4/23,4289.106989,4281.86799,4294.536238,4273.724116,1334926,1211784
2010/4/26,4283.677739,4305.394737,4309.919111,4274.628991,1354608,1249174
2010/4/27,4233.004745,4271.914366,4276.43874,4223.051122,1268344,1613854
2010/4/28,4151.566005,4181.426877,4206.763374,4148.851381,1244012,1844532
2010/4/29,4147.041631,4156.995255,4179.617127,4141.612381,1268800,1839246
2010/4/30,4194.095125,4158.805004,4196.80975,4153.375755,1170234,1755184
2010/5/4,4221.241372,4176.902502,4231.194996,4170.568378,1186942,2101884
2010/5/5,4210.382873,4180.522002,4218.526747,4174.187877,1273452,2260862
2010/5/6,4195.904875,4213.097498,4233.90962,4190.475626,1234420,2128592
2010/5/7,4112.656385,4171.473253,4178.712252,4105.417386,1164612,2467400
2010/5/10,4102.702761,4137.088007,4144.327006,4061.983391,1248212,2868580
2010/5/11,4052.934642,4099.083261,4115.371009,4049.315142,1212108,2786906
2010/5/12,3986.878775,4045.695643,4048.410267,3976.925151,1241468,3290276
2010/5/13,3981.449525,3992.308024,4005.881148,3956.113028,1297804,3072762
2010/5/14,3951.588654,3971.495902,4000.451898,3947.969154,1269804,2932552
2010/5/17,3787.806299,3909.059534,3917.203408,3780.567299,1042606,3300006
2010/5/18,3808.618421,3800.474547,3840.289042,3744.372304,1041862,4119684
2010/5/19,3821.28667,3757.040552,3845.718292,3753.421053,1023638,3850530
2010/5/20,3846.623167,3843.908542,3888.247412,3826.715919,1111734,3534040
2010/5/21,3825.811044,3825.811044,3840.289042,3766.089301,1110908,3508858
2010/5/24,3907.249784,3871.054789,3909.964409,3852.957291,1175894,2764508
2010/5/25,3858.38654,3884.627912,3902.72541,3854.767041,1093622,3080458
2010/5/26,3865.625539,3890.962036,3891.866911,3847.528041,1170856,2833618
2010/5/27,3863.815789,3854.767041,3876.484038,3823.096419,1225088,3119880
2010/5/28,3851.147541,3884.627912,3902.72541,3845.718292,1199618,2863524
2010/5/31,3814.04767,3833.954918,3852.052416,3814.04767,1216832,2445792
2010/6/1,3780.567299,3801.379422,3812.237921,3776.042925,1194980,2637978
2010/6/2,3786.901424,3776.042925,3804.094047,3753.421053,1199922,3162462
2010/6/3,3800.474547,3803.189172,3814.04767,3784.186799,1187648,2346362
2010/6/4,3782.377049,3773.3283,3785.091674,3766.089301,1130706,1565600
2010/6/7,3638.501941,3672.887187,3695.50906,3625.833693,1189516,3841098
2010/6/8,3674.696937,3651.17019,3676.506687,3646.645815,1108706,1724628
2010/6/9,3712.701682,3681.031061,3719.035807,3658.409189,1064854,1783182
2010/6/10,3693.69931,3700.033434,3709.987058,3681.031061,994730,1456194
2010/6/11,3719.940682,3708.177308,3732.60893,3702.748059,904970,1156696
2010/6/17,3720.845557,3737.133305,3752.516178,3719.940682,979222,1009838
2010/6/18,3699.128559,3719.940682,3730.79918,3697.318809,1048366,1199582
2010/6/21,3766.994176,3715.416307,3776.9478,3699.128559,1077552,2300688
2010/6/22,3744.372304,3737.133305,3761.564927,3735.323555,1073596,1298120
2010/6/23,3691.88956,3709.082183,3725.369931,3672.887187,1022420,2372220
2010/6/24,3710.891933,3698.223684,3718.130932,3692.794435,984610,1308862
2010/6/25,3695.50906,3709.987058,3710.891933,3686.460311,966066,1070706
2010/6/28,3654.789689,3711.796808,3717.226057,3644.836066,978348,2150916
2010/6/29,3614.070319,3639.406816,3652.075065,3601.402071,926822,1921912
2010/6/30,3605.926445,3596.877696,3609.545945,3581.494823,841566,1170668
2010/7/1,3583.304573,3596.877696,3605.926445,3576.065574,850456,1226144
2010/7/2,3596.877696,3578.780198,3602.306946,3548.014452,827466,1924718
2010/7/5,3609.545945,3592.353322,3617.689819,3577.875324,860436,1474782
2010/7/6,3586.924072,3594.163072,3614.975194,3580.589948,864992,1352474
2010/7/7,3587.828947,3586.924072,3599.592321,3578.780198,852552,914838
2010/7/8,3560.682701,3605.926445,3619.499569,3558.872951,980932,1464000
2010/7/9,3574.255824,3558.872951,3581.494823,3539.870578,909114,1754442
2010/7/12,3567.9217,3574.255824,3578.780198,3557.968076,844098,1167004
2010/7/13,3544.394953,3564.3022,3567.016825,3534.441329,768088,788188
2010/7/14,3534.441329,3545.299827,3554.348576,3521.77308,713666,613036
2010/7/15,3537.155953,3530.821829,3551.633952,3516.343831,647852,397954
2010/7/16,3543.490078,3536.518135,3545.233063,3526.06022,679620,959706
2010/7/19,3603.623087,3529.546191,3607.109058,3525.188727,830550,2277276
2010/7/20,3648.940717,3606.237566,3651.555196,3597.522637,864878,2555240
2010/7/21,3640.225788,3651.555196,3658.527139,3630.639366,866754,2335760
2010/7/22,3636.739817,3645.454745,3652.426689,3628.024888,913076,1789848
2010/7/23,3680.314461,3651.555196,3689.900883,3648.940717,1034370,2843082
2010/7/26,3673.342518,3679.442968,3690.772376,3662.884603,1069838,1946230
2010/7/27,3621.052945,3673.342518,3675.085504,3618.438466,1102482,1954296
2010/7/28,3677.699982,3620.181452,3680.314461,3612.338016,1259150,2041104
2010/7/29,3674.214011,3675.956996,3696.872826,3656.784153,1233180,2417326
2010/7/30,3734.34702,3676.828489,3736.090006,3673.342518,1203746,3301522
2010/8/2,3770.949721,3756.134342,3793.608536,3751.776878,1258936,2677346
2010/8/3,3745.676427,3783.150622,3788.379579,3743.061949,1232048,2552662
2010/8/4,3768.335242,3743.933442,3770.078228,3724.760598,1264022,2686216
2010/8/5,3749.162399,3773.5642,3788.379579,3735.218513,1255884,2847134
2010/8/6,3762.234792,3739.575977,3768.335242,3734.34702,1233682,2006040
2010/8/9,3816.267351,3764.849271,3817.138844,3764.849271,1341754,2477098
2010/8/10,3797.094508,3815.395858,3821.496309,3793.608536,1271876,2026632
2010/8/11,3800.580479,3791.86555,3840.669152,3790.994057,1331284,3105900
2010/8/12,3748.290906,3784.022114,3784.893607,3745.676427,1317378,2221398
2010/8/13,3777.050171,3764.849271,3777.050171,3743.061949,1351294,2033386
2010/8/16,3800.580479,3769.206735,3810.166901,3763.106285,1366418,1985172
2010/8/17,3805.809437,3808.423915,3821.496309,3785.7651,1280464,2247598
2010/8/18,3800.580479,3823.239294,3827.596759,3800.580479,1216194,1856012
2010/8/19,3804.066451,3804.066451,3815.395858,3783.150622,1213606,1708774
2010/8/20,3757.005835,3791.86555,3794.480029,3754.391356,1178686,1710370
2010/8/23,3713.431191,3761.363299,3763.106285,3707.33074,1185450,2087788
2010/8/24,3693.386854,3702.973276,3728.24657,3689.900883,1131506,1999438
2010/8/25,3682.057447,3676.828489,3699.487304,3670.728039,1137160,1604320
2010/8/26,3709.945219,3695.12984,3712.559698,3691.643868,1133676,1313978
2010/8/27,3719.531641,3715.174176,3723.017612,3700.358797,1119014,1229674
2010/8/30,3776.178678,3743.061949,3777.050171,3733.475527,1162306,2095560
2010/8/31,3757.877328,3756.134342,3785.7651,3752.64837,1113860,2163030
2010/9/1,3792.737043,3771.821214,3810.166901,3763.106285,1098080,2424564
2010/9/2,3822.367801,3817.138844,3830.211237,3808.423915,1105294,1718938
2010/9/3,3804.066451,3834.568702,3834.568702,3797.966001,1087286,1469524
2010/9/6,3994.923393,3896.444697,4001.895336,3879.886332,1221910,2910994
2010/9/7,3980.979507,3994.923393,4001.895336,3962.678156,1189394,2476508
2010/9/8,3954.83472,3980.979507,3980.979507,3948.73427,1217574,1885662
2010/9/9,3868.556924,3965.292635,3972.264578,3782.279129,1092142,2771568
2010/9/10,3916.489033,3873.785882,3921.717991,3864.19946,1197244,2418896
2010/9/13,3905.159626,3946.991284,3957.449199,3895.573204,1151560,2154444
