,Close,Open,High,Low,Oi,Volume
2010-01-04,4057.0,4080.0,4090.0,4049.0,284296.0,321838.0
2010-01-05,4066.0,4067.0,4082.0,4060.0,283384.0,253640.0
2010-01-06,4154.0,4066.0,4194.0,4057.0,352830.0,860812.0
2010-01-07,4044.0,4165.0,4188.0,3975.0,297236.0,705704.0
2010-01-08,3981.0,4040.0,4050.0,3947.0,270074.0,526594.0
2010-01-11,4031.0,4012.0,4050.0,4012.0,270738.0,316116.0
2010-01-12,4004.0,4000.0,4029.0,3981.0,271068.0,447848.0
2010-01-13,3909.0,3905.0,3938.0,3896.0,260966.0,300960.0
2010-01-14,3919.0,3943.0,3943.0,3918.0,259500.0,190364.0
2010-01-15,3915.0,3905.0,3949.0,3902.0,265124.0,313576.0
2010-01-18,3909.0,3908.0,3925.0,3890.0,269332.0,249986.0
2010-01-19,3919.0,3935.0,3935.0,3910.0,274202.0,167968.0
2010-01-20,3861.0,3910.0,3929.0,3858.0,290088.0,335400.0
2010-01-21,3901.0,3860.0,3903.0,3852.0,280512.0,271388.0
2010-01-22,3889.0,3887.0,3893.0,3837.0,270304.0,280556.0
2010-01-25,3911.0,3878.0,3926.0,3875.0,277594.0,337600.0
2010-01-26,3885.0,3910.0,3930.0,3883.0,278582.0,470020.0
2010-01-27,3922.0,3905.0,3938.0,3900.0,296746.0,618382.0
2010-01-28,3863.0,3900.0,3900.0,3842.0,277646.0,401078.0
2010-01-29,3853.0,3870.0,3884.0,3850.0,264630.0,260046.0
2010-02-01,3768.0,3839.0,3849.0,3760.0,282970.0,404240.0
2010-02-02,3735.0,3785.0,3798.0,3728.0,279460.0,374218.0
2010-02-03,3782.0,3771.0,3785.0,3744.0,271958.0,291838.0
2010-02-04,3755.0,3740.0,3760.0,3720.0,274098.0,250890.0
2010-02-05,3785.0,3740.0,3793.0,3728.0,280652.0,539114.0
2010-02-08,3812.0,3810.0,3825.0,3801.0,275382.0,224846.0
2010-02-09,3809.0,3812.0,3819.0,3796.0,271300.0,141526.0
2010-02-10,3769.0,3807.0,3815.0,3748.0,273654.0,302080.0
2010-02-11,3798.0,3807.0,3828.0,3784.0,251010.0,243738.0
2010-02-12,3776.0,3801.0,3808.0,3763.0,246028.0,133432.0
2010-02-22,3819.0,3815.0,3850.0,3800.0,249340.0,171364.0
2010-02-23,3874.0,3830.0,3878.0,3825.0,269414.0,342832.0
2010-02-24,3858.0,3851.0,3867.0,3848.0,261240.0,204128.0
2010-02-25,3838.0,3867.0,3874.0,3825.0,252990.0,205796.0
2010-02-26,3830.0,3830.0,3845.0,3820.0,252534.0,182768.0
2010-03-01,3883.0,3860.0,3904.0,3843.0,272608.0,422434.0
2010-03-02,3873.0,3881.0,3898.0,3865.0,272774.0,428712.0
2010-03-03,3892.0,3886.0,3910.0,3878.0,275790.0,388958.0
2010-03-04,3834.0,3882.0,3889.0,3833.0,272514.0,299648.0
2010-03-05,3835.0,3814.0,3840.0,3804.0,262814.0,212816.0
2010-03-08,3842.0,3842.0,3845.0,3821.0,267618.0,201768.0
2010-03-09,3845.0,3836.0,3855.0,3826.0,263458.0,217344.0
2010-03-10,3836.0,3835.0,3852.0,3834.0,259312.0,118736.0
2010-03-11,3850.0,3855.0,3876.0,3830.0,261064.0,466534.0
2010-03-12,3810.0,3825.0,3830.0,3806.0,256978.0,293040.0
2010-03-15,3800.0,3813.0,3816.0,3786.0,253694.0,212506.0
2010-03-16,3838.0,3805.0,3839.0,3804.0,243116.0,208026.0
2010-03-17,3846.0,3850.0,3859.0,3841.0,238796.0,170430.0
2010-03-18,3835.0,3858.0,3858.0,3827.0,234726.0,129994.0
2010-03-19,3861.0,3842.0,3875.0,3841.0,230474.0,236678.0
2010-03-22,3870.0,3850.0,3885.0,3850.0,220340.0,182286.0
2010-03-23,3870.0,3900.0,3901.0,3861.0,214350.0,175342.0
2010-03-24,3858.0,3867.0,3871.0,3850.0,210272.0,117950.0
2010-03-25,3862.0,3855.0,3874.0,3855.0,211644.0,89278.0
2010-03-26,3853.0,3850.0,3858.0,3835.0,209620.0,120740.0
2010-03-29,3869.0,3868.0,3878.0,3855.0,201918.0,80396.0
2010-03-30,3893.0,3880.0,3898.0,3862.0,197156.0,168978.0
2010-03-31,3888.0,3896.0,3920.0,3885.0,205352.0,281680.0
2010-04-01,3868.0,3847.0,3876.0,3838.0,194516.0,122882.0
2010-04-02,3878.0,3867.0,3884.0,3867.0,196756.0,64704.0
2010-04-06,3875.0,3872.0,3885.0,3869.0,194454.0,58094.0
2010-04-07,3894.0,3884.0,3903.0,3880.0,198182.0,127604.0
2010-04-08,3883.0,3895.0,3916.0,3881.0,191820.0,142680.0
2010-04-09,3891.0,3885.0,3896.0,3885.0,189198.0,56112.0
2010-04-12,3908.0,3905.0,3914.0,3890.0,181570.0,90922.0
2010-04-13,3904.0,3910.0,3910.0,3888.0,183170.0,89558.0
2010-04-14,3902.0,3919.0,3922.0,3901.0,175678.0,85970.0
2010-04-15,3892.0,3905.0,3906.0,3888.0,168494.0,46140.0
2010-04-16,3901.0,3910.0,3915.0,3901.0,159592.0,41262.0
2010-04-19,3872.0,3894.0,3899.0,3863.0,148886.0,49664.0
2010-04-20,3891.0,3890.0,3894.0,3883.0,138380.0,38984.0
2010-04-21,3893.0,3894.0,3898.0,3889.0,131910.0,27354.0
2010-04-22,3898.9999999999995,3896.061793519216,3912.711630243657,3895.0823913589547,157868.0,213782.0
2010-04-23,3909.7734237628733,3903.897010801306,3922.5056518462693,3903.897010801306,166058.0,228426.0
2010-04-26,3907.8146194423507,3915.649836724441,3922.5056518462693,3898.0205978397385,157204.0,171704.0
2010-04-27,3891.16478271791,3898.0205978397385,3899.979402160261,3876.4737503139913,148294.0,143266.0
2010-04-28,3867.65913087164,3861.7827179100727,3873.5355438332076,3825.5448379804066,146168.0,147676.0
2010-04-29,3871.576739512685,3868.6385330319013,3882.3501632755588,3868.6385330319013,147088.0,73382.0
2010-04-30,3905.8558151218285,3875.49434815373,3906.8352172820896,3871.576739512685,150710.0,128442.0
2010-05-04,3883.32956543582,3883.32956543582,3892.144184878171,3874.5149459934687,147120.0,109026.0
2010-05-05,3943.073097211756,3882.3501632755588,3947.9701080130617,3866.6797287113786,236426.0,539238.0
2010-05-06,3895.0823913589547,3942.0936950514943,3944.052499372017,3890.1853805576484,206120.0,489972.0
2010-05-07,3830.441848781713,3858.844511429289,3862.762120070334,3818.689022858578,194340.0,379706.0
2010-05-10,3873.5355438332076,3858.844511429289,3878.4325546345135,3847.091685506154,203512.0,261150.0
2010-05-11,3847.091685506154,3866.6797287113786,3870.597337352424,3842.194674704848,199814.0,237636.0
2010-05-12,3876.4737503139913,3857.8651092690275,3889.2059783973873,3853.9475006279827,195902.0,226094.0
2010-05-13,3874.5149459934687,3876.4737503139913,3884.308967596081,3859.82391358955,196232.0,138812.0
2010-05-14,3842.194674704848,3871.576739512685,3873.5355438332076,3831.421250941974,200978.0,169968.0
2010-05-17,3763.8425018839484,3829.462446621452,3831.421250941974,3730.5428284350664,205728.0,305380.0
2010-05-18,3789.306958050741,3760.9042954031647,3793.2245666917856,3746.213262999246,203712.0,210406.0
2010-05-19,3752.0896759608136,3756.0072846018584,3779.512936448128,3748.1720673197688,198688.0,178838.0
2010-05-20,3767.7601105249933,3770.698317005777,3783.4305450891734,3756.98668676212,199584.0,164612.0
2010-05-21,3792.2451645315246,3764.8219040442095,3803.0185882943983,3760.9042954031647,203494.0,328810.0
2010-05-24,3805.956794775182,3792.2451645315246,3809.874403416227,3786.368751569957,202658.0,165108.0
2010-05-25,3766.780708364732,3795.1833710123083,3795.1833710123083,3761.883697563426,197734.0,161154.0
2010-05-26,3794.203968852047,3779.512936448128,3800.0803818136146,3751.1102738005525,210034.0,260208.0
2010-05-27,3792.2451645315246,3799.100979653353,3799.100979653353,3779.512936448128,199878.0,172790.0
2010-05-28,3788.3275558904797,3802.039186134137,3813.7920120572717,3784.4099472494345,201002.0,219636.0
2010-05-31,3753.0690781210747,3774.6159256468222,3777.554132127606,3752.0896759608136,208090.0,179904.0
2010-06-01,3732.5016327555886,3758.945491082642,3763.8425018839484,3727.6046219542827,206462.0,175060.0
2010-06-02,3748.1720673197688,3721.7282089927153,3750.130871640291,3721.7282089927153,205608.0,180870.0
2010-06-03,3751.1102738005525,3745.233860838985,3760.9042954031647,3744.2544586787235,205006.0,137288.0
2010-06-04,3762.8630997236874,3772.6571213262996,3776.5747299673444,3753.0690781210747,199150.0,102152.0
2010-06-07,3710.9547852298415,3703.1195679477514,3719.7694046721926,3694.3049485054003,204794.0,120568.0
2010-06-08,3728.584024114544,3711.9341873901026,3739.3574478774176,3710.9547852298415,207114.0,116218.0
2010-06-09,3717.81060035167,3721.7282089927153,3721.7282089927153,3690.3873398643555,197242.0,159430.0
2010-06-10,3721.7282089927153,3721.7282089927153,3742.2956543582013,3714.8723938708863,188042.0,130832.0
2010-06-11,3716.831198191409,3722.7076111529764,3730.5428284350664,3711.9341873901026,182804.0,73402.0
2010-06-17,3744.2544586787235,3766.780708364732,3766.780708364732,3739.3574478774176,172496.0,71140.0
2010-06-18,3751.1102738005525,3749.15146948003,3758.945491082642,3742.2956543582013,172690.0,94266.0
2010-06-21,3802.039186134137,3768.739512685255,3807.9155990957042,3765.801306204471,175674.0,124578.0
2010-06-22,3790.286360211002,3789.306958050741,3795.1833710123083,3781.4717407686508,175472.0,55036.0
2010-06-23,3783.4305450891734,3772.6571213262996,3793.2245666917856,3771.6777191660385,172590.0,62360.0
2010-06-24,3779.512936448128,3775.5953278070833,3789.306958050741,3773.6365234865607,171678.0,49000.0
2010-06-25,3766.780708364732,3769.718914845516,3774.6159256468222,3758.945491082642,171360.0,38052.0
2010-06-28,3774.6159256468222,3764.8219040442095,3779.512936448128,3762.8630997236874,174068.0,48758.0
2010-06-29,3766.780708364732,3776.5747299673444,3788.3275558904797,3749.15146948003,170908.0,77006.0
2010-06-30,3743.2750565184624,3753.0690781210747,3756.0072846018584,3732.5016327555886,171230.0,47202.0
2010-07-01,3735.4398392363723,3733.48103491585,3746.213262999246,3733.48103491585,172500.0,31824.0
2010-07-02,3754.048480281336,3736.419241396634,3761.883697563426,3736.419241396634,172704.0,48998.0
2010-07-05,3742.2956543582013,3746.213262999246,3759.9248932429036,3741.31625219794,172788.0,29400.0
2010-07-06,3729.563426274805,3741.31625219794,3741.31625219794,3715.851796031148,175464.0,67110.0
2010-07-07,3732.5016327555886,3726.625219794021,3739.3574478774176,3725.64581763376,174700.0,29922.0
2010-07-08,3766.780708364732,3779.512936448128,3779.512936448128,3761.883697563426,163782.0,56018.0
2010-07-09,3779.512936448128,3780.4923386083897,3785.389349409696,3763.8425018839484,161118.0,86356.0
2010-07-12,3770.698317005777,3807.9155990957042,3807.9155990957042,3768.739512685255,159328.0,56184.0
2010-07-13,3753.0690781210747,3779.512936448128,3779.512936448128,3749.15146948003,156064.0,45282.0
2010-07-14,3765.801306204471,3764.8219040442095,3769.718914845516,3760.9042954031647,153726.0,27884.0
2010-07-15,3769.718914845516,3768.739512685255,3789.306958050741,3763.8425018839484,147396.0,66088.0
2010-07-16,3799.100979653353,3804.9773926149205,3813.7920120572717,3790.286360211002,140564.0,84852.0
2010-07-19,3799.100979653353,3789.306958050741,3801.0597839738757,3782.4511429289123,135012.0,45596.0
2010-07-20,3801.0597839738757,3782.4511429289123,3807.9155990957042,3782.4511429289123,131674.0,38832.0
2010-07-21,3793.224566691785,3802.813101996871,3812.4016373019563,3787.471445508734,146764.0,115282.0
2010-07-22,3778.841763734157,3797.0599808138195,3803.7719555273793,3766.3766678375464,147638.0,97526.0
2010-07-23,3796.101127283311,3780.7594707951744,3814.3193443629734,3776.92405667314,155262.0,136958.0
2010-07-26,3808.566223179922,3793.224566691785,3821.031319076533,3788.4302990392425,162848.0,139252.0
2010-07-27,3760.623546654495,3787.471445508734,3794.183420222294,3756.7881325324606,160484.0,97242.0
2010-07-28,3774.0474960816146,3769.253228429072,3775.006349612123,3761.5824001850033,161470.0,71704.0
2010-07-29,3789.3891525697513,3787.471445508734,3797.0599808138195,3772.1297890205974,162022.0,103792.0
2010-07-30,3813.3604908324646,3801.854248466362,3821.031319076533,3800.895394935854,167022.0,120576.0
2010-08-02,3880.4802379680623,3841.167243217212,3897.739601517216,3835.414122034161,190772.0,212692.0
2010-08-03,3835.414122034161,3872.809409723994,3875.6859703155196,3830.6198543816186,191648.0,184028.0
2010-08-04,3856.508899705349,3852.6734855833147,3888.151066212131,3842.126096747721,214804.0,286986.0
2010-08-05,3809.5250767104303,3885.2745056206054,3887.192212681622,3801.854248466362,216622.0,271196.0
2010-08-06,3842.126096747721,3825.825586729076,3845.0026573392465,3799.936541405345,223884.0,267860.0
2010-08-09,3901.5750156392505,3849.796924991789,3926.5052074324726,3836.3729755646696,276712.0,634226.0
2010-08-10,3861.3031673578917,3887.192212681622,3887.192212681622,3852.6734855833147,267672.0,325578.0
2010-08-11,3857.4677532358573,3853.6323391138235,3885.2745056206054,3849.796924991789,254052.0,327614.0
2010-08-12,3870.891702662977,3855.5500461748406,3907.3281368223015,3837.3318290951784,292660.0,657870.0
2010-08-13,3934.176035676541,3884.3156520900966,3937.0525962680663,3884.3156520900966,331462.0,607018.0
2010-08-16,3974.4478839578996,3945.6822780426432,3992.666101037562,3936.093742737558,389952.0,757314.0
2010-08-17,3964.859348652814,3950.476545695186,3966.777055713831,3933.2171821460324,390032.0,533466.0
2010-08-18,3936.093742737558,3987.871833385019,4005.1311969341727,3916.916672127387,368988.0,709270.0
2010-08-19,3921.7109397799295,3940.8880103901006,3946.6411315731516,3903.4927227002677,357956.0,553422.0
2010-08-20,3854.591192644332,3885.2745056206054,3889.1099197426392,3848.838071461281,333572.0,398900.0
2010-08-23,3852.6734855833147,3866.0974350104343,3881.439091498571,3843.0849502782294,322426.0,378596.0
2010-08-24,3832.5375614426357,3846.9203644002637,3866.0974350104343,3829.6610008511097,313998.0,296472.0
2010-08-25,3817.195904954499,3836.3729755646696,3846.9203644002637,3810.483930240939,301682.0,267606.0
2010-08-26,3845.0026573392465,3826.7844402595842,3845.961510869755,3826.7844402595842,296874.0,237798.0
2010-08-27,3860.3443138273833,3861.3031673578917,3870.891702662977,3848.838071461281,294502.0,238032.0
2010-08-30,3891.9864803341648,3892.9453338646736,3910.204697413827,3878.5625309070456,278740.0,260856.0
2010-08-31,3825.825586729076,3865.138581479926,3865.138581479926,3822.94902613755,267774.0,245490.0
2010-09-01,3837.3318290951784,3834.4552685036524,3852.6734855833147,3817.195904954499,268714.0,234628.0
2010-09-02,3833.496414973144,3840.208389686704,3845.0026573392465,3819.113612015516,270996.0,295294.0
2010-09-03,3867.056288540943,3837.3318290951784,3870.891702662977,3833.496414973144,262214.0,335558.0
2010-09-06,3903.4927227002677,3901.5750156392505,3918.834379188404,3886.2333591511137,273996.0,298456.0
2010-09-07,3923.6286468409467,3909.2458438833187,3923.6286468409467,3888.151066212131,279808.0,398622.0
2010-09-08,3909.2458438833187,3942.8057174511177,3949.5176921646776,3895.821894456199,280230.0,277396.0
2010-09-09,3857.4677532358573,3902.533869169759,3920.752086249421,3818.1547584850073,252780.0,326164.0
2010-09-10,3868.0151420714515,3865.138581479926,3875.6859703155196,3850.7557785222975,247048.0,210198.0
2010-09-13,3864.179727949417,3847.879217930772,3865.138581479926,3845.961510869755,239734.0,188712.0
2010-09-14,3844.043803808738,3859.3854602968745,3868.97399560196,3841.167243217212,247630.0,209300.0
2010-09-15,3871.8505561934858,3856.508899705349,3878.5625309070456,3846.9203644002637,246696.0,313248.0
2010-09-16,3860.3443138273833,3877.603677376537,3887.192212681622,3848.838071461281,239682.0,229816.0
2010-09-17,3870.891702662977,3873.768263254503,3878.5625309070456,3857.4677532358573,230018.0,222414.0
2010-09-20,3975.406737488408,3931.2994750850153,4017.5962928307836,3922.6697933104383,282944.0,722904.0
2010-09-21,3940.8880103901006,3960.065081000271,3966.777055713831,3913.081258005353,244682.0,385860.0
2010-09-27,4005.1311969341727,4051.1561663985826,4078.96291878333,3984.9952727934933,237800.0,365840.0
2010-09-28,4009.9254645867154,3988.8306869155276,4016.637439300275,3977.324444549425,222754.0,180622.0
2010-09-29,3950.476545695186,3978.2832980799335,3983.077565732476,3919.793232718913,202358.0,179928.0
2010-09-30,3954.31195981722,3940.8880103901006,3958.147373939254,3926.5052074324726,198250.0,98480.0
2010-10-08,3923.6286468409467,3921.7109397799295,3961.02393453078,3921.7109397799295,201478.0,107540.0
2010-10-11,4100.057696454518,4100.057696454518,4100.057696454518,4093.3457217409587,207710.0,55002.0
2010-10-12,4081.8394793748557,4075.1275046612964,4110.605085290113,4030.061388727395,217874.0,358862.0
2010-10-13,4102.934257046044,4109.646231759603,4118.27591353418,4075.1275046612964,220940.0,258156.0
2010-10-14,4103.893110576552,4113.481645881638,4122.111327656215,4095.2634288019754,230496.0,219138.0
2010-10-15,4124.987888247741,4117.317060003672,4131.6998629613,4061.7035552341767,234946.0,285458.0
2010-10-18,4065.5389693562106,4081.8394793748557,4093.3457217409587,4055.9504340511253,228928.0,179830.0
2010-10-19,4080.8806258443474,4082.7983329053645,4102.934257046044,4065.5389693562106,219532.0,160406.0
2010-10-20,4068.4155299477366,4032.9379493189203,4087.592600557907,4011.8431716477326,214594.0,158838.0
2010-10-21,4113.481645881638,4111.563938820621,4162.3831759375735,4101.975403515536,210408.0,281760.0
2010-10-22,4116.358206473164,4127.864448839266,4135.535277083334,4106.769671168078,203032.0,131828.0
