,Close,Open,High,Low,Oi,Volume
2010-01-04,8050.0,8030.0,8092.0,7990.0,681238.0,922828.0
2010-01-05,8056.0,8088.0,8090.0,8020.0,667422.0,789080.0
2010-01-06,8090.0,8030.0,8140.0,8016.0,698598.0,1015520.0
2010-01-07,7860.0,8100.0,8184.0,7774.0,644090.0,1455800.0
2010-01-08,7744.0,7860.0,7878.0,7652.0,649448.0,1145050.0
2010-01-11,7802.0,7844.0,7884.0,7794.0,649770.0,691840.0
2010-01-12,7726.0,7742.0,7768.0,7694.0,666748.0,669838.0
2010-01-13,7498.0,7560.0,7574.0,7450.0,632390.0,756186.0
2010-01-14,7552.0,7568.0,7616.0,7540.0,672004.0,764352.0
2010-01-15,7498.0,7520.0,7584.0,7466.0,700094.0,809754.0
2010-01-18,7456.0,7420.0,7464.0,7382.0,695966.0,759174.0
2010-01-19,7480.0,7484.0,7532.0,7448.0,709824.0,642806.0
2010-01-20,7358.0,7488.0,7508.0,7350.0,719066.0,871050.0
2010-01-21,7442.0,7350.0,7450.0,7306.0,745280.0,940496.0
2010-01-22,7452.0,7370.0,7486.0,7288.0,726924.0,1153020.0
2010-01-25,7424.0,7428.0,7468.0,7410.0,755720.0,886210.0
2010-01-26,7334.0,7418.0,7438.0,7330.0,738286.0,797526.0
2010-01-27,7406.0,7364.0,7416.0,7336.0,740150.0,926436.0
2010-01-28,7326.0,7320.0,7352.0,7270.0,742188.0,858372.0
2010-01-29,7270.0,7318.0,7376.0,7270.0,731446.0,714280.0
2010-02-01,7182.0,7290.0,7304.0,7178.0,743420.0,649768.0
2010-02-02,7174.0,7250.0,7278.0,7154.0,720766.0,558656.0
2010-02-03,7316.0,7300.0,7320.0,7244.0,708662.0,590502.0
2010-02-04,7270.0,7248.0,7288.0,7218.0,674464.0,526208.0
2010-02-05,7282.0,7210.0,7320.0,7210.0,659320.0,655352.0
2010-02-08,7368.0,7332.0,7380.0,7332.0,643320.0,406266.0
2010-02-09,7386.0,7400.0,7406.0,7358.0,629342.0,327076.0
2010-02-10,7366.0,7416.0,7420.0,7334.0,610322.0,395742.0
2010-02-11,7432.0,7400.0,7474.0,7396.0,565142.0,326020.0
2010-02-12,7400.0,7436.0,7438.0,7362.0,553448.0,215670.0
2010-02-22,7500.0,7530.0,7532.0,7450.0,535480.0,406084.0
2010-02-23,7578.0,7500.0,7578.0,7490.0,561712.0,446122.0
2010-02-24,7512.0,7502.0,7534.0,7488.0,559342.0,300046.0
2010-02-25,7462.0,7570.0,7576.0,7438.0,583512.0,485478.0
2010-02-26,7438.0,7462.0,7488.0,7424.0,575794.0,314592.0
2010-03-01,7488.0,7550.0,7562.0,7480.0,575132.0,444350.0
2010-03-02,7472.0,7492.0,7528.0,7466.0,560182.0,456906.0
2010-03-03,7536.0,7512.0,7546.0,7494.0,572696.0,443176.0
2010-03-04,7458.0,7526.0,7540.0,7450.0,569542.0,431046.0
2010-03-05,7520.0,7456.0,7542.0,7424.0,569912.0,479752.0
2010-03-08,7544.0,7506.0,7560.0,7498.0,573236.0,460324.0
2010-03-09,7582.0,7532.0,7592.0,7512.0,531828.0,590396.0
2010-03-10,7586.0,7558.0,7614.0,7550.0,511072.0,519526.0
2010-03-11,7542.0,7634.0,7654.0,7492.0,510148.0,711900.0
2010-03-12,7488.0,7500.0,7536.0,7474.0,501220.0,422498.0
2010-03-15,7468.0,7450.0,7494.0,7436.0,512330.0,400118.0
2010-03-16,7482.0,7444.0,7484.0,7424.0,533366.0,407026.0
2010-03-17,7500.0,7500.0,7522.0,7482.0,548578.0,356080.0
2010-03-18,7444.0,7512.0,7516.0,7426.0,524946.0,420440.0
2010-03-19,7478.0,7452.0,7484.0,7444.0,528954.0,296500.0
2010-03-22,7500.0,7460.0,7528.0,7454.0,533714.0,351584.0
2010-03-23,7508.0,7530.0,7542.0,7488.0,510262.0,330838.0
2010-03-24,7518.0,7500.0,7524.0,7472.0,503078.0,362754.0
2010-03-25,7522.0,7500.0,7562.0,7500.0,538446.0,499104.0
2010-03-26,7484.0,7480.0,7496.0,7456.0,547424.0,325682.0
2010-03-29,7502.0,7502.0,7518.0,7480.0,540966.0,227100.0
2010-03-30,7578.0,7526.0,7632.0,7476.0,489402.0,976896.0
2010-03-31,7574.0,7580.0,7646.0,7562.0,513790.0,963800.0
2010-04-01,7574.0,7530.0,7594.0,7526.0,506126.0,464392.0
2010-04-02,7600.0,7600.0,7612.0,7580.0,501644.0,262770.0
2010-04-06,7604.0,7602.0,7638.0,7588.0,495868.0,334058.0
2010-04-07,7714.0,7630.0,7728.0,7618.0,523650.0,799390.0
2010-04-08,7692.0,7702.0,7746.0,7690.0,487126.0,512662.0
2010-04-09,7750.0,7708.0,7766.0,7700.0,502516.0,503652.0
2010-04-12,7752.0,7788.0,7794.0,7732.0,484276.0,383382.0
2010-04-13,7720.0,7712.0,7734.0,7674.0,478798.0,383080.0
2010-04-14,7706.0,7736.0,7750.0,7706.0,454220.0,306154.0
2010-04-15,7706.0,7724.0,7726.0,7692.0,440336.0,200284.0
2010-04-16,7716.0,7716.0,7736.0,7702.0,416856.0,207044.0
2010-04-19,7610.0,7688.0,7692.0,7600.0,404428.0,199836.0
2010-04-20,7630.0,7632.0,7660.0,7602.0,380132.0,172586.0
2010-04-21,7646.0,7636.0,7648.0,7614.0,356712.0,112366.0
2010-04-22,7640.0,7634.0,7650.0,7630.0,338722.0,68504.0
2010-04-23,7702.0,7640.0,7710.0,7640.0,304450.0,138328.0
2010-04-26,7707.999999999999,7744.880382775119,7750.703601108033,7696.353563334173,382764.0,514990.0
2010-04-27,7715.764291110551,7692.4714177788965,7735.17501888693,7671.11961722488,412556.0,613814.0
2010-04-28,7634.23923444976,7643.944598337949,7669.178544447242,7595.417778897003,391936.0,536804.0
2010-04-29,7599.299924452279,7610.946361118105,7640.062452782674,7589.594560564089,383130.0,428048.0
2010-04-30,7636.180307227398,7628.416016116847,7636.180307227398,7566.301687232434,399616.0,441396.0
2010-05-04,7597.35885167464,7605.123142785192,7618.710652228658,7581.830269453538,410240.0,310912.0
2010-05-05,7632.298161672123,7558.537396121883,7634.23923444976,7541.067741123142,446486.0,483192.0
2010-05-06,7541.067741123142,7638.121380005036,7667.237471669604,7531.362377234953,422558.0,626428.0
2010-05-07,7395.487282800302,7453.719466129438,7490.599848904558,7378.017627801561,385508.0,630374.0
2010-05-10,7504.187358348023,7447.896247796524,7504.187358348023,7426.544447242508,367300.0,411118.0
2010-05-11,7444.014102241248,7488.658776126919,7498.364140015109,7438.190883908335,369592.0,481488.0
2010-05-12,7492.540921682195,7463.424830017627,7519.715940569125,7449.837320574162,369712.0,529938.0
2010-05-13,7477.012339461093,7500.305212792747,7506.12843112566,7418.780156131957,382238.0,516662.0
2010-05-14,7416.839083354318,7449.837320574162,7459.542684462352,7409.074792243767,377606.0,373674.0
2010-05-17,7251.847897255099,7376.076555023923,7391.605137245026,7203.321077814152,352338.0,787354.0
2010-05-18,7319.785444472424,7269.3175522538395,7323.6675900277005,7228.555023923444,338868.0,498282.0
2010-05-19,7290.669352807857,7271.258625031478,7321.726517250062,7257.671115588013,339792.0,369510.0
2010-05-20,7339.196172248803,7329.490808360614,7374.135482246285,7319.785444472424,343198.0,391970.0
2010-05-21,7381.899773356837,7298.433643918408,7387.72299168975,7298.433643918408,349512.0,416874.0
2010-05-24,7374.135482246285,7364.430118358096,7399.369428355578,7352.783681692268,344250.0,404172.0
2010-05-25,7298.433643918408,7364.430118358096,7364.430118358096,7288.728280030218,343022.0,370860.0
2010-05-26,7350.842608914631,7337.2550994711655,7358.606900025182,7280.963988919667,345704.0,357592.0
2010-05-27,7370.253336691009,7372.194409468647,7376.076555023923,7333.372953915889,341846.0,313744.0
2010-05-28,7356.665827247544,7405.192646688491,7405.192646688491,7343.078317804079,328048.0,256722.0
2010-05-31,7288.728280030218,7325.608662805338,7327.549735582976,7286.787207252581,333288.0,254784.0
2010-06-01,7282.9050616973045,7296.49257114077,7348.901536136993,7251.847897255099,351086.0,513236.0
