,Close,Open,High,Low,Oi,Volume
2010-01-04,3033.0,3050.0,3055.0,3024.0,1064048.0,996272.0
2010-01-05,3032.0,3035.0,3051.0,3032.0,1072058.0,966822.0
2010-01-06,3058.0,3035.0,3082.0,3030.0,1101624.0,1301166.0
2010-01-07,2988.0,3065.0,3080.0,2936.0,1053354.0,1524266.0
2010-01-08,2962.0,2980.0,2986.0,2930.0,1041282.0,1081884.0
2010-01-11,2985.0,2984.0,2998.0,2980.0,1036886.0,579852.0
2010-01-12,2955.0,2958.0,2967.0,2941.0,1069506.0,640288.0
2010-01-13,2869.0,2890.0,2898.0,2860.0,1047434.0,843484.0
2010-01-14,2881.0,2889.0,2898.0,2880.0,1065782.0,620724.0
2010-01-15,2886.0,2875.0,2905.0,2870.0,1035494.0,1040630.0
2010-01-18,2904.0,2892.0,2909.0,2888.0,1032604.0,732728.0
2010-01-19,2910.0,2912.0,2923.0,2906.0,1029274.0,455936.0
2010-01-20,2870.0,2906.0,2913.0,2863.0,1057972.0,744150.0
2010-01-21,2885.0,2866.0,2885.0,2856.0,1056538.0,600812.0
2010-01-22,2870.0,2872.0,2878.0,2838.0,1061352.0,667210.0
2010-01-25,2870.0,2866.0,2882.0,2864.0,1065198.0,421144.0
2010-01-26,2843.0,2864.0,2868.0,2841.0,1093680.0,598096.0
2010-01-27,2852.0,2854.0,2861.0,2848.0,1095140.0,430520.0
2010-01-28,2807.0,2827.0,2829.0,2802.0,1103750.0,548034.0
2010-01-29,2788.0,2805.0,2815.0,2782.0,1105410.0,452370.0
2010-02-01,2721.0,2765.0,2780.0,2716.0,1087088.0,833580.0
2010-02-02,2698.0,2735.0,2739.0,2683.0,1048406.0,778620.0
2010-02-03,2742.0,2730.0,2742.0,2710.0,1020170.0,602922.0
2010-02-04,2718.0,2710.0,2729.0,2691.0,1018600.0,689204.0
2010-02-05,2730.0,2702.0,2740.0,2693.0,1001438.0,841546.0
2010-02-08,2756.0,2743.0,2759.0,2742.0,991290.0,472148.0
2010-02-09,2758.0,2756.0,2762.0,2742.0,995408.0,432064.0
2010-02-10,2742.0,2753.0,2760.0,2721.0,1000772.0,679908.0
2010-02-11,2780.0,2772.0,2795.0,2762.0,932412.0,582192.0
2010-02-12,2776.0,2784.0,2787.0,2768.0,931364.0,263136.0
2010-02-22,2813.0,2810.0,2820.0,2792.0,908702.0,549288.0
2010-02-23,2868.0,2821.0,2878.0,2816.0,996588.0,1244932.0
2010-02-24,2854.0,2850.0,2860.0,2847.0,997644.0,762190.0
2010-02-25,2832.0,2856.0,2864.0,2824.0,1000890.0,850620.0
2010-02-26,2814.0,2828.0,2829.0,2807.0,983676.0,543582.0
