,Close,Open,High,Low,Oi,Volume
2010-01-04,16610.0,16600.0,16845.0,16530.0,265668.0,498986.0
2010-01-05,16525.0,16650.0,16680.0,16485.0,237418.0,275464.0
2010-01-06,16320.0,16280.0,16480.0,16190.0,198944.0,300808.0
2010-01-07,16035.0,16395.0,16500.0,15710.0,161464.0,313640.0
2010-01-08,15960.0,16030.0,16065.0,15800.0,146278.0,190082.0
2010-01-11,16040.0,16060.0,16165.0,15985.0,139556.0,116288.0
2010-01-12,16070.0,16141.422222222222,16231.89037037037,15979.531851851852,156324.0,284682.0
2010-01-13,15641.466666666667,15798.595555555556,15846.21037037037,15603.374814814815,139172.0,234868.0
2010-01-14,15679.55851851852,15784.311111111112,15831.925925925927,15665.274074074074,137380.0,163302.0
2010-01-15,15546.237037037037,15617.659259259259,15731.934814814815,15522.42962962963,134572.0,207254.0
2010-01-18,15570.044444444444,15427.2,15603.374814814815,15427.2,130578.0,117020.0
2010-01-19,15579.567407407407,15617.659259259259,15660.512592592593,15536.714074074074,130046.0,78302.0
2010-01-20,15270.07111111111,15617.659259259259,15617.659259259259,15255.786666666667,142062.0,196942.0
2010-01-21,15465.291851851853,15265.30962962963,15498.622222222222,15165.31851851852,143352.0,322974.0
2010-01-22,15527.191111111111,15351.016296296297,15584.32888888889,15265.30962962963,153460.0,361360.0
2010-01-25,15522.42962962963,15503.383703703705,15593.851851851852,15427.2,155644.0,221070.0
2010-01-26,15151.034074074074,15384.346666666666,15412.915555555555,15146.272592592593,148970.0,270770.0
2010-01-27,15208.171851851852,15212.933333333334,15274.832592592593,15136.74962962963,140102.0,156246.0
2010-01-28,15146.272592592593,15060.565925925926,15189.125925925926,14998.666666666666,133956.0,177812.0
2010-01-29,15122.465185185185,15141.511111111111,15212.933333333334,15036.758518518518,128528.0,140756.0
2010-02-01,15231.97925925926,15160.557037037037,15279.594074074073,15112.942222222222,134420.0,213226.0
2010-02-02,15027.235555555555,15170.08,15212.933333333334,14955.813333333334,136446.0,188676.0
2010-02-03,15298.64,15208.171851851852,15331.97037037037,15141.511111111111,136544.0,185656.0
2010-02-04,15346.254814814814,15217.694814814815,15389.108148148149,15189.125925925926,143458.0,204924.0
2010-02-05,15279.594074074073,15146.272592592593,15293.878518518519,15141.511111111111,139094.0,133156.0
2010-02-08,15051.042962962963,15103.419259259259,15146.272592592593,15008.189629629629,128364.0,142512.0
2010-02-09,15179.602962962963,15241.502222222223,15274.832592592593,15160.557037037037,122876.0,88794.0
2010-02-10,15379.585185185186,15384.346666666666,15484.337777777779,15336.731851851851,116196.0,132508.0
2010-02-11,15417.677037037038,15427.2,15474.814814814816,15389.108148148149,106692.0,51248.0
2010-02-12,15455.76888888889,15455.76888888889,15498.622222222222,15393.86962962963,101700.0,43230.0
2010-02-22,15965.247407407407,16189.037037037036,16189.037037037036,15870.017777777777,121230.0,133620.0
2010-02-23,16031.908148148148,16008.100740740741,16103.330370370371,16008.100740740741,144724.0,140400.0
2010-02-24,15822.402962962964,15946.201481481481,16008.100740740741,15822.402962962964,141978.0,124340.0
2010-02-25,15650.98962962963,15860.494814814814,15889.063703703703,15646.228148148148,139164.0,140000.0
2010-02-26,15979.531851851852,15793.834074074075,16017.623703703704,15789.072592592593,159560.0,313990.0
2010-03-01,15974.77037037037,16117.614814814815,16179.514074074074,15950.962962962964,148124.0,156062.0
2010-03-02,15836.687407407408,15984.293333333333,15998.577777777778,15817.641481481482,144518.0,112230.0
2010-03-03,16027.146666666667,15831.925925925927,16065.23851851852,15770.026666666667,164776.0,294112.0
2010-03-04,15889.063703703703,16084.284444444445,16136.660740740741,15884.302222222223,149872.0,222360.0
2010-03-05,15955.724444444444,15865.256296296297,15989.054814814815,15865.256296296297,147576.0,113990.0
2010-03-08,16041.431111111111,16008.100740740741,16150.945185185185,15960.485925925926,160846.0,213700.0
2010-03-09,16269.982222222223,16050.954074074074,16331.881481481481,16027.146666666667,217828.0,489530.0
2010-03-10,16103.330370370371,16165.22962962963,16208.082962962962,16079.522962962963,191374.0,269546.0
2010-03-11,15970.00888888889,16093.807407407408,16141.422222222222,15912.871111111112,179598.0,216730.0
2010-03-12,16046.192592592593,15946.201481481481,16070.0,15879.54074074074,181382.0,177168.0
2010-03-15,16146.183703703704,16141.422222222222,16165.22962962963,16060.477037037037,199346.0,247682.0
2010-03-16,16208.082962962962,16136.660740740741,16255.697777777777,15974.77037037037,221140.0,340174.0
2010-03-17,16317.597037037038,16298.551111111112,16369.973333333333,16208.082962962962,238388.0,329330.0
2010-03-18,16265.22074074074,16265.22074074074,16369.973333333333,16189.037037037036,229608.0,277562.0
2010-03-19,16512.81777777778,16341.404444444444,16608.047407407408,16336.642962962964,266276.0,366762.0
2010-03-22,16493.771851851852,16508.056296296298,16589.001481481482,16474.725925925926,262176.0,228118.0
2010-03-23,16346.165925925927,16527.102222222224,16560.43259259259,16293.78962962963,242922.0,262822.0
2010-03-24,16269.982222222223,16379.496296296296,16427.11111111111,16227.128888888888,233906.0,208564.0
2010-03-25,16236.651851851851,16198.56,16308.074074074075,16155.706666666667,233578.0,168854.0
2010-03-26,16160.468148148148,16189.037037037036,16208.082962962962,16084.284444444445,225466.0,209824.0
