,Close,Open,High,Low,Oi,Volume
2010-01-04,8624.0,8586.0,8686.0,8552.0,44288.0,64990.0
2010-01-05,8628.0,8650.0,8678.0,8610.0,45460.0,56432.0
2010-01-06,8708.0,8602.0,8782.0,8586.0,56532.0,127922.0
2010-01-07,8506.0,8746.0,8796.0,8280.0,52974.0,130756.0
2010-01-08,8396.0,8500.0,8546.0,8330.0,50950.0,102814.0
2010-01-11,8474.0,8454.0,8534.0,8452.0,56608.0,76800.0
2010-01-12,8378.0,8412.0,8432.0,8352.0,54698.0,57964.0
2010-01-13,8142.0,8188.0,8228.0,8126.0,56104.0,73500.0
2010-01-14,8184.0,8204.0,8254.0,8184.0,54178.0,50540.0
2010-01-15,8138.0,8150.0,8228.0,8122.0,55760.0,49124.0
2010-01-18,8102.0,8090.0,8120.0,8050.0,57680.0,46712.0
2010-01-19,8110.0,8138.0,8162.0,8076.0,60288.0,45850.0
2010-01-20,7980.0,8102.0,8128.0,7978.0,62108.0,45218.0
2010-01-21,8080.0,7958.0,8086.0,7934.0,63232.0,65272.0
2010-01-22,8070.0,8020.0,8090.0,7952.0,62560.0,59126.0
2010-01-25,8058.0,8050.0,8088.0,8032.0,65204.0,40602.0
2010-01-26,7962.0,8052.0,8068.0,7962.0,64496.0,42350.0
2010-01-27,8036.0,7998.0,8038.0,7978.0,63260.0,37824.0
2010-01-28,7932.0,7980.0,7988.0,7900.0,64696.0,39344.0
2010-01-29,7894.0,7928.0,7978.0,7880.0,65022.0,31088.0
2010-02-01,7792.0,7910.0,7920.0,7792.0,64216.0,33090.0
2010-02-02,7824.0,7850.0,7876.0,7794.0,62250.0,33770.0
2010-02-03,7978.0,7970.0,7978.0,7900.0,60514.0,31274.0
2010-02-04,7916.0,7944.0,7944.0,7880.0,59630.0,26450.0
2010-02-05,7918.0,7870.0,7936.0,7870.0,60158.0,30412.0
2010-02-08,7974.0,7942.0,7986.0,7942.0,62558.0,26496.0
2010-02-09,7974.0,8006.0,8012.0,7958.0,62492.0,19744.0
2010-02-10,7964.0,8000.0,8010.0,7934.0,56564.0,28128.0
2010-02-11,7996.0,7986.0,8038.0,7978.0,55272.0,17848.0
2010-02-12,7944.0,8008.0,8008.0,7926.0,54442.0,11020.0
2010-02-22,8046.0,8050.0,8064.0,8004.0,54828.0,22278.0
2010-02-23,8140.0,8040.0,8142.0,8036.0,58808.0,44230.0
2010-02-24,8084.0,8102.0,8110.0,8076.0,60008.0,27788.0
2010-02-25,8074.0,8150.0,8202.0,8054.0,59254.0,54618.0
2010-02-26,8028.0,8080.0,8096.0,8026.0,60456.0,34714.0
2010-03-01,8094.0,8120.0,8142.0,8080.0,57942.0,31314.0
2010-03-02,8140.0,8096.0,8208.0,8086.0,97152.0,206094.0
2010-03-03,8160.0,8176.0,8206.0,8128.0,89586.0,105002.0
2010-03-04,8068.0,8152.0,8178.0,8060.0,79332.0,65180.0
2010-03-05,8118.0,8072.0,8128.0,8020.0,76470.0,61406.0
2010-03-08,8126.0,8140.0,8170.0,8110.0,75078.0,43286.0
2010-03-09,8178.0,8116.0,8196.0,8100.0,76922.0,85980.0
2010-03-10,8162.0,8160.0,8202.0,8150.0,74888.0,53090.0
2010-03-11,8120.0,8240.0,8240.0,8088.0,75184.0,64732.0
2010-03-12,8062.0,8088.0,8108.0,8048.0,75108.0,41792.0
2010-03-15,7990.0,8020.0,8050.0,7964.0,76108.0,60296.0
2010-03-16,7994.0,7970.0,8024.0,7970.0,74442.0,45754.0
2010-03-17,8040.0,8010.0,8060.0,8010.0,72080.0,39922.0
2010-03-18,7990.0,8050.0,8050.0,7972.0,73802.0,31962.0
2010-03-19,8072.0,7990.0,8096.0,7990.0,77462.0,79658.0
2010-03-22,8158.0,8056.0,8210.0,8056.0,101880.0,149466.0
2010-03-23,8184.0,8216.0,8262.0,8124.0,125408.0,238084.0
2010-03-24,8186.0,8190.0,8252.0,8156.0,121582.0,243580.0
2010-03-25,8196.0,8190.0,8234.0,8176.0,120086.0,98624.0
2010-03-26,8154.0,8160.0,8192.0,8126.0,114624.0,66476.0
2010-03-29,8162.0,8176.0,8192.0,8150.0,111586.0,55720.0
2010-03-30,8180.0,8186.0,8206.0,8104.0,105522.0,125272.0
2010-03-31,8162.0,8170.0,8212.0,8150.0,100064.0,80648.0
2010-04-01,8144.0,8146.0,8182.0,8126.0,99264.0,46038.0
2010-04-02,8186.0,8174.0,8208.0,8164.0,97138.0,49456.0
2010-04-06,8178.0,8190.0,8212.0,8172.0,95908.0,38328.0
2010-04-07,8252.0,8200.0,8272.0,8190.0,94886.0,89996.0
2010-04-08,8210.0,8240.0,8278.0,8206.0,94718.0,61862.0
2010-04-09,8242.0,8220.0,8256.0,8218.0,94458.0,37108.0
2010-04-12,8254.0,8288.0,8300.0,8244.0,95256.0,48742.0
2010-04-13,8240.0,8230.0,8254.0,8212.0,92606.0,37814.0
2010-04-14,8252.0,8258.0,8276.0,8250.0,93888.0,29770.0
2010-04-15,8226.0,8252.0,8276.0,8220.0,93370.0,39706.0
2010-04-16,8230.0,8246.0,8250.0,8216.0,91452.0,23144.0
2010-04-19,8166.0,8202.0,8218.0,8154.0,83408.0,39456.0
2010-04-20,8200.0,8216.0,8268.0,8194.0,91592.0,69672.0
2010-04-21,8216.0,8212.0,8226.0,8188.0,91134.0,35118.0
2010-04-22,8206.0,8220.0,8230.0,8198.0,89050.0,24620.0
2010-04-23,8242.0,8214.0,8254.0,8210.0,83962.0,51232.0
2010-04-26,8240.0,8264.0,8264.0,8230.0,82740.0,22094.0
2010-04-27,8224.0,8240.0,8240.0,8188.0,81178.0,18602.0
2010-04-28,8150.0,8174.0,8174.0,8120.0,80684.0,13512.0
2010-04-29,8146.0,8130.0,8158.0,8130.0,77938.0,12952.0
2010-04-30,8176.0,8170.0,8176.0,8140.0,69912.0,15386.0
2010-05-04,8156.0,8162.0,8168.0,8136.0,69826.0,4560.0
2010-05-05,8172.0,8108.0,8172.0,8106.0,69328.0,9680.0
2010-05-06,8116.0,8192.0,8192.0,8112.0,69658.0,8712.0
2010-05-07,8036.0,8060.0,8084.0,7984.0,66348.0,19556.0
2010-05-10,8120.0,8080.0,8122.0,8076.0,65210.0,12952.0
2010-05-11,8090.0,8118.0,8140.0,8080.0,63818.0,10622.0
2010-05-12,8106.0,8100.0,8132.0,8090.0,63056.0,8292.0
2010-05-13,8084.0,8108.0,8110.0,8048.0,62508.0,5864.0
2010-05-14,8046.0,8050.0,8070.0,8046.0,63214.0,13484.0
2010-05-17,7998.0,8040.0,8040.0,7944.0,62192.0,25256.0
2010-05-18,8048.0,7986.0,8062.0,7984.0,59648.0,12710.0
2010-05-19,8004.0,8002.0,8040.0,7990.0,58466.0,6876.0
2010-05-20,8042.0,8030.0,8074.0,8020.0,55066.0,13828.0
2010-05-21,8040.0,8028.0,8052.0,8006.0,53726.0,7632.0
2010-05-24,8050.000000000001,8034.273504273505,8065.726495726496,8026.410256410257,58968.0,25934.0
2010-05-25,7981.196581196582,8028.376068376069,8034.273504273505,7971.3675213675215,61242.0,21764.0
2010-05-26,8008.717948717949,8004.786324786325,8020.512820512821,7985.128205128206,60880.0,18742.0
2010-05-27,8024.444444444445,8024.444444444445,8028.376068376069,7996.923076923077,60068.0,14542.0
2010-05-28,8010.683760683761,8053.931623931624,8057.863247863248,8002.820512820514,60580.0,13904.0
2010-05-31,7973.333333333334,7996.923076923077,7996.923076923077,7965.470085470086,61776.0,12940.0
2010-06-01,8006.752136752138,7981.196581196582,8050.000000000001,7959.57264957265,73996.0,102438.0
2010-06-02,8087.350427350428,8026.410256410257,8089.31623931624,8000.854700854701,87508.0,142082.0
2010-06-03,8051.9658119658125,8087.350427350428,8097.179487179487,8032.307692307692,76892.0,65766.0
2010-06-04,8073.589743589744,8067.6923076923085,8095.213675213676,8046.068376068377,73710.0,60612.0
2010-06-07,7926.153846153847,7977.264957264958,7981.196581196582,7863.247863247863,72176.0,57248.0
2010-06-08,7969.40170940171,7930.085470085471,7983.1623931623935,7928.119658119658,74522.0,38690.0
2010-06-09,7979.2307692307695,7971.3675213675215,7992.991452991453,7934.017094017095,74702.0,40264.0
2010-06-10,7959.57264957265,7981.196581196582,7983.1623931623935,7937.948717948719,72422.0,25928.0
2010-06-11,7965.470085470086,7961.538461538462,8002.820512820514,7957.606837606838,69568.0,26646.0
2010-06-17,8063.7606837606845,8108.974358974359,8108.974358974359,8059.8290598290605,71030.0,27938.0
2010-06-18,8087.350427350428,8079.48717948718,8101.111111111111,8071.623931623933,75614.0,30540.0
2010-06-21,8156.153846153847,8124.700854700855,8167.948717948719,8110.940170940172,76094.0,52246.0
2010-06-22,8146.324786324787,8128.632478632479,8160.085470085471,8128.632478632479,75654.0,19744.0
2010-06-23,8144.358974358975,8118.803418803419,8144.358974358975,8101.111111111111,76108.0,20242.0
2010-06-24,8128.632478632479,8134.529914529915,8152.222222222223,8120.769230769231,76210.0,20640.0
2010-06-25,8110.940170940172,8099.1452991453,8136.495726495727,8091.282051282052,76452.0,17692.0
2010-06-28,8093.247863247864,8120.769230769231,8130.598290598291,8089.31623931624,78070.0,14280.0
2010-06-29,8034.273504273505,8075.555555555556,8095.213675213676,8024.444444444445,78394.0,20940.0
2010-06-30,8006.752136752138,7981.196581196582,8018.547008547009,7971.3675213675215,80116.0,19262.0
2010-07-01,7994.957264957266,7991.025641025642,8034.273504273505,7981.196581196582,79014.0,13360.0
2010-07-02,8028.376068376069,7981.196581196582,8034.273504273505,7981.196581196582,77384.0,14846.0
2010-07-05,8020.512820512821,8038.205128205129,8046.068376068377,8008.717948717949,79316.0,14022.0
2010-07-06,8044.102564102564,8008.717948717949,8046.068376068377,7992.991452991453,80498.0,17516.0
2010-07-07,8042.136752136753,8040.17094017094,8061.794871794872,8022.478632478633,80968.0,15042.0
2010-07-08,8059.8290598290605,8101.111111111111,8103.076923076924,8057.863247863248,81224.0,15990.0
2010-07-09,8114.871794871795,8077.521367521368,8118.803418803419,8061.794871794872,79440.0,20916.0
2010-07-12,8083.418803418804,8136.495726495727,8136.495726495727,8079.48717948718,78918.0,14936.0
