,Close,Open,High,Low,Oi,Volume
2013-10-21,969.0,976.0,977.0,960.0,68130.0,95432.0
2013-10-22,948.0,963.0,966.0,948.0,76004.0,91296.0
2013-10-23,939.0,949.0,953.0,936.0,81162.0,116490.0
2013-10-24,926.0,938.0,939.0,916.0,87872.0,169028.0
2013-10-25,918.0,928.0,936.0,917.0,86472.0,104060.0
2013-10-28,923.0,920.0,928.0,917.0,93480.0,83790.0
2013-10-29,921.0,924.0,925.0,913.0,99058.0,105876.0
2013-10-30,924.0,919.0,930.0,916.0,91262.0,118272.0
2013-10-31,922.0,925.0,927.0,920.0,84820.0,74672.0
2013-11-01,942.0,921.0,954.0,921.0,107582.0,321242.0
2013-11-04,950.0,943.0,957.0,942.0,122298.0,175080.0
2013-11-05,946.0,948.0,954.0,943.0,121942.0,108384.0
2013-11-06,944.0,949.0,951.0,942.0,123650.0,69362.0
2013-11-07,945.0,945.0,947.0,939.0,124958.0,91676.0
2013-11-08,939.0,947.0,948.0,936.0,120532.0,66340.0
2013-11-11,942.0,940.0,944.0,934.0,112342.0,57564.0
2013-11-12,943.0,940.0,944.0,936.0,107938.0,45594.0
2013-11-13,943.0,941.0,952.0,940.0,110812.0,96484.0
2013-11-14,937.0,940.0,944.0,937.0,103446.0,55752.0
2013-11-15,931.0,939.0,942.0,930.0,102752.0,76014.0
2013-11-18,932.0,931.0,935.0,925.0,99378.0,52704.0
2013-11-19,942.0,931.0,943.0,930.0,106904.0,60164.0
2013-11-20,942.0,943.0,946.0,940.0,104228.0,43452.0
2013-11-21,932.0,942.0,943.0,932.0,105090.0,41322.0
2013-11-22,931.0,934.0,935.0,929.0,106092.0,52592.0
2013-11-25,933.0,933.0,936.0,928.0,104188.0,38196.0
2013-11-26,941.0,934.0,943.0,934.0,108162.0,72650.0
2013-11-27,936.0,940.0,942.0,933.0,106536.0,30614.0
2013-11-28,939.0,933.0,940.0,933.0,105728.0,27220.0
2013-11-29,939.0,939.0,945.0,939.0,106418.0,33364.0
2013-12-02,936.0,940.0,941.0,934.0,108744.0,41520.0
2013-12-03,939.0,938.0,941.0,936.0,105336.0,35426.0
2013-12-04,952.0,942.0,955.0,941.0,114382.0,94420.0
2013-12-05,945.0,953.0,956.0,944.0,114538.0,52990.0
2013-12-06,941.0,944.0,945.0,938.0,108430.0,40044.0
2013-12-09,945.0,941.0,946.0,940.0,112378.0,19390.0
2013-12-10,942.0,946.0,947.0,942.0,109726.0,16900.0
2013-12-11,937.0,942.0,942.0,934.0,108132.0,38984.0
2013-12-12,930.0,936.0,938.0,930.0,108944.0,35494.0
2013-12-13,914.0,927.0,927.0,905.0,116740.0,91394.0
2013-12-16,918.0,913.0,923.0,912.0,121312.0,39670.0
2013-12-17,910.0,918.0,920.0,908.0,124712.0,24582.0
2013-12-18,906.0,908.0,913.0,902.0,128188.0,71224.0
2013-12-19,908.0,909.0,913.0,907.0,128266.0,30298.0
2013-12-20,905.0,909.0,913.0,901.0,127190.0,34754.0
2013-12-23,893.0,904.0,905.0,885.0,135724.0,128512.0
2013-12-24,900.0,892.0,907.0,892.0,121156.0,95624.0
2013-12-25,903.0,903.0,904.0,898.0,114208.0,48792.0
2013-12-26,896.0,903.0,904.0,885.0,124116.0,84590.0
2013-12-27,907.0,898.0,910.0,896.0,107922.0,87282.0
2013-12-30,911.0,908.0,920.0,908.0,104050.0,85206.0
2013-12-31,911.0,908.0,914.0,899.0,98646.0,72580.0
2014-01-02,907.0,912.0,912.0,899.0,107880.0,56510.0
2014-01-03,902.0,904.0,905.0,887.0,122358.0,132754.0
2014-01-06,893.0,900.0,900.0,888.0,142642.0,108602.0
2014-01-07,896.0,892.0,899.0,887.0,149034.0,86452.0
2014-01-08,892.0,895.0,897.0,884.0,157264.0,101252.0
2014-01-09,888.0,891.0,899.0,884.0,161606.0,102048.0
2014-01-10,881.0,885.0,886.0,870.0,163378.0,180252.0
2014-01-13,871.0,879.0,880.0,868.0,178106.0,108274.0
2014-01-14,880.0,875.0,881.0,866.0,178102.0,94136.0
2014-01-15,879.0,880.0,882.0,875.0,184704.0,68854.0
2014-01-16,879.0,880.0,885.0,875.0,186510.0,66036.0
2014-01-17,876.0,876.0,878.0,870.0,184412.0,84072.0
2014-01-20,861.0,872.0,876.0,859.0,195022.0,95418.0
2014-01-21,847.0,860.0,861.0,843.0,208510.0,124490.0
2014-01-22,852.0,850.0,858.0,845.0,208986.0,76044.0
2014-01-23,878.0,857.0,885.0,855.0,194104.0,217640.0
2014-01-24,877.0,877.0,880.0,871.0,176300.0,103512.0
2014-01-27,864.0,871.0,874.0,861.0,184670.0,79904.0
2014-01-28,857.0,863.0,867.0,857.0,184348.0,63410.0
2014-01-29,866.0,857.0,868.0,856.0,183982.0,52374.0
2014-01-30,868.0,864.0,871.0,860.0,181866.0,37122.0
2014-02-07,856.0,865.0,868.0,853.0,168784.0,85620.0
2014-02-10,854.0,856.0,859.0,846.0,174428.0,97430.0
2014-02-11,848.0,852.0,857.0,845.0,179890.0,71852.0
2014-02-12,853.0,849.0,855.0,844.0,178688.0,71244.0
2014-02-13,854.0,853.0,858.0,850.0,175878.0,63372.0
2014-02-14,861.0,854.0,865.0,854.0,177852.0,79268.0
2014-02-17,873.0,862.0,874.0,862.0,160886.0,139234.0
2014-02-18,860.0,876.0,878.0,860.0,156626.0,88882.0
2014-02-19,864.0,863.0,867.0,860.0,158376.0,53826.0
2014-02-20,852.0,862.0,864.0,852.0,157148.0,62660.0
2014-02-21,851.0,852.0,854.0,846.0,156434.0,59210.0
2014-02-24,821.0,846.0,846.0,817.0,169866.0,174568.0
2014-02-25,817.0,823.0,827.0,812.0,174898.0,106396.0
2014-02-26,820.0,816.0,821.0,811.0,178426.0,128024.0
2014-02-27,824.0,817.0,826.0,816.0,172268.0,87644.0
2014-02-28,817.0,825.0,828.0,811.0,165448.0,117188.0
2014-03-03,811.0,816.0,819.0,804.0,167268.0,100042.0
2014-03-04,812.0,810.0,813.0,804.0,157296.0,91834.0
2014-03-05,816.0000000000001,817.0174563591023,821.0872817955113,801.7556109725687,235588.0,216938.0
2014-03-06,800.7381546134665,817.0174563591023,818.0349127182046,798.703241895262,266448.0,181182.0
2014-03-07,777.3366583541148,801.7556109725687,801.7556109725687,777.3366583541148,301544.0,169172.0
2014-03-10,740.7082294264341,753.9351620947632,753.9351620947632,740.7082294264341,296812.0,183578.0
2014-03-11,752.917705735661,732.568578553616,765.1271820448878,719.3416458852869,305028.0,531682.0
2014-03-12,749.8653366583542,725.4463840399003,754.9526184538654,717.3067331670824,401538.0,828368.0
2014-03-13,762.0748129675811,753.9351620947632,765.1271820448878,740.7082294264341,498186.0,692768.0
2014-03-14,752.917705735661,762.0748129675811,763.0922693266834,733.5860349127183,527610.0,829438.0
2014-03-17,741.7256857855363,756.9875311720699,761.0573566084789,740.7082294264341,516402.0,672320.0
2014-03-18,744.778054862843,741.7256857855363,750.8827930174565,734.6034912718205,557604.0,822796.0
2014-03-19,744.778054862843,748.847880299252,750.8827930174565,741.7256857855363,558712.0,458340.0
2014-03-20,745.7955112219453,754.9526184538654,775.3017456359104,745.7955112219453,546564.0,1041720.0
2014-03-21,745.7955112219453,748.847880299252,755.9700748129677,741.7256857855363,545010.0,899396.0
2014-03-24,756.9875311720699,742.7431421446385,758.0049875311722,726.4638403990026,592542.0,1326832.0
2014-03-25,772.2493765586036,756.9875311720699,772.2493765586036,750.8827930174565,551710.0,1016092.0
2014-03-26,771.2319201995014,776.3192019950126,777.3366583541148,762.0748129675811,498300.0,645576.0
2014-03-27,770.214463840399,767.1620947630923,783.4413965087283,765.1271820448878,494038.0,759536.0
2014-03-28,794.6334164588529,771.2319201995014,797.6857855361598,770.214463840399,481464.0,774912.0
2014-03-31,807.8603491271822,794.6334164588529,812.9476309226934,791.5810473815462,476690.0,1017030.0
2014-04-01,813.9650872817956,809.8952618453866,816.0000000000001,800.7381546134665,503040.0,763714.0
2014-04-02,797.6857855361598,814.9825436408979,817.0174563591023,790.563591022444,524730.0,930550.0
2014-04-03,812.9476309226934,796.6683291770574,813.9650872817956,791.5810473815462,538798.0,1216750.0
2014-04-04,822.1047381546135,816.0000000000001,824.139650872818,808.8778054862844,509074.0,668208.0
2014-04-08,839.4014962593517,823.1221945137158,847.5411471321697,822.1047381546135,531050.0,811738.0
2014-04-09,833.2967581047383,840.418952618454,845.5062344139652,830.2443890274316,543934.0,716666.0
2014-04-10,830.2443890274316,836.349127182045,842.4538653366585,826.1745635910225,552898.0,676064.0
2014-04-11,828.2094763092271,830.2443890274316,831.2618453865338,823.1221945137158,541278.0,472292.0
2014-04-14,817.0174563591023,826.1745635910225,833.2967581047383,808.8778054862844,551342.0,811304.0
2014-04-15,826.1745635910225,817.0174563591023,826.1745635910225,809.8952618453866,536824.0,635542.0
2014-04-16,810.9127182044889,826.1745635910225,826.1745635910225,805.8254364089777,511688.0,673240.0
2014-04-17,808.8778054862844,812.9476309226934,816.0000000000001,807.8603491271822,473962.0,398184.0
2014-04-18,794.6334164588529,807.8603491271822,808.8778054862844,787.5112219451372,460442.0,1091198.0
2014-04-21,794.6334164588529,795.6508728179552,801.7556109725687,789.5461346633417,472568.0,471016.0
2014-04-22,792.5985037406485,791.5810473815462,795.6508728179552,781.4064837905238,473366.0,593456.0
2014-04-23,799.7206982543642,793.6159600997507,800.7381546134665,781.4064837905238,464386.0,493962.0
2014-04-24,807.8603491271822,801.7556109725687,816.0000000000001,796.6683291770574,495502.0,651388.0
2014-04-25,808.8778054862844,810.9127182044889,814.9825436408979,805.8254364089777,471276.0,399750.0
2014-04-28,773.2668329177059,800.7381546134665,801.7556109725687,770.214463840399,493046.0,947734.0
2014-04-29,784.4588528678305,772.2493765586036,787.5112219451372,772.2493765586036,509530.0,624706.0
2014-04-30,778.3541147132171,781.4064837905238,784.4588528678305,768.1795511221947,496962.0,628926.0
2014-05-05,784.4588528678305,772.2493765586036,785.4763092269328,768.1795511221947,521854.0,434248.0
2014-05-06,781.4064837905238,784.4588528678305,788.5286783042395,778.3541147132171,518038.0,410668.0
2014-05-07,762.0748129675811,780.3890274314216,782.423940149626,761.0573566084789,513436.0,728944.0
2014-05-08,747.8304239401497,761.0573566084789,764.1097256857856,747.8304239401497,520264.0,729292.0
2014-05-09,747.8304239401497,751.9002493765587,753.9351620947632,744.778054862843,526686.0,444996.0
2014-05-12,753.9351620947632,746.8129675810475,754.9526184538654,738.6733167082295,570246.0,850618.0
2014-05-13,752.917705735661,753.9351620947632,762.0748129675811,749.8653366583542,555140.0,597730.0
2014-05-14,750.8827930174565,751.9002493765587,756.9875311720699,746.8129675810475,569716.0,488750.0
2014-05-15,750.8827930174565,752.917705735661,756.9875311720699,747.8304239401497,535308.0,529840.0
2014-05-16,729.5162094763093,748.847880299252,749.8653366583542,724.4289276807981,522544.0,979972.0
2014-05-19,719.3416458852869,725.4463840399003,727.4812967581048,715.2718204488779,563108.0,1071996.0
2014-05-20,712.2194513715712,717.3067331670824,721.3765586034914,707.1321695760599,554328.0,808166.0
2014-05-21,720.3591022443891,715.2718204488779,724.4289276807981,711.201995012469,554550.0,679674.0
2014-05-22,726.4638403990026,723.4114713216959,737.6558603491272,722.3940149625936,568110.0,823036.0
2014-05-23,719.3416458852869,728.4987531172071,732.568578553616,717.3067331670824,560460.0,629728.0
2014-05-26,734.6034912718205,718.3241895261847,741.7256857855363,717.3067331670824,506536.0,1082902.0
2014-05-27,736.638403990025,734.6034912718205,737.6558603491272,728.4987531172071,483206.0,440688.0
2014-05-28,719.3416458852869,733.5860349127183,734.6034912718205,714.2543640897757,536916.0,756804.0
2014-05-29,714.2543640897757,718.3241895261847,722.3940149625936,710.1845386533666,579892.0,807988.0
2014-05-30,691.8703241895263,710.1845386533666,710.1845386533666,688.8179551122196,652828.0,943828.0
2014-06-03,693.9052369077308,696.9576059850375,697.9750623441397,686.7830423940151,657052.0,595416.0
2014-06-04,703.0623441396509,693.9052369077308,704.0798004987532,692.8877805486285,630594.0,623462.0
2014-06-05,700.0099750623442,705.0972568578554,707.1321695760599,692.8877805486285,654030.0,811720.0
2014-06-06,701.0274314214465,700.0099750623442,705.0972568578554,695.9401496259353,635192.0,726978.0
2014-06-09,702.0448877805487,700.0099750623442,705.0972568578554,697.9750623441397,632086.0,534886.0
2014-06-10,697.9750623441397,703.0623441396509,704.0798004987532,691.8703241895263,630986.0,608216.0
2014-06-11,693.9052369077308,695.9401496259353,698.992518703242,691.8703241895263,633532.0,486336.0
2014-06-12,677.6259351620948,690.852867830424,691.8703241895263,677.6259351620948,661156.0,727182.0
2014-06-13,678.6433915211971,672.5386533665836,681.6957605985039,670.5037406483791,638650.0,731950.0
