,Close,Open,High,Low,Oi,Volume
2014-08-11,6450.0,6444.0,6518.0,6414.0,25638.0,84570.0
2014-08-12,6414.0,6422.0,6500.0,6404.0,31852.0,93996.0
2014-08-13,6424.0,6410.0,6456.0,6388.0,28278.0,43002.0
2014-08-14,6396.0,6416.0,6466.0,6352.0,28028.0,84352.0
2014-08-15,6412.0,6400.0,6426.0,6386.0,22570.0,28828.0
2014-08-18,6404.0,6418.0,6478.0,6398.0,19164.0,38498.0
2014-08-19,6386.0,6394.0,6408.0,6364.0,18616.0,22378.0
2014-08-20,6386.0,6376.0,6410.0,6354.0,18918.0,14756.0
2014-08-21,6370.0,6398.0,6406.0,6360.0,17696.0,6248.0
2014-08-22,6392.0,6366.0,6398.0,6366.0,11538.0,12830.0
2014-08-25,6436.0,6396.0,6448.0,6380.0,11352.0,24326.0
2014-08-26,6442.0,6426.0,6446.0,6412.0,10202.0,7344.0
2014-08-27,6398.0,6484.0,6484.0,6398.0,7906.0,10064.0
2014-08-28,6378.0,6392.0,6410.0,6366.0,8070.0,8966.0
2014-08-29,6372.0,6374.0,6392.0,6366.0,6908.0,3956.0
2014-09-01,6378.0,6370.0,6388.0,6368.0,8340.0,5250.0
2014-09-02,6344.0,6368.0,6368.0,6306.0,9830.0,5886.0
2014-09-03,6340.0,6326.0,6352.0,6324.0,11636.0,4738.0
2014-09-04,6342.0,6340.0,6360.0,6318.0,11500.0,3934.0
2014-09-05,6330.0,6328.0,6352.0,6328.0,12372.0,2184.0
2014-09-09,6298.0,6324.0,6326.0,6268.0,14830.0,6712.0
2014-09-10,6300.0,6282.0,6310.0,6156.0,14596.0,4424.0
2014-09-11,6264.0,6300.0,6300.0,6264.0,14664.0,1676.0
2014-09-12,6288.0,6270.0,6288.0,6250.0,14826.0,1308.0
2014-09-15,6346.0,6260.0,6346.0,6260.0,14088.0,2590.0
2014-09-16,6300.0,6348.0,6350.0,6300.0,14146.0,1312.0
2014-09-17,6292.0,6310.0,6324.0,6290.0,14216.0,778.0
2014-09-18,6252.0,6298.0,6298.0,6246.0,14524.0,2004.0
2014-09-19,6126.0,6248.0,6248.0,6112.0,14922.0,2160.0
2014-09-22,6030.0,6064.0,6090.0,6000.0,15022.0,5342.0
2014-09-23,6042.0,6020.0,6130.0,6020.0,14986.0,1130.0
2014-09-24,6100.0,6042.0,6108.0,6030.0,14922.0,1252.0
2014-09-25,6016.0,6100.0,6138.0,5982.0,16086.0,4178.0
2014-09-26,6048.0,5996.0,6060.0,5940.0,15694.0,1972.0
2014-09-29,6070.0,6088.0,6088.0,6016.0,15406.0,1066.0
2014-09-30,6088.0,6122.0,6128.0,6056.0,15192.0,470.0
2014-10-08,6086.0,6130.0,6180.0,6078.0,15118.0,606.0
2014-10-09,6170.0,6080.0,6178.0,6080.0,15012.0,1686.0
2014-10-10,6144.0,6152.0,6170.0,6122.0,14844.0,916.0
