,Close,Open,High,Low,Oi,Volume
2013-11-11,3941.0,3982.0,3983.0,3932.0,44132.0,148860.0
2013-11-12,3951.0,3940.0,3970.0,3932.0,38812.0,93396.0
2013-11-13,3952.0,3946.0,3970.0,3935.0,36600.0,62148.0
2013-11-14,3957.0,3958.0,3963.0,3939.0,32232.0,37318.0
2013-11-15,4013.0,3955.0,4015.0,3954.0,43098.0,133512.0
2013-11-18,4029.0,4015.0,4039.0,4003.0,50176.0,108186.0
2013-11-19,4023.0,4025.0,4036.0,4012.0,43000.0,62266.0
2013-11-20,4036.0,4025.0,4048.0,4016.0,43524.0,59612.0
2013-11-21,4010.0,4039.0,4039.0,4005.0,35924.0,40740.0
2013-11-22,4018.0,4012.0,4040.0,4006.0,35390.0,40808.0
2013-11-25,4168.0,4021.0,4178.0,4021.0,70756.0,275042.0
2013-11-26,4162.0,4170.0,4180.0,4145.0,63964.0,150308.0
2013-11-27,4138.0,4166.0,4174.0,4123.0,59036.0,119328.0
2013-11-28,4174.0,4138.0,4193.0,4138.0,68226.0,188778.0
2013-11-29,4172.0,4179.0,4185.0,4156.0,66538.0,90070.0
2013-12-02,4162.0,4173.0,4190.0,4151.0,66024.0,58520.0
2013-12-03,4163.0,4160.0,4196.0,4140.0,68806.0,162642.0
2013-12-04,4153.0,4166.0,4176.0,4150.0,68428.0,66138.0
2013-12-05,4159.0,4155.0,4181.0,4149.0,66256.0,86416.0
2013-12-06,4131.0,4160.0,4180.0,4109.0,60776.0,93086.0
2013-12-09,4134.0,4138.0,4150.0,4130.0,60958.0,43026.0
2013-12-10,4155.0,4143.0,4190.0,4134.0,64268.0,141624.0
2013-12-11,4155.0,4161.0,4175.0,4149.0,63620.0,68642.0
2013-12-12,4153.0,4159.0,4172.0,4144.0,62124.0,56068.0
2013-12-13,4101.0,4147.0,4157.0,4090.0,59600.0,78890.0
2013-12-16,4088.0,4111.0,4119.0,4082.0,60532.0,53850.0
2013-12-17,4107.0,4091.0,4125.0,4091.0,58862.0,56850.0
2013-12-18,4098.0,4101.0,4122.0,4094.0,59594.0,40438.0
2013-12-19,3989.0,4093.0,4093.0,3962.0,66598.0,221438.0
2013-12-20,3982.0,3971.0,4000.0,3967.0,56724.0,82202.0
2013-12-23,3969.0,3957.0,3973.0,3933.0,57290.0,69360.0
2013-12-24,3982.0,3963.0,3994.0,3961.0,56144.0,57416.0
2013-12-25,3995.0,3985.0,4023.0,3980.0,56212.0,62000.0
2013-12-26,3973.0,4000.0,4017.0,3958.0,55866.0,67728.0
2013-12-27,3968.0,3972.0,3993.0,3965.0,54554.0,37100.0
2013-12-30,3984.0,3970.0,4006.0,3967.0,52060.0,47234.0
2013-12-31,3951.0,3981.0,4000.0,3939.0,54984.0,60322.0
2014-01-02,3975.0,3951.0,3978.0,3941.0,53426.0,31536.0
2014-01-03,4015.0,3998.0,4036.0,3980.0,55466.0,102594.0
2014-01-06,3943.0,4005.0,4024.0,3940.0,56884.0,76746.0
2014-01-07,3865.0,3832.0,3919.0,3832.0,52084.0,102798.0
2014-01-08,3857.0,3869.0,3884.0,3843.0,51118.0,46162.0
2014-01-09,3826.0,3850.0,3880.0,3808.0,54234.0,65388.0
2014-01-10,3832.0,3822.0,3847.0,3815.0,53484.0,38390.0
2014-01-13,3826.0,3830.0,3860.0,3816.0,53012.0,41632.0
2014-01-14,3865.0,3834.0,3875.0,3827.0,50164.0,40826.0
2014-01-15,3828.0,3866.0,3866.0,3820.0,54522.0,52378.0
2014-01-16,3770.0,3835.0,3837.0,3766.0,64710.0,89098.0
2014-01-17,3778.0,3770.0,3785.0,3751.0,62420.0,56748.0
