,Close,Open,High,Low,Oi,Volume
2010-01-04,245.96,245.38,247.43,244.58,101232.0,57752.0
2010-01-05,253.23,250.0,253.28,249.71,106498.0,74798.0
2010-01-06,251.1,251.01,253.14,250.59,109054.0,73904.0
2010-01-07,252.36,255.1,255.5,251.2,100124.0,86698.0
2010-01-08,249.56,251.22,251.22,249.0,91082.0,53716.0
2010-01-11,256.85,257.5,258.44,256.66,93998.0,51302.0
2010-01-12,257.15,256.85,257.5,255.38,94330.0,38234.0
2010-01-13,250.72,251.0,251.0,249.3,83830.0,49252.0
2010-01-14,252.97,254.28,254.38,252.41,81238.0,27014.0
2010-01-15,252.21,253.22,253.55,251.81,78682.0,25270.0
2010-01-18,251.81,250.5,252.05,249.91,79576.0,25412.0
2010-01-19,252.39,252.4,253.0,251.89,81094.0,19448.0
2010-01-20,251.38,253.49,253.99,251.2,81338.0,32490.0
2010-01-21,248.3,247.5,248.31,246.51,79524.0,38986.0
2010-01-22,243.32,243.05,243.99,242.66,76678.0,35292.0
2010-01-25,245.36,243.32,245.99,243.0,77788.0,34950.0
2010-01-26,243.1,245.77,246.28,242.72,73382.0,37918.0
2010-01-27,243.81,244.57,245.15,243.54,74518.0,28192.0
2010-01-28,241.44,241.6,241.98,239.6,67022.0,36302.0
2010-01-29,239.36,240.01,240.91,239.3,64946.0,27932.0
2010-02-01,239.56,240.78,240.8,238.58,63424.0,27820.0
2010-02-02,244.74,244.81,245.2,243.96,62160.0,34270.0
2010-02-03,247.24,246.87,247.35,245.93,59746.0,22686.0
2010-02-04,245.11,245.0,246.06,244.83,61560.0,20660.0
2010-02-05,235.77,235.0,235.9,234.88,55754.0,35700.0
2010-02-08,236.86,236.5,237.18,236.1,55750.0,18356.0
2010-02-09,238.47,236.3,238.88,236.1,55820.0,16136.0
2010-02-10,239.85,239.38,239.88,238.85,52298.0,15046.0
2010-02-11,240.3,239.5,240.8,239.48,51840.0,11930.0
2010-02-12,242.2,242.16,242.5,241.8,49826.0,13110.0
2010-02-22,248.33,250.4,251.5,248.33,50400.0,18470.0
2010-02-23,247.22,246.5,247.45,245.85,52922.0,19936.0
2010-02-24,245.06,245.0,245.46,244.88,54514.0,16490.0
2010-02-25,242.28,244.0,244.0,241.76,57358.0,25200.0
2010-02-26,246.4,245.16,246.6,244.89,61264.0,32442.0
2010-03-01,247.79,248.87,248.87,247.23,56566.0,23066.0
