,50分位,95分位,范围
0.26,2.05%,6.40%,2.05%-6.40%
0.24,1.90%,5.91%,1.90%-5.91%
0.22,1.74%,5.41%,1.74%-5.41%
0.2,1.59%,4.92%,1.59%-4.92%
0.18,1.43%,4.42%,1.43%-4.42%
0.16,1.27%,3.93%,1.27%-3.93%
0.15,1.19%,3.69%,1.19%-3.69%
0.14,1.09%,3.44%,1.09%-3.44%
0.13,1.06%,3.46%,1.06%-3.46%
0.12,0.98%,2.94%,0.98%-2.94%
0.11,0.87%,2.71%,0.87%-2.71%
0.1,0.80%,2.47%,0.80%-2.47%
0.09,0.72%,2.22%,0.72%-2.22%
0.08,0.64%,1.97%,0.64%-1.97%
0.07,0.56%,1.73%,0.56%-1.73%
0.06,0.48%,1.47%,0.48%-1.47%
0.05,0.40%,1.21%,0.40%-1.21%
0.04,0.32%,0.97%,0.32%-0.97%
0.03,0.24%,0.74%,0.24%-0.74%
