,70分位,95分位,99分位,范围70~95,范围95~99
0.26,4.38%,13.19%,19.38%,4.38%-13.19%,13.19%-19.38%
0.24,4.05%,12.18%,17.99%,4.05%-12.18%,12.18%-17.99%
0.22,3.71%,11.22%,16.59%,3.71%-11.22%,11.22%-16.59%
0.2,3.38%,10.20%,15.17%,3.38%-10.20%,10.20%-15.17%
0.18,3.04%,9.21%,13.72%,3.04%-9.21%,9.21%-13.72%
0.16,2.70%,8.20%,12.27%,2.70%-8.20%,8.20%-12.27%
0.15,2.54%,7.27%,11.53%,2.54%-7.27%,7.27%-11.53%
0.14,2.37%,6.58%,10.79%,2.37%-6.58%,6.58%-10.79%
0.13,2.10%,6.12%,10.03%,2.10%-6.12%,6.12%-10.03%
0.12,1.94%,5.66%,9.28%,1.94%-5.66%,5.66%-9.28%
0.11,1.85%,5.64%,8.51%,1.85%-5.64%,5.64%-8.51%
0.1,1.68%,5.12%,7.76%,1.68%-5.12%,5.12%-7.76%
0.09,1.51%,4.61%,6.98%,1.51%-4.61%,4.61%-6.98%
0.08,1.34%,4.05%,6.18%,1.34%-4.05%,4.05%-6.18%
0.07,1.17%,3.54%,5.39%,1.17%-3.54%,3.54%-5.39%
0.06,1.00%,3.02%,4.59%,1.00%-3.02%,3.02%-4.59%
0.05,0.83%,2.47%,3.78%,0.83%-2.47%,2.47%-3.78%
0.04,0.66%,1.93%,2.97%,0.66%-1.93%,1.93%-2.97%
0.03,0.48%,1.40%,2.13%,0.48%-1.40%,1.40%-2.13%
