,ratio_mean,sharpe
timeperiod: 100; std: 0.5,0.0017778062863027862,0.10489078890411332
timeperiod: 100; std: 1,0.001711393721499437,0.07983886449021348
timeperiod: 100; std: 1.5,0.0015686688193835919,0.10699064335026398
timeperiod: 100; std: 2,0.001980851053846496,0.12216163024002931
timeperiod: 100; std: 2.5,0.001205448087728145,-0.10776092346232924
timeperiod: 100; std: 3,,-0.22540972058903652
timeperiod: 105; std: 0.5,0.0019343479042168573,0.10296335563324834
timeperiod: 105; std: 1,0.0021983645675168534,0.08298186908625373
timeperiod: 105; std: 1.5,0.0020510800801455805,0.10604622713024783
timeperiod: 105; std: 2,0.002200077343827906,0.14291770266961507
timeperiod: 105; std: 2.5,0.001223517776367517,-0.15438432435557137
timeperiod: 105; std: 3,,-0.11960812591755313
timeperiod: 10; std: 0.5,0.0015223160274551177,0.1349113768021314
timeperiod: 10; std: 1,0.0017027130664973196,0.11829243317041173
timeperiod: 10; std: 1.5,0.0016825788417116955,0.047192607080651684
timeperiod: 10; std: 2,0.0018257438746135295,-0.04350401648638202
timeperiod: 10; std: 2.5,0.0014757780722055023,-0.059969282545613234
timeperiod: 10; std: 3,,
timeperiod: 110; std: 0.5,0.0020685462874682706,0.10961775453787856
timeperiod: 110; std: 1,0.0021670200685602295,0.10212864533270248
timeperiod: 110; std: 1.5,0.0019446295148336642,0.09337844919377035
timeperiod: 110; std: 2,0.002087376289758069,0.14474528391155642
timeperiod: 110; std: 2.5,,-0.15009672313601266
timeperiod: 110; std: 3,,-0.18699040485615678
timeperiod: 115; std: 0.5,0.002027839301110773,0.10786785606231497
timeperiod: 115; std: 1,0.0021106784504452414,0.12067243216988964
timeperiod: 115; std: 1.5,0.0019504424624396048,0.09365254488799078
timeperiod: 115; std: 2,0.0019347093287038462,0.13568141486761534
timeperiod: 115; std: 2.5,,-0.0990132203697678
timeperiod: 115; std: 3,,-0.18128074390048615
timeperiod: 120; std: 0.5,0.0014666438507185558,0.10841859989177721
timeperiod: 120; std: 1,0.001861654367602127,0.13018318976966362
timeperiod: 120; std: 1.5,0.002030160703981749,0.08236211579928382
timeperiod: 120; std: 2,0.0016451040264014631,0.08715658306043027
timeperiod: 120; std: 2.5,,-0.091162750175693
timeperiod: 120; std: 3,,-0.0355709177803868
timeperiod: 125; std: 0.5,0.001312670557812552,0.09899689693530683
timeperiod: 125; std: 1,0.0017026675194916124,0.12499113476778928
timeperiod: 125; std: 1.5,0.002306457238117479,0.10072664371777962
timeperiod: 125; std: 2,0.0014442934678790416,0.11077090717467071
timeperiod: 125; std: 2.5,,-0.050627971956889214
timeperiod: 125; std: 3,,-0.07499747345575089
timeperiod: 130; std: 0.5,0.0009447891193764048,0.09708938894655059
timeperiod: 130; std: 1,0.0018688515132307022,0.11077832030755681
timeperiod: 130; std: 1.5,0.00216150159350352,0.11454311382238598
timeperiod: 130; std: 2,0.0013060202176826273,0.11685573269859062
timeperiod: 130; std: 2.5,,-0.0950701882622861
timeperiod: 130; std: 3,,-0.08154768587690663
timeperiod: 135; std: 0.5,0.0011219518242724593,0.11164587851021761
timeperiod: 135; std: 1,0.0018481430414905185,0.09657829461734527
timeperiod: 135; std: 1.5,0.000318236139316423,0.11238566616199804
timeperiod: 135; std: 2,0.0015458654762696782,0.12046393114319161
timeperiod: 135; std: 2.5,,-0.14053748351851703
timeperiod: 135; std: 3,,-0.06119975808712202
timeperiod: 140; std: 0.5,0.0015647454787826205,0.1257702707406487
timeperiod: 140; std: 1,0.0023493832220803828,0.13283127052336224
