,年化收益率,季度胜率,夏普比率,卡玛比率,timeperiod,std
绩效数据,0.09994259665835425,0.6190476190476191,0.27473246790600614,0.31523631167812743,5,0.5
绩效数据,0.09201887202173631,0.6428571428571429,0.2520243158126328,0.26193828126635227,5,1.0
绩效数据,0.07860719433180541,0.5,0.21160476673898865,0.33408314007139395,5,1.5
绩效数据,0.0,0.0,-inf,,5,2.0
绩效数据,0.0,0.0,-inf,,5,2.5
绩效数据,0.0,0.0,-inf,,5,3.0
绩效数据,0.040342820652862876,0.5476190476190477,0.0015850782855344949,0.07106528979805322,10,0.5
绩效数据,0.06307325717851775,0.5952380952380952,0.11413744675543333,0.11217192731402814,10,1.0
绩效数据,0.04759506603509367,0.5952380952380952,0.04085986776220951,0.08941528220678376,10,1.5
绩效数据,0.024381244771991994,0.5238095238095238,-0.10563868574170468,0.061178767094384925,10,2.0
绩效数据,-0.012419480256198434,0.21428571428571427,-0.7925951563556378,-0.05879834721124201,10,2.5
绩效数据,0.0,0.0,-inf,,10,3.0
绩效数据,0.09184621082503219,0.6428571428571429,0.240486908691937,0.16421330361240363,15,0.5
绩效数据,0.09269615714717894,0.5952380952380952,0.26002588756855594,0.1769017166632843,15,1.0
绩效数据,0.06351669729064913,0.5238095238095238,0.12563836300536946,0.10873003667637667,15,1.5
绩效数据,0.09228279616727253,0.5952380952380952,0.3127951736361993,0.2247728805457608,15,2.0
绩效数据,0.0252323396778642,0.30952380952380953,-0.12541196511893585,0.09244127995810467,15,2.5
绩效数据,0.00668894103766382,0.09523809523809523,-0.8989125829189722,0.08149949204556525,15,3.0
绩效数据,0.09545985948465918,0.5714285714285714,0.2574048152553255,0.17557378236611704,20,0.5
绩效数据,0.11130618661708258,0.5714285714285714,0.35270092460023805,0.25992609608622796,20,1.0
绩效数据,0.09912982428475625,0.5952380952380952,0.3106674498657355,0.28695268041560057,20,1.5
绩效数据,0.08591586964141373,0.5476190476190477,0.2727389380290154,0.22507914911241092,20,2.0
绩效数据,0.04807564612358184,0.42857142857142855,0.06383436380020806,0.14804069863965197,20,2.5
绩效数据,0.020696896505806528,0.16666666666666666,-0.2158154711366947,0.08958475934865973,20,3.0
绩效数据,0.08357892942895884,0.6190476190476191,0.20429976910610284,0.14255298136464162,25,0.5
绩效数据,0.11459930329383461,0.6190476190476191,0.3643282412796534,0.26748652524844596,25,1.0
绩效数据,0.10716986322381628,0.6190476190476191,0.3508845051738317,0.2759338574147295,25,1.5
绩效数据,0.08909880382126079,0.5714285714285714,0.285214482996104,0.21190667765154578,25,2.0
绩效数据,0.05171772987289858,0.5238095238095238,0.08054589628600631,0.1993306935284966,25,2.5
绩效数据,0.021549256180953602,0.23809523809523808,-0.1890536952369367,0.08230405184518537,25,3.0
绩效数据,0.09637534154143768,0.5952380952380952,0.26370874972114783,0.17429431531963221,30,0.5
绩效数据,0.08899028012807064,0.6190476190476191,0.23812484699867204,0.16344400576941984,30,1.0
绩效数据,0.09795425814211267,0.6190476190476191,0.30166346968572144,0.23742375989779918,30,1.5
绩效数据,0.0903045516738652,0.6190476190476191,0.28279014331741925,0.21143072462701576,30,2.0
绩效数据,0.03729421029475355,0.47619047619047616,-0.017252640911924695,0.08223272435802914,30,2.5
绩效数据,0.019914446998863022,0.21428571428571427,-0.22890730248670485,0.08592534105851786,30,3.0
绩效数据,0.08042807074544078,0.6190476190476191,0.1886080475899792,0.14310774098830092,35,0.5
绩效数据,0.07217738462874679,0.6190476190476191,0.15681464035422057,0.1337634017785367,35,1.0
绩效数据,0.07925535645555293,0.6190476190476191,0.2038486939269657,0.1757787526615957,35,1.5
绩效数据,0.0779359914241664,0.5714285714285714,0.2126515059533729,0.17965187137332048,35,2.0
绩效数据,0.012710358810027023,0.5,-0.17221163567154846,0.02311523013804205,35,2.5
绩效数据,-0.0077307924212991486,0.16666666666666666,-0.5167160418267084,-0.02481728356812652,35,3.0
绩效数据,0.05123369673698952,0.5952380952380952,0.05181215118640929,0.09018121511560173,40,0.5
绩效数据,0.07446847844933879,0.6190476190476191,0.16643824117822276,0.1614552517848553,40,1.0
绩效数据,0.07999713871101832,0.5952380952380952,0.20679005448028007,0.19518375939596028,40,1.5
绩效数据,0.07825975992215106,0.5714285714285714,0.20846448061411474,0.19572410789477818,40,2.0
绩效数据,0.018555174762123317,0.42857142857142855,-0.13515366759542222,0.03640233610703,40,2.5
绩效数据,0.004353921507176617,0.23809523809523808,-0.28876091039365614,0.01083319949438897,40,3.0
绩效数据,0.019098263857095787,0.5714285714285714,-0.09612679439333933,0.02868554322644319,45,0.5
绩效数据,0.04176699955173424,0.5714285714285714,0.00853280455725991,0.07348752912197688,45,1.0
绩效数据,0.04147608061549324,0.5238095238095238,0.007691674684424849,0.0761531220217015,45,1.5
绩效数据,0.04632110934331268,0.5714285714285714,0.03546837709189015,0.1028734397894666,45,2.0
绩效数据,0.0207009274100034,0.35714285714285715,-0.1185412562878692,0.04394711251946437,45,2.5
绩效数据,0.009847074881382811,0.21428571428571427,-0.2480394374086751,0.025554168460060936,45,3.0
