,年化收益率,季度胜率,夏普比率,卡玛比率,cmo_length,m_length
绩效数据,-0.077650239,0.452380952,-0.536339382,-0.095740241,210,200
绩效数据,-0.075145525,0.476190476,-0.524860373,-0.09294555,205,200
绩效数据,-0.073402104,0.380952381,-0.519993265,-0.092538635,205,230
绩效数据,-0.073152618,0.452380952,-0.517189662,-0.090664188,225,200
绩效数据,-0.071963509,0.357142857,-0.513393197,-0.091378693,210,225
绩效数据,-0.071632139,0.357142857,-0.512862612,-0.090326371,215,225
绩效数据,-0.070411792,0.404761905,-0.507253192,-0.090510066,220,220
绩效数据,-0.070121374,0.428571429,-0.504942039,-0.088669663,220,215
绩效数据,-0.070192891,0.428571429,-0.503901999,-0.087636574,230,200
绩效数据,-0.067868583,0.404761905,-0.495563589,-0.08709175,235,205
绩效数据,-0.068623811,0.476190476,-0.494924223,-0.087774379,195,200
绩效数据,-0.068317574,0.476190476,-0.49365586,-0.086147452,200,200
绩效数据,-0.067620842,0.380952381,-0.493470861,-0.08640046,215,220
绩效数据,-0.067363467,0.452380952,-0.489179088,-0.087785533,230,165
绩效数据,-0.067473631,0.452380952,-0.48885167,-0.087338803,220,165
绩效数据,-0.066307189,0.428571429,-0.488387078,-0.085423881,225,215
绩效数据,-0.065572303,0.404761905,-0.485469458,-0.084875217,230,215
绩效数据,-0.066494166,0.476190476,-0.485406433,-0.083616108,210,195
绩效数据,-0.065480952,0.380952381,-0.483654576,-0.084447969,200,235
绩效数据,-0.065466276,0.452380952,-0.483587257,-0.084176676,225,210
绩效数据,-0.06560495,0.476190476,-0.481947921,-0.082213509,220,200
绩效数据,-0.065019754,0.428571429,-0.479276155,-0.080785208,210,210
绩效数据,-0.065068678,0.380952381,-0.479020604,-0.081853976,190,225
绩效数据,-0.064557725,0.452380952,-0.476177019,-0.083555231,190,200
绩效数据,-0.063844696,0.380952381,-0.474626591,-0.080524646,200,225
绩效数据,-0.064271846,0.452380952,-0.474282055,-0.084367137,185,200
绩效数据,-0.063015386,0.428571429,-0.473706792,-0.081256442,235,210
