,年化收益率,季度胜率,夏普比率,卡玛比率,N1,N2,M
绩效数据,-0.05733753787012419,0.42857142857142855,-0.4290528433029317,-0.0902617734386829,10,5,5
绩效数据,0.03831014998436921,0.5952380952380952,-0.0074504139525033795,0.08008777972249925,10,5,10
绩效数据,0.03664635135195682,0.5476190476190477,-0.014805069113826837,0.05577937975106316,10,5,15
绩效数据,-0.028384459133505624,0.5476190476190477,-0.30194520273189646,-0.041168187320075836,10,5,20
绩效数据,-0.04654754371735703,0.4523809523809524,-0.382505009960379,-0.06600902293782668,10,5,25
绩效数据,-0.0645157276732532,0.5238095238095238,-0.461357597559091,-0.09517752207634077,20,5,5
绩效数据,-0.06962274714450079,0.4523809523809524,-0.4840705620018704,-0.10478791594993397,20,5,10
绩效数据,-0.12642350590030405,0.35714285714285715,-0.7358630996756007,-0.15873201136157356,20,5,15
绩效数据,-0.11957639091905992,0.40476190476190477,-0.7056562123376288,-0.1575020681221759,20,5,20
绩效数据,-0.09398588369159988,0.3333333333333333,-0.5924355247507589,-0.13873778638525022,20,5,25
绩效数据,-0.09912088756343607,0.4523809523809524,-0.6142234778043225,-0.12581956484572146,20,10,5
绩效数据,-0.08174777841325453,0.42857142857142855,-0.5376419508087986,-0.09940090324795599,20,10,10
绩效数据,-0.02120617837347827,0.4523809523809524,-0.27050140117164523,-0.032029481876553426,20,10,15
绩效数据,-0.023838750410835385,0.4523809523809524,-0.2821818590328565,-0.04009429231573789,20,10,20
绩效数据,-0.07554241023521435,0.47619047619047616,-0.5108334362861577,-0.11771807085278008,20,10,25
绩效数据,-0.13213418947041544,0.2619047619047619,-0.7611587598483274,-0.16422736837545956,30,10,5
绩效数据,-0.10142262037278282,0.35714285714285715,-0.625285617388609,-0.1409559060937325,30,10,10
绩效数据,-0.07656234204263856,0.4523809523809524,-0.5153451572655193,-0.12128773339039942,30,10,15
绩效数据,-0.08074676111229728,0.3333333333333333,-0.5344280072625569,-0.12086235582107438,30,10,20
绩效数据,-0.06655270007694303,0.35714285714285715,-0.4716412794763987,-0.11249646765269852,30,10,25
绩效数据,-0.08235188873276533,0.42857142857142855,-0.5409574521220808,-0.12510213735740877,40,10,5
绩效数据,-0.08009195419112614,0.38095238095238093,-0.5315280194192895,-0.12241029343438872,40,10,10
绩效数据,-0.05598793419547843,0.40476190476190477,-0.42486329083367164,-0.09486466890705848,40,10,15
绩效数据,-0.10162027600040613,0.2857142857142857,-0.6270483229985202,-0.14327625520363102,40,10,20
绩效数据,-0.10320595986113745,0.38095238095238093,-0.6342338414555144,-0.1385153498182025,40,10,25
绩效数据,-0.01213409034041868,0.47619047619047616,-0.23011867733374233,-0.02131195062211704,20,15,5
绩效数据,-0.0579607689051056,0.42857142857142855,-0.43255643890614415,-0.0981108879195126,20,15,10
绩效数据,-0.11752004595656562,0.38095238095238093,-0.6964360995535565,-0.15242395809725834,20,15,15
绩效数据,-0.1125343231775765,0.42857142857142855,-0.6744738783288452,-0.15517327161135322,20,15,20
绩效数据,-0.04817328135083021,0.4523809523809524,-0.3897948195723789,-0.1059659276239406,20,15,25
绩效数据,-0.07972539940556922,0.40476190476190477,-0.5291972094921369,-0.13285172235222703,30,15,5
绩效数据,-0.06868127854354023,0.35714285714285715,-0.480435841914835,-0.11433800970556486,30,15,10
绩效数据,-0.0722372877057399,0.38095238095238093,-0.4962137525214872,-0.12578412462886968,30,15,15
绩效数据,-0.05043555698254254,0.30952380952380953,-0.4002257756444508,-0.10109298828450619,30,15,20
