,年化收益率,季度胜率,夏普比率,卡玛比率,fastperiod,slowperiod,signalperiod
绩效数据,0.0799138178092218,0.6666666666666666,0.24424797201329762,0.23134855868911888,5,10,5
绩效数据,0.13113978873461907,0.6428571428571429,0.5485074320798099,0.4615422009888674,5,10,10
绩效数据,0.09031871711521466,0.6190476190476191,0.29491882219154625,0.22280168169142076,5,10,15
绩效数据,0.09404185661658038,0.6190476190476191,0.3208928977247021,0.2508449077703436,5,10,20
绩效数据,0.07069076296890708,0.6190476190476191,0.18241168009214864,0.16728279184687644,5,10,25
绩效数据,0.11034765208133579,0.5952380952380952,0.42253537091218424,0.30603314464609477,5,20,5
绩效数据,0.09404185661658038,0.6190476190476191,0.3208928977247021,0.2508449077703436,5,20,10
绩效数据,0.07095676667914352,0.6904761904761905,0.1854797682233714,0.2140955672348737,5,20,15
绩效数据,0.0597694282949115,0.6190476190476191,0.11874817404897127,0.16022531667719594,5,20,20
绩效数据,0.03751390173099778,0.5714285714285714,-0.014895187261009456,0.08822981744664023,5,20,25
绩效数据,0.09192794870554466,0.6190476190476191,0.3082294209527579,0.24520632242062276,10,20,5
绩效数据,0.08214928792943343,0.6904761904761905,0.25441286130084223,0.2589004852127772,10,20,10
绩效数据,0.041476735649967233,0.5476190476190477,0.00887410354049861,0.09809152631199806,10,20,15
绩效数据,0.011113960760051667,0.5476190476190477,-0.17543886054655675,0.023294506431704297,10,20,20
绩效数据,0.0451035131521218,0.5952380952380952,0.03053170322657595,0.12380281882507546,10,20,25
绩效数据,0.05789057066451364,0.6428571428571429,0.10733321947497532,0.13281111820097424,10,30,5
绩效数据,0.03642584610159538,0.5476190476190477,-0.021717221905415602,0.09152930807584923,10,30,10
绩效数据,0.035069123721663154,0.5476190476190477,-0.029587916452512592,0.0886954902438692,10,30,15
绩效数据,0.07195296701416365,0.6190476190476191,0.1871692688967271,0.2218600058689749,10,30,20
绩效数据,0.06702012314122574,0.5714285714285714,0.1574534477353389,0.18827884410692655,10,30,25
绩效数据,0.06301296512331267,0.6190476190476191,0.13612504820961074,0.17018833332862102,10,40,5
绩效数据,0.04775699013070822,0.6428571428571429,0.04613681805411328,0.1300373672528445,10,40,10
绩效数据,0.07269637221253311,0.6190476190476191,0.19319083562027675,0.20871771832889568,10,40,15
绩效数据,0.05761225180453455,0.5952380952380952,0.10311692926175493,0.15715194286748044,10,40,20
绩效数据,0.08243521885229943,0.5714285714285714,0.248338531229712,0.23868826567918963,10,40,25
绩效数据,0.06811121480233084,0.6666666666666666,0.1683847148886337,0.20550977518607183,15,20,5
绩效数据,0.041476735649967233,0.5476190476190477,0.00887410354049861,0.09809152631199806,15,20,10
绩效数据,0.023337523862116516,0.5476190476190477,-0.10032794037840069,0.050310620855477085,15,20,15
绩效数据,0.06586943168986048,0.5952380952380952,0.15176238197002934,0.2181131717119019,15,20,20
绩效数据,0.06708712173621234,0.5952380952380952,0.15878609311547134,0.19789871801238648,15,20,25
绩效数据,0.06104671975275222,0.5952380952380952,0.1265342404691035,0.17465513079836503,15,30,5
绩效数据,0.035069123721663154,0.5476190476190477,-0.029587916452512592,0.0886954902438692,15,30,10
绩效数据,0.06746270622292583,0.5714285714285714,0.16079328545257582,0.21658650412279623,15,30,15
绩效数据,0.0833520506413108,0.6190476190476191,0.25328515795060014,0.25020778566046287,15,30,20
绩效数据,0.0899092287700467,0.6190476190476191,0.2915918804776678,0.2596078267131061,15,30,25
绩效数据,0.056926706485424416,0.6190476190476191,0.10054751556934437,0.22857963141634202,15,40,5
绩效数据,0.07269637221253311,0.6190476190476191,0.19319083562027675,0.20871771832889568,15,40,10
绩效数据,0.06798179524166237,0.5714285714285714,0.16396041069661227,0.19028240365874186,15,40,15
绩效数据,0.09845698253073953,0.6190476190476191,0.3416690250046357,0.3109203969210364,15,40,20
绩效数据,0.07793840337173519,0.5714285714285714,0.21935213050330082,0.22502584657283267,15,40,25
绩效数据,0.04308071869317942,0.5476190476190477,0.01826316366351106,0.1257246007683018,15,50,5
绩效数据,0.05202333286842431,0.5476190476190477,0.07121051239956927,0.13707577944932664,15,50,10
绩效数据,0.0705196859796815,0.5714285714285714,0.17854243234018013,0.2031529187410534,15,50,15
绩效数据,0.07915395752322407,0.5476190476190477,0.22650860099021936,0.22415394500195623,15,50,20
绩效数据,0.0862743380245159,0.5714285714285714,0.26732263385165295,0.275504935838744,15,50,25
绩效数据,0.051179400903972105,0.5714285714285714,0.06582075939446115,0.1403542347002388,15,60,5
绩效数据,0.08432963311025299,0.5952380952380952,0.2601619643411532,0.26499088057192033,15,60,10
绩效数据,0.07020501557639847,0.5476190476190477,0.1757252366410934,0.1910512333913607,15,60,15
绩效数据,0.09172428567396973,0.5952380952380952,0.30074041222720077,0.2750317543552884,15,60,20
绩效数据,0.09173046800090723,0.5476190476190477,0.3040129501901074,0.2684834188320336,15,60,25
绩效数据,0.052390375179071524,0.5476190476190477,0.07357075416803446,0.19687264326346443,20,30,5
绩效数据,0.07195296701416365,0.6190476190476191,0.1871692688967271,0.2218600058689749,20,30,10
绩效数据,0.0833520506413108,0.6190476190476191,0.25328515795060014,0.25020778566046287,20,30,15
绩效数据,0.08545568249075197,0.5714285714285714,0.26536379689322415,0.2383555495751895,20,30,20
绩效数据,0.0662149867180839,0.5714285714285714,0.15123876465099656,0.18603664108339446,20,30,25
绩效数据,0.04312431973024089,0.5952380952380952,0.01839664685394857,0.13014919371631561,20,40,5
绩效数据,0.05761225180453455,0.5952380952380952,0.10311692926175493,0.15715194286748044,20,40,10
绩效数据,0.09663480993431794,0.6190476190476191,0.330772050612088,0.305166100858173,20,40,15
绩效数据,0.06944571462421756,0.5714285714285714,0.17009290632968443,0.19851983686176317,20,40,20
绩效数据,0.07785180997259555,0.5952380952380952,0.2173083455512298,0.2138650711929984,20,40,25
绩效数据,0.029299701870654005,0.5476190476190477,-0.06341243584833767,0.06951199201219962,20,50,5
绩效数据,0.06638156050934008,0.5714285714285714,0.15490927033000737,0.1877674567638373,20,50,10
绩效数据,0.07911788948567766,0.5476190476190477,0.22630129328943163,0.22405180490489074,20,50,15
绩效数据,0.08889838479509216,0.5476190476190477,0.28313403874408205,0.303765300271469,20,50,20
绩效数据,0.07750299944353656,0.5238095238095238,0.21881917161377112,0.21862214284605963,20,50,25
绩效数据,0.04765316572707823,0.5476190476190477,0.045543585220843376,0.13102803571161248,20,60,5
绩效数据,0.06757903228569462,0.5714285714285714,0.1605433855686544,0.16365829282121158,20,60,10
绩效数据,0.09280104887324958,0.5952380952380952,0.3068921287115144,0.27826038753075716,20,60,15
绩效数据,0.0863016201261888,0.5476190476190477,0.26960419812750086,0.2410183069237793,20,60,20
绩效数据,0.05880271521377822,0.5238095238095238,0.10885965165682654,0.16385464515482515,20,60,25
绩效数据,0.06945693157213628,0.5476190476190477,0.1729003599423366,0.2054706614386556,20,70,5
绩效数据,0.08156983186320255,0.5952380952380952,0.24099859901516404,0.2228953529265364,20,70,10
绩效数据,0.10991406213035337,0.5952380952380952,0.4117558319885057,0.4027185576179407,20,70,15
绩效数据,0.05950806069116221,0.5238095238095238,0.11286777647477357,0.1855495367768163,20,70,20
绩效数据,0.06300927951178337,0.5476190476190477,0.13354918693902254,0.16588998407432673,20,70,25
绩效数据,0.07302374329022387,0.5714285714285714,0.19300447314539076,0.2504725443223842,20,80,5
绩效数据,0.08461130093763058,0.5952380952380952,0.25687094849071895,0.2554216168225544,20,80,10
绩效数据,0.0975942991888612,0.6190476190476191,0.3429814933759024,0.3134334703455891,20,80,15
绩效数据,0.06255333110711159,0.5476190476190477,0.1310054904620436,0.17264453744375619,20,80,20
绩效数据,0.050645971456006134,0.5238095238095238,0.0622593935021221,0.13265881413544417,20,80,25
绩效数据,0.03654691547025557,0.5952380952380952,-0.02023937836736998,0.09853515204359603,25,30,5
绩效数据,0.06672382547232103,0.5714285714285714,0.15571792112490038,0.18744645854870476,25,30,10
绩效数据,0.0899092287700467,0.6190476190476191,0.2915918804776678,0.2596078267131061,25,30,15
绩效数据,0.0662149867180839,0.5714285714285714,0.15123876465099656,0.18603664108339446,25,30,20
绩效数据,0.0659357132560261,0.5714285714285714,0.1495829513995023,0.20658232628535805,25,30,25
绩效数据,0.036160056728502976,0.5714285714285714,-0.022782280031934905,0.08442521811652093,25,40,5
绩效数据,0.08306383185952515,0.5714285714285714,0.2519903934539427,0.24050839244742117,25,40,10
绩效数据,0.07733267907232744,0.5714285714285714,0.2158603492571552,0.2232769831452119,25,40,15
绩效数据,0.07785180997259555,0.5952380952380952,0.2173083455512298,0.2138650711929984,25,40,20
绩效数据,0.07043668789580249,0.5,0.17443451109668867,0.2384975657164146,25,40,25
绩效数据,0.049676216677233764,0.5476190476190477,0.05708277326532383,0.13316045610981192,25,50,5
绩效数据,0.06688342361165689,0.5476190476190477,0.15606794424585846,0.16443819879532398,25,50,10
绩效数据,0.08566392952593516,0.5714285714285714,0.2638088829865251,0.2735556823516977,25,50,15
绩效数据,0.07754826855563857,0.5238095238095238,0.21908348675428274,0.2187498389399341,25,50,20
绩效数据,0.05887260402074235,0.47619047619047616,0.10968841164465466,0.16603758307776162,25,50,25
绩效数据,0.05135536743856228,0.5238095238095238,0.06684115738068655,0.12793271753868474,25,60,5
绩效数据,0.0811229466869261,0.6190476190476191,0.23905486960447175,0.2077354444137684,25,60,10
绩效数据,0.09453997060440167,0.5476190476190477,0.3202692953011132,0.27670647580146074,25,60,15
绩效数据,0.06198870680603008,0.5238095238095238,0.12727745097853194,0.17273245836322518,25,60,20
绩效数据,0.0583239207603512,0.5238095238095238,0.10702794656533574,0.14735854659923162,25,60,25
绩效数据,0.07298099161958183,0.5476190476190477,0.19220745639602288,0.24918740748656085,25,70,5
绩效数据,0.12194556168892978,0.6190476190476191,0.47731145243677925,0.5067137440500475,25,70,10
绩效数据,0.07763353296277509,0.5476190476190477,0.21769628883044256,0.24383067380048848,25,70,15
绩效数据,0.060679524297514664,0.5476190476190477,0.11986080193515868,0.15975623586475,25,70,20
绩效数据,0.04807930343850164,0.5,0.04772513055863233,0.11083142969730887,25,70,25
绩效数据,0.10163356461580997,0.6190476190476191,0.35743324746800914,0.35739568018445933,25,80,5
绩效数据,0.10851864682911216,0.6190476190476191,0.40675267485396566,0.44774992820808207,25,80,10
绩效数据,0.07502805835808579,0.5476190476190477,0.204342487231075,0.2395012965109667,25,80,15
绩效数据,0.05464894172060353,0.5238095238095238,0.08554530075406913,0.14314393808616602,25,80,20
绩效数据,0.02833246063072492,0.5,-0.06952202879221522,0.0696396063147475,25,80,25
绩效数据,0.09347712640237926,0.5714285714285714,0.3078513953483531,0.33498634388199255,25,90,5
绩效数据,0.1093084771263213,0.5714285714285714,0.4136556612600731,0.4381810435550476,25,90,10
绩效数据,0.06351465361238251,0.5476190476190477,0.1377725888403554,0.20781417859224463,25,90,15
绩效数据,0.04389772900445643,0.5238095238095238,0.02290350107129645,0.10825023480441928,25,90,20
绩效数据,0.045332949046919424,0.5,0.03161609216879456,0.157787046966822,25,90,25
绩效数据,0.08428661650291924,0.5952380952380952,0.2598273518029426,0.22944245512390746,25,100,5
绩效数据,0.10615950522474993,0.5952380952380952,0.3947820866601793,0.3691958654742235,25,100,10
绩效数据,0.06102821711954509,0.47619047619047616,0.12379753465030115,0.18876916634316546,25,100,15
绩效数据,0.053600546094712875,0.47619047619047616,0.08032992614711267,0.148644643016189,25,100,20
绩效数据,0.046654747279486264,0.5238095238095238,0.040470498914342026,0.16193487522121539,25,100,25
绩效数据,0.03549510823122315,0.5,-0.02664567650308578,0.08298165351449766,30,40,5
绩效数据,0.07895191977218419,0.5476190476190477,0.22631857290688692,0.21135074105919424,30,40,10
绩效数据,0.08797784945091469,0.6190476190476191,0.2748340896635172,0.2794733637722299,30,40,15
绩效数据,0.08508899345430088,0.5476190476190477,0.2607993785792684,0.27531613810611955,30,40,20
绩效数据,0.05628481302791988,0.5,0.09397012884731303,0.15413345468299294,30,40,25
绩效数据,0.06339232831189112,0.5476190476190477,0.1377450326479184,0.17067954230709853,30,50,5
绩效数据,0.08329770219751698,0.5952380952380952,0.25153872306862296,0.21317861865602256,30,50,10
绩效数据,0.08036197271326562,0.5476190476190477,0.23541803432362987,0.22165137603691898,30,50,15
绩效数据,0.060434508985978797,0.5,0.11876631588059752,0.16896158222323784,30,50,20
绩效数据,0.045590830894502776,0.5,0.03233183137455763,0.1069357999251685,30,50,25
绩效数据,0.08396753526793144,0.5238095238095238,0.2544309664668619,0.21069212922308783,30,60,5
绩效数据,0.10542402612774371,0.5952380952380952,0.38243965712942163,0.3118475291631597,30,60,10
绩效数据,0.07582368548913343,0.5238095238095238,0.20655501978182766,0.236422588063085,30,60,15
绩效数据,0.06129579457809764,0.5238095238095238,0.12434097317130174,0.16243413954590233,30,60,20
绩效数据,0.052051336703472284,0.5476190476190477,0.07114598765410801,0.13413666391804677,30,60,25
绩效数据,0.11017214633516326,0.5952380952380952,0.40508246360474937,0.34693832967447813,30,70,5
绩效数据,0.1016402441724722,0.5714285714285714,0.36447896427322757,0.32846410153903993,30,70,10
绩效数据,0.0729560570416623,0.5476190476190477,0.1903066145140005,0.2186912498360087,30,70,15
绩效数据,0.0533142407051288,0.5,0.07862574013507656,0.13542411365515555,30,70,20
绩效数据,0.05069714892926869,0.5238095238095238,0.06295557754566464,0.14546810055529072,30,70,25
绩效数据,0.1023340579342551,0.5952380952380952,0.36100694231921676,0.28754829309091073,30,80,5
绩效数据,0.09260259013618888,0.5952380952380952,0.3150573311991928,0.30172111541505214,30,80,10
绩效数据,0.0728718827899113,0.5476190476190477,0.19200485230492564,0.22744783626132437,30,80,15
绩效数据,0.03266793689255243,0.5,-0.04351932933881003,0.07806503073755058,30,80,20
绩效数据,0.06249492729043871,0.5714285714285714,0.1328068609509609,0.2713073432950337,30,80,25
绩效数据,0.08626635212406919,0.5952380952380952,0.27308536706142883,0.22447832791886987,30,90,5
绩效数据,0.08489448424910817,0.5952380952380952,0.26816664372754945,0.25094240106746135,30,90,10
绩效数据,0.05958724068453214,0.5,0.11564028623351479,0.1799673173930537,30,90,15
绩效数据,0.03802440096071247,0.47619047619047616,-0.011814854427220366,0.10972584306341346,30,90,20
绩效数据,0.05828524477152763,0.5476190476190477,0.11120868554131698,0.25303197551976664,30,90,25
绩效数据,0.0807828602526619,0.5952380952380952,0.24312201370474434,0.24434452207901575,30,100,5
绩效数据,0.05119057690819462,0.5,0.06593904333582473,0.13354363186573098,30,100,10
绩效数据,0.056327383894618555,0.5,0.09649953923188873,0.15371932723803525,30,100,15
绩效数据,0.050614454055487146,0.5,0.06444414933196232,0.18574971421343886,30,100,20
绩效数据,0.05901615087188694,0.4523809523809524,0.11589950484962036,0.2271640163726548,30,100,25
绩效数据,0.07631419125464656,0.5714285714285714,0.21772839472915442,0.2417289161809348,30,110,5
绩效数据,0.05503403556487929,0.4523809523809524,0.08840888337192644,0.1448378148531475,30,110,10
绩效数据,0.0451856157012438,0.47619047619047616,0.03128017543073985,0.1210784300465938,30,110,15
绩效数据,0.04657882452813622,0.5,0.03966361410055333,0.14358187344414317,30,110,20
绩效数据,0.06823467723504661,0.4523809523809524,0.17297008980399872,0.26264781941224125,30,110,25
绩效数据,0.07277195529282765,0.5238095238095238,0.19443904390351865,0.2199037949398314,30,120,5
绩效数据,0.051037088922506246,0.4523809523809524,0.06604147266817899,0.1406895647821431,30,120,10
绩效数据,0.03822692508643977,0.4523809523809524,-0.01072466884153618,0.08801600145739728,30,120,15
绩效数据,0.053720471859894925,0.5,0.0831178334306297,0.17501494667101394,30,120,20
绩效数据,0.06554962971343947,0.4523809523809524,0.1556612047210799,0.2523125777851856,30,120,25
绩效数据,0.051733515638846095,0.5238095238095238,0.06945738015242962,0.12852076940622523,35,40,5
绩效数据,0.07584190548845116,0.5,0.207398371977793,0.1937702069007559,35,40,10
绩效数据,0.09158845640102142,0.5476190476190477,0.29672673576498826,0.29070678702760594,35,40,15
绩效数据,0.0682813582320212,0.5476190476190477,0.16390362197774686,0.19275181146991477,35,40,20
绩效数据,0.03551165680142443,0.5,-0.025924262197820524,0.07683076664471526,35,40,25
绩效数据,0.08012280350619028,0.6190476190476191,0.23439790977101796,0.18767130008046873,35,50,5
绩效数据,0.10170359015625663,0.5714285714285714,0.3601232388057257,0.2828662024239895,35,50,10
绩效数据,0.05967254861662341,0.5238095238095238,0.11399865992034598,0.1578713623431285,35,50,15
绩效数据,0.057034548276289954,0.5,0.0988062822681355,0.14533345735534492,35,50,20
绩效数据,0.03592071318675716,0.5238095238095238,-0.023911148715831224,0.08439652895072147,35,50,25
绩效数据,0.1105560489664763,0.5952380952380952,0.40776309294862356,0.30976703574551745,35,60,5
绩效数据,0.09150403277333585,0.5714285714285714,0.3025836165296303,0.2981417559999432,35,60,10
绩效数据,0.0701197432467302,0.5238095238095238,0.17287460165072033,0.1878990011191801,35,60,15
绩效数据,0.05654650908383063,0.5476190476190477,0.09762929942254328,0.14176566879232597,35,60,20
绩效数据,0.05159514489888206,0.5,0.06773872343802519,0.1509039640912049,35,60,25
绩效数据,0.11044210937331433,0.6190476190476191,0.4092584241568575,0.32351355161778894,35,70,5
绩效数据,0.08579516631203132,0.5714285714285714,0.26958166726699295,0.24692676329313795,35,70,10
绩效数据,0.059349318676995555,0.5,0.1127183761685238,0.15423256775529556,35,70,15
绩效数据,0.03932726297080391,0.5,-0.003993680811869608,0.10105085183793747,35,70,20
绩效数据,0.06862970125394074,0.5238095238095238,0.16909642542802802,0.27600271163325496,35,70,25
绩效数据,0.08178932088845325,0.5714285714285714,0.24626168393850068,0.2222260744676721,35,80,5
绩效数据,0.07334813305380838,0.5,0.19431705524688414,0.2183748193582826,35,80,10
绩效数据,0.04613434351186774,0.5,0.03613087531119546,0.10952151783140285,35,80,15
绩效数据,0.05579253618224511,0.5476190476190477,0.09352524526554142,0.18801383390120793,35,80,20
绩效数据,0.05944127052424775,0.5238095238095238,0.11781385670402436,0.24643195238636162,35,80,25
绩效数据,0.07790541769725556,0.5714285714285714,0.2248936117807637,0.22432173543007872,35,90,5
绩效数据,0.058912985500000126,0.4523809523809524,0.11112565176523222,0.16468875411761572,35,90,10
绩效数据,0.04857248227431321,0.47619047619047616,0.05057884464031222,0.13795466904404305,35,90,15
绩效数据,0.05154194688082847,0.5714285714285714,0.07019129775898693,0.20010448395140853,35,90,20
绩效数据,0.05002035813862982,0.4523809523809524,0.06120774401419347,0.17328473594988578,35,90,25
绩效数据,0.052733455129283735,0.5476190476190477,0.07592923459751363,0.14176166784778998,35,100,5
绩效数据,0.05296712010544424,0.4523809523809524,0.07639148802753089,0.13110978027218942,35,100,10
绩效数据,0.0355255531002745,0.5238095238095238,-0.026930039203734244,0.09169491756718691,35,100,15
绩效数据,0.05340249248367712,0.47619047619047616,0.08186547271724084,0.19871371224984463,35,100,20
绩效数据,0.0509333857311165,0.40476190476190477,0.06709831656748175,0.17904734069854325,35,100,25
绩效数据,0.07303114166534863,0.5714285714285714,0.19815148809681607,0.21885605361103314,35,110,5
绩效数据,0.0437094329160479,0.42857142857142855,0.02231045133399073,0.11045681669212756,35,110,10
绩效数据,0.043149127078543126,0.5,0.018916934872304208,0.11409768752522645,35,110,15
绩效数据,0.050396163934459004,0.42857142857142855,0.06257107255777584,0.17166898165933858,35,110,20
绩效数据,0.055158906914720474,0.47619047619047616,0.09332448205818017,0.18446002954045426,35,110,25
绩效数据,0.06969298430754778,0.5476190476190477,0.18146522571772236,0.2173206448313095,35,120,5
绩效数据,0.04897456325529803,0.47619047619047616,0.05413249806792975,0.12769340742872853,35,120,10
绩效数据,0.05004610567787182,0.5238095238095238,0.06084912865598104,0.13878749480822017,35,120,15
绩效数据,0.05594658361100446,0.42857142857142855,0.09630008601187157,0.19629050286376254,35,120,20
绩效数据,0.05771777042238391,0.42857142857142855,0.10939864407285725,0.1930172701497243,35,120,25
绩效数据,0.07847183012798076,0.5476190476190477,0.23641063856780056,0.28345901675276164,35,130,5
绩效数据,0.04869963568406788,0.47619047619047616,0.052169174311321266,0.11288976750821718,35,130,10
绩效数据,0.05319343367842699,0.5,0.07931134580004769,0.16736063378381708,35,130,15
绩效数据,0.046817744273875306,0.42857142857142855,0.04122513383983067,0.1441037487363908,35,130,20
绩效数据,0.04688529859869739,0.40476190476190477,0.04203679239987369,0.170580302523615,35,130,25
绩效数据,0.07286939788756563,0.5476190476190477,0.20095881201872806,0.23909723422797774,35,140,5
绩效数据,0.05860079374506233,0.5476190476190477,0.1116970226136512,0.16125999138476657,35,140,10
绩效数据,0.05347108279332491,0.5,0.0812971831122023,0.17023411020420404,35,140,15
