,年化收益率,季度胜率,夏普比率,卡玛比率,timeperiod,up,down
绩效数据,-0.001398341,0.476190476,-0.182896367,-0.001862945,5,0.95,0.05
绩效数据,-0.001398341,0.476190476,-0.182896367,-0.001862945,5,0.95,0.1
绩效数据,-0.001398341,0.476190476,-0.182896367,-0.001862945,5,0.95,0.15
绩效数据,-0.001398341,0.476190476,-0.182896367,-0.001862945,5,0.95,0.2
绩效数据,-0.001398341,0.476190476,-0.182896367,-0.001862945,5,0.95,0.25
绩效数据,-0.001398341,0.476190476,-0.182896367,-0.001862945,5,0.95,0.3
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.6,0.05
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.6,0.1
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.6,0.15
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.6,0.2
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.6,0.25
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.6,0.3
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.7,0.05
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.7,0.1
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.7,0.15
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.7,0.2
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.7,0.25
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.7,0.3
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.8,0.05
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.8,0.1
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.8,0.15
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.8,0.2
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.8,0.25
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.8,0.3
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.85,0.05
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.85,0.1
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.85,0.15
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.85,0.2
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.85,0.25
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.85,0.3
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.9,0.05
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.9,0.1
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.9,0.15
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.9,0.2
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.9,0.25
绩效数据,0.004265022,0.476190476,-0.157338649,0.005798393,5,0.9,0.3
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.6,0.05
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.6,0.1
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.6,0.15
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.6,0.2
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.6,0.25
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.6,0.3
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.7,0.05
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.7,0.1
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.7,0.15
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.7,0.2
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.7,0.25
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.7,0.3
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.8,0.05
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.8,0.1
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.8,0.15
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.8,0.2
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.8,0.25
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.8,0.3
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.85,0.05
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.85,0.1
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.85,0.15
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.85,0.2
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.85,0.25
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.85,0.3
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.9,0.05
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.9,0.1
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.9,0.15
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.9,0.2
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.9,0.25
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.9,0.3
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.95,0.05
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.95,0.1
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.95,0.15
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.95,0.2
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.95,0.25
绩效数据,0.006006151,0.476190476,-0.150520508,0.008219029,65,0.95,0.3
绩效数据,0.007507459,0.476190476,-0.143820123,0.010273472,55,0.6,0.05
绩效数据,0.007507459,0.476190476,-0.143820123,0.010273472,55,0.6,0.1
绩效数据,0.007507459,0.476190476,-0.143820123,0.010273472,55,0.6,0.15
绩效数据,0.007507459,0.476190476,-0.143820123,0.010273472,55,0.6,0.2
绩效数据,0.007507459,0.476190476,-0.143820123,0.010273472,55,0.6,0.25
绩效数据,0.007507459,0.476190476,-0.143820123,0.010273472,55,0.6,0.3
绩效数据,0.007507459,0.476190476,-0.143820123,0.010273472,55,0.7,0.05
