,年化收益率,季度胜率,夏普比率,卡玛比率,short_p,long_p
绩效数据,0.059552980508006614,0.6190476190476191,0.08617403423850782,0.12513800859376037,5,10
绩效数据,0.10077848570331294,0.5476190476190477,0.2681006208280071,0.18571898560184136,5,20
绩效数据,0.07140385646127867,0.6666666666666666,0.13849366208061073,0.13348317546833507,10,20
绩效数据,0.1260119198066072,0.6190476190476191,0.3802340796844584,0.42051373230494976,10,30
绩效数据,0.060175833190768024,0.5238095238095238,0.089211731856974,0.14114940779075116,10,40
绩效数据,0.06044538129851773,0.5952380952380952,0.09015924107373989,0.11139680515510934,15,20
绩效数据,0.07323990450588003,0.5476190476190477,0.14687619018210593,0.16778560097324577,15,30
绩效数据,0.06236978509739366,0.5,0.0989141480656418,0.1519686469261191,15,40
绩效数据,0.01912343204564082,0.5238095238095238,-0.09239567057999465,0.029561005349493918,15,50
绩效数据,0.03471137844700811,0.47619047619047616,-0.023414649961467464,0.05869734310149393,15,60
绩效数据,0.04414381047916227,0.5714285714285714,0.018306810010746015,0.09944862187979758,20,30
绩效数据,0.018500745730450463,0.5,-0.09504397387799828,0.03191795392685429,20,40
绩效数据,0.017703353155912094,0.5238095238095238,-0.0986801783108937,0.027982267016321605,20,50
绩效数据,0.017318704989821798,0.5238095238095238,-0.10041133366862814,0.028670116740674736,20,60
绩效数据,0.03535284148617479,0.5,-0.02058246217295473,0.06354602790956163,20,70
绩效数据,0.014782740453445076,0.47619047619047616,-0.11174471631576664,0.022171310088124948,20,80
绩效数据,0.04314139454214727,0.5,0.013878195809133268,0.09074471483981866,25,30
绩效数据,0.0374633552803918,0.5714285714285714,-0.01121488784381216,0.06941753353879827,25,40
绩效数据,-0.011830825775424492,0.5,-0.22937673624289853,-0.019288435561104718,25,50
绩效数据,0.004161238102144749,0.40476190476190477,-0.15865414517682982,0.006943871419710165,25,60
绩效数据,0.02419315569432423,0.47619047619047616,-0.07000584074922736,0.040336369842498034,25,70
绩效数据,0.045952409145545214,0.5238095238095238,0.026380337598621368,0.07792056349385611,25,80
绩效数据,0.012384710225542994,0.47619047619047616,-0.12258298786558772,0.022586617992089268,25,90
绩效数据,0.04880670567101597,0.5,0.0391413763358721,0.11291154569549276,25,100
绩效数据,0.014379353742961953,0.5476190476190477,-0.11326229082194061,0.026999557021864365,30,40
绩效数据,-0.0038427718522568988,0.47619047619047616,-0.1940279072839562,-0.005570786829465732,30,50
绩效数据,-0.02079973297278459,0.42857142857142855,-0.2691442541641953,-0.029667722954717427,30,60
绩效数据,0.040771511345275346,0.5,0.003417146712222079,0.07346846327730086,30,70
绩效数据,0.02774578040311737,0.5,-0.054304447856288546,0.05050964670140391,30,80
绩效数据,-0.012027374883228692,0.5,-0.23093550715081035,-0.019257377139630712,30,90
绩效数据,0.002942155284563208,0.5,-0.16467330191096863,0.005454576360869367,30,100
绩效数据,0.04277307778555639,0.5238095238095238,0.012336752797680539,0.09852668322634356,30,110
绩效数据,0.07496045688083375,0.5238095238095238,0.15566125492020483,0.17869102320402724,30,120
绩效数据,0.004279191997487164,0.47619047619047616,-0.15790809574995232,0.007469285411807604,35,40
绩效数据,-0.008021113140771141,0.47619047619047616,-0.21251793398237487,-0.011208993674067944,35,50
绩效数据,0.01749541581216474,0.42857142857142855,-0.09962908808633476,0.027681422204992,35,60
绩效数据,0.03722582016194176,0.5,-0.012287071035416307,0.0634037284532864,35,70
绩效数据,-0.023691371671182848,0.42857142857142855,-0.2822159640353218,-0.035624625727351276,35,80
绩效数据,0.006206730293538909,0.5,-0.15000420114028815,0.009937491377669824,35,90
绩效数据,0.03218436956631243,0.5,-0.03473362896329589,0.06989951307052412,35,100
绩效数据,0.06507069457068537,0.5238095238095238,0.11154833253422669,0.15614775973078643,35,110
绩效数据,0.09587997825845629,0.5476190476190477,0.248847071315197,0.27762487016809234,35,120
绩效数据,0.07660801300419773,0.5476190476190477,0.16304275017754394,0.1754572806118058,35,130
绩效数据,0.0887027567170513,0.5238095238095238,0.21726504050493564,0.2477068750436329,35,140
绩效数据,-0.006402550962338771,0.5,-0.20535546408820093,-0.009534902601253394,40,50
绩效数据,0.028404281885927363,0.5,-0.051337029020078945,0.0576282275854725,40,60
绩效数据,0.0159463692915518,0.5238095238095238,-0.10652632465555147,0.02717944613305891,40,70
绩效数据,-0.025052350129095013,0.42857142857142855,-0.2882464217711983,-0.039772616546667625,40,80
绩效数据,0.010236755632576422,0.47619047619047616,-0.13211684339049512,0.017590857003681206,40,90
绩效数据,0.054496164014502524,0.5476190476190477,0.06443028618659491,0.1176003566964634,40,100
绩效数据,0.07272248680570348,0.5476190476190477,0.1456016133789676,0.18049725377392034,40,110
绩效数据,0.09276569161608705,0.5238095238095238,0.23497213319604207,0.2750401775234986,40,120
绩效数据,0.07102117799894025,0.5238095238095238,0.13815477829275535,0.16126820459843982,40,130
绩效数据,0.08162734709944708,0.5476190476190477,0.18569078418114207,0.21628854891236163,40,140
绩效数据,0.07307073169155243,0.5238095238095238,0.1475968563065025,0.19411678794072457,40,150
绩效数据,0.07628945605640225,0.5476190476190477,0.1620634343107526,0.22127518900248386,40,160
绩效数据,-0.02829462477843603,0.4523809523809524,-0.3022349615956017,-0.04768224700447943,45,50
绩效数据,0.022268052592998133,0.47619047619047616,-0.07850168355882535,0.04742623125972004,45,60
绩效数据,0.03685886234830771,0.5714285714285714,-0.013912332400789538,0.07083896832861312,45,70
绩效数据,0.019950189211046743,0.5,-0.08884785938857802,0.03951230692160385,45,80
绩效数据,0.045687883169082344,0.5,0.025251807261460778,0.11327099803668546,45,90
绩效数据,0.05483370430617596,0.5714285714285714,0.06593066407114012,0.11708061495752954,45,100
绩效数据,0.05776697078933113,0.5714285714285714,0.07904775110433102,0.13190860125211318,45,110
绩效数据,0.09852525535222045,0.5952380952380952,0.2606331786403556,0.3232396601217316,45,120
绩效数据,0.04240387981269955,0.47619047619047616,0.010703938824474743,0.10112815327052024,45,130
绩效数据,0.08207678565926146,0.5238095238095238,0.18769629021358403,0.21513804789396673,45,140
绩效数据,0.06525804794150414,0.5476190476190477,0.11272214217262509,0.16896453375567816,45,150
